t_s,position_deg,setpoint_deg,error_deg,pwm,current_ma,voltage_v,power_mw
262.0390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
262.2280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
262.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
262.4330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
262.4580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
262.6280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
262.6680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
262.8460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
262.8680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263.0580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263.2880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263.3140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263.5290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263.6570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263.7440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263.9580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263.9750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264.1730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264.3810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264.3970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264.5860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264.6050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264.7920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264.8240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264.9940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
265.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
265.1880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
265.2190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
265.4020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
265.4380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
265.5940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
265.6740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
265.7990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
265.9070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
265.9880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
266.1190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
266.1880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
266.3130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
266.5290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
266.5540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
267.0720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
267.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
267.2340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
267.3480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
267.4380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
267.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
267.6720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
267.8540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
267.8770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
268.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
268.0860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
268.2630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
268.3040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
268.4620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
268.5090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
268.6590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
268.7070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
268.8720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
268.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
269.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
269.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
269.2810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
269.3280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
269.4930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
269.5360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
269.6930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
269.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
269.9060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
269.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
270.2110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
270.2340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
270.4140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
270.4570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
270.7380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
270.7620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
270.9260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
270.9770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
271.1370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
271.1820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
271.3310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
271.4330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
271.5230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
271.6370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
271.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
271.9450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
271.9690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
272.1560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
272.1770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
272.3530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
272.3770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
272.5650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
272.6030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
272.7730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
272.8090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
272.9710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
273.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
273.1750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
273.2310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
273.3930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
273.4570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
273.5830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
273.7880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
273.8110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
273.9970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
274.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
274.2060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
274.2290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
274.4140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
274.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
274.8180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
275.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
275.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
275.2270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
275.2690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
275.4260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
275.5070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
275.6360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
275.7050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
275.8250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
275.9510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
276.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
276.2510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
276.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
276.3790,-24.2580,0.0000,24.2580,-18.0000,0.0000,0.0000,0.0000
276.5620,-24.7850,0.0000,24.7850,-18.0000,0.0000,0.0000,0.0000
276.5980,-24.7850,0.0000,24.7850,-18.0000,0.0000,0.0000,0.0000
276.7630,-24.9610,0.0000,24.9610,-18.0000,0.0000,0.0000,0.0000
276.8510,-25.1370,0.0000,25.1370,-18.0000,0.0000,0.0000,0.0000
276.9440,0.8790,0.0000,-0.8790,0.0000,0.0000,0.0000,0.0000
277.0660,0.8790,0.0000,-0.8790,0.0000,0.0000,0.0000,0.0000
277.1680,0.8790,0.0000,-0.8790,0.0000,0.0000,0.0000,0.0000
277.2790,0.8790,0.0000,-0.8790,0.0000,0.0000,0.0000,0.0000
277.3970,0.8790,0.0000,-0.8790,0.0000,0.0000,0.0000,0.0000
277.5820,0.8790,0.0000,-0.8790,0.0000,0.0000,0.0000,0.0000
277.6090,0.8790,0.0000,-0.8790,0.0000,0.0000,0.0000,0.0000
277.7070,0.8790,0.0000,-0.8790,0.0000,0.0000,0.0000,0.0000
277.8950,0.8790,0.0000,-0.8790,0.0000,0.0000,0.0000,0.0000
277.9180,0.8790,0.0000,-0.8790,0.0000,0.0000,0.0000,0.0000
278.0980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
278.1340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
278.3030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
278.3590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
278.5080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
278.5770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
278.8190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
279.0860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
279.1040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
279.3230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
279.3490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
279.5350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
279.5570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
279.7340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
279.7610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
279.9330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
279.9750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
280.1360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
280.1830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
280.3410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
280.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
280.5580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
280.6150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
280.7620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
280.8180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
280.9640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
281.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
281.1610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
281.2690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
281.4690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
281.4920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
281.6790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
281.6950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
281.8760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
281.9060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
282.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
282.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
282.2980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
282.3270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
282.4250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
282.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
282.8330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283.0160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283.4140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283.4870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283.6920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283.8320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
283.9260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
284.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
284.2390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
284.2870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
284.4610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
284.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
284.6440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
284.6990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
284.8640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
284.8860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
285.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
285.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
285.2660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
285.3020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
285.4870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
285.5280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
285.6720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
285.7320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
285.9180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
285.9460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
286.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
286.1420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
286.2880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
286.3460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
286.4960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
286.7250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
286.8580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
287.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
287.2780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
287.3040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
287.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
287.5330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
287.7350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
287.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
287.9360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
287.9580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
288.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
288.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
288.3460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
288.3720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
288.5350,-17.9300,-90.0000,-72.0700,45.0000,0.0000,0.0000,0.0000
288.5800,-21.4450,-90.0000,-68.5550,45.0000,0.0000,0.0000,0.0000
288.7160,-27.2460,-90.0000,-62.7540,44.0000,0.0000,0.0000,0.0000
288.7890,-34.6290,-90.0000,-55.3710,35.0000,0.0000,0.0000,0.0000
288.9560,-47.6370,-90.0000,-42.3630,29.0000,0.0000,0.0000,0.0000
289.0100,-44.8240,-90.0000,-45.1760,35.0000,0.0000,0.0000,0.0000
289.1630,-37.7930,-90.0000,-52.2070,40.0000,0.0000,0.0000,0.0000
289.2270,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
289.3650,-34.4530,-90.0000,-55.5470,43.0000,0.0000,0.0000,0.0000
289.4670,-34.1020,-90.0000,-55.8980,41.0000,0.0000,0.0000,0.0000
289.6920,-38.1450,-90.0000,-51.8550,38.0000,0.0000,0.0000,0.0000
289.7150,-38.4960,-90.0000,-51.5040,38.0000,0.0000,0.0000,0.0000
289.8650,-38.4960,-90.0000,-51.5040,38.0000,0.0000,0.0000,0.0000
289.9110,-38.3200,-90.0000,-51.6800,39.0000,0.0000,0.0000,0.0000
290.0700,-37.0900,-90.0000,-52.9100,40.0000,0.0000,0.0000,0.0000
290.1870,-36.9140,-90.0000,-53.0860,39.0000,0.0000,0.0000,0.0000
290.2650,-37.0900,-90.0000,-52.9100,39.0000,0.0000,0.0000,0.0000
290.3930,-37.6170,-90.0000,-52.3830,38.0000,0.0000,0.0000,0.0000
290.4620,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
290.6970,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
290.7160,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
290.9050,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
290.9380,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
291.1040,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
291.1280,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
291.3180,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
291.3540,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
291.5160,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
291.5430,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
291.7440,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
291.7760,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
291.9130,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
292.0220,-37.7930,-90.0000,-52.2070,39.0000,0.0000,0.0000,0.0000
292.0850,-37.7930,-45.0000,-7.2070,5.0000,0.0000,0.0000,0.0000
292.2330,-31.4650,-45.0000,-13.5350,13.0000,0.0000,0.0000,0.0000
292.2970,-28.6520,-45.0000,-16.3480,14.0000,0.0000,0.0000,0.0000
292.4320,-24.4340,-45.0000,-20.5660,17.0000,0.0000,0.0000,0.0000
292.6580,-12.8320,-45.0000,-32.1680,26.0000,0.0000,0.0000,0.0000
292.6750,-12.6560,-45.0000,-32.3440,25.0000,0.0000,0.0000,0.0000
292.8410,-13.5350,-45.0000,-31.4650,23.0000,0.0000,0.0000,0.0000
292.8850,-13.5350,-45.0000,-31.4650,23.0000,0.0000,0.0000,0.0000
293.0380,-14.7660,-45.0000,-30.2340,21.0000,0.0000,0.0000,0.0000
293.1420,-16.6990,-45.0000,-28.3010,20.0000,0.0000,0.0000,0.0000
293.2550,-17.0510,-45.0000,-27.9490,20.0000,0.0000,0.0000,0.0000
293.4980,-16.8750,-45.0000,-28.1250,21.0000,0.0000,0.0000,0.0000
293.6060,-16.8750,-45.0000,-28.1250,21.0000,0.0000,0.0000,0.0000
294.0610,-16.8750,-45.0000,-28.1250,21.0000,0.0000,0.0000,0.0000
294.0870,-16.8750,-45.0000,-28.1250,21.0000,0.0000,0.0000,0.0000
294.2790,-16.8750,-45.0000,-28.1250,21.0000,0.0000,0.0000,0.0000
294.3020,-16.8750,-45.0000,-28.1250,21.0000,0.0000,0.0000,0.0000
294.4730,-16.8750,-45.0000,-28.1250,21.0000,0.0000,0.0000,0.0000
294.5120,-16.8750,-45.0000,-28.1250,21.0000,0.0000,0.0000,0.0000
294.6890,-14.5900,0.0000,14.5900,-9.0000,0.0000,0.0000,0.0000
