t_ms,mode,pwm,servo_count,servo_deg,pend_count,pend_raw_deg,pend_deg,ina_ok,v_bus,i_ma,p_mw
49,5,0,0,0.0,0,0.0,0.0,True,14.676,26.4,386.0
195,5,0,0,0.0,0,0.0,0.0,True,14.68,26.6,390.0
408,5,0,0,0.0,0,0.0,0.0,True,14.676,27.2,400.0
610,5,0,0,0.0,0,0.0,0.0,True,14.676,29.5,432.0
760,5,0,0,0.0,0,0.0,0.0,True,14.676,26.8,394.0
922,5,0,0,0.0,0,0.0,0.0,True,14.68,27.5,404.0
1113,5,0,0,0.0,0,0.0,0.0,True,14.676,27.1,396.0
1322,5,0,0,0.0,0,0.0,0.0,True,14.68,27.1,396.0
1531,5,0,0,0.0,0,0.0,0.0,True,14.676,26.5,390.0
1749,5,0,0,0.0,0,0.0,0.0,True,14.676,27.8,410.0
1877,5,0,0,0.0,0,0.0,0.0,True,14.68,28.5,420.0
2069,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
2240,5,0,0,0.0,0,0.0,0.0,True,14.68,26.5,390.0
2467,5,0,0,0.0,0,0.0,0.0,True,14.672,27.5,404.0
2600,5,0,0,0.0,0,0.0,0.0,True,14.676,26.4,386.0
2738,5,0,0,0.0,0,0.0,0.0,True,14.676,28.1,412.0
2960,5,0,0,0.0,0,0.0,0.0,True,14.676,26.0,380.0
3176,5,0,0,0.0,0,0.0,0.0,True,14.676,27.7,406.0
3302,5,0,0,0.0,0,0.0,0.0,True,14.676,26.6,390.0
3531,5,0,0,0.0,0,0.0,0.0,True,14.672,27.9,410.0
3690,5,0,0,0.0,0,0.0,0.0,True,14.68,27.5,404.0
3878,5,0,0,0.0,0,0.0,0.0,True,14.676,26.6,390.0
4093,5,0,0,0.0,0,0.0,0.0,True,14.68,26.8,394.0
4313,5,0,0,0.0,0,0.0,0.0,True,14.668,27.9,394.0
4453,5,0,0,0.0,0,0.0,0.0,True,14.676,27.7,406.0
4597,5,0,0,0.0,0,0.0,0.0,True,14.68,26.1,384.0
4809,5,0,0,0.0,0,0.0,0.0,True,14.672,28.7,422.0
5013,5,0,0,0.0,0,0.0,0.0,True,14.676,29.8,440.0
5211,5,0,0,0.0,0,0.0,0.0,True,14.68,26.8,394.0
5415,5,0,0,0.0,0,0.0,0.0,True,14.676,26.1,384.0
5629,5,0,0,0.0,0,0.0,0.0,True,14.68,26.0,380.0
5825,5,0,0,0.0,0,0.0,0.0,True,14.676,26.7,394.0
6040,5,0,0,0.0,0,0.0,0.0,True,14.672,28.0,410.0
6248,5,0,0,0.0,0,0.0,0.0,True,14.676,28.3,416.0
6372,5,0,0,0.0,0,0.0,0.0,True,14.676,27.2,400.0
6546,5,0,0,0.0,0,0.0,0.0,True,14.68,27.2,400.0
6765,5,0,0,0.0,0,0.0,0.0,True,14.676,27.1,396.0
6887,5,0,0,0.0,0,0.0,0.0,True,14.668,29.0,426.0
7075,5,0,0,0.0,0,0.0,0.0,True,14.68,26.9,394.0
7211,5,0,0,0.0,0,0.0,0.0,True,14.68,27.0,396.0
7363,5,0,0,0.0,0,0.0,0.0,True,14.676,27.1,396.0
7573,5,0,0,0.0,0,0.0,0.0,True,14.684,27.0,396.0
7771,5,0,0,0.0,0,0.0,0.0,True,14.672,27.8,406.0
7982,5,0,0,0.0,0,0.0,0.0,True,14.676,28.2,412.0
8213,5,0,0,0.0,0,0.0,0.0,True,14.672,27.7,406.0
8494,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
8731,5,0,0,0.0,0,0.0,0.0,True,14.68,26.7,394.0
8916,5,0,0,0.0,0,0.0,0.0,True,14.676,27.6,406.0
9051,5,0,0,0.0,0,0.0,0.0,True,14.676,27.1,396.0
9225,5,0,0,0.0,0,0.0,0.0,True,14.68,27.2,400.0
9365,5,0,0,0.0,0,0.0,0.0,True,14.68,27.7,406.0
9613,5,0,0,0.0,0,0.0,0.0,True,14.672,28.0,410.0
9818,5,0,0,0.0,0,0.0,0.0,True,14.672,27.9,410.0
10034,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
10229,5,0,0,0.0,0,0.0,0.0,True,14.68,26.2,384.0
10436,5,0,0,0.0,0,0.0,0.0,True,14.68,25.9,380.0
10656,5,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
10775,5,0,0,0.0,0,0.0,0.0,True,14.672,27.8,406.0
10971,5,0,0,0.0,0,0.0,0.0,True,14.68,26.3,386.0
11127,5,0,0,0.0,0,0.0,0.0,True,14.672,28.3,386.0
11373,5,0,0,0.0,0,0.0,0.0,True,14.676,26.1,384.0
11499,5,0,0,0.0,0,0.0,0.0,True,14.672,27.7,406.0
