t,pend,servo,mode,pwm,v
0.091,-1.05,-1.58,5,28,14.76
0.191,-1.23,-2.81,5,-34,14.77
0.264,1.05,-2.46,5,-34,14.76
0.351,2.11,-2.29,5,-34,14.76
0.434,0.88,-2.81,5,28,14.76
0.514,-1.23,-3.34,5,34,14.74
0.594,-2.46,-4.04,5,34,14.74
0.686,-1.05,-3.87,5,-27,14.76
0.763,2.11,-2.81,5,-28,14.76
0.844,2.29,-2.81,5,-34,14.76
0.921,0.53,-3.34,5,29,14.76
1.015,-2.11,-3.87,5,34,14.75
1.093,-2.64,-4.22,5,34,14.75
1.186,-0.7,-4.39,5,-26,14.76
1.262,2.46,-3.52,5,-27,14.77
1.35,2.81,-3.69,5,-34,14.76
1.441,0.35,-4.39,5,28,14.76
1.517,-1.93,-4.57,5,34,14.74
1.601,-2.64,-4.75,5,34,14.75
1.686,-1.41,-4.75,5,-26,14.76
1.768,2.11,-3.52,5,-27,14.76
1.84,2.81,-3.52,5,-34,14.76
1.936,-0.18,-4.39,5,28,14.76
2.017,-1.93,-4.75,5,28,14.77
2.092,-2.64,-4.75,5,34,14.75
2.176,-1.41,-5.1,5,-26,14.76
2.269,2.29,-3.87,5,-27,14.75
2.348,2.64,-3.87,5,29,14.76
2.427,0.53,-4.39,5,28,14.76
2.507,-1.93,-4.75,5,28,14.75
2.585,-2.64,-4.75,5,34,14.74
2.665,-2.11,-5.45,5,-26,14.76
2.746,1.23,-4.39,5,-26,14.76
2.868,2.99,-4.04,5,28,14.74
2.944,0.0,-4.92,5,28,14.77
3.017,-2.11,-4.92,5,34,14.74
3.109,-2.81,-5.27,5,35,14.74
3.193,-1.58,-5.62,5,-26,14.76
3.29,2.46,-4.22,5,-26,14.76
3.371,2.99,-4.22,5,28,14.76
3.446,-0.18,-5.27,5,28,14.76
3.53,-2.46,-5.45,5,28,14.74
3.632,-2.64,-5.8,5,-26,14.73
3.72,0.7,-4.75,5,-26,14.77
3.82,3.16,-3.87,5,-34,14.76
3.894,1.41,-4.39,5,28,14.76
3.979,-1.41,-5.1,5,35,14.75
4.061,-3.16,-5.27,5,28,14.73
4.142,-2.99,-6.33,5,-33,14.76
4.229,1.41,-5.62,5,-26,14.76
4.304,4.22,-4.75,5,-26,14.77
4.377,2.81,-5.45,5,28,14.76
4.454,-0.53,-6.5,5,28,14.76
4.535,-2.46,-6.33,5,28,14.76
4.622,-3.16,-6.5,5,35,14.74
4.716,0.18,-5.62,5,-26,14.76
4.818,3.52,-4.22,5,-34,14.76
4.919,1.41,-5.1,5,28,14.76
5.019,-1.93,-5.62,5,35,14.76
5.11,-3.16,-5.98,5,35,14.73
5.187,-1.23,-6.33,5,-26,14.76
5.276,2.81,-4.92,5,-26,14.76
5.352,3.69,-4.92,5,-34,14.77
5.445,0.0,-6.15,5,28,14.75
5.535,-2.46,-6.15,5,28,14.75
5.615,-3.16,-6.33,5,35,14.74
5.695,-0.7,-6.15,5,-26,14.76
5.827,3.69,-4.39,5,-34,14.77
5.909,1.05,-5.27,5,28,14.75
5.985,-1.93,-5.98,5,28,14.74
6.065,-3.16,-6.15,5,35,14.73
6.136,-2.81,-6.68,5,-25,14.76
6.221,1.41,-5.62,5,-26,14.76
6.3,4.04,-4.75,5,-26,14.76
6.379,2.46,-5.45,5,28,14.76
6.451,-1.05,-6.33,5,28,14.76
6.525,-2.64,-6.15,5,35,14.75
6.61,-3.16,-6.5,5,35,14.74
6.702,0.0,-6.5,5,-26,14.76
6.788,3.69,-5.1,5,-26,14.76
6.863,3.16,-5.45,5,28,14.76
6.947,-0.7,-6.5,5,28,14.76
7.027,-2.64,-6.33,5,28,14.75
7.12,-3.16,-6.68,5,35,14.74
7.208,-0.18,-6.15,5,-26,14.76
7.286,3.52,-4.75,5,-26,14.76
7.376,2.46,-5.27,5,28,14.76
7.45,-0.88,-6.33,5,28,14.76
7.528,-2.81,-6.33,5,35,14.76
7.61,-3.16,-6.68,5,35,14.73
7.682,-0.88,-6.5,5,-26,14.76
7.764,3.16,-4.92,5,-26,14.76
7.853,3.16,-5.1,5,28,14.76
7.934,-0.35,-6.33,5,28,14.76
8.015,-2.64,-6.33,5,35,14.74
8.088,-3.16,-6.5,5,35,14.76
8.175,-0.88,-6.33,5,-26,14.76
8.281,3.52,-4.92,5,-34,14.76
8.365,2.46,-5.27,5,28,14.76
8.45,-1.23,-6.15,5,28,14.76
8.537,-2.64,-6.15,5,35,14.75
8.618,-2.99,-6.86,5,35,14.75
8.718,-0.35,-6.5,5,-26,14.76
8.805,3.87,-5.1,5,-33,14.76
8.883,2.11,-5.8,5,28,14.76
8.979,-1.93,-6.68,5,29,14.76
