t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.039,0.0,0.0,0.0,-35,5,14.744,5.3,78.0
0.108,-0.18,-0.18,-0.18,34,5,14.724,9.5,140.0
0.2,-2.11,-1.76,-1.76,29,5,14.728,8.3,122.0
0.274,-4.04,-2.11,-2.11,34,5,14.732,8.9,132.0
0.353,-5.8,-1.05,-1.05,-29,5,14.744,5.4,78.0
0.425,-5.8,2.64,2.64,-29,5,14.74,6.5,96.0
0.501,-5.8,4.39,4.39,-33,5,14.736,5.2,76.0
0.583,-6.15,3.34,3.34,29,5,14.744,6.1,88.0
0.677,-6.68,-0.88,-0.88,29,5,14.74,5.5,82.0
0.764,-5.98,-2.81,-2.81,35,5,14.728,9.9,144.0
0.836,-6.15,-2.99,-2.99,-29,5,14.716,11.9,174.0
0.924,-4.92,0.53,0.53,-29,5,14.74,5.4,78.0
1.004,-3.87,3.52,3.52,-29,5,14.672,17.5,258.0
1.086,-4.22,2.46,2.46,29,5,14.74,5.5,82.0
1.18,-5.27,-1.23,-1.23,29,5,14.732,6.9,102.0
1.263,-5.45,-2.46,-2.46,35,5,14.736,7.0,102.0
1.353,-6.33,-2.46,-2.46,-29,5,14.74,5.1,76.0
1.429,-5.62,0.88,0.88,-29,5,14.744,6.5,96.0
1.5,-4.92,3.69,3.69,-29,5,14.74,4.2,62.0
1.58,-5.27,2.99,2.99,29,5,14.748,3.4,50.0
1.668,-6.15,-0.18,-0.18,29,5,14.744,7.0,104.0
1.747,-6.15,-2.11,-2.11,35,5,14.728,11.2,164.0
1.821,-6.33,-2.81,-2.81,35,5,14.72,11.3,168.0
1.909,-5.8,0.0,0.0,-29,5,14.74,4.9,72.0
1.987,-4.57,3.16,3.16,-29,5,14.74,7.2,104.0
2.089,-5.1,2.11,2.11,29,5,14.74,6.1,88.0
2.165,-5.98,-0.7,-0.7,29,5,14.744,6.3,92.0
2.239,-5.98,-2.29,-2.29,29,5,14.72,9.0,132.0
2.318,-6.33,-2.64,-2.64,35,5,14.72,11.4,168.0
2.4,-6.5,-0.53,-0.53,-29,5,14.748,2.9,42.0
2.499,-5.27,3.69,3.69,-29,5,14.748,3.3,50.0
2.578,-5.8,2.81,2.81,-33,5,14.748,3.5,52.0
2.65,-6.5,0.18,0.18,29,5,14.74,5.5,82.0
2.726,-6.5,-1.93,-1.93,29,5,14.736,6.0,88.0
2.801,-6.33,-2.64,-2.64,35,5,14.716,11.8,144.0
2.892,-6.5,-1.41,-1.41,-29,5,14.744,5.6,82.0
2.981,-5.1,2.64,2.64,-29,5,14.74,4.7,68.0
3.06,-4.92,3.16,3.16,-34,5,14.732,7.6,112.0
3.137,-5.8,0.7,0.7,29,5,14.732,6.8,102.0
3.216,-6.15,-1.76,-1.76,29,5,14.728,11.6,170.0
3.287,-6.33,-2.64,-2.64,35,5,14.72,10.7,158.0
3.365,-7.03,-2.11,-2.11,-29,5,14.716,10.6,158.0
3.443,-5.98,1.23,1.23,-29,5,14.744,5.4,78.0
3.513,-5.27,3.69,3.69,-33,5,14.748,4.7,68.0
3.592,-5.8,2.46,2.46,29,5,14.732,6.8,102.0
3.687,-6.68,-1.05,-1.05,29,5,14.74,5.1,76.0
3.767,-6.68,-2.64,-2.64,35,5,14.672,20.9,308.0
3.858,-7.21,-2.29,-2.29,-33,5,14.744,5.2,76.0
3.937,-5.98,1.23,1.23,-29,5,14.752,4.8,72.0
4.011,-5.27,3.69,3.69,-33,5,14.76,6.1,88.0
4.089,-5.8,2.11,2.11,29,5,14.74,5.8,86.0
4.171,-6.68,-0.88,-0.88,29,5,14.744,7.4,108.0
4.248,-6.68,-2.46,-2.46,29,5,14.72,10.6,158.0
4.333,-7.21,-2.64,-2.64,35,5,14.724,10.0,148.0
4.404,-7.03,-0.18,-0.18,-29,5,14.736,5.8,86.0
4.485,-5.8,3.52,3.52,-33,5,14.684,14.5,212.0
4.58,-5.98,3.34,3.34,-33,5,14.748,5.8,86.0
4.649,-6.86,0.18,0.18,29,5,14.752,7.0,104.0
4.736,-6.86,-2.11,-2.11,35,5,14.732,10.0,148.0
4.807,-7.03,-2.81,-2.81,35,5,14.724,11.3,168.0
4.878,-7.21,-1.76,-1.76,-29,5,14.74,3.4,50.0
4.956,-5.98,1.76,1.76,-29,5,14.748,4.0,58.0
5.035,-5.27,3.52,3.52,-33,5,14.748,5.1,76.0
5.107,-5.98,1.58,1.58,29,5,14.74,4.7,68.0
5.183,-6.68,-1.05,-1.05,29,5,14.74,5.1,76.0
5.265,-6.68,-2.64,-2.64,35,5,14.752,7.8,114.0
5.35,-7.21,-2.29,-2.29,-29,5,14.736,5.7,86.0
