t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.045,180.176,-71.016,-71.016,0,0,14.752,4.5,66.0
0.072,180.176,-71.016,-71.016,0,0,14.76,6.4,96.0
0.189,180.176,-71.016,-71.016,0,0,14.752,4.5,66.0
0.22,180.176,-71.016,-71.016,0,0,14.748,2.3,32.0
0.274,180.176,-71.016,-71.016,0,0,14.752,3.6,52.0
0.307,180.176,-71.016,-71.016,0,0,14.756,5.1,76.0
0.337,180.176,-71.016,-71.016,0,0,14.756,4.2,62.0
0.367,180.176,-71.016,-71.016,0,0,14.752,6.1,56.0
0.4,180.176,-71.016,-71.016,0,0,14.748,3.9,58.0
0.425,180.176,-71.016,-71.016,0,0,14.756,3.8,56.0
0.47,180.176,-71.016,-71.016,0,0,14.748,4.8,72.0
0.503,180.176,-71.016,-71.016,0,0,14.752,3.8,56.0
0.531,180.176,-71.016,-71.016,0,0,14.752,3.3,50.0
0.579,180.176,-71.016,-71.016,0,0,14.712,10.8,160.0
0.614,180.176,-71.016,-71.016,0,0,14.744,5.1,76.0
0.642,180.176,-71.016,-71.016,0,0,14.76,5.1,76.0
0.673,180.176,-71.016,-71.016,0,0,14.748,5.3,78.0
0.759,180.176,-71.016,-71.016,0,0,14.752,4.2,62.0
0.792,180.176,-71.016,-71.016,0,0,14.744,7.2,104.0
0.831,180.176,-71.016,-71.016,0,0,14.752,3.5,52.0
0.89,180.176,-71.016,-71.016,0,0,14.7,11.3,168.0
0.922,180.176,-71.016,-71.016,0,0,14.756,4.3,62.0
0.963,180.176,-71.016,-71.016,0,0,14.748,4.7,68.0
1.001,180.176,-71.016,-71.016,0,0,14.74,5.8,68.0
1.04,180.176,-71.016,-71.016,0,0,14.76,3.8,56.0
1.071,180.176,-71.016,-71.016,0,0,14.748,5.1,76.0
1.105,180.176,-71.016,-71.016,0,0,14.752,4.1,58.0
1.142,180.176,-71.016,-71.016,0,0,14.752,5.4,78.0
1.169,180.176,-71.016,-71.016,0,0,14.752,5.0,76.0
1.203,180.176,-71.016,-71.016,0,0,14.756,4.6,68.0
1.236,180.176,-71.016,-71.016,0,0,14.752,3.6,52.0
1.264,180.176,-71.016,-71.016,0,0,14.728,1.9,30.0
1.318,180.176,-71.016,-71.016,0,0,14.756,3.7,56.0
1.349,180.176,-71.016,-71.016,0,0,14.756,3.6,52.0
1.378,180.176,-71.016,-71.016,0,0,14.752,3.8,56.0
1.404,180.176,-71.016,-71.016,0,0,14.74,5.8,86.0
1.434,180.176,-71.016,-71.016,0,0,14.76,3.6,52.0
1.461,180.176,-71.016,-71.016,0,0,14.752,3.8,56.0
1.506,180.176,-71.016,-71.016,0,0,14.736,5.0,76.0
1.529,180.176,-71.016,-71.016,0,0,14.748,4.9,72.0
1.566,180.176,-71.016,-71.016,0,0,14.744,5.5,56.0
1.596,180.176,-71.016,-71.016,0,0,14.744,4.8,72.0
1.639,180.176,-71.016,-71.016,0,0,14.752,3.7,56.0
1.694,180.176,-71.016,-71.016,0,0,14.748,4.1,58.0
1.754,180.176,-71.016,-71.016,0,0,14.752,4.9,72.0
1.78,180.176,-71.016,-71.016,0,0,14.752,4.5,66.0
1.818,180.176,-71.016,-71.016,0,0,14.756,4.6,68.0
1.861,180.176,-71.016,-71.016,0,0,14.752,4.2,62.0
1.891,180.176,-71.016,-71.016,0,0,14.744,5.6,82.0
1.927,180.176,-71.016,-71.016,0,0,14.752,5.4,78.0
1.967,180.176,-71.016,-71.016,0,0,14.756,3.3,50.0
1.994,180.176,-71.016,-71.016,0,0,14.756,4.3,62.0
2.03,180.176,-71.016,-71.016,0,0,14.752,3.7,56.0
