sp,attempt,t,servo_deg,pend_deg,mode,pwm,v_bus
35,1,0.019,-6.68,-5.98,5,49,14.620
35,1,0.099,-18.63,-13.36,5,-49,14.620
35,1,0.189,-22.15,-1.76,5,-49,14.728
35,1,0.273,-10.72,25.84,5,-49,14.732
35,1,0.345,-7.38,27.42,5,49,14.608
35,1,0.423,-22.15,-3.52,5,49,14.628
35,1,0.496,-41.31,-37.79,5,-47,14.632
35,1,0.570,-47.46,-39.20,5,-47,14.740
35,1,0.647,-33.40,0.00,5,-48,14.748
35,1,0.727,-13.18,45.35,5,-49,14.732
35,1,0.799,-7.38,53.09,5,-49,14.600
35,1,0.877,-19.86,17.93,5,49,14.628
35,1,0.955,-50.62,-42.19,5,-47,14.648
35,1,1.028,-60.29,-64.51,5,-45,14.756
35,1,1.107,-57.13,-45.35,5,-46,14.736
35,1,1.185,-24.79,23.03,5,-49,14.740
35,1,1.259,-7.73,65.57,5,-49,14.724
35,1,1.335,-1.93,69.26,5,49,14.608
35,1,1.412,-13.01,27.95,5,49,14.620
35,1,1.498,-50.98,-50.62,5,-46,14.648
35,1,1.574,-61.00,-81.91,5,-45,14.748
35,1,1.661,-61.00,-69.78,5,-45,14.756
35,1,1.737,-31.82,3.87,5,-48,14.756
35,1,1.822,-4.04,71.37,5,-49,14.724
35,1,1.910,3.87,88.24,5,49,14.612
35,1,1.989,0.88,58.18,5,49,14.620
35,1,2.078,-46.41,-40.96,5,47,14.660
35,1,2.153,-61.70,-90.88,5,-45,14.748
35,1,2.236,-65.04,-96.50,5,-45,14.756
35,1,2.321,-59.59,-56.43,5,27,14.756
35,1,2.400,-18.81,31.82,5,49,14.744
35,1,2.477,-1.93,90.70,5,-49,14.732
35,1,2.619,6.15,88.94,5,49,14.612
35,1,2.696,-21.80,5.62,5,-49,14.648
35,1,2.782,-57.66,-79.81,5,34,14.680
35,1,2.861,-62.75,-109.86,5,-45,14.752
35,1,2.953,-64.16,-101.43,5,-45,14.752
35,1,3.039,-43.42,-20.57,5,-47,14.756
35,1,3.120,-2.11,71.89,5,-49,14.736
35,1,3.194,5.27,109.16,5,49,14.736
35,1,3.273,11.78,107.75,5,49,14.604
35,1,3.344,10.20,72.95,5,49,14.608
35,1,3.427,-36.56,-26.54,5,48,14.664
35,1,3.500,-58.18,-91.23,5,-46,14.748
35,1,3.592,-63.10,-120.59,5,-45,14.748
35,1,3.671,-66.27,-107.40,5,-45,14.748
35,1,3.767,-51.33,-32.52,5,-46,14.756
35,1,3.870,-2.29,85.96,5,49,14.720
35,1,3.959,4.39,121.11,4,-99,14.076
35,1,4.051,28.83,93.16,4,-98,14.096
35,1,4.146,47.11,22.68,4,-94,14.128
35,1,4.223,68.20,-72.07,4,-89,14.224
35,1,4.312,69.43,-112.68,4,-89,14.200
35,1,4.387,70.84,-105.64,4,-29,14.772
35,1,4.471,71.02,-54.49,4,-29,14.772
35,1,4.554,69.26,21.62,4,-31,14.772
35,1,4.668,41.84,68.56,4,-67,14.712
35,1,4.758,7.21,54.67,4,62,14.516
35,1,4.835,-53.61,-6.86,4,65,14.484
35,1,4.909,-105.29,-61.52,4,0,14.776
35,1,5.011,-135.70,-76.11,4,0,14.768
35,1,5.095,-146.60,-36.21,4,0,14.768
35,1,5.168,-130.96,43.59,4,0,14.776
35,1,5.242,-134.82,84.55,4,0,14.776
35,1,5.314,-140.62,86.31,4,0,14.776
35,1,5.419,-153.46,33.22,4,0,14.772
35,1,5.495,-179.82,-43.42,4,0,14.776
35,1,5.567,-175.96,-66.62,4,0,14.780
35,1,5.652,-158.56,-44.82,4,0,14.776
35,1,5.729,-117.42,18.11,4,0,14.776
35,1,5.805,-92.99,59.06,4,0,14.772
35,1,5.886,-81.39,63.46,4,12,14.772
35,1,5.963,-79.98,26.37,4,14,14.772
35,1,6.047,-90.70,-41.66,4,0,14.776
35,1,6.126,-80.33,-59.24,4,8,14.776
35,1,6.216,-55.90,-29.88,4,-12,14.772
35,1,6.314,-10.37,35.33,4,-59,14.656
35,1,6.386,9.49,56.78,4,60,14.472
35,1,6.471,8.79,30.06,4,60,14.504
35,1,6.546,-28.30,-42.01,4,69,14.396
35,1,6.634,-52.73,-89.47,4,61,14.468
35,1,6.716,-73.48,-87.01,4,2,14.776
35,1,6.788,-84.38,-43.07,4,7,14.776
35,1,6.866,-68.91,44.30,4,-1,14.776
35,1,6.953,-75.59,90.88,4,2,14.764
35,1,7.030,-86.66,94.39,4,0,14.768
35,1,7.100,-96.15,57.13,4,0,14.776
35,1,7.185,-131.66,-26.72,4,0,14.776
35,1,7.274,-139.57,-71.54,4,0,14.776
35,1,7.364,-131.13,-65.92,4,0,14.764
35,1,7.440,-98.44,-0.88,4,0,14.772
35,1,7.522,-68.20,57.66,4,-1,14.776
35,1,7.601,-58.18,74.88,4,50,14.596
35,1,7.692,-68.73,30.76,4,33,14.752
35,1,7.803,-101.60,-46.93,4,0,14.764
35,1,7.875,-101.43,-65.04,4,0,14.772
35,1,7.955,-87.89,-33.22,4,0,14.772
35,1,8.033,-54.67,29.53,4,-13,14.772
35,1,8.110,-41.13,63.28,4,67,14.736
35,1,8.186,-47.46,48.52,4,66,14.416
35,1,8.276,-91.76,-21.27,4,0,14.656
35,1,8.352,-113.03,-58.53,4,0,14.776
35,1,8.445,-114.78,-48.69,4,0,14.772
35,1,8.518,-90.18,18.28,4,0,14.776
35,1,8.596,-78.75,58.18,4,6,14.768
35,1,8.681,-79.28,58.71,4,15,14.772
35,1,8.771,-97.56,1.58,4,0,14.772
35,1,8.864,-108.81,-45.53,4,0,14.776
35,1,8.938,-98.26,-42.01,4,0,14.772
35,1,9.015,-70.14,0.53,4,0,14.780
35,1,9.095,-43.95,40.60,4,-24,14.768
35,1,9.176,-42.72,36.21,4,66,14.404
35,1,9.285,-84.90,-31.64,4,7,14.772
35,1,9.366,-98.79,-53.09,4,0,14.780
35,1,9.440,-94.57,-26.89,4,0,14.768
35,1,9.518,-72.25,30.06,4,1,14.764
35,1,9.603,-66.80,56.07,4,35,14.756
35,1,9.683,-74.00,38.32,4,24,14.780
35,1,9.777,-98.79,-18.98,4,0,14.776
35,1,9.898,-95.62,-34.28,4,0,14.776
35,1,9.980,-67.32,10.90,4,-2,14.780
35,1,10.054,-49.57,39.55,4,65,14.428
35,1,10.138,-58.53,23.55,4,50,14.584
35,1,10.210,-89.47,-23.91,4,0,14.776
35,1,10.299,-100.02,-37.79,4,0,14.772
35,1,10.384,-89.47,-7.56,4,0,14.772
35,1,10.467,-71.19,37.09,4,0,14.772
35,1,10.559,-71.72,36.91,4,28,14.756
35,1,10.641,-86.31,-0.18,4,0,14.776
35,1,10.720,-94.22,-29.88,4,0,14.768
35,1,10.796,-83.32,-21.45,4,9,14.776
35,1,10.873,-60.65,11.07,4,-9,14.776
35,1,10.961,-46.93,29.00,4,66,14.404
35,1,11.051,-73.12,-11.43,4,34,14.760
35,1,11.127,-90.35,-35.51,4,0,14.776
35,1,11.197,-89.12,-22.32,4,0,14.764
35,1,11.271,-73.65,17.05,4,2,14.772
35,1,11.352,-67.32,39.20,4,-2,14.780
35,1,11.434,-74.53,24.61,4,23,14.768
35,1,11.526,-93.16,-19.34,4,0,14.780
35,1,11.623,-91.41,-26.37,4,0,14.768
35,1,11.723,-66.62,8.26,4,-3,14.776
35,1,11.799,-53.97,24.96,4,58,14.520
35,1,11.879,-72.25,-4.04,4,27,14.772
35,1,11.952,-87.01,-27.07,4,0,14.776
35,1,12.037,-85.08,-17.93,4,0,14.776
35,1,12.118,-67.68,21.09,4,-2,14.772
35,1,12.203,-65.74,28.65,4,37,14.732
35,1,12.311,-83.50,-5.45,4,9,14.772
35,1,12.383,-88.24,-20.39,4,0,14.772
35,1,12.458,-78.05,-6.68,4,6,14.772
35,1,12.531,-63.46,15.29,4,-6,14.776
35,1,12.613,-61.52,16.00,4,45,14.656
35,1,12.689,-76.82,-9.32,4,20,14.776
35,1,12.765,-82.44,-18.81,4,10,14.768
35,1,12.834,-74.71,-3.87,4,4,14.776
35,1,12.913,-63.63,17.23,4,-6,14.776
35,1,12.988,-65.74,15.47,4,37,14.728
35,1,13.062,-78.57,-5.62,4,17,14.768
35,1,13.141,-82.62,-14.24,4,10,14.772
35,1,13.223,-74.36,-0.53,4,3,14.776
35,1,13.306,-64.51,15.29,4,39,14.724
35,1,13.405,-72.25,1.05,4,27,14.768
35,1,13.482,-77.52,-10.55,4,6,14.772
35,1,13.564,-72.95,-5.45,4,2,14.776
35,1,13.646,-63.63,8.96,4,39,14.720
35,1,13.723,-67.68,3.69,4,35,14.744
35,1,13.814,-74.71,-6.50,4,3,14.772
35,1,13.901,-72.42,-1.93,4,1,14.772
35,1,13.995,-66.80,7.91,4,35,14.752
35,1,14.097,-71.19,0.53,4,29,14.768
35,1,14.191,-71.72,-2.99,4,0,14.780
35,1,14.270,-66.80,2.29,4,35,14.748
35,1,14.353,-66.27,2.29,4,37,14.744
35,1,14.428,-69.26,-2.29,4,0,14.768
35,1,14.506,-68.03,-0.53,4,-1,14.768
35,1,14.577,-66.27,2.29,4,36,14.740
35,1,14.662,-68.73,0.18,4,33,14.756
35,1,14.741,-69.78,-0.35,4,0,14.780
35,1,14.815,-68.56,2.11,4,33,14.752
35,1,14.904,-69.26,1.58,4,32,14.760
35,1,14.996,-69.78,0.70,4,31,14.760
35,1,15.070,-69.43,0.53,4,31,14.768
35,1,15.151,-69.26,0.53,4,32,14.752
35,1,15.221,-69.26,0.53,4,32,14.756
35,1,15.301,-69.26,0.53,4,32,14.756
35,1,15.381,-69.26,0.88,4,32,14.760
35,1,15.466,-69.26,1.05,4,32,14.760
35,1,15.568,-69.26,1.05,4,32,14.748
35,1,15.647,-69.26,0.70,4,32,14.748
35,1,15.736,-69.26,0.70,4,32,14.752
35,1,15.808,-69.26,0.53,4,32,14.752
35,1,15.883,-69.26,0.70,4,32,14.752
35,1,15.968,-69.26,0.88,4,32,14.760
35,1,16.043,-69.26,0.88,4,32,14.760
35,1,16.123,-69.26,0.88,4,32,14.756
35,1,16.199,-69.26,0.70,4,32,14.752
35,1,16.277,-69.26,0.70,4,32,14.752
35,1,16.362,-69.26,0.70,4,32,14.760
35,1,16.433,-69.26,0.70,4,32,14.752
35,1,16.514,-69.26,0.88,4,32,14.760
35,1,16.612,-69.26,0.88,4,32,14.760
35,1,16.684,-69.26,0.88,4,32,14.756
35,1,16.787,-69.26,0.70,4,32,14.756
35,1,16.875,-69.26,0.70,4,32,14.752
35,1,16.963,-69.26,0.70,4,32,14.756
35,1,17.046,-69.26,0.88,4,32,14.752
35,1,17.123,-69.26,0.88,4,32,14.756
35,1,17.226,-69.26,0.88,4,32,14.760
35,1,17.300,-69.26,0.88,4,32,14.756
35,1,17.402,-69.26,0.88,4,32,14.756
35,1,17.506,-69.26,0.88,4,32,14.760
35,1,17.597,-69.26,0.88,4,32,14.748
35,1,17.700,-69.26,0.88,4,32,14.744
35,1,17.786,-69.26,0.88,4,32,14.756
35,1,17.862,-69.26,0.88,4,32,14.756
35,1,17.972,-69.26,0.88,4,32,14.624
35,1,18.058,-69.26,0.88,4,32,14.760
35,1,18.142,-69.26,0.70,4,32,14.752
35,1,18.221,-69.26,0.88,4,32,14.756
35,1,18.296,-69.26,0.88,4,32,14.760
35,1,18.390,-69.26,0.88,4,32,14.756
35,1,18.478,-69.26,0.88,4,32,14.756
35,1,18.558,-69.26,0.70,4,32,14.760
35,1,18.632,-69.26,0.88,4,32,14.756
35,1,18.712,-69.26,0.88,4,32,14.756
35,1,18.786,-69.26,0.88,4,32,14.756
35,1,18.860,-69.26,0.88,4,32,14.752
35,1,18.942,-69.26,0.88,4,32,14.752
