t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.083,-65.742,1.23,1.23,-2,5,15.056,3.4,52.0
0.106,-65.566,1.23,1.23,75,5,15.06,3.5,52.0
0.13,-66.27,0.176,0.176,75,5,14.712,101.4,1500.0
0.163,-71.016,-5.098,-5.098,-57,5,14.66,122.3,1792.0
0.19,-78.223,-12.129,-12.129,75,5,14.668,120.3,1762.0
0.216,-85.43,-18.633,-18.633,73,5,14.68,117.2,1720.0
0.24,-93.691,-25.137,-25.137,-50,5,14.7,110.4,1632.0
0.285,-104.59,-31.641,-31.641,70,5,14.712,107.1,1576.0
0.311,-119.355,-36.387,-36.387,67,5,14.988,24.0,358.0
0.339,-129.199,-36.211,-36.211,-27,5,14.94,36.2,544.0
0.367,-136.934,-33.047,-33.047,-16,5,15.06,4.6,68.0
0.402,-144.668,-22.324,-22.324,12,5,15.06,3.5,52.0
0.427,-147.656,-10.02,-10.02,-2,5,15.064,3.9,58.0
0.453,-148.535,5.977,5.977,-1,5,15.064,3.4,52.0
0.484,-148.887,21.797,21.797,0,5,15.06,3.5,52.0
0.525,-151.699,41.484,41.484,0,5,15.06,3.2,50.0
0.548,-154.687,49.219,49.219,0,5,15.064,3.6,56.0
0.583,-158.555,53.086,53.086,0,5,15.06,3.7,56.0
0.609,-162.949,52.031,52.031,0,5,15.064,3.4,52.0
0.632,-166.992,47.285,47.285,0,5,15.06,3.2,50.0
0.66,-171.914,39.375,39.375,0,5,15.06,0.1,0.0
0.692,-179.648,24.785,24.785,0,5,15.06,3.4,52.0
0.715,-188.437,8.086,8.086,0,5,15.06,3.7,56.0
0.742,-196.348,-7.734,-7.734,0,5,15.06,3.3,50.0
0.776,-201.797,-21.094,-21.094,0,5,15.06,3.1,46.0
0.81,-203.555,-29.531,-29.531,0,5,15.06,3.4,52.0
0.834,-201.973,-30.059,-30.059,0,5,15.06,3.4,52.0
0.868,-197.402,-25.137,-25.137,0,5,15.06,4.3,66.0
0.906,-187.559,-11.602,-11.602,0,5,15.064,3.6,56.0
0.939,-176.309,4.395,4.395,0,5,15.06,3.5,52.0
0.964,-167.871,16.348,16.348,0,5,15.06,3.6,56.0
1.014,-155.742,32.344,32.344,0,5,15.06,4.1,62.0
1.038,-151.523,36.035,36.035,0,5,15.06,3.3,50.0
