attempt,t,pend_deg,mode,pwm,v_bus
1,0.095,17.93,5,-59,0.000
1,0.394,-55.55,5,4,0.000
1,0.697,72.60,5,34,0.000
1,1.016,-82.97,5,-58,0.000
1,1.332,72.07,5,57,0.000
1,1.629,-73.30,5,-56,0.000
1,1.942,64.86,5,7,0.000
1,2.244,2.46,5,3,0.000
1,2.550,-33.75,5,-58,0.000
1,2.845,-18.11,5,59,0.000
1,3.173,67.50,5,21,0.000
1,3.480,-69.43,5,-54,0.000
1,3.770,83.14,5,59,0.000
1,4.085,-59.41,5,-55,0.000
1,4.384,37.44,5,59,0.000
1,4.697,35.86,5,43,0.000
1,5.029,-56.95,5,-57,0.000
1,5.334,53.44,5,59,0.000
1,5.641,-17.75,5,-57,0.000
1,5.918,28.83,5,9,0.000
1,6.191,-25.49,5,-57,0.000
1,6.443,-3.16,5,-46,0.000
1,6.738,53.09,5,59,0.000
1,7.051,-53.44,5,-56,0.000
1,7.354,39.38,5,59,0.000
1,7.669,18.63,5,-59,0.000
1,7.974,-35.51,5,-56,0.000
1,8.281,63.81,5,59,0.000
1,8.608,-34.28,5,-57,0.000
1,8.901,-4.92,5,18,0.000
1,9.199,51.68,5,36,0.000
1,9.513,-63.81,5,-55,0.000
1,9.836,67.15,5,59,0.000
1,10.139,-28.12,5,-57,0.000
1,10.425,-5.80,5,-41,0.000
1,10.740,56.95,5,59,0.000
1,11.048,-56.78,5,-56,0.000
1,11.360,46.93,5,59,0.000
1,11.671,15.64,5,-59,0.000
1,11.980,-45.18,5,-56,0.000
1,12.278,67.15,5,59,0.000
1,12.605,-38.32,5,-57,0.000
1,12.904,-0.18,5,10,0.000
1,13.201,47.64,5,35,0.000
1,13.517,-61.17,5,-55,0.000
1,13.807,69.96,5,59,0.000
1,14.122,-33.57,5,-57,0.000
1,14.426,-11.07,5,-49,0.000
1,14.732,57.30,5,59,0.000
1,15.065,-54.84,5,-56,0.000
1,15.350,48.87,5,59,0.000
1,15.651,-1.23,5,-59,0.000
1,15.985,-48.69,5,-56,0.000
1,16.264,66.27,5,59,0.000
1,16.588,-47.46,5,-56,0.000
1,16.883,24.26,5,59,0.000
1,17.231,57.30,5,59,0.000
1,17.500,-57.48,5,-56,0.000
1,17.803,68.38,5,59,0.000
1,18.116,-34.98,5,-57,0.000
1,18.422,-3.87,5,-18,0.000
1,18.723,54.32,5,59,0.000
1,19.071,-59.06,5,-56,0.000
1,19.367,43.77,5,59,0.000
1,19.650,-7.38,5,-58,0.000
1,19.946,-30.23,5,-57,0.000
1,20.276,65.74,5,59,0.000
1,20.586,-48.87,5,-56,0.000
1,20.870,37.09,5,59,0.000
1,21.185,30.41,5,-20,0.000
