attempt,t,pend_deg,mode,pwm,v_bus
1,0.055,25.49,5,-22,0.000
1,0.312,-76.11,5,21,0.000
1,0.549,92.64,5,-79,0.000
1,0.797,61.52,5,79,0.000
1,1.020,-119.18,5,-75,0.000
1,1.255,29.88,5,73,0.000
1,1.481,-57.66,5,-78,0.000
1,1.717,67.85,5,78,0.000
1,1.939,-44.65,5,-70,0.000
1,2.167,81.21,5,31,0.000
1,2.388,-39.90,5,-76,0.000
1,2.617,-17.93,5,-22,0.000
1,2.860,-47.81,5,39,0.000
1,3.101,13.18,5,-52,0.000
1,3.344,66.97,5,79,0.000
1,3.580,-11.78,5,-70,0.000
1,3.809,66.44,5,79,0.000
1,4.029,-46.58,5,-77,0.000
1,4.287,-22.32,5,78,0.000
1,4.523,-34.45,5,-78,0.000
1,4.743,115.49,5,79,0.000
1,4.971,-34.80,5,57,0.000
1,5.193,-9.32,5,48,0.000
1,5.422,42.89,5,36,0.000
1,5.668,-25.84,5,38,0.000
1,5.922,7.56,5,46,0.000
1,6.142,-5.62,5,39,0.000
1,6.374,15.29,5,36,0.000
1,6.598,-6.68,5,37,0.000
1,6.833,1.05,5,39,0.000
1,7.101,3.69,5,38,0.000
1,7.320,2.81,5,36,0.000
1,7.549,0.18,5,37,0.000
1,7.778,1.93,5,37,0.000
1,8.004,1.93,5,37,0.000
1,8.227,1.23,5,37,0.000
1,8.453,1.93,5,37,0.000
1,8.695,1.41,5,37,0.000
1,8.927,1.76,5,37,0.000
1,9.149,1.93,5,36,0.000
1,9.375,1.58,5,36,0.000
1,9.620,1.76,5,36,0.000
1,9.837,1.76,5,36,0.000
1,10.059,1.76,5,36,0.000
1,10.287,1.76,5,36,0.000
1,10.558,1.76,5,36,0.000
1,10.788,1.76,5,36,0.000
1,11.008,1.76,5,36,0.000
1,11.226,1.76,5,36,0.000
1,11.455,1.76,5,36,0.000
1,11.690,1.76,5,36,0.000
1,11.913,1.76,5,36,0.000
1,12.187,1.76,5,36,0.000
1,12.415,1.76,5,36,0.000
1,12.721,1.76,5,36,0.000
1,12.970,1.76,5,36,0.000
1,13.189,1.76,5,36,0.000
1,13.434,1.76,5,36,0.000
1,13.655,1.76,5,36,0.000
1,13.881,1.76,5,36,0.000
1,14.125,1.76,5,36,0.000
1,14.380,1.76,5,36,0.000
1,14.606,1.76,5,36,0.000
1,14.841,1.76,5,36,0.000
1,15.062,1.76,5,36,0.000
1,15.287,1.76,5,36,0.000
1,15.516,1.76,5,36,0.000
1,15.737,1.76,5,36,0.000
1,15.967,1.76,5,36,0.000
1,16.207,1.76,5,36,0.000
1,16.435,1.76,5,36,0.000
1,16.740,1.76,5,36,0.000
1,16.962,1.76,5,36,0.000
1,17.211,1.76,5,36,0.000
1,17.444,1.76,5,36,0.000
1,17.679,1.76,5,36,0.000
1,17.927,1.76,5,36,0.000
1,18.150,1.76,5,36,0.000
1,18.371,1.76,5,36,0.000
1,18.595,1.76,5,36,0.000
1,18.828,1.76,5,36,0.000
1,19.048,1.76,5,36,0.000
1,19.270,1.76,5,36,0.000
1,19.489,1.76,5,36,0.000
1,19.723,1.76,5,36,0.000
1,19.946,1.76,5,36,0.000
