attempt,t,pend_deg,mode,pwm,v_bus
1,0.096,-27.42,5,-21,14.860
1,0.340,52.91,5,21,14.724
1,0.570,-60.47,5,-54,14.920
1,0.823,77.87,5,-58,14.880
1,1.115,-104.41,5,-57,15.012
1,1.348,49.40,5,-59,14.872
1,1.643,65.57,5,59,14.736
1,1.876,-137.99,5,-15,15.020
1,2.165,32.52,5,-59,14.892
1,2.473,165.59,4,-24,15.016
1,2.758,41.84,4,-24,15.016
1,2.983,-158.38,4,61,14.716
1,3.211,34.98,4,18,15.016
1,3.471,82.62,4,36,14.988
1,3.805,-34.80,4,21,15.016
1,4.038,36.74,4,68,14.600
1,4.320,-66.27,4,53,14.808
1,4.611,80.16,4,41,14.956
1,4.848,-10.90,4,14,14.996
1,5.142,3.52,4,46,14.884
1,5.442,24.08,4,49,15.016
1,5.748,-16.88,4,16,15.020
1,6.032,-8.44,4,35,14.996
1,6.354,37.44,4,39,14.960
1,6.649,-7.38,4,15,15.016
1,6.962,-29.88,4,15,14.984
1,7.195,35.68,4,42,15.016
1,7.428,-34.98,4,15,14.992
1,7.802,-14.77,4,36,14.988
1,8.036,23.20,4,16,15.016
1,8.299,-33.75,4,14,15.020
1,8.621,20.04,4,39,14.960
1,8.850,-10.37,4,15,15.016
1,9.133,-14.77,4,36,14.988
1,9.380,30.06,4,17,14.952
1,9.726,-18.11,4,15,15.020
1,10.041,-18.46,4,35,14.996
1,10.342,37.09,4,40,14.952
1,10.645,-3.69,4,15,15.016
1,10.946,-30.41,4,14,15.000
1,11.289,14.06,4,38,14.976
1,11.574,24.61,4,39,15.016
1,11.815,-24.79,4,34,14.992
1,12.080,36.21,4,40,14.956
1,12.309,-31.99,4,14,15.016
1,12.569,31.82,4,40,14.956
1,12.910,29.88,4,17,15.020
1,13.151,-30.59,4,14,15.016
1,13.436,27.77,4,39,14.960
1,13.714,6.50,4,16,15.016
1,13.960,-17.05,4,35,15.000
1,14.223,32.87,4,40,15.012
1,14.464,-29.88,4,14,15.016
1,14.751,16.35,4,38,14.972
1,15.043,23.73,4,16,15.016
1,15.283,-25.66,4,14,15.016
1,15.541,32.52,4,39,14.964
1,15.873,9.84,4,16,15.016
1,16.099,-16.17,4,35,14.992
1,16.327,24.79,4,16,15.020
1,16.607,-27.25,4,14,15.020
1,16.899,9.32,4,37,14.984
1,17.225,31.11,4,39,14.960
1,17.498,-16.88,4,15,15.016
1,17.815,-22.15,4,34,15.004
1,18.132,21.62,4,38,14.972
1,18.428,21.27,4,16,15.016
1,18.744,-17.93,4,15,15.016
1,19.061,-18.46,4,35,14.992
1,19.360,24.96,4,39,14.964
1,19.658,11.07,4,16,15.012
1,19.895,-18.11,4,34,14.996
1,20.180,26.37,4,39,14.964
1,20.472,7.03,4,15,15.016
1,20.705,-13.01,4,35,14.996
1,21.011,25.66,4,39,14.964
1,21.297,4.92,4,15,15.008
1,21.595,-23.73,4,14,15.008
1,21.826,25.49,4,39,14.964
1,22.055,-16.00,4,14,15.020
1,22.314,0.53,4,36,14.988
1,22.664,20.57,4,38,14.972
1,22.929,3.34,4,15,15.016
1,23.246,-21.27,4,14,15.020
1,23.548,-4.22,4,36,14.976
1,23.861,23.38,4,38,14.972
1,24.172,13.01,4,16,15.016
1,24.435,-19.51,4,14,15.020
1,24.784,-15.64,4,14,15.016
1,25.019,22.85,4,38,14.964
1,25.281,-10.20,4,15,15.020
1,25.589,-17.23,4,14,15.016
1,25.818,22.32,4,38,14.960
1,26.079,-10.37,4,15,15.016
1,26.408,-18.11,4,14,15.016
1,26.722,-5.10,4,35,14.988
1,27.024,20.04,4,38,14.968
1,27.348,19.16,4,38,15.024
1,27.660,-5.80,4,15,15.008
1,27.959,-17.58,4,14,15.020
1,28.264,2.46,4,36,14.992
1,28.511,15.12,4,16,15.016
1,28.764,-14.59,4,14,15.020
1,29.006,9.67,4,37,14.980
1,29.233,5.98,4,15,15.020
1,29.493,-13.54,4,14,15.016
1,29.805,-0.18,4,36,14.992
2,0.086,3.52,5,-24,15.016
2,0.332,-34.28,5,-58,14.992
2,0.673,16.88,5,59,14.744
2,0.899,-44.30,5,-56,14.900
2,1.201,57.48,5,56,14.756
2,1.430,-113.91,5,-59,14.828
2,1.695,90.18,5,-40,15.008
2,2.023,26.54,5,59,14.764
2,2.254,-156.80,4,22,15.016
