t,th_deg,al_deg,pwm,i_ma,mode
0.0283,-21.97,-359.65,0,3.1,4
0.0934,-21.45,-0.7,-49,15.2,5
0.155,-17.58,-2.99,-49,15.2,5
0.2144,-8.61,-4.22,-49,14.5,5
0.2702,4.04,-8.61,-38,14.5,5
0.3417,18.81,-28.65,49,3.8,5
0.4159,16.88,-26.37,49,44.1,5
0.4838,17.75,-25.49,49,44.1,5
0.5415,17.4,-24.43,49,44.0,5
0.6185,16.7,-21.27,-26,4.3,5
0.6789,13.18,-15.12,-49,4.3,5
0.7607,9.84,-12.13,-37,16.6,5
0.8186,7.56,-10.9,39,3.4,5
0.9046,-1.05,-4.39,49,42.7,5
0.9597,-13.71,2.46,49,42.7,5
1.0161,-16.17,2.11,7,17.0,5
1.0816,-6.68,0.0,-49,17.0,5
1.1389,2.29,-5.98,-49,14.1,5
1.204,0.53,-4.39,-49,16.3,5
1.2669,-2.81,-0.35,-49,16.3,5
1.3322,-7.56,2.11,15,12.6,5
1.3862,-14.41,8.79,49,42.6,5
1.4391,-20.21,16.0,49,42.6,5
1.5082,-19.16,14.77,9,13.6,5
1.5668,-17.58,13.36,-49,13.6,5
1.6372,-10.55,8.44,-49,15.0,5
1.7024,-8.61,8.44,-49,15.1,5
1.7673,-8.79,8.44,-49,15.1,5
1.8332,-12.83,8.61,0,15.9,5
1.9045,-18.81,15.82,49,31.2,5
1.9993,-19.51,16.7,36,14.3,5
2.061,-17.93,14.59,-49,14.3,5
2.1221,-13.54,10.72,-49,15.2,5
2.1807,-6.68,10.72,-49,15.2,5
2.2422,-7.03,10.55,-49,15.1,5
2.2971,-8.61,10.55,-49,15.1,5
2.3589,-13.36,11.25,32,15.1,5
2.4447,-21.27,22.15,49,41.8,5
2.5513,-18.46,18.81,-36,7.8,5
2.6334,-12.83,14.06,-49,14.9,5
2.6939,-8.61,14.06,-49,14.9,5
2.7519,-8.26,14.24,-49,14.9,5
2.8139,-11.78,14.06,-21,15.2,5
2.8702,-15.82,16.17,36,15.2,5
2.9338,-21.45,24.43,49,38.5,5
2.9961,-20.57,26.02,31,7.1,5
3.0565,-19.69,25.14,-49,7.1,5
3.1128,-17.58,23.73,-49,15.4,5
3.169,-17.05,23.55,-49,15.4,5
3.2523,-15.12,22.5,-49,15.2,5
3.3222,-11.25,22.5,-21,15.1,5
3.3757,-9.49,22.68,49,15.1,5
3.4296,-15.12,22.68,49,43.5,5
3.4859,-21.97,25.66,25,4.6,5
3.5463,-15.47,16.88,-31,4.6,5
3.6119,-5.27,16.88,-49,14.3,5
3.6719,7.91,7.21,-49,14.3,5
3.7365,11.43,1.93,-49,14.2,5
3.8081,10.02,4.75,26,3.6,5
3.8731,7.56,7.73,49,3.6,5
3.9341,5.98,10.2,49,44.2,5
4.0135,-2.99,20.21,49,42.7,5
4.0833,-9.32,20.57,-49,42.7,5
4.1512,-5.8,20.57,-49,15.9,5
4.2287,2.29,20.04,-49,14.7,5
4.2862,5.8,17.75,-14,4.1,5
4.3487,4.04,19.69,49,4.1,5
4.4161,-0.18,22.68,49,43.7,5
4.4869,-7.03,25.31,49,43.7,5
4.5483,-18.28,32.34,-28,42.4,5
4.6274,-14.94,32.87,-49,14.5,5
4.6834,-5.45,32.34,-49,14.5,5
4.7521,12.66,16.88,-44,13.7,5
4.817,19.69,10.55,49,5.0,5
4.8724,16.52,13.18,49,5.0,5
4.9555,9.84,17.58,49,43.5,5
5.022,-0.35,25.14,49,43.0,5
5.0834,-7.56,27.42,-49,43.0,5
5.1445,-5.62,27.6,-49,16.0,5
5.211,2.99,25.49,-49,14.1,5
5.2762,7.03,23.91,-22,14.1,5
5.332,8.09,23.38,49,3.7,5
5.4064,3.87,27.25,49,43.1,5
5.4705,-6.5,33.22,49,43.1,5
5.5353,-18.63,40.6,-14,41.6,5
5.6244,-15.64,40.43,-49,14.9,5
5.6815,-8.79,39.55,-49,14.9,5
5.7401,-2.29,39.02,-49,13.9,5
5.8153,9.49,24.61,24,3.1,5
5.8895,18.46,14.94,49,44.7,5
5.9522,17.4,17.05,49,44.7,5
6.0157,15.64,20.92,49,44.2,5
6.0691,11.25,25.14,12,44.2,5
6.1479,9.84,26.19,-49,4.0,5
6.2064,15.82,23.38,-49,14.6,5
6.2698,23.91,18.81,9,14.6,5
6.3336,30.76,15.47,48,44.7,5
6.4152,28.3,21.09,49,40.9,5
6.4732,20.92,29.88,49,40.9,5
6.5511,1.23,52.03,17,42.3,5
6.6189,-9.49,66.97,-49,16.3,5
6.6866,-5.45,66.27,-49,16.3,5
6.7645,-3.87,66.09,-49,15.5,5
6.844,6.68,97.56,49,5.1,5
6.8945,39.55,169.98,-24,3.7,4
6.9547,58.18,228.69,-23,3.7,4
7.0216,60.65,248.38,-22,3.4,4
7.073,60.29,230.27,-22,3.4,4
7.1312,50.62,188.44,-23,3.4,4
7.2096,17.05,111.44,-24,4.0,4
7.2868,14.77,107.05,62,4.0,4
7.3532,13.18,107.05,63,85.7,4
7.4117,16.0,116.72,62,83.9,4
7.5058,43.95,146.25,42,64.2,4
7.5616,37.97,127.44,43,64.2,4
7.6388,28.65,109.86,48,26.3,4
7.7024,30.06,109.51,47,38.1,4
7.7748,34.1,114.08,-68,38.1,4
7.839,43.24,126.21,42,74.0,4
7.8915,43.24,114.78,42,23.1,4
7.9458,40.6,93.69,43,23.1,4
8.0116,36.21,59.59,43,24.9,4
8.0662,32.52,10.55,44,24.9,4
8.1238,36.39,-32.34,43,29.0,4
8.1842,35.68,-51.33,-67,29.0,4
8.24,33.57,-56.43,-68,41.7,4
8.2979,39.2,-64.69,43,31.5,4
8.3515,44.47,-71.19,-66,31.5,4
8.4121,50.27,-78.22,-65,32.9,4
8.4778,55.2,-82.09,-65,32.9,4
8.5391,62.75,-85.43,-63,58.6,4
8.6053,70.31,-87.89,-62,50.8,4
8.6698,76.47,-85.96,-61,50.8,4
8.7311,85.25,-86.84,-59,43.7,4
8.7954,94.92,-88.77,-57,36.0,4
8.8548,101.25,-90.18,-55,36.0,4
8.913,106.35,-90.35,-54,26.5,4
8.9672,109.86,-89.82,-53,26.5,4
9.0272,113.03,-88.59,-53,23.5,4
9.1077,115.14,-85.25,-52,22.5,4
9.1948,114.26,-78.75,-52,22.5,4
9.2676,111.62,-71.89,-53,23.9,4
9.3346,109.86,-67.68,-53,24.3,4
9.4014,108.63,-62.58,-54,24.3,4
9.4727,108.28,-60.29,-54,27.2,4
9.5416,108.11,-61.88,-54,26.9,4
9.5974,108.11,-64.69,-54,26.9,4
9.6616,108.11,-68.91,-54,27.2,4
9.7223,108.28,-69.08,-54,26.9,4
9.7805,108.81,-70.66,-54,26.9,4
9.8408,109.16,-73.83,-53,26.3,4
9.8974,108.98,-76.64,-53,24.3,4
9.96,109.51,-77.34,-53,24.3,4
10.0253,110.39,-78.05,-53,24.2,4
10.0856,111.44,-78.93,-53,24.2,4
10.1478,112.32,-78.05,-53,24.4,4
10.2053,112.32,-76.64,-53,24.3,4
10.2596,112.32,-73.83,-53,24.3,4
10.3137,111.8,-71.02,-53,25.0,4
10.3745,110.74,-68.91,-53,25.0,4
10.4485,110.04,-66.09,-53,24.6,4
10.5025,109.69,-64.69,-53,24.5,4
10.5552,109.69,-64.69,-53,24.5,4
10.6161,109.51,-64.34,-53,24.6,4
10.6738,109.51,-64.16,-53,24.6,4
10.7369,109.51,-61.88,-53,24.6,4
10.8129,108.81,-58.71,-54,24.6,4
10.8672,108.28,-56.78,-54,24.6,4
10.9291,107.75,-55.02,-54,27.0,4
10.9842,107.4,-52.91,-54,27.0,4
11.0432,106.52,-49.75,-54,27.1,4
11.112,106.35,-50.98,-54,27.1,4
11.1656,106.0,-51.5,-54,27.1,4
11.2354,106.0,-52.21,-54,27.0,4
11.2906,106.0,-52.03,-54,27.0,4
11.3503,105.82,-52.03,-54,27.1,4
11.4229,105.82,-52.03,-54,26.9,4
11.4745,105.64,-52.38,-54,26.9,4
11.5277,105.64,-52.38,-54,27.2,4
11.6119,105.64,-52.21,-54,27.1,4
11.6732,105.64,-52.56,-54,27.1,4
11.7435,105.64,-53.26,-54,26.9,4
11.827,105.64,-54.32,-54,27.0,4
11.887,105.64,-55.2,-54,27.0,4
11.9644,105.82,-57.66,-54,27.1,4
12.0296,106.17,-60.29,-54,26.4,4
12.0993,107.05,-65.74,-54,26.4,4
12.1528,106.88,-65.04,-54,27.0,4
12.2239,107.4,-65.39,-54,26.9,4
12.2864,107.4,-64.69,-54,26.9,4
12.3865,107.4,-63.46,-54,26.8,4
12.4431,107.4,-61.52,-54,26.9,4
12.513,107.4,-60.29,-54,27.0,4
12.5871,107.4,-59.59,-54,27.0,4
12.6459,107.4,-59.06,-54,26.9,4
12.7222,107.4,-58.18,-54,26.6,4
12.7965,107.23,-57.83,-54,26.6,4
12.8635,107.23,-57.3,-54,26.8,4
12.9415,107.23,-57.13,-54,26.9,4
12.9961,107.23,-57.13,-54,26.9,4
13.0519,107.23,-57.48,-54,27.3,4
13.1157,107.23,-58.36,-54,27.0,4
13.1859,107.05,-58.71,-54,27.0,4
13.2497,107.05,-58.18,-54,26.9,4
13.3265,107.05,-57.83,-54,27.0,4
13.4036,107.05,-58.89,-54,27.0,4
13.4646,107.05,-58.71,-54,27.0,4
13.5215,107.05,-59.06,-54,26.9,4
13.6393,107.05,-58.89,-54,26.8,4
13.6935,107.05,-58.71,-54,26.8,4
13.7493,107.05,-58.89,-54,27.0,4
13.8087,107.23,-59.94,-54,27.0,4
13.8728,107.4,-62.05,-54,27.0,4
13.9498,107.4,-62.05,-54,27.1,4
