t_s,mode,position_deg,setpoint_deg,pend_position_deg,pwm,v_bus,i_ma
0.0,0,-4.922,0.0,0.0,0,14.836,27.4
0.079,0,-4.922,0.0,0.0,0,14.836,26.6
0.156,0,-4.922,0.0,0.0,0,14.84,27.8
0.237,0,-4.922,0.0,0.0,0,14.84,27.5
0.31,0,-4.922,0.0,0.0,0,14.84,27.5
0.386,0,-4.922,0.0,0.0,0,14.84,26.9
0.457,0,-4.922,0.0,0.0,0,14.84,27.3
0.534,0,-4.922,0.0,0.0,0,14.836,27.5
0.663,0,-4.922,0.0,0.0,0,14.824,27.2
0.774,0,-4.922,0.0,0.0,0,14.836,26.3
0.87,0,-4.922,0.0,0.0,0,14.836,27.2
0.953,0,-4.922,0.0,0.0,0,14.836,27.5
1.029,0,-4.922,0.0,0.0,0,14.84,27.9
1.149,0,-4.922,0.0,0.0,0,14.832,28.3
1.236,0,-4.922,0.0,0.0,0,14.836,27.6
1.319,0,-4.922,0.0,0.0,0,14.836,26.7
1.423,0,-4.922,0.0,0.0,0,14.832,27.1
1.495,0,-4.922,0.0,0.0,0,14.836,27.8
1.615,0,-4.922,0.0,0.0,0,14.84,27.6
1.706,0,-4.922,0.0,0.0,0,14.844,27.4
1.82,0,-4.922,0.0,0.0,0,14.828,26.8
1.898,0,-4.922,0.0,0.0,0,14.828,26.8
1.969,0,-4.922,0.0,0.0,0,14.832,28.2
2.063,0,-4.922,0.0,0.0,0,14.836,28.2
2.149,0,-4.922,0.0,0.0,0,14.844,27.8
2.246,0,-4.922,0.0,0.0,0,14.836,27.5
2.349,0,-4.922,0.0,0.0,0,14.84,27.5
2.462,0,-4.922,0.0,0.0,0,14.84,27.5
2.563,0,-4.922,0.0,0.0,0,14.836,27.9
2.635,0,-4.922,0.0,0.0,0,14.84,27.4
2.711,0,-4.922,0.0,0.0,0,14.84,27.4
2.784,0,-4.922,0.0,0.0,0,14.84,23.6
2.874,0,-4.922,0.0,0.0,0,14.836,27.5
2.952,0,-4.922,0.0,0.0,0,14.84,27.8
3.057,0,-4.922,0.0,0.0,0,14.836,27.5
3.131,0,-4.922,0.0,0.0,0,14.836,27.8
3.226,0,-4.922,0.0,0.0,0,14.836,27.3
3.307,0,-4.922,0.0,0.0,0,14.84,27.5
3.393,0,-4.922,0.0,0.0,0,14.84,27.5
3.468,0,-4.922,0.0,0.0,0,14.836,28.2
3.549,0,-4.922,0.0,0.0,0,14.84,27.4
3.7,0,-4.922,0.0,0.0,0,14.84,27.8
3.805,0,-4.922,0.0,0.0,0,14.84,27.8
3.879,0,-4.922,0.0,0.0,0,14.828,28.4
3.953,0,-4.922,0.0,0.0,0,14.84,27.2
4.031,0,-4.922,0.0,0.0,0,14.84,27.3
4.105,0,-4.922,0.0,0.0,0,14.84,27.3
4.182,0,-4.922,0.0,0.0,0,14.824,21.8
4.259,0,-4.922,0.0,0.0,0,14.836,27.2
4.331,0,-4.922,0.0,0.0,0,14.84,27.3
4.407,0,-4.922,0.0,0.0,0,14.84,27.3
4.492,0,-4.922,0.0,0.0,0,14.84,26.9
4.583,0,-4.922,0.0,0.0,0,14.824,28.9
4.68,0,-4.922,0.0,0.0,0,14.824,27.9
4.763,0,-4.922,0.0,0.0,0,14.836,27.5
4.856,0,-4.922,0.0,0.0,0,14.84,27.4
4.963,0,-4.922,0.0,0.0,0,14.84,27.6
5.066,0,-4.922,0.0,0.0,0,14.836,27.7
5.157,0,-4.922,0.0,0.0,0,14.836,27.9
5.231,0,-4.922,0.0,0.0,0,14.84,27.3
5.309,0,-4.922,0.0,0.0,0,14.84,27.3
5.383,0,-4.922,0.0,0.0,0,14.836,26.2
5.461,0,-4.922,0.0,0.0,0,14.84,27.4
5.553,0,-4.922,0.0,0.0,0,14.836,27.5
5.645,0,-4.922,0.0,0.0,0,14.84,27.5
5.744,0,-4.922,0.0,0.0,0,14.832,27.8
5.819,0,-4.922,0.0,0.0,0,14.832,27.8
5.886,0,-4.922,0.0,0.0,0,14.836,26.8
5.983,0,-4.922,0.0,0.0,0,14.828,26.8
6.061,0,-4.922,0.0,0.0,0,14.84,27.6
6.139,0,-4.922,0.0,0.0,0,14.84,27.4
6.216,0,-4.922,0.0,0.0,0,14.836,27.7
6.311,0,-4.922,0.0,0.0,0,14.836,27.7
6.384,0,-4.922,0.0,0.0,0,14.808,29.4
6.481,0,-4.922,0.0,0.0,0,14.832,27.3
6.572,0,-4.922,0.0,0.0,0,14.828,26.3
6.653,0,-4.922,0.0,0.0,0,14.84,27.5
6.725,0,-4.922,0.0,0.0,0,14.832,27.4
6.811,0,-4.922,0.0,0.0,0,14.836,27.5
6.909,0,-4.922,0.0,0.0,0,14.836,27.5
6.989,0,-4.922,0.0,0.0,0,14.832,24.4
7.088,0,-4.922,0.0,0.0,0,14.836,27.5
7.172,0,-4.922,0.0,0.0,0,14.836,28.1
7.244,0,-4.922,0.0,0.0,0,14.836,27.6
7.322,0,-4.922,0.0,0.0,0,14.832,28.2
7.412,0,-4.922,0.0,0.0,0,14.84,27.4
7.527,0,-4.922,0.0,0.0,0,14.836,26.5
7.603,0,-4.922,0.0,0.0,0,14.836,26.5
7.698,0,-4.922,0.0,0.0,0,14.82,27.2
7.777,0,-4.922,0.0,0.0,0,14.836,26.7
7.858,0,-4.922,0.0,0.0,0,14.84,27.7
7.934,0,-4.922,0.0,0.0,0,14.836,27.5
