t_s,mode,alpha_deg,theta_deg,pwm,i_ma
0.0,5,7.383,4.746,59,95.0
0.2894,5,16.523,-46.934,56,89.9
0.6271,5,50.098,-61.875,21,51.2
1.0317,5,0.352,-4.57,59,95.2
1.1029,5,70.312,-23.906,59,92.2
1.2182,5,78.574,-30.234,58,93.0
1.3029,5,35.859,-27.422,-58,84.0
1.3697,5,-35.684,1.23,-59,84.0
1.4457,5,-86.309,12.48,-59,83.7
1.5173,5,-92.285,18.809,-59,86.6
1.609,5,-50.273,20.215,59,95.0
1.6749,5,19.336,-7.559,59,95.0
1.7348,5,76.992,-24.785,59,88.4
1.8046,5,108.633,-31.113,58,90.8
1.8823,5,98.965,-43.77,-57,90.8
1.9542,5,59.062,-45.879,-56,88.5
2.017,5,-17.051,-18.457,-59,75.4
2.0779,5,-87.363,-0.703,-59,75.4
2.1532,5,-119.18,2.109,-59,88.3
2.218,5,-119.883,9.316,-59,86.6
2.2788,5,-94.219,19.16,59,86.6
2.3407,5,-44.824,15.469,59,96.3
2.4146,5,58.359,-24.609,59,86.9
2.4763,5,126.387,-31.816,58,92.8
2.5868,5,132.539,-46.055,-57,90.8
2.6639,5,84.551,-61.172,-54,79.0
2.7661,5,4.043,-39.551,-57,79.0
2.8309,5,-75.762,-11.602,-59,81.0
2.8944,5,-121.992,-8.789,-59,81.0
2.9601,5,-142.734,-4.922,-59,87.4
3.0205,5,-134.473,11.074,59,83.7
3.0944,5,-102.48,25.312,59,83.7
3.1593,5,-32.344,18.984,59,97.1
3.2291,5,60.645,-17.227,59,84.6
3.2899,5,129.375,-21.973,59,99.7
3.3737,5,153.281,-27.246,58,99.7
3.4604,5,142.207,-51.68,-56,89.1
3.5493,5,-147.305,-13.887,-59,87.0
3.8744,5,-137.461,14.414,59,102.3
4.0605,5,8.438,-3.867,59,91.3
4.7561,5,10.898,-8.789,59,81.5
5.1131,4,112.676,-85.605,21,40.5
5.4242,4,33.926,-87.363,20,37.4
5.512,4,-67.148,-58.887,22,30.5
5.5729,4,-117.598,-65.391,22,30.5
5.6347,4,-145.723,-78.574,21,40.0
5.7185,4,-146.074,-85.957,59,81.4
5.7866,4,-120.938,-85.957,59,81.4
5.8754,0,-52.207,-97.207,0,98.4
