t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,81.562,-0.791,50
0.0814,5,91.758,-11.162,50
0.1612,5,98.965,-23.994,50
0.2239,5,95.801,-33.135,-49
0.3075,5,64.16,-28.916,-49
0.3942,5,52.031,-25.928,-50
0.504,5,75.762,-35.068,49
0.589,5,118.301,-55.811,39
0.6744,5,114.961,-56.338,37
0.7366,5,71.016,-37.178,-49
0.8301,5,36.387,-19.775,-50
0.9156,5,39.199,-15.732,50
0.9744,5,71.895,-24.17,50
1.0752,5,136.055,-48.252,48
1.1638,5,127.969,-49.482,-48
1.2484,5,74.707,-28.916,-49
1.3247,5,32.344,-12.217,-50
1.3896,5,17.578,-5.889,-50
1.4764,5,43.945,-7.646,50
1.5432,5,103.535,-32.256,49
1.613,5,149.766,-46.67,48
1.6873,4,152.227,-50.889,23
1.77,4,113.203,-45.439,23
1.8579,4,28.301,-19.775,24
1.9456,4,12.129,-23.115,24
2.0243,4,44.824,-38.584,24
2.112,4,116.719,-76.904,61
2.1977,4,146.777,-90.615,58
2.281,4,134.473,-94.131,57
2.3528,4,94.219,-87.451,58
2.4157,4,47.812,-79.717,60
2.4974,4,31.113,-92.549,57
2.5642,0,53.965,-117.51,0
