t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,-1.934,-6.855,-49
0.09,5,-9.141,2.285,-49
0.1767,5,-7.383,13.008,49
0.2775,5,13.008,7.734,49
0.3562,5,26.543,1.23,49
0.4281,5,22.852,-2.109,-49
0.4954,5,-11.953,8.613,-49
0.5862,5,-32.52,16.172,-49
0.647,5,-33.223,17.754,49
0.7199,5,3.516,1.758,49
0.8187,5,47.109,-22.5,49
0.9144,5,37.969,-26.543,-49
0.9887,5,-7.207,-12.48,-49
1.0658,5,-54.316,2.461,-49
1.1506,5,-49.57,3.164,49
1.2244,5,-13.359,-8.613,49
1.3032,5,50.449,-36.035,48
1.381,5,21.973,-34.453,-48
1.5625,5,16.523,-23.379,49
1.8924,5,75.762,-41.133,48
1.9652,5,79.805,-44.121,47
2.03,5,50.273,-42.012,-47
2.1019,5,-23.555,-11.777,-49
2.1717,5,-72.598,2.988,-49
2.2475,5,-88.066,7.559,-49
2.3103,5,-68.555,10.898,49
2.394,5,4.219,-12.129,49
2.4658,5,68.73,-33.926,48
2.5426,5,95.977,-38.32,48
2.6262,5,66.094,-42.539,-47
2.72,5,-5.801,-18.633,-49
2.7913,5,-74.707,2.988,-49
2.8551,5,-100.723,6.152,-49
2.9244,5,-93.164,11.074,49
2.9952,5,-59.414,10.371,49
3.0686,5,48.867,-30.762,48
3.16,5,101.426,-38.672,48
3.2318,5,109.512,-42.363,47
3.3136,5,78.926,-47.812,-47
3.3834,5,-8.789,-20.566,-49
3.4582,5,-72.773,-0.352,-49
3.5181,5,-107.578,2.461,-49
3.5814,5,-114.258,6.152,-49
3.6562,5,-75.937,12.48,49
3.7399,5,3.867,-12.832,49
3.8103,5,79.453,-36.738,48
3.8781,5,119.355,-39.375,48
3.9731,5,116.543,-45.879,-47
4.034,5,80.508,-50.801,-46
4.1058,5,-9.492,-22.148,-49
4.1966,5,-89.297,0.176,-50
4.2654,5,-123.574,1.934,-49
4.3382,5,-80.508,16.699,49
4.4973,5,42.891,-24.082,49
4.601,5,129.551,-33.047,48
4.7224,5,119.004,-45.0,-47
4.8122,5,70.84,-49.746,-47
4.9079,5,-75.234,-2.637,-49
5.0126,5,-133.945,-0.879,-49
5.1244,5,-123.926,9.668,49
5.2061,5,-80.156,16.348,49
5.2795,5,124.102,-34.629,48
5.7395,5,-86.484,-8.789,-49
5.8572,5,-137.109,-1.582,47
6.2202,5,120.41,-44.473,47
6.295,5,142.207,-48.691,47
6.3888,5,124.277,-62.227,-45
6.472,5,58.887,-65.039,-45
6.5548,5,-46.582,-22.852,-49
6.6435,5,-129.023,-14.766,-49
6.7501,5,-137.285,-4.219,-49
6.838,5,-98.789,9.844,49
6.9302,5,-23.379,-1.758,49
7.0009,5,69.434,-35.859,48
7.0702,5,129.727,-36.738,48
7.1512,5,145.371,-39.902,48
7.2399,5,117.949,-56.777,-46
7.3237,5,51.855,-55.371,-46
7.4114,5,-46.406,-14.941,-49
7.4743,5,-116.895,-6.504,-49
7.58,5,-143.086,-3.867,-49
7.6538,5,-125.508,11.25,49
7.7286,5,-76.465,17.578,49
7.8074,5,16.699,-14.59,49
7.8772,5,91.934,-33.574,48
7.9441,5,141.855,-34.102,48
8.0363,5,143.086,-43.594,47
8.1071,5,117.422,-57.832,-46
8.1739,5,66.973,-60.996,-45
8.2444,5,-25.312,-26.895,-48
8.3117,5,-114.258,-12.48,-49
8.4064,5,-141.504,-13.359,-49
8.4679,5,-141.504,-5.449,-49
8.5353,5,-107.578,9.141,49
8.619,5,-41.836,4.219,49
8.6958,5,72.773,-37.969,48
8.7826,5,129.727,-39.023,48
8.8544,5,146.602,-40.957,48
8.9232,5,137.461,-53.437,-46
9.003,5,95.273,-63.984,-45
9.0833,5,-42.363,-18.984,-49
9.1882,5,-115.84,-8.613,-49
9.2806,5,-142.207,-7.031,-49
9.3584,5,-129.727,8.613,49
9.4342,5,135.879,-51.152,-46
9.8515,5,104.238,-61.348,-45
9.9213,5,34.277,-52.91,-46
10.0091,5,-91.934,-10.723,-49
10.0959,5,-139.395,-10.723,-49
10.2076,5,-135.0,1.934,49
10.2774,5,-104.238,11.953,49
10.3442,5,-19.336,-2.461,49
10.43,5,82.09,-37.969,48
10.5146,5,138.34,-38.496,48
10.6283,5,136.582,-53.262,-46
10.7211,5,98.437,-63.809,-45
10.785,5,26.543,-50.801,-46
10.8553,5,-78.398,-11.602,-49
10.9449,5,-129.023,-10.02,-49
11.0282,5,-142.383,-3.691,-49
11.0975,5,-114.961,11.426,49
11.1812,5,-52.031,10.547,49
11.2591,5,57.48,-31.816,48
11.3578,5,126.211,-36.738,48
11.4341,5,144.844,-43.945,47
11.5269,5,124.277,-57.832,-46
11.5927,5,84.902,-63.984,-45
11.6565,5,3.164,-40.957,-47
11.7273,5,-79.805,-13.535,-49
11.7941,5,-135.879,-13.184,-49
11.8849,5,-141.328,-5.273,-49
11.9811,5,-101.953,9.668,49
12.06,5,-26.016,-2.461,49
12.1631,5,113.203,-42.187,47
12.2585,5,145.195,-43.594,47
12.3452,5,139.57,-53.965,-46
12.4408,5,85.605,-67.852,-44
12.5156,5,-38.496,-26.016,-49
12.6074,5,-107.051,-15.293,-49
12.6882,5,-143.965,-12.832,-49
12.8069,5,-122.695,2.988,49
12.889,5,-65.215,6.328,49
12.9597,5,18.281,-26.016,49
13.0195,5,100.371,-45.0,47
13.1093,5,140.801,-45.176,47
13.2009,5,134.297,-60.117,-45
13.2847,5,100.371,-68.906,-44
13.3525,5,41.484,-61.172,-45
13.4144,5,-91.582,-14.414,-49
13.7901,5,-11.953,-6.68,49
13.8884,5,98.965,-39.375,48
13.9523,5,136.582,-38.672,48
14.0216,5,142.559,-48.34,-47
14.1044,5,122.871,-59.414,-46
14.1652,5,45.352,-58.008,-46
14.3029,5,-140.449,-10.723,-49
14.5085,5,-91.406,13.008,49
14.6418,5,11.953,-16.172,49
14.7236,5,94.043,-36.738,48
14.7924,5,130.957,-36.035,48
14.8623,5,146.074,-40.254,48
14.9265,5,128.32,-55.02,-46
15.0073,5,57.656,-59.062,-45
15.104,5,-31.641,-23.027,-49
15.1669,5,-98.789,-10.02,-49
15.2386,5,-137.109,-10.547,-49
15.3086,5,-138.516,-0.879,49
15.3913,5,-103.008,11.602,49
15.4761,5,-41.836,5.098,49
15.5429,5,73.828,-38.496,48
15.6337,5,134.824,-40.605,48
15.7274,5,145.547,-46.23,47
15.7913,5,130.43,-59.59,-45
15.8541,5,82.266,-68.906,-44
15.9316,5,-7.734,-41.133,-46
16.0139,5,-91.582,-18.457,-49
16.0804,5,-133.77,-19.512,-49
16.1728,5,-141.328,-11.777,-49
16.2386,5,-116.895,0.703,49
16.3203,5,-56.777,1.406,49
16.3822,5,50.977,-40.254,48
16.457,5,116.719,-46.406,47
16.5558,5,145.547,-47.109,47
16.6355,5,132.539,-61.172,-46
16.7283,5,76.992,-68.379,-44
16.7983,5,-16.348,-34.629,-48
16.8741,5,-98.086,-13.711,-49
16.9469,5,-134.473,-13.359,-49
17.0157,5,-142.031,-6.328,-49
17.0855,5,-119.883,6.504,49
17.1674,5,-69.785,9.316,49
17.2301,5,20.742,-25.137,49
17.295,5,91.406,-43.066,47
17.3638,5,130.254,-43.594,47
17.4243,5,144.668,-47.285,47
17.4852,5,131.66,-61.348,-45
17.5695,5,82.266,-71.191,-44
17.6463,5,-2.461,-45.527,-47
17.7221,5,-90.352,-20.039,-49
17.7957,5,-135.352,-20.742,-49
17.8669,5,-142.031,-14.238,-49
17.9868,5,-92.109,1.23,49
18.0592,5,-7.383,-21.27,49
18.1326,5,76.289,-51.504,46
18.2034,5,129.023,-53.262,46
18.2792,5,143.613,-55.898,46
18.3464,5,120.234,-71.543,-44
18.4382,5,69.609,-73.477,-43
18.523,5,-29.18,-34.629,-48
18.6516,5,-137.461,-18.105,-49
18.7351,5,-139.395,-10.371,-49
18.7969,5,-117.422,2.285,49
18.8717,5,73.125,-40.781,48
19.0917,5,145.02,-46.582,47
19.2054,5,128.496,-59.062,-46
19.2692,5,73.301,-65.918,-45
19.3534,5,-13.359,-35.508,-48
19.4193,5,-95.273,-14.941,-49
19.5018,5,-135.0,-15.82,-49
19.5702,5,-141.68,-9.492,-49
19.6575,5,-94.57,6.855,49
19.7562,5,18.281,-27.07,49
19.8569,5,112.148,-46.23,47
19.9457,5,143.789,-46.934,47
20.0323,5,135.879,-60.293,-45
20.1076,5,97.383,-70.488,-44
20.183,5,-31.992,-30.059,-48
20.2958,5,-108.809,-16.348,-49
20.3677,5,-139.395,-15.996,-49
20.449,5,-137.461,-5.801,49
20.5223,5,-105.117,6.504,49
20.5922,5,-7.031,-13.184,49
20.6861,5,77.52,-42.363,47
20.7503,5,134.824,-43.418,47
20.8551,5,143.965,-50.977,47
20.9268,5,119.18,-65.918,-45
20.9957,5,62.227,-68.203,-44
21.0725,5,-50.977,-25.312,-49
21.1523,5,-108.633,-18.984,-49
21.2181,5,-137.461,-19.863,-49
21.2824,5,-140.625,-12.129,-49
21.3722,5,-106.172,1.582,49
21.439,5,-48.867,-2.461,50
21.5051,5,85.254,-49.57,47
21.6122,5,130.254,-49.922,47
21.692,5,145.02,-54.668,46
21.7778,5,123.926,-68.203,-44
21.8426,5,80.508,-71.895,-44
21.9084,5,2.637,-46.758,-47
21.9822,5,-101.25,-15.645,-49
22.0685,5,-140.098,-13.535,-49
22.1561,5,-132.539,-0.879,49
22.2366,5,-100.723,8.438,49
22.3249,5,3.691,-17.754,49
22.3972,5,96.504,-43.594,47
22.4789,5,134.297,-43.594,47
22.548,5,143.965,-49.746,47
22.8704,5,-124.102,-20.566,-49
23.2759,5,107.93,-57.129,46
23.3466,5,139.57,-57.656,46
23.4234,5,139.922,-64.863,-45
23.4923,5,117.07,-74.355,-44
23.5571,5,67.676,-73.652,-43
23.6304,5,-45.352,-26.895,-48
23.7122,5,-103.008,-16.172,-49
23.772,5,-133.594,-14.414,-49
23.8414,5,-135.703,-3.691,-49
23.9172,5,-108.984,8.965,49
23.9851,5,-40.781,5.625,49
24.0599,5,49.043,-30.234,48
24.1209,5,104.062,-36.563,48
24.1847,5,138.34,-35.508,48
24.2615,5,140.449,-45.527,-47
24.3343,5,117.773,-56.426,-46
24.3942,5,75.762,-59.59,-45
24.4565,5,-31.992,-21.27,-49
24.5408,5,-98.262,-8.789,-49
24.6016,5,-135.176,-9.844,-49
24.6894,5,-138.164,-1.582,49
24.7592,5,-115.84,7.383,49
24.8211,5,-62.754,6.855,49
24.8939,5,34.277,-33.574,48
24.9767,5,120.586,-47.988,47
25.0764,5,143.613,-52.207,46
25.1433,5,132.187,-64.687,-45
25.226,5,85.781,-73.652,-44
25.2986,5,2.637,-49.219,-46
25.3734,5,-91.055,-19.863,-49
25.4462,5,-128.145,-19.512,-49
25.506,5,-141.855,-16.172,-49
25.5718,5,-130.254,-4.922,49
25.6397,5,-92.285,3.867,49
25.7045,5,-3.516,-18.984,49
25.7869,5,85.781,-47.285,47
25.8547,5,125.684,-47.637,47
25.9156,5,144.141,-51.68,46
26.0002,5,130.781,-62.93,-45
26.0626,5,93.34,-70.312,-44
26.1324,5,18.809,-53.437,-46
26.2022,5,-69.609,-18.809,-49
26.2915,5,-128.672,-15.645,-49
26.3544,5,-141.504,-12.129,-49
26.4192,5,-128.848,-0.527,49
26.492,5,-77.168,6.855,49
26.5834,5,16.699,-26.191,49
26.6462,5,90.176,-45.703,47
26.7131,5,130.957,-45.879,47
26.7859,5,143.613,-52.031,46
26.8676,5,117.773,-66.973,-45
26.9415,5,39.727,-61.875,-45
27.0371,5,-72.773,-18.809,-49
27.1289,5,-130.078,-16.523,-49
27.2107,5,-141.504,-11.426,-49
27.2785,5,-118.477,2.813,49
27.3553,5,-72.949,6.855,49
27.4281,5,26.719,-29.004,49
27.5024,5,98.965,-43.594,47
27.5702,5,143.965,-44.648,47
27.6769,5,119.355,-65.215,-45
27.7847,5,44.297,-63.633,-45
27.8913,5,-89.473,-19.336,-49
28.0788,5,-126.211,-4.922,49
28.2785,5,72.773,-53.262,46
28.389,5,117.422,-56.25,46
28.4678,5,143.437,-59.941,45
28.5482,5,125.156,-72.422,-44
28.6293,5,83.672,-76.465,-43
28.6946,5,-38.32,-31.113,-48
28.7933,5,-101.602,-18.457,-49
28.8671,5,-140.098,-14.238,-49
28.9649,5,-127.617,-0.703,49
29.0316,5,-93.691,7.91,49
29.0985,5,-20.039,-6.152,49
29.1802,5,92.109,-41.484,47
29.2559,5,129.727,-40.957,47
29.3238,5,144.492,-45.703,47
29.3946,5,126.387,-59.59,-45
