time_s;mode;position_deg;setpoint_deg;pend_position_deg;pwm;voltage_v;current_mA;power_mW
0.1;0;0;0;0;0;;26.8;404
0.2;0;0;0;0;0;;27;404
0.3;0;0;0;0;0;;27.1;406
0.4;0;0;0;0;0;;27.2;406
0.5;0;0;0;0;0;;27.1;406
0.6;0;0;0;0;0;;27;404
0.7;0;0;0;0;0;;27;404
0.8;0;0;0;0;0;;27.2;406
0.9;0;0;0;0;0;;27.2;406
1.0;0;0;0;0;0;;27;404
1.1;0;0;0;0;0;;27;404
1.2;0;0;0;0;0;;26.7;400
1.3;0;0;0;0;0;;26.9;404
1.5;0;0;0;0;0;;27;404
1.5;0;0;0;0;0;;27.2;406
1.7;0;0;0;0;0;;26.9;404
1.9;0;0;0;0;0;;27.5;412
2.0;0;0;0;0;0;;27.2;406
2.0;0;0;0;0;0;;27.2;406
2.1;0;0;0;0;0;;24.9;374
2.1;0;0;0;0;0;;27.1;406
2.2;0;0;0;0;0;;27.2;406
2.4;0;0;0;0;0;;27.1;406
2.5;0;0;0;0;0;;25.3;380
2.5;0;0;0;0;0;;27.2;406
2.6;0;0;0;0;0;;27.3;410
2.7;0;0;0;0;0;;27.4;410
2.9;0;0;0;0;0;;27.1;406
2.9;0;0;0;0;0;;27.2;406
3.0;0;0;0;0;0;;26.9;404
3.1;0;0;0;0;0;;27.1;406
3.2;0;0;0;0;0;;27.1;406
3.4;0;0;0;0;0;;27;404
3.4;0;0;0;0;0;;27;404
3.5;0;0;0;0;0;;27.3;410
3.6;0;0;0;0;0;;27.2;406
3.7;0;0;0;0;0;;27.2;406
3.8;0;0;0;0;0;;27.4;410
3.9;0;0;0;0;0;;27;404
4.0;0;0;0;0;0;;26.9;404
4.1;0;0;0;0;0;;26.9;404
4.2;0;0;0;0;0;;27;404
4.3;0;0;0;0;0;;27.4;410
4.4;0;0;0;0;0;;27.2;406
4.5;0;0;0;0;0;;27;404
4.6;0;0;0;0;0;;26.9;404
4.7;0;0;0;0;0;;27.1;406
4.8;5;-4.922;0;-4.922;50;;73.1;1082
4.9;5;-16.348;0;-10.547;-70;;108.9;1600
5.0;5;-8.789;0;12.305;-50;;66.9;992
5.1;5;0.352;0;24.434;50;;75.7;1120
5.2;5;-14.238;0;-9.844;50;;71.5;1058
5.3;5;-28.828;0;-34.629;50;;74.6;1104
5.4;5;-16.348;0;-1.055;-50;;64.5;956
5.5;5;5.977;0;43.418;-50;;67.5;1002
5.6;5;5.449;0;28.125;50;;72.8;1078
5.7;5;-24.609;0;-37.617;50;;72;1068
5.8;5;-33.75;0;-52.383;-50;;69.2;1026
5.9;5;-12.48;0;4.746;-50;;64.2;954
6.1;5;10.195;0;60.645;-50;;63.4;940
6.2;5;10.547;0;47.285;50;;73.3;1084
6.2;5;-26.895;0;-34.629;50;;70.3;1042
6.3;5;-41.484;0;-71.016;50;;74;1094
6.5;5;-36.387;0;-35.859;-50;;65;964
6.6;5;2.988;0;54.492;-50;;66.1;980
6.6;5;12.305;0;79.805;70;;117.7;1724
6.8;5;2.813;0;32.52;50;;69.8;1036
7.0;5;-38.496;0;-62.227;50;;72.5;1074
7.1;5;-47.285;0;-85.43;-50;;70.3;1042
7.2;5;-38.672;0;-36.211;-50;;64.2;954
7.3;5;4.57;0;65.039;-50;;65.8;976
7.4;5;12.656;0;94.395;50;;75.6;1120
7.5;5;9.668;0;53.789;50;;71.7;1062
7.5;5;-36.211;0;-54.316;50;;70.7;1048
7.6;5;-45.879;0;-99.141;-50;;69.6;1032
7.7;5;-46.758;0;-74.883;-50;;68.4;1016
7.7;5;-6.68;0;29.355;-50;;61.6;914
7.9;5;10.195;0;99.141;50;;75.7;1120
8.0;5;11.777;0;99.141;-50;;68.5;1016
8.0;5;-0.527;0;26.543;50;;68.5;1016
8.1;5;-41.133;0;-81.738;50;;73.6;1092
8.2;5;-42.715;0;-113.027;-50;;70;1038
8.3;5;-43.418;0;-78.398;-50;;68.2;1012
8.4;5;-0.879;0;36.211;-50;;62.7;930
8.5;5;11.777;0;109.16;50;;75.4;1118
8.6;5;9.316;0;116.367;-50;;69.2;1026
8.7;5;5.977;0;57.832;50;;72;1068
8.8;5;-43.418;0;-66.094;50;;72.4;1072
8.9;5;-46.934;0;-121.289;-50;;68.3;1012
9.0;5;-45.176;0;-116.016;50;;74.6;1104
9.1;5;-39.023;0;-44.824;-50;;64.8;964
9.2;5;8.086;0;80.156;-50;;67.2;996
9.3;5;6.504;0;131.836;50;;74.5;1104
9.5;5;4.746;0;127.441;-50;;68;1010
9.5;5;6.152;0;59.941;50;;72.8;1078
9.6;5;-41.484;0;-71.719;50;;72.7;1078
9.7;5;-38.848;0;-134.824;-50;;67.3;1000
9.8;5;-28.828;0;-148.887;50;;76.3;1130
9.9;5;-32.168;0;-111.797;50;;74.4;1102
10.1;5;-9.141;0;-4.57;-50;;60.3;894
10.2;5;19.687;0;108.809;50;;77.7;1150
10.3;5;3.691;0;158.555;50;;73.8;1094
10.4;4;6.328;0;157.5;-100;;180.8;2598
10.4;4;28.477;0;100.195;-90;;156.8;2274
10.5;4;10.547;0;-22.324;0;;27.2;406
10.7;4;7.031;0;-119.355;100;;204.3;2920
10.8;4;-5.801;0;-139.922;100;;193.9;2778
10.8;4;-47.637;0;-77.871;100;;193.6;2776
11.0;4;-62.402;0;50.273;-100;;196.2;2812
11.0;4;-93.516;0;133.594;-100;;194.1;2778
11.1;4;-94.57;0;132.715;-100;;183.2;2634
11.4;4;-69.609;0;51.328;-100;;186.7;2680
11.4;4;-66.797;0;-77.168;100;;208.5;2976
11.5;4;-42.187;0;-135.352;100;;216.6;3084
11.5;4;-50.098;0;-114.961;100;;197.5;2828
