t_ms,mode,pwm,servo_count,servo_deg,setpoint_deg,error_deg,gain_mode,pend_count,pend_deg,v_bus,i_ma,p_mw
0,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.672,23.6,344.0
163,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.672,27.3,400.0
289,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.672,27.6,406.0
413,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.68,26.6,390.0
536,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.676,26.8,394.0
661,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.672,27.7,406.0
793,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.672,25.6,376.0
963,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.68,26.4,386.0
1121,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.672,28.0,410.0
1258,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.66,28.7,420.0
1411,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.68,28.5,420.0
1544,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.672,27.0,396.0
1668,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.676,27.3,400.0
1789,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.676,28.4,416.0
1955,2,0,-248,0.0,0.0,0.0,0,1,0.176,14.676,26.5,390.0
2095,2,-99,-224,4.219,45.0,40.781,0,25,4.395,14.076,173.7,2444.0
2267,2,-28,-77,30.059,45.0,14.941,0,95,16.699,14.612,40.4,590.0
2399,2,-36,-79,29.707,45.0,15.293,0,-104,-18.281,14.572,51.3,748.0
2532,2,0,7,44.824,45.0,0.176,0,-63,-11.074,14.636,26.7,390.0
2666,2,0,26,48.164,45.0,-3.164,0,28,4.922,14.672,25.9,380.0
2792,2,-47,-71,31.113,45.0,13.887,0,-28,-4.922,14.528,55.5,802.0
2923,2,-37,-71,31.113,45.0,13.887,0,52,9.141,14.428,47.9,692.0
3126,2,-33,-73,30.762,45.0,14.238,0,-6,-1.055,14.576,49.4,720.0
3291,2,-15,-39,36.738,45.0,8.262,0,-21,-3.691,14.528,31.9,466.0
3441,2,-20,-36,37.266,45.0,7.734,0,-14,-2.461,14.64,35.1,498.0
3606,2,-28,-48,35.156,45.0,9.844,0,8,1.406,14.604,44.0,642.0
3742,2,-34,-63,32.52,45.0,12.48,0,13,2.285,14.58,49.2,718.0
3871,2,-34,-63,32.52,45.0,12.48,0,8,1.406,14.584,48.1,702.0
3993,2,-29,-55,33.926,45.0,11.074,0,-7,-1.23,14.528,51.4,750.0
4155,2,-27,-49,34.98,45.0,10.02,0,-7,-1.23,14.62,42.2,616.0
4281,2,-29,-49,34.98,45.0,10.02,0,-2,-0.352,14.604,45.0,658.0
4404,2,-29,-49,34.98,45.0,10.02,0,5,0.879,14.608,44.1,646.0
4529,2,-30,-50,34.805,45.0,10.195,0,2,0.352,14.588,45.4,662.0
4678,2,-29,-49,34.98,45.0,10.02,0,-4,-0.703,14.592,47.4,692.0
4839,2,-31,-49,34.98,45.0,10.02,0,-2,-0.352,14.592,45.0,656.0
4970,2,-31,-49,34.98,45.0,10.02,0,3,0.527,14.596,45.6,666.0
5095,2,-32,-49,34.98,45.0,10.02,0,2,0.352,14.584,47.2,688.0
5221,2,-32,-49,34.98,45.0,10.02,0,-3,-0.527,14.592,46.0,672.0
5361,2,-32,-48,35.156,45.0,9.844,0,-2,-0.352,14.564,50.9,740.0
5539,2,-33,-47,35.332,45.0,9.668,0,1,0.176,14.58,49.7,692.0
5665,2,-33,-47,35.332,45.0,9.668,0,1,0.176,14.548,28.2,406.0
5793,2,-34,-47,35.332,45.0,9.668,0,0,0.0,14.58,49.3,694.0
5927,2,-34,-46,35.508,45.0,9.492,0,-1,-0.176,14.576,49.6,724.0
6059,2,-34,-45,35.684,45.0,9.316,0,0,0.0,14.584,49.1,714.0
6178,2,-34,-44,35.859,45.0,9.141,0,1,0.176,14.584,45.8,666.0
6303,2,-34,-44,35.859,45.0,9.141,0,0,0.0,14.588,49.6,692.0
6437,2,-34,-43,36.035,45.0,8.965,0,-1,-0.176,14.576,48.0,702.0
6577,2,-34,-43,36.035,45.0,8.965,0,0,0.0,14.58,48.7,712.0
6705,2,-35,-43,36.035,45.0,8.965,0,0,0.0,14.576,49.6,724.0
6827,2,-34,-42,36.211,45.0,8.789,0,0,0.0,14.58,47.7,694.0
6955,2,-36,-42,36.211,45.0,8.789,0,0,0.0,14.572,51.6,754.0
7075,2,-36,-41,36.387,45.0,8.613,0,0,0.0,14.572,51.3,748.0
7222,2,-36,-40,36.563,45.0,8.438,0,0,0.0,14.588,50.6,738.0
7349,2,-36,-39,36.738,45.0,8.262,0,0,0.0,14.572,49.9,728.0
7490,2,-36,-39,36.738,45.0,8.262,0,0,0.0,14.576,49.3,718.0
7628,2,-36,-38,36.914,45.0,8.086,0,0,0.0,14.572,49.1,714.0
7754,2,-36,-37,37.09,45.0,7.91,0,0,0.0,14.576,49.4,720.0
7904,2,-36,-36,37.266,45.0,7.734,0,0,0.0,14.58,51.2,748.0
8037,2,89,-92,27.422,-45.0,-72.422,0,-56,-9.844,14.164,154.8,2192.0
8231,2,40,-351,-18.105,-45.0,-26.895,0,-199,-34.98,14.56,56.9,830.0
8369,2,27,-439,-33.574,-45.0,-11.426,0,153,26.895,14.592,44.9,656.0
8527,2,-37,-561,-55.02,-45.0,10.02,0,181,31.816,14.568,51.1,744.0
8689,2,-39,-652,-71.016,-45.0,26.016,0,-88,-15.469,14.568,53.2,776.0
8821,2,70,-414,-29.18,-45.0,-15.82,0,74,13.008,14.308,116.7,1672.0
9009,2,27,-426,-31.289,-45.0,-13.711,0,-86,-15.117,14.608,42.9,626.0
9129,2,59,-395,-25.84,-45.0,-19.16,0,-65,-11.426,14.412,89.8,1294.0
9261,2,31,-413,-29.004,-45.0,-15.996,0,22,3.867,14.58,48.9,714.0
9391,2,5,-476,-40.078,-45.0,-4.922,0,38,6.68,14.668,27.8,406.0
9538,2,11,-482,-41.133,-45.0,-3.867,0,26,4.57,14.636,31.0,456.0
9724,2,33,-440,-33.75,-45.0,-11.25,0,-2,-0.352,14.536,43.5,632.0
9859,2,42,-417,-29.707,-45.0,-15.293,0,-27,-4.746,14.532,60.9,884.0
10055,2,40,-419,-30.059,-45.0,-14.941,0,2,0.352,14.556,56.0,816.0
10186,2,28,-438,-33.398,-45.0,-11.602,0,20,3.516,14.596,45.4,662.0
10340,2,26,-452,-35.859,-45.0,-9.141,0,13,2.285,14.584,47.6,694.0
10489,2,32,-444,-34.453,-45.0,-10.547,0,0,0.0,14.584,48.1,702.0
10636,2,36,-436,-33.047,-45.0,-11.953,0,-5,-0.879,14.584,51.2,748.0
10767,2,35,-435,-32.871,-45.0,-12.129,0,0,0.0,14.564,50.8,740.0
10906,2,33,-441,-33.926,-45.0,-11.074,0,7,1.23,14.572,49.8,728.0
11120,2,34,-442,-34.102,-45.0,-10.898,0,3,0.527,14.568,32.6,472.0
11321,2,35,-442,-34.102,-45.0,-10.898,0,1,0.176,14.456,41.1,594.0
