t_ms,mode,pwm,servo_count,servo_deg,setpoint_deg,error_deg,gain_mode,pend_count,pend_deg,v_bus,i_ma,p_mw
0,2,-13,0,1.934,0.0,-1.934,0,-4,-0.703,14.688,27.8,410.0
302,2,-11,4,2.637,0.0,-2.637,0,0,0.0,14.68,24.4,358.0
422,2,-11,4,2.637,0.0,-2.637,0,0,0.0,14.68,28.9,422.0
557,2,-11,4,2.637,0.0,-2.637,0,-1,-0.176,14.68,27.4,404.0
679,2,-11,4,2.637,0.0,-2.637,0,-1,-0.176,14.684,27.5,404.0
806,2,-11,4,2.637,0.0,-2.637,0,0,0.0,14.676,27.4,404.0
998,2,-10,4,2.637,0.0,-2.637,0,0,0.0,14.684,26.4,386.0
1137,2,-10,4,2.637,0.0,-2.637,0,0,0.0,14.676,27.2,400.0
1365,2,-10,4,2.637,0.0,-2.637,0,0,0.0,14.68,27.0,396.0
1497,2,-10,4,2.637,0.0,-2.637,0,0,0.0,14.688,28.2,412.0
1629,2,-9,4,2.637,0.0,-2.637,0,0,0.0,14.676,28.7,422.0
1754,2,-9,4,2.637,0.0,-2.637,0,0,0.0,14.68,27.2,400.0
1881,2,-9,4,2.637,0.0,-2.637,0,0,0.0,14.68,27.2,400.0
2006,2,-67,35,8.086,30.0,21.914,0,31,5.449,14.364,100.8,1448.0
2178,2,-30,123,23.555,30.0,6.445,0,55,9.668,14.604,45.6,666.0
2307,2,-30,125,23.906,30.0,6.094,0,-82,-14.414,14.6,47.1,688.0
2433,2,13,204,37.793,30.0,-7.793,0,-13,-2.285,14.676,27.7,406.0
2586,2,-12,191,35.508,30.0,-5.508,0,9,1.582,14.68,27.7,406.0
2723,2,-31,132,25.137,30.0,4.863,0,-24,-4.219,14.612,46.4,678.0
2860,2,-29,136,25.84,30.0,4.16,0,35,6.152,14.608,45.4,662.0
3061,2,-33,125,23.906,30.0,6.094,0,-1,-0.176,14.6,47.4,692.0
3194,2,-20,148,27.949,30.0,2.051,0,-14,-2.461,14.652,33.5,492.0
3332,2,-17,156,29.355,30.0,0.645,0,-14,-2.461,14.656,31.3,458.0
3483,2,-21,154,29.004,30.0,0.996,0,0,0.0,14.648,35.6,522.0
3603,2,-26,147,27.773,30.0,2.227,0,7,1.23,14.64,40.3,590.0
3729,2,-26,143,27.07,30.0,2.93,0,3,0.527,14.628,42.5,622.0
3870,2,-26,143,27.07,30.0,2.93,0,-5,-0.879,14.624,41.1,600.0
3994,2,-24,147,27.773,30.0,2.227,0,-4,-0.703,14.64,39.6,580.0
4144,2,-24,147,27.773,30.0,2.227,0,-1,-0.176,14.636,38.2,560.0
4275,2,-24,147,27.773,30.0,2.227,0,1,0.176,14.472,39.5,574.0
4417,2,-25,147,27.773,30.0,2.227,0,-2,-0.352,14.64,40.2,590.0
4584,2,-25,147,27.773,30.0,2.227,0,-4,-0.703,14.632,38.9,570.0
4711,2,-25,147,27.773,30.0,2.227,0,-1,-0.176,14.628,41.5,606.0
4848,2,-25,147,27.773,30.0,2.227,0,0,0.0,14.624,41.6,610.0
4976,2,-25,147,27.773,30.0,2.227,0,-2,-0.352,14.632,40.5,594.0
5134,2,-25,147,27.773,30.0,2.227,0,-4,-0.703,14.628,41.3,602.0
5260,2,-26,147,27.773,30.0,2.227,0,-2,-0.352,14.624,41.3,602.0
5387,2,-26,147,27.773,30.0,2.227,0,0,0.0,14.628,41.6,610.0
5514,2,-26,147,27.773,30.0,2.227,0,-1,-0.176,14.628,42.9,630.0
5660,2,-26,147,27.773,30.0,2.227,0,-3,-0.527,14.624,41.0,600.0
5810,2,-26,148,27.949,30.0,2.051,0,-1,-0.176,14.632,41.9,612.0
5957,2,-26,148,27.949,30.0,2.051,0,-2,-0.352,14.62,41.5,606.0
6145,2,-25,149,28.125,30.0,1.875,0,-2,-0.352,14.628,40.3,590.0
6300,2,-26,149,28.125,30.0,1.875,0,-2,-0.352,14.612,42.3,600.0
6462,2,-26,149,28.125,30.0,1.875,0,-1,-0.176,14.62,40.7,596.0
6582,2,-26,149,28.125,30.0,1.875,0,-1,-0.176,14.628,41.0,600.0
6703,2,-26,149,28.125,30.0,1.875,0,-2,-0.352,14.616,42.9,626.0
6863,2,-26,149,28.125,30.0,1.875,0,-2,-0.352,14.616,41.4,606.0
6996,2,-26,149,28.125,30.0,1.875,0,-2,-0.352,14.62,41.5,606.0
7116,2,-26,149,28.125,30.0,1.875,0,-1,-0.176,14.616,42.1,616.0
7243,2,-26,149,28.125,30.0,1.875,0,-2,-0.352,14.624,42.7,626.0
7363,2,-27,149,28.125,30.0,1.875,0,-2,-0.352,14.616,42.1,616.0
7489,2,-27,149,28.125,30.0,1.875,0,-2,-0.352,14.616,43.2,632.0
7625,2,-27,149,28.125,30.0,1.875,0,-2,-0.352,14.616,42.3,620.0
7743,2,-27,149,28.125,30.0,1.875,0,-2,-0.352,14.612,42.9,622.0
7894,2,-27,149,28.125,30.0,1.875,0,-2,-0.352,14.616,42.3,620.0
8016,2,89,148,27.949,-30.0,-57.949,0,-2,-0.352,14.152,156.9,2218.0
8194,2,28,-15,-0.703,-30.0,-29.297,0,-140,-24.609,14.592,47.1,688.0
8316,2,40,-71,-10.547,-30.0,-19.453,0,46,8.086,14.552,57.4,836.0
8463,2,-25,-151,-24.609,-30.0,-5.391,0,130,22.852,14.644,38.7,566.0
8614,2,-40,-244,-40.957,-30.0,10.957,0,-42,-7.383,14.572,55.0,802.0
8758,2,44,-104,-16.348,-30.0,-13.652,0,59,10.371,14.54,61.6,894.0
8924,2,29,-84,-12.832,-30.0,-17.168,0,-39,-6.855,14.608,45.5,666.0
9044,2,49,-58,-8.262,-30.0,-21.738,0,-64,-11.25,14.5,70.6,1022.0
9175,2,40,-59,-8.438,-30.0,-21.562,0,-6,-1.055,14.556,57.6,838.0
9303,2,9,-108,-17.051,-30.0,-12.949,0,32,5.625,14.68,29.2,430.0
9457,2,3,-131,-21.094,-30.0,-8.906,0,22,3.867,14.676,26.8,394.0
9599,2,20,-115,-18.281,-30.0,-11.719,0,6,1.055,14.652,34.6,508.0
9734,2,32,-90,-13.887,-30.0,-16.113,0,-7,-1.23,14.6,49.7,728.0
9858,2,35,-81,-12.305,-30.0,-17.695,0,-20,-3.516,14.584,50.5,738.0
10052,2,32,-85,-13.008,-30.0,-16.992,0,5,0.879,14.588,49.6,724.0
10181,2,24,-102,-15.996,-30.0,-14.004,0,11,1.934,14.628,41.1,580.0
10326,2,24,-106,-16.699,-30.0,-13.301,0,7,1.23,14.544,49.0,714.0
10477,2,27,-104,-16.348,-30.0,-13.652,0,-3,-0.527,14.608,44.2,646.0
10618,2,30,-100,-15.645,-30.0,-14.355,0,-3,-0.527,14.6,47.5,694.0
10780,2,31,-100,-15.645,-30.0,-14.355,0,2,0.352,14.604,47.4,692.0
10945,2,31,-102,-15.996,-30.0,-14.004,0,3,0.527,14.6,47.2,688.0
11081,2,31,-103,-16.172,-30.0,-13.828,0,1,0.176,14.592,48.7,712.0
11221,2,32,-103,-16.172,-30.0,-13.828,0,-1,-0.176,14.592,49.0,714.0
