sp,attempt,t,servo_deg,pend_deg,mode,pwm,v_bus
45,1,0.100,-8.79,-4.04,5,-44,15.024
45,1,0.181,-5.80,5.80,5,-44,15.036
45,1,0.284,-2.46,11.95,5,37,15.048
45,1,0.370,-16.88,-10.72,5,44,14.972
45,1,0.446,-30.23,-23.91,5,-44,14.980
45,1,0.519,-31.64,-12.30,5,-43,15.044
45,1,0.594,-21.45,17.93,5,-44,15.040
45,1,0.702,-16.88,32.52,5,-44,14.980
45,1,0.781,-36.56,-3.87,5,-43,14.988
45,1,0.853,-51.50,-31.11,5,-31,15.056
45,1,0.924,-49.57,-26.02,5,-42,15.048
45,1,1.001,-32.52,6.50,5,-43,14.984
45,1,1.078,-16.70,35.86,5,44,15.036
45,1,1.161,-15.82,28.65,5,44,14.968
45,1,1.242,-39.02,-20.74,5,43,14.984
45,1,1.321,-49.04,-43.77,5,-42,15.056
45,1,1.400,-41.66,-25.66,5,-43,15.048
45,1,1.476,-16.35,23.55,5,-44,15.044
45,1,1.555,-4.75,47.28,5,-44,15.040
45,1,1.635,-6.33,33.40,5,44,14.972
45,1,1.716,-31.46,-20.39,5,43,14.972
45,1,1.803,-46.58,-55.37,5,-42,15.056
45,1,1.896,-42.72,-37.79,5,-16,15.048
45,1,1.999,-7.03,44.65,5,44,15.044
45,1,2.079,-2.11,58.01,5,44,14.972
45,1,2.175,-18.98,12.66,5,44,14.976
45,1,2.269,-50.45,-51.33,5,13,15.052
45,1,2.355,-54.14,-59.06,5,-39,15.048
45,1,2.460,-29.71,2.29,5,-43,15.048
45,1,2.545,-6.50,59.94,5,-44,15.040
45,1,2.625,-3.52,61.35,5,44,14.964
45,1,2.724,-29.36,-4.39,5,-44,14.984
45,1,2.798,-51.68,-58.01,5,-42,15.056
45,1,2.903,-52.03,-60.29,5,-42,15.044
45,1,2.992,-31.82,-9.67,5,-43,15.048
45,1,3.069,-2.29,57.13,5,44,15.040
45,1,3.156,2.99,68.91,5,44,14.964
45,1,3.255,-14.41,13.01,5,-44,14.976
45,1,3.336,-45.88,-56.07,5,25,15.048
45,1,3.456,-50.10,-66.44,5,-42,15.044
45,1,3.542,-27.25,-4.04,5,-44,15.048
45,1,3.642,0.53,68.38,5,-44,15.040
45,1,3.734,3.34,70.84,5,-44,14.964
45,1,3.867,-9.67,25.66,5,44,14.980
45,1,3.949,-52.56,-78.05,5,-42,15.056
45,1,4.024,-52.91,-74.36,5,-42,15.044
45,1,4.101,-37.97,-23.91,5,-43,15.048
45,1,4.192,-4.04,53.26,5,-44,15.044
45,1,4.278,3.16,81.91,5,44,14.968
45,1,4.353,1.05,59.77,5,44,14.968
45,1,4.435,-31.64,-14.24,5,43,14.988
45,1,4.512,-53.44,-72.42,5,4,15.052
45,1,4.596,-55.90,-82.97,5,-41,15.048
45,1,4.668,-49.75,-49.04,5,-42,15.048
45,1,4.758,-12.83,34.45,5,44,15.048
45,1,4.850,-0.70,82.97,5,-44,15.040
45,1,4.948,0.53,74.18,5,44,14.964
45,1,5.036,-32.52,-9.84,5,43,14.984
45,1,5.109,-56.78,-75.23,5,-4,15.056
45,1,5.179,-58.71,-87.54,5,-41,15.048
45,1,5.253,-55.72,-64.51,5,-41,15.048
45,1,5.333,-25.49,9.67,5,-44,15.048
45,1,5.413,-3.52,74.71,5,44,15.040
45,1,5.517,0.70,85.61,5,-42,14.964
45,1,5.609,-8.79,36.56,5,-44,14.976
45,1,5.697,-52.03,-63.81,5,-42,15.056
45,1,5.773,-55.72,-90.00,5,-41,15.056
45,1,5.864,-52.73,-68.91,5,-42,15.044
45,1,5.953,-16.70,18.28,5,-44,15.044
45,1,6.042,2.81,81.56,5,-44,15.044
45,1,6.126,6.86,87.89,5,44,14.956
45,1,6.199,2.11,50.27,5,44,14.968
45,1,6.280,-37.09,-35.33,5,43,14.992
45,1,6.381,-51.68,-93.34,5,9,15.056
45,1,6.455,-52.38,-87.19,5,-42,15.044
45,1,6.536,-43.24,-41.31,5,32,15.048
45,1,6.608,-4.92,46.41,5,-44,15.044
45,1,6.689,3.34,88.77,5,-44,15.032
45,1,6.766,5.98,91.06,5,-44,14.964
45,1,6.852,-3.52,39.73,5,44,14.976
45,1,6.925,-44.65,-48.16,5,29,15.040
45,1,7.016,-53.97,-91.58,5,-41,15.056
45,1,7.088,-55.02,-93.16,5,-41,15.044
45,1,7.159,-49.57,-55.20,5,-42,15.048
45,1,7.249,-12.30,30.41,5,-44,15.044
45,1,7.324,2.11,91.41,5,44,15.040
45,1,7.403,4.92,96.50,5,44,14.964
45,1,7.475,2.11,62.75,5,44,14.968
45,1,7.578,-41.13,-34.98,5,42,14.992
45,1,7.667,-55.90,-98.09,5,-1,15.056
45,1,7.744,-56.60,-96.86,5,-41,15.044
