attempt,t,pend_deg,mode,pwm,v_bus
1,0.128,34.28,5,-19,0.000
1,0.444,-78.57,5,-76,0.000
1,0.743,128.67,4,-24,0.000
1,1.078,-114.26,4,-24,0.000
1,1.359,33.75,4,-62,0.000
1,1.664,-69.26,4,55,0.000
2,0.037,-9.67,5,79,0.000
2,0.464,21.80,5,37,0.000
2,0.708,35.51,5,36,0.000
2,0.929,-48.69,5,42,0.000
2,1.158,18.46,5,51,0.000
2,1.391,-23.91,5,38,0.000
2,1.634,37.97,5,36,0.000
2,1.869,-26.37,5,38,0.000
2,2.090,8.61,5,45,0.000
2,2.329,-3.87,5,38,0.000
2,2.563,16.88,5,36,0.000
2,2.809,-8.09,5,38,0.000
2,3.109,-3.87,5,38,0.000
2,3.337,8.61,5,37,0.000
2,3.583,-0.35,5,36,0.000
2,3.814,1.58,5,37,0.000
2,4.073,1.41,5,37,0.000
2,4.298,2.99,5,36,0.000
2,4.553,0.53,5,37,0.000
2,4.781,2.46,5,36,0.000
2,5.002,1.58,5,36,0.000
2,5.230,1.05,5,37,0.000
2,5.459,2.64,5,36,0.000
2,5.691,0.88,5,36,0.000
2,5.915,2.11,5,36,0.000
2,6.186,1.41,5,36,0.000
2,6.443,1.76,5,36,0.000
2,6.709,1.76,5,36,0.000
2,6.935,1.23,5,36,0.000
2,7.169,2.29,5,36,0.000
2,7.417,1.23,5,36,0.000
2,7.720,2.11,5,36,0.000
2,7.943,1.41,5,36,0.000
2,8.182,1.76,5,36,0.000
2,8.409,1.76,5,36,0.000
2,8.643,1.58,5,36,0.000
2,8.874,1.93,5,36,0.000
2,9.115,1.58,5,36,0.000
2,9.338,1.76,5,36,0.000
2,9.564,1.76,5,36,0.000
2,9.781,1.58,5,36,0.000
2,10.002,1.76,5,36,0.000
2,10.230,1.76,5,36,0.000
2,10.458,1.76,5,36,0.000
2,10.706,1.76,5,36,0.000
2,10.938,1.76,5,36,0.000
2,11.160,1.76,5,36,0.000
2,11.390,1.76,5,36,0.000
2,11.614,1.58,5,36,0.000
2,11.861,1.76,5,36,0.000
2,12.090,1.76,5,36,0.000
2,12.314,1.58,5,36,0.000
2,12.535,1.76,5,36,0.000
2,12.757,1.76,5,36,0.000
2,12.981,1.76,5,36,0.000
2,13.210,1.76,5,36,0.000
2,13.443,1.76,5,36,0.000
2,13.687,1.76,5,36,0.000
2,13.913,1.76,5,36,0.000
2,14.138,1.76,5,36,0.000
2,14.374,1.76,5,36,0.000
2,14.611,1.76,5,36,0.000
2,14.879,1.76,5,36,0.000
2,15.097,1.76,5,36,0.000
2,15.318,1.76,5,36,0.000
2,15.542,1.76,5,36,0.000
2,15.765,1.76,5,36,0.000
2,15.994,1.76,5,36,0.000
2,16.231,1.76,5,36,0.000
2,16.531,1.76,5,36,0.000
2,16.769,1.76,5,36,0.000
2,16.995,1.76,5,36,0.000
2,17.217,1.76,5,36,0.000
2,17.438,1.76,5,36,0.000
2,17.659,1.58,5,36,0.000
2,17.883,1.76,5,36,0.000
2,18.138,1.76,5,36,0.000
2,18.361,48.16,5,46,0.000
2,18.579,-16.00,5,57,0.000
2,18.818,-12.83,5,-42,0.000
2,19.054,-43.42,5,75,0.000
2,19.289,29.88,5,-79,0.000
2,19.515,9.49,5,31,0.000
2,19.775,-20.04,5,-79,0.000
2,20.022,-28.65,5,49,0.000
2,20.252,8.79,5,-78,0.000
2,20.476,85.25,5,77,0.000
2,20.699,-123.40,4,-75,0.000
2,20.934,-120.59,4,22,0.000
2,21.168,106.70,4,-60,0.000
2,21.403,92.46,4,69,0.000
2,21.627,-133.07,4,54,0.000
2,21.851,-74.00,4,52,0.000
3,0.030,14.77,5,-20,0.000
3,0.263,21.97,5,-7,0.000
3,0.493,1.41,5,34,0.000
3,0.752,28.83,5,-42,0.000
3,0.998,2.64,5,9,0.000
3,1.219,30.06,5,-21,0.000
3,1.449,-15.12,5,33,0.000
3,1.685,78.93,5,-26,0.000
3,1.915,-76.64,5,76,0.000
3,2.134,-11.78,5,-79,0.000
3,2.364,162.60,4,-23,0.000
3,2.604,35.33,4,-23,0.000
4,0.044,4.75,5,-79,0.000
4,0.293,-44.82,5,79,0.000
4,0.512,-34.80,5,-76,0.000
4,0.736,127.97,4,-24,0.000
4,0.960,-40.78,4,-24,0.000
5,0.028,-25.49,5,37,0.000
5,0.261,63.81,5,-79,0.000
5,0.488,-41.84,5,79,0.000
5,0.715,-112.15,4,23,0.000
5,0.949,105.29,4,24,0.000
5,1.170,58.89,4,65,0.000
6,0.024,2.81,5,-79,0.000
6,0.256,-30.23,5,79,0.000
6,0.479,-46.76,5,-75,0.000
6,0.719,122.69,4,-24,0.000
6,0.968,-79.98,4,-24,0.000
6,1.192,-76.82,4,-68,0.000
6,1.420,18.46,4,43,0.000
6,1.639,-66.80,4,54,0.000
6,1.862,50.98,4,38,0.000
6,2.091,79.45,4,38,0.000
6,2.316,-72.77,4,42,0.000
6,2.540,33.22,4,58,0.000
6,2.768,-42.89,4,41,0.000
6,3.022,48.69,4,42,0.000
6,3.247,-3.16,4,38,0.000
6,3.479,-0.18,4,43,0.000
6,3.739,-8.79,4,38,0.000
6,3.979,18.81,4,37,0.000
6,4.206,-10.55,4,37,0.000
6,4.444,3.87,4,40,0.000
6,4.676,1.05,4,37,0.000
6,4.899,6.68,4,37,0.000
6,5.135,-2.81,4,38,0.000
6,5.371,0.88,4,38,0.000
6,5.599,4.39,4,37,0.000
6,5.832,0.53,4,37,0.000
6,6.070,1.76,4,37,0.000
6,6.301,2.46,4,37,0.000
6,6.532,0.88,4,37,0.000
6,6.765,2.29,4,37,0.000
6,7.022,1.41,4,37,0.000
6,7.254,1.58,4,37,0.000
6,7.488,2.11,4,37,0.000
6,7.762,1.23,4,37,0.000
6,7.992,2.29,4,37,0.000
6,8.219,1.23,4,37,0.000
6,8.442,1.93,4,37,0.000
6,8.667,1.76,4,37,0.000
6,8.893,1.41,4,37,0.000
6,9.115,1.93,4,37,0.000
6,9.334,1.41,4,37,0.000
6,9.606,1.76,4,37,0.000
6,9.828,1.76,4,37,0.000
6,10.079,1.58,4,37,0.000
6,10.298,1.76,4,37,0.000
6,10.531,1.58,4,37,0.000
6,10.767,1.76,4,37,0.000
6,10.994,1.76,4,37,0.000
6,11.250,1.58,4,37,0.000
6,11.485,1.76,4,37,0.000
6,11.714,1.58,4,37,0.000
6,11.936,1.76,4,37,0.000
6,12.159,1.76,4,37,0.000
6,12.388,1.76,4,37,0.000
6,12.642,4.57,4,41,0.000
6,12.883,-2.46,4,48,0.000
6,13.117,5.10,4,54,0.000
6,13.344,-10.37,4,58,0.000
6,13.593,13.54,4,57,0.000
6,13.818,-2.46,4,58,0.000
6,14.050,-4.75,4,59,0.000
6,14.273,13.01,4,60,0.000
6,14.535,-2.46,4,-8,0.000
6,14.757,0.88,4,63,0.000
6,14.977,6.86,4,62,0.000
6,15.251,-3.34,4,61,0.000
6,15.491,2.64,4,61,0.000
6,15.724,-8.96,4,59,0.000
6,15.948,7.38,4,51,0.000
6,16.195,11.95,4,47,0.000
6,16.413,14.24,4,46,0.000
6,16.641,-6.68,4,46,0.000
6,16.876,1.05,4,45,0.000
6,17.098,11.95,4,45,0.000
6,17.325,-12.13,4,45,0.000
6,17.550,12.83,4,45,0.000
6,17.790,-3.87,4,45,0.000
6,18.016,-0.18,4,45,0.000
6,18.238,10.02,4,45,0.000
6,18.458,-4.57,0,0,0.000
6,18.676,7.38,0,0,0.000
6,18.899,-1.58,0,0,0.000
6,19.122,1.23,0,0,0.000
6,19.348,2.29,0,0,0.000
6,19.567,-1.76,0,0,0.000
6,19.789,3.52,0,0,0.000
6,20.061,-1.93,0,0,0.000
6,20.295,1.93,0,0,0.000
6,20.590,0.70,0,0,0.000
6,20.850,0.88,0,0,0.000
6,21.122,0.70,0,0,0.000
6,21.384,1.05,0,0,0.000
6,21.610,0.70,0,0,0.000
6,21.839,1.05,0,0,0.000
6,22.074,0.88,0,0,0.000
6,22.336,0.88,0,0,0.000
6,22.557,0.88,0,0,0.000
6,22.774,0.88,0,0,0.000
6,22.992,0.88,0,0,0.000
6,23.239,0.88,0,0,0.000
6,23.492,1.05,0,0,0.000
6,23.738,0.88,0,0,0.000
6,23.956,0.88,0,0,0.000
6,24.179,0.88,0,0,0.000
6,24.410,0.88,0,0,0.000
6,24.646,0.88,0,0,0.000
6,24.884,0.88,0,0,0.000
6,25.133,0.70,0,0,0.000
6,25.356,0.70,0,0,0.000
6,25.599,0.88,0,0,0.000
6,25.852,0.70,0,0,0.000
6,26.100,0.88,0,0,0.000
6,26.333,0.88,0,0,0.000
6,26.553,0.88,0,0,0.000
6,26.774,0.88,0,0,0.000
6,26.995,0.88,0,0,0.000
6,27.221,0.88,0,0,0.000
6,27.439,0.88,0,0,0.000
6,27.660,0.88,0,0,0.000
6,27.911,0.88,0,0,0.000
6,28.133,0.70,0,0,0.000
6,28.359,0.70,0,0,0.000
