sp,attempt,t,pend_deg,mode,pwm,v_bus
60,1,0.087,2.11,5,59,14.732
60,1,0.309,-26.37,5,-57,14.864
60,1,0.537,56.78,5,59,14.736
60,1,0.808,-66.27,5,-56,14.896
60,1,1.050,87.54,5,-48,14.952
60,1,1.313,-96.86,5,59,14.732
60,1,1.624,74.36,5,-59,14.852
60,1,1.861,111.97,5,59,14.720
60,1,2.151,-136.76,5,-53,15.016
60,1,2.442,-16.88,5,-57,14.916
60,1,2.751,145.72,5,54,14.788
60,1,3.067,-83.32,5,-51,14.928
60,1,3.370,-77.34,5,-39,15.012
60,1,3.594,137.28,5,-47,14.976
60,1,3.882,-49.40,5,-50,14.960
60,1,4.115,-88.42,5,-59,14.860
60,1,4.360,30.06,5,58,14.784
60,1,4.617,-53.79,5,-45,14.988
60,1,4.845,83.67,5,-44,14.976
60,1,5.106,-60.47,5,-37,15.000
60,1,5.429,71.54,5,-56,14.912
60,1,5.651,-67.15,5,25,15.016
60,1,5.882,36.03,5,-17,15.016
60,1,6.235,-94.57,5,51,14.760
60,1,6.458,51.68,5,-57,14.888
60,1,6.693,86.13,5,54,14.776
60,1,6.954,-95.27,5,-48,14.944
60,1,7.267,107.75,5,54,15.016
60,1,7.571,-112.68,5,58,14.748
60,1,7.905,91.41,5,-55,14.888
60,1,8.196,58.01,5,58,14.744
60,1,8.484,-120.41,5,-55,14.912
60,1,8.711,85.61,5,28,15.016
60,1,8.941,119.36,5,57,14.752
60,1,9.207,-120.41,5,-47,14.972
60,1,9.509,25.49,5,-45,15.004
60,1,9.740,132.54,5,-48,14.976
60,1,9.994,-96.33,5,-50,14.964
60,1,10.238,-8.96,5,-59,14.908
60,1,10.464,-0.18,5,59,14.780
60,1,10.740,-13.71,5,-42,15.004
60,1,10.971,72.25,5,-41,15.004
60,1,11.198,-63.98,5,-33,15.000
60,1,11.437,62.58,5,-47,14.988
60,1,11.664,-27.77,5,-51,14.948
60,1,11.891,-4.39,5,59,14.892
60,1,12.123,-52.91,5,12,14.740
60,1,12.368,15.29,5,59,14.872
60,1,12.606,51.68,5,59,14.716
60,1,12.836,-110.04,5,-53,14.920
60,1,13.076,76.47,5,-59,14.860
60,1,13.304,89.65,5,59,14.716
60,1,13.536,-137.28,5,-55,15.016
60,1,13.818,-122.69,4,20,15.016
60,1,14.048,108.81,4,-43,14.996
60,1,14.319,91.76,4,66,14.632
60,1,14.548,-130.08,4,40,14.960
60,1,14.787,-134.65,4,36,14.976
60,1,15.038,106.88,4,49,14.844
60,1,15.261,100.72,4,44,14.916
60,1,15.484,-24.61,4,18,15.016
