t_s,mode,position_deg,setpoint_deg,pend_position_deg,pwm,v_bus,i_ma
0.0,1,2.461,0.0,1.582,59,14.824,26.7
0.073,1,-3.691,0.0,6.152,59,14.824,26.7
0.156,1,-22.148,0.0,17.051,59,14.56,93.5
0.231,1,-38.848,0.0,17.93,59,14.548,91.0
0.303,1,-55.898,0.0,10.195,59,14.58,89.9
0.375,1,-74.707,0.0,-1.23,59,14.572,87.5
0.456,0,-101.953,0.0,-10.898,0,14.572,87.5
0.536,0,-119.18,0.0,-18.809,0,14.828,26.9
0.612,0,-129.375,0.0,-7.031,0,14.828,27.1
0.685,0,-128.496,0.0,2.109,0,14.832,27.8
0.769,0,-114.082,0.0,-4.746,0,14.832,27.8
0.845,0,-96.328,0.0,-10.898,0,14.828,26.9
0.934,0,-86.836,0.0,-4.57,0,14.804,29.5
1.009,0,-79.805,0.0,7.031,0,14.832,27.7
1.088,0,-70.312,0.0,11.074,0,14.828,27.6
1.162,0,-57.305,0.0,4.219,0,14.828,27.6
1.236,0,-44.121,0.0,-5.273,0,14.832,26.4
1.33,0,-38.496,0.0,-3.34,0,14.828,28.2
1.412,0,-38.496,0.0,5.625,0,14.832,28.0
1.484,0,-35.859,0.0,8.086,0,14.828,27.2
0.0,0,-30.059,0.0,-4.922,0,14.84,27.4
0.125,0,-33.75,0.0,-2.109,0,14.84,27.4
0.23,0,-40.957,0.0,5.098,0,14.828,28.0
0.333,0,-41.484,0.0,1.055,0,14.828,28.0
0.408,0,-41.836,0.0,-4.219,0,14.832,26.7
0.5,0,-45.352,0.0,-3.34,0,14.804,30.9
0.59,0,-49.043,0.0,0.879,0,14.82,28.3
0.675,0,-50.449,0.0,1.758,0,14.824,27.8
0.777,0,-49.395,0.0,-2.285,0,14.832,27.8
0.889,0,-49.922,0.0,-2.285,0,14.816,27.3
0.983,0,-50.449,0.0,-0.527,0,14.824,27.8
0.0,0,-50.098,0.0,0.703,0,14.832,27.8
0.085,0,-49.395,0.0,0.352,0,14.832,27.8
0.181,0,-49.219,0.0,-0.352,0,14.832,27.4
0.28,0,-49.219,0.0,-0.703,0,14.832,27.6
0.375,0,-49.219,0.0,-0.879,0,14.828,27.9
0.46,0,-49.219,0.0,-0.527,0,14.828,27.5
0.542,0,-49.219,0.0,-0.176,0,14.828,27.5
0.618,0,-49.219,0.0,0.0,0,14.828,27.5
0.716,0,-49.219,0.0,-0.176,0,14.828,26.3
0.836,0,-49.219,0.0,-0.527,0,14.824,26.5
0.906,0,-49.219,0.0,-0.703,0,14.824,26.6
0.986,0,-49.219,0.0,-0.703,0,14.832,27.9
1.057,0,-49.219,0.0,-0.352,0,14.824,27.9
1.137,0,-49.219,0.0,0.0,0,14.828,27.6
1.232,0,-49.219,0.0,0.0,0,14.828,27.6
1.316,0,-49.219,0.0,-0.176,0,14.828,27.6
1.387,0,-49.219,0.0,-0.703,0,14.832,27.8
0.0,0,-49.219,0.0,-0.703,0,14.82,28.2
0.08,0,-49.219,0.0,-0.352,0,14.82,28.2
0.175,0,-49.219,0.0,0.0,0,14.832,26.8
0.262,0,-49.219,0.0,0.0,0,14.828,27.0
0.345,0,-49.219,0.0,-0.352,0,14.828,27.4
0.414,0,-49.219,0.0,-0.527,0,14.828,27.8
0.504,0,-49.219,0.0,-0.527,0,14.828,26.5
0.591,0,-49.219,0.0,-0.527,0,14.828,26.5
0.669,0,-49.219,0.0,-0.352,0,14.828,26.2
0.75,0,-49.219,0.0,-0.176,0,14.832,27.4
0.82,0,-49.219,0.0,-0.176,0,14.824,27.9
0.892,0,-49.219,0.0,-0.176,0,14.824,27.9
0.963,0,-49.219,0.0,-0.352,0,14.824,22.8
