t_s,mode,position_deg,setpoint_deg,pend_position_deg,pwm,v_bus,i_ma
0.0,5,3.516,0.0,0.0,49,14.772,27.5
0.087,5,7.559,0.0,-5.449,-49,14.612,67.2
0.191,5,14.414,0.0,-9.316,-49,14.612,67.2
0.264,5,20.918,0.0,-6.68,49,14.596,63.8
0.342,5,17.578,0.0,9.141,49,14.556,74.7
0.419,5,10.547,0.0,23.555,49,14.58,73.7
0.489,5,7.207,0.0,19.687,-49,14.58,73.7
0.566,5,18.809,0.0,-14.414,-49,14.604,66.6
0.662,5,26.191,0.0,-32.695,-49,14.612,64.9
0.743,5,22.324,0.0,-16.699,49,14.68,45.0
0.825,5,1.23,0.0,27.422,49,14.592,70.8
0.917,5,-10.547,0.0,43.77,49,14.596,72.8
1.013,5,-9.492,0.0,16.699,-49,14.608,66.3
1.081,5,6.152,0.0,-31.641,-49,14.608,66.3
1.159,5,10.371,0.0,-52.383,-49,14.604,64.9
1.238,5,-5.098,0.0,-12.48,49,14.584,73.5
1.354,5,-34.277,0.0,46.406,48,14.6,68.0
1.433,5,-43.242,0.0,60.645,47,14.576,71.4
1.513,5,-41.484,0.0,29.004,-47,14.596,65.7
1.595,5,-16.523,0.0,-37.617,-49,14.596,65.7
1.686,5,-9.141,0.0,-69.258,-49,14.608,64.7
1.778,5,-11.25,0.0,-47.109,49,14.592,67.3
1.85,5,-36.914,0.0,14.063,48,14.548,61.9
1.948,5,-56.25,0.0,72.246,37,14.6,67.7
2.048,5,-56.074,0.0,56.602,-46,14.676,50.1
2.123,5,-29.531,0.0,-9.492,-48,14.632,60.4
2.198,5,-5.801,0.0,-75.059,-49,14.596,66.5
2.303,5,0.879,0.0,-72.422,49,14.564,75.8
2.391,5,-13.359,0.0,-11.074,49,14.588,65.5
2.479,5,-40.078,0.0,63.984,48,14.588,65.5
2.559,5,-43.945,0.0,89.297,47,14.584,70.6
2.64,5,-46.406,0.0,72.949,-47,14.608,65.3
2.714,5,-28.477,0.0,9.844,-48,14.628,60.7
2.797,5,0.527,0.0,-67.324,-49,14.628,60.7
2.866,5,5.449,0.0,-94.57,-49,14.608,61.7
2.948,5,10.547,0.0,-71.543,49,14.604,66.1
3.038,5,-10.547,0.0,-1.582,49,14.584,71.3
3.112,5,-34.98,0.0,70.312,48,14.6,70.6
3.194,5,-40.605,0.0,103.359,48,14.58,72.2
3.299,5,-45.176,0.0,64.863,-47,14.612,65.1
3.391,5,-8.965,0.0,-37.266,-49,14.624,61.7
3.476,5,0.879,0.0,-97.031,-49,14.624,61.7
3.561,5,3.691,0.0,-107.754,-49,14.6,66.6
3.638,5,6.855,0.0,-74.707,49,14.572,75.7
3.719,5,-20.742,0.0,6.328,49,14.616,67.1
3.797,5,-44.473,0.0,82.266,47,14.616,67.1
3.877,5,-48.516,0.0,114.258,47,14.572,69.1
3.959,5,-57.129,0.0,97.207,-46,14.568,70.2
4.04,5,-52.559,0.0,40.078,-46,14.612,62.9
4.116,5,-14.414,0.0,-64.512,-49,14.608,63.0
4.205,5,-11.426,0.0,-112.5,-49,14.588,67.0
4.279,5,-7.559,0.0,-117.422,-49,14.588,67.0
4.355,5,-2.285,0.0,-79.277,49,14.556,77.5
4.443,5,-29.707,0.0,5.625,49,14.588,70.0
4.516,5,-54.316,0.0,104.766,43,14.596,67.8
4.639,4,-62.93,0.0,105.117,22,14.632,61.0
4.777,4,-59.238,0.0,42.187,22,14.728,39.0
4.854,4,-26.191,0.0,-50.801,24,14.712,41.3
4.939,4,-27.422,0.0,-111.094,24,14.708,42.1
5.042,4,-32.695,0.0,-110.039,24,14.72,41.4
5.113,4,-28.828,0.0,-107.578,-47,14.612,62.1
5.194,4,-18.809,0.0,-84.727,-60,14.512,85.7
5.278,4,-20.039,0.0,-19.863,-60,14.512,85.7
5.354,4,-28.477,0.0,60.82,-48,14.568,78.0
5.439,4,-8.262,0.0,91.582,-65,14.568,72.2
5.523,4,10.371,0.0,73.652,65,14.412,116.8
5.61,4,44.297,0.0,2.285,42,14.572,72.6
5.691,4,72.07,0.0,-61.172,-62,14.572,72.6
5.775,4,78.75,0.0,-71.895,-60,14.508,89.1
5.853,4,81.914,0.0,-31.641,-59,14.512,87.4
5.952,4,76.465,0.0,44.648,-61,14.488,97.1
6.05,0,97.031,0.0,56.074,0,14.536,82.3
6.143,0,121.465,0.0,36.914,0,14.764,28.4
6.219,0,113.555,0.0,41.836,0,14.792,27.5
6.294,0,106.172,0.0,37.969,0,14.804,27.4
6.392,0,107.051,0.0,37.969,0,14.804,27.4
6.475,0,108.457,0.0,36.563,0,14.8,26.3
6.552,0,108.281,0.0,36.738,0,14.808,26.8
6.636,0,108.281,0.0,36.563,0,14.804,27.5
6.726,0,108.457,0.0,36.563,0,14.8,27.4
6.808,0,108.457,0.0,36.387,0,14.788,27.8
6.895,0,108.457,0.0,36.387,0,14.788,27.8
6.972,0,108.633,0.0,36.211,0,14.788,27.2
7.052,0,108.633,0.0,36.211,0,14.8,26.5
7.128,0,108.809,0.0,36.035,0,14.796,27.6
7.267,0,108.809,0.0,36.035,0,14.796,28.8
7.338,0,108.809,0.0,36.035,0,14.808,27.7
7.426,0,108.809,0.0,35.859,0,14.8,27.3
7.507,0,108.809,0.0,35.859,0,14.796,27.5
7.628,0,108.984,0.0,35.684,0,14.8,26.7
7.732,0,108.809,0.0,35.859,0,14.788,27.8
7.833,0,109.336,0.0,35.156,0,14.792,27.8
7.92,0,109.16,0.0,35.332,0,14.788,27.8
7.996,0,109.336,0.0,35.332,0,14.788,27.8
