t_s,mode,position_deg,setpoint_deg,pend_position_deg,pwm,v_bus,i_ma
0.0,6,4.746,0.0,0.703,0,14.78,26.4
0.097,6,6.68,0.0,-2.637,0,14.792,27.6
0.175,6,5.625,0.0,-0.703,0,14.784,27.6
0.309,6,4.219,0.0,2.461,0,14.78,27.7
0.42,6,4.746,0.0,-0.352,0,14.768,28.5
0.539,6,4.395,0.0,-1.23,0,14.788,26.5
0.611,6,3.691,0.0,-0.879,0,14.788,27.9
0.688,6,2.813,0.0,0.352,0,14.78,27.6
0.792,6,2.813,0.0,0.527,0,14.772,27.6
0.868,6,2.813,0.0,0.352,0,14.772,27.6
0.945,6,2.813,0.0,0.0,0,14.788,26.7
1.019,6,2.813,0.0,-0.176,0,14.78,27.8
1.091,6,2.813,0.0,-0.352,0,14.784,27.7
1.167,6,2.813,0.0,-0.176,0,14.784,27.7
1.24,6,2.813,0.0,0.176,0,14.764,27.3
1.323,6,2.813,0.0,0.352,0,14.792,27.5
1.397,6,2.813,0.0,0.352,0,14.788,28.0
1.472,6,2.813,0.0,0.176,0,14.788,28.0
1.545,6,2.813,0.0,0.0,0,14.792,27.0
1.619,6,2.813,0.0,-0.176,0,14.776,27.9
1.695,6,2.813,0.0,-0.176,0,14.78,27.8
1.785,6,2.813,0.0,0.176,0,14.78,26.8
1.891,6,2.813,0.0,0.352,0,14.788,27.8
1.996,6,2.813,0.0,0.352,0,14.788,27.4
2.071,6,2.813,0.0,0.0,0,14.784,28.1
2.172,6,2.813,0.0,-0.176,0,14.784,28.1
2.241,6,2.813,0.0,-0.176,0,14.776,27.6
2.343,6,2.813,0.0,0.0,0,14.776,27.9
2.426,6,2.813,0.0,0.176,0,14.784,27.6
2.508,6,2.813,0.0,0.352,0,14.784,27.4
2.587,6,2.813,0.0,0.352,0,14.776,27.1
2.656,6,2.813,0.0,0.0,0,14.776,27.1
2.737,6,2.813,0.0,0.0,0,14.78,26.4
2.814,6,2.813,0.0,-0.176,0,14.78,27.8
2.892,6,2.813,0.0,0.0,0,14.784,27.4
2.964,6,2.813,0.0,0.176,0,14.784,27.4
3.053,6,2.813,0.0,0.352,0,14.784,26.9
3.137,6,2.813,0.0,0.176,0,14.776,26.1
3.218,6,2.813,0.0,0.176,0,14.792,27.4
3.298,6,2.813,0.0,0.0,0,14.74,20.8
3.417,6,2.813,0.0,0.0,0,14.788,27.8
3.534,6,2.813,0.0,0.176,0,14.784,27.4
3.615,6,2.813,0.0,0.176,0,14.792,28.0
3.722,6,2.813,0.0,0.176,0,14.788,27.4
3.823,6,2.813,0.0,0.0,0,14.796,27.9
3.901,6,2.813,0.0,0.0,0,14.78,27.8
3.971,6,2.813,0.0,0.0,0,14.78,27.8
4.045,6,2.813,0.0,0.0,0,14.788,26.9
4.133,6,2.813,0.0,0.176,0,14.784,28.2
4.209,6,2.813,0.0,0.176,0,14.792,27.4
4.281,6,2.813,0.0,0.176,0,14.792,27.4
4.353,6,2.813,0.0,0.176,0,14.784,27.2
4.425,6,2.813,0.0,0.176,0,14.788,27.8
4.496,6,2.813,0.0,0.0,0,14.788,27.5
4.596,6,2.813,0.0,0.0,0,14.788,27.3
4.669,6,2.813,0.0,0.176,0,14.788,27.3
4.744,6,2.813,0.0,0.176,0,14.796,26.8
4.83,6,2.813,0.0,0.176,0,14.796,28.4
4.903,6,2.813,0.0,0.176,0,14.792,27.5
4.98,6,2.813,0.0,0.176,0,14.692,27.9
5.079,6,2.813,0.0,0.176,0,14.792,28.1
5.192,6,2.813,0.0,0.176,0,14.74,23.1
5.275,6,2.813,0.0,0.176,0,14.792,28.1
5.374,6,2.813,0.0,0.176,0,14.796,27.8
5.459,6,2.813,0.0,0.176,0,14.796,27.8
5.559,6,2.813,0.0,0.176,0,14.796,27.5
5.654,6,2.813,0.0,0.0,0,14.796,27.5
5.737,6,2.813,0.0,0.0,0,14.776,28.6
5.815,6,2.813,0.0,0.176,0,14.796,27.5
5.897,6,2.813,0.0,0.176,0,14.796,27.6
5.99,6,2.813,0.0,0.176,0,14.784,27.9
6.097,6,2.813,0.0,0.176,0,14.788,27.5
6.169,6,2.813,0.0,0.176,0,14.788,27.5
6.238,6,2.813,0.0,0.176,0,14.784,28.2
6.336,6,2.813,0.0,0.176,0,14.788,26.7
6.417,6,2.813,0.0,0.176,0,14.792,27.4
6.492,6,2.813,0.0,0.176,0,14.788,27.6
6.568,6,2.813,0.0,0.176,0,14.792,27.5
6.67,6,2.813,0.0,0.176,0,14.792,27.5
6.745,6,2.813,0.0,0.176,0,14.796,27.7
6.865,6,2.813,0.0,0.176,0,14.796,27.7
6.946,6,2.813,0.0,0.176,0,14.776,25.1
7.027,6,2.813,0.0,0.176,0,14.792,27.4
7.105,6,2.813,0.0,0.176,0,14.784,27.7
7.179,6,2.813,0.0,0.176,0,14.784,27.7
7.251,6,2.813,0.0,0.176,0,14.788,27.1
7.323,6,2.813,0.0,0.176,0,14.784,27.6
7.412,6,2.813,0.0,0.176,0,14.792,27.4
7.485,6,2.813,0.0,0.176,0,14.78,26.4
7.561,6,2.813,0.0,0.176,0,14.78,26.4
7.634,6,2.813,0.0,0.176,0,14.748,31.1
7.706,6,2.813,0.0,0.176,0,14.792,28.1
7.775,6,2.813,0.0,0.176,0,14.792,28.1
7.858,6,2.813,0.0,0.176,0,14.796,27.1
7.937,6,2.813,0.0,0.176,0,14.792,27.8
