t_s,alpha_deg,theta_deg,pwm
0.0,0.703,0.879,0
0.0598,0.527,1.23,0
0.1137,0.176,1.406,0
0.1764,-0.176,1.582,0
0.2426,-0.352,1.582,0
0.2994,-0.527,1.582,0
0.3697,-0.527,1.582,0
0.456,-0.176,1.582,0
0.5238,0.0,1.582,0
0.5886,0.176,1.582,0
0.6544,0.176,1.582,0
0.7222,0.0,1.582,0
0.778,-0.176,1.582,0
0.8409,-0.527,1.582,0
0.9177,-0.527,1.582,0
0.9817,-0.352,1.582,0
1.0416,-0.176,1.582,0
1.1032,0.0,1.582,0
1.1705,0.0,1.582,0
1.2393,0.0,1.582,0
1.323,-0.176,1.582,0
1.3809,-0.176,1.582,0
1.4457,-0.352,1.582,0
1.5055,-0.352,1.582,0
1.5713,-0.176,1.582,0
1.6322,-0.176,1.582,0
1.699,0.0,1.582,0
1.7589,0.0,1.582,0
1.8246,-0.176,1.582,0
1.9044,-0.176,1.582,0
1.9717,-0.176,1.582,0
2.0386,-0.176,1.582,0
2.106,-0.176,1.582,0
2.1797,-0.176,1.582,0
2.2396,-0.176,1.582,0
2.3115,-0.176,1.582,0
2.3725,-0.176,1.582,0
2.4344,-0.176,1.582,0
2.5012,-0.176,1.582,0
2.5606,-0.176,1.582,0
2.6254,-0.176,1.582,0
2.6993,-0.176,1.582,0
2.7656,-0.176,1.582,0
2.8205,-0.176,1.582,0
2.8843,-0.176,1.582,0
2.9431,-0.176,1.582,0
3.0079,-0.176,1.582,0
3.0788,-0.176,1.582,0
3.1346,-0.176,1.582,0
3.1974,-0.176,1.582,0
3.2722,-0.176,1.582,0
3.342,-0.176,1.582,0
3.4098,-0.176,1.582,0
3.4926,-0.176,1.582,0
3.5719,-0.176,1.582,0
3.6347,-0.176,1.582,0
3.6934,-0.176,1.582,0
3.7573,-0.176,1.582,0
3.8228,-0.176,1.582,0
3.8896,-0.176,1.582,0
3.9529,-0.176,1.582,0
4.0254,-0.176,1.582,0
4.0817,-0.176,1.582,0
4.1431,-0.176,1.582,0
4.2019,-0.176,1.582,0
4.2628,-0.176,1.582,0
4.3302,-0.176,1.582,0
4.3906,-0.176,1.582,0
4.4514,-0.176,1.582,0
4.5192,-0.176,1.582,0
4.6017,-0.176,1.582,0
4.6601,-0.176,1.582,0
4.726,-0.176,1.582,0
4.7858,-0.176,1.582,0
4.8526,-0.176,1.582,0
4.9214,-0.176,1.582,0
5.0071,-0.176,1.582,0
5.0815,-0.176,1.582,0
5.1386,-0.176,1.582,0
5.2064,-0.176,1.582,0
5.2692,-0.176,1.582,0
5.337,-0.176,1.582,0
5.4004,-0.176,1.582,0
5.4583,-0.176,1.582,0
5.5311,-0.176,1.582,0
5.6069,-0.176,1.582,0
5.6897,-0.176,1.582,0
5.7616,-0.176,1.582,0
5.8313,-0.176,1.582,0
5.8941,-0.176,1.582,0
5.949,-0.176,1.582,0
6.0148,-0.176,1.582,0
6.0707,-0.176,1.582,0
6.1406,-0.176,1.582,0
6.2044,-0.176,1.582,0
6.2853,-0.176,1.582,0
6.365,-0.176,1.582,0
6.4278,-0.176,1.582,0
6.4898,-0.176,1.582,0
6.5566,-0.176,1.582,0
6.6224,-0.176,1.582,0
6.6859,-0.176,1.582,0
6.7447,-0.176,1.582,0
6.8203,-0.176,1.582,0
6.8963,-0.176,1.582,0
6.9692,-0.176,1.582,0
7.0509,-0.176,1.582,0
7.1129,-0.176,1.582,0
7.1703,-0.176,1.582,0
7.2271,-0.176,1.582,0
7.31,-0.176,1.582,0
7.3728,-0.176,1.582,0
7.4327,-0.176,1.582,0
7.5037,-0.176,1.582,0
7.5655,-0.176,1.582,0
7.6492,-0.176,1.582,0
7.8337,-0.176,1.582,0
7.9084,-0.176,1.582,0
7.9639,-0.176,1.582,0
8.0267,-0.176,1.582,0
8.1294,-0.176,1.582,0
8.1848,-0.176,1.582,0
8.2417,-0.176,1.582,0
8.3255,-0.176,1.582,0
8.4098,-0.176,1.582,0
8.4721,-0.176,1.582,0
8.5469,-0.176,1.582,0
8.6068,-0.176,1.582,0
8.6692,-0.176,1.582,0
8.732,-0.176,1.582,0
8.7923,-0.176,1.582,0
8.8651,-0.176,1.582,0
8.933,-0.176,1.582,0
8.9886,-0.176,1.582,0
9.0515,-0.176,1.582,0
9.1337,-0.176,1.582,0
9.2032,-0.176,1.582,0
9.2659,-0.176,1.582,0
9.3208,-0.176,1.582,0
9.3907,-0.176,1.582,0
9.4555,-0.176,1.582,0
9.5094,-0.176,1.582,0
9.599,-0.176,1.582,0
9.6648,-0.176,1.582,0
9.7346,-0.176,1.582,0
9.7995,-0.176,1.582,0
9.8584,-0.176,1.582,0
9.9148,-0.176,1.582,0
9.9946,-0.176,1.582,0
10.0615,-0.176,1.582,0
10.1234,-0.176,1.582,0
10.1823,-0.176,1.582,0
10.2447,-0.176,1.582,0
10.3026,-0.176,1.582,0
10.3704,-0.176,1.582,0
10.4323,-0.176,1.582,0
10.5182,-0.176,1.582,0
10.607,-0.176,1.582,0
10.6681,-0.176,1.582,0
10.7299,-0.176,1.582,0
10.7985,-0.176,1.582,0
10.871,-0.176,1.582,0
10.9268,-0.176,1.582,0
10.993,-0.176,1.582,0
11.0569,-0.176,1.582,0
11.1115,-0.176,1.582,0
11.1771,-0.176,1.582,0
11.2349,-0.176,1.582,0
11.3064,-0.176,1.582,0
