t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,0.176,-8.613,28
0.0949,5,11.25,-20.215,59
0.2056,5,18.984,-34.453,58
0.2755,5,17.754,-46.582,-56
0.3463,5,-5.449,-47.637,-56
0.4152,5,-35.508,-39.902,-57
0.487,5,-40.43,-36.914,-58
0.5566,5,-11.074,-43.066,57
0.6454,5,39.551,-62.578,20
0.7308,5,42.187,-59.941,-55
0.8067,5,2.285,-35.684,-58
0.8959,5,-45.176,-4.219,-59
0.967,5,-57.129,13.887,-59
1.0428,5,-23.555,19.512,59
1.1354,5,48.867,-1.055,59
1.2102,5,77.871,-6.152,59
1.306,5,64.512,-10.195,-59
1.3718,5,11.953,3.34,-59
1.4376,5,-65.391,31.816,-58
1.5304,5,-88.77,37.969,-57
1.6092,5,-71.543,43.594,57
1.676,5,-9.316,27.422,58
1.7488,5,59.766,-0.176,59
1.8107,5,96.152,-7.734,59
1.8735,5,106.348,-15.996,59
1.9353,5,83.672,-27.949,-58
2.0061,5,31.465,-24.785,-59
2.0829,5,-70.312,6.152,-59
2.1617,5,-114.609,6.504,-59
2.2395,5,-112.852,11.953,59
2.3243,5,-62.754,14.59,59
2.3995,5,14.941,-17.051,59
2.4604,5,81.738,-39.023,57
2.5313,5,127.266,-46.23,57
2.6067,5,126.035,-59.766,-55
2.6955,5,86.484,-71.191,-53
2.7643,5,17.93,-55.371,-55
2.9079,5,-129.902,1.582,59
3.1078,5,-88.418,13.359,59
3.1845,5,24.961,-23.027,59
3.2922,5,135.0,-42.012,57
3.3969,5,91.934,-28.125,58
5.1606,5,159.434,-37.266,58
5.2444,4,142.383,-68.73,22
5.3316,4,-135.703,-72.422,22
5.6356,4,-149.59,-85.254,59
5.7403,4,-125.332,-85.957,59
5.8051,4,-81.387,-89.648,58
5.8685,0,6.68,-124.277,0
