t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,43.77,7.646,57
0.0674,5,38.672,10.986,-57
0.1472,5,30.762,19.424,-57
0.2081,5,27.949,33.311,-56
0.2974,5,41.484,35.947,56
0.3637,5,69.609,26.631,56
0.4406,5,80.859,19.072,57
0.517,5,68.027,16.436,-57
0.5829,5,28.125,29.619,-56
0.6476,5,-0.879,39.463,-55
0.7265,5,-3.691,42.979,-55
0.7913,5,29.18,34.893,56
0.8673,5,93.691,7.295,57
0.9571,5,109.16,-1.318,57
1.0407,5,88.418,-8.701,-57
1.1098,5,32.52,6.592,-57
1.1756,5,-25.312,20.303,-57
1.2558,5,-33.75,22.764,-57
1.3351,5,2.813,17.49,57
1.4187,5,73.125,-15.029,57
1.4805,5,117.598,-29.971,56
1.5506,5,135.703,-38.76,55
1.6177,5,120.938,-46.67,-55
1.6786,5,46.055,-30.498,-56
1.7658,5,-20.742,-7.998,-57
1.8309,5,-56.953,-3.604,-57
1.9037,5,-58.711,2.197,-57
1.9765,5,-7.91,4.131,57
2.0622,5,76.289,-29.795,56
2.1275,5,130.781,-41.748,55
2.1909,5,159.258,-45.615,55
2.2621,4,152.578,-54.404,23
2.329,4,119.355,-61.436,22
2.3959,4,47.109,-46.846,23
2.4588,4,-34.277,-29.619,24
2.5326,4,-64.863,-36.123,24
2.5945,4,-68.203,-43.506,23
2.6638,4,-35.508,-50.01,-42
2.7406,4,24.082,-69.346,-25
2.7995,0,100.547,-100.811,0
