t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,-1.055,-1.055,-61
0.0843,5,-12.832,12.129,-61
0.1791,5,-18.633,25.84,-61
0.2423,5,-15.117,38.848,59
0.3085,5,13.359,37.441,59
0.3853,5,35.859,31.289,60
0.4443,5,42.715,26.895,60
0.5073,5,25.84,26.367,-60
0.5961,5,-41.309,51.68,-52
0.6867,5,-54.492,56.777,-37
0.7582,5,-30.41,51.152,58
0.8352,5,19.863,25.84,60
0.8961,5,71.367,-0.176,61
1.0008,5,58.711,-15.293,-61
1.0921,5,7.383,-9.316,-61
1.1559,5,-56.602,7.734,-61
1.2307,5,-86.484,9.316,-61
1.2935,5,-69.434,10.371,61
1.4002,5,1.055,-17.227,61
1.4783,5,75.586,-48.34,58
1.5546,5,101.953,-57.656,34
1.6294,5,87.891,-65.742,-55
1.7062,5,40.957,-60.117,-56
1.7747,5,-38.672,-24.785,-61
1.8366,5,-103.887,-9.668,-61
1.9285,5,-112.324,3.516,61
2.0132,5,-84.902,12.656,61
2.089,5,12.832,-13.711,61
2.1788,5,90.879,-33.926,60
2.2566,5,131.66,-40.254,59
2.3483,5,119.004,-54.316,-57
2.4112,5,76.816,-61.699,-56
2.484,5,-3.164,-36.914,-59
2.5549,5,-89.297,-10.723,-61
2.6256,5,-129.551,-8.438,-61
2.6985,5,-135.879,7.734,61
2.7872,5,-110.215,21.621,61
2.8491,5,-50.449,20.742,61
2.9199,5,71.367,-24.961,61
3.0226,5,132.715,-29.883,60
3.089,5,152.754,-39.902,59
3.1661,5,139.395,-62.578,-56
3.236,5,107.93,-76.992,-54
3.3018,5,46.934,-73.125,-54
3.3721,5,-46.23,-33.047,-60
3.435,5,-111.445,-22.5,-61
3.5089,5,-146.602,-18.984,-61
3.5857,5,-145.547,1.758,61
3.6569,5,-118.301,21.094,61
3.7237,5,-64.16,26.367,60
3.7941,5,28.301,-7.91,61
3.8574,5,97.383,-22.324,61
3.9311,5,152.227,-24.961,61
4.0197,4,158.379,-42.891,0
4.0825,4,132.891,-73.301,0
4.1677,4,79.277,-90.352,0
4.2708,4,-44.648,-59.941,0
4.3462,4,-114.609,-61.699,0
4.4146,4,-153.105,-78.926,60
4.5143,4,-152.754,-85.957,0
4.5831,4,-127.617,-83.145,59
4.647,4,-78.398,-87.012,58
4.7188,0,22.852,-130.254,0
