t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,2.109,7.559,49
0.0704,5,11.953,-0.352,49
0.1402,5,17.402,-10.195,49
0.209,5,11.426,-16.348,-49
0.269,5,-7.734,-13.008,-49
0.333,5,-28.652,-7.207,-49
0.454,5,-11.426,-13.887,49
0.5218,5,31.465,-36.387,48
0.634,5,36.211,-43.945,47
0.7058,5,-0.176,-34.102,-48
0.7806,5,-36.035,-20.215,-49
0.8443,5,-32.168,-17.402,49
0.9889,5,19.336,-39.551,48
1.0587,5,55.723,-53.086,46
1.1565,5,46.582,-52.91,-46
1.2195,5,-12.129,-28.477,-48
1.3044,5,-51.328,-12.305,-49
1.3657,5,-63.984,-5.625,-49
1.4426,5,-20.742,-12.832,49
1.5398,5,47.812,-40.605,48
1.6141,5,70.84,-46.406,47
1.6756,5,67.148,-49.043,-47
1.7444,5,9.668,-33.047,-48
1.8397,5,-59.238,-6.328,-49
1.9125,5,-79.805,-1.23,-49
1.9804,5,-69.258,1.582,49
2.0522,5,-5.273,-17.227,49
2.1387,5,72.598,-45.176,47
2.2226,5,88.594,-48.867,47
2.2804,5,71.719,-52.207,-46
2.3596,5,13.887,-36.738,-48
2.4305,5,-69.785,-6.152,-49
2.5187,5,-95.098,-1.055,-49
2.6076,5,-78.398,2.461,49
2.6705,5,-18.281,-11.953,49
2.7598,5,67.5,-44.824,47
2.8288,5,100.02,-49.395,47
2.9156,5,92.461,-55.02,-46
2.9804,5,28.301,-45.879,-47
3.0692,5,-51.855,-13.535,-49
3.134,5,-92.988,-7.383,-49
3.1968,5,-106.348,-2.988,-49
3.2856,5,-76.465,1.758,49
3.3574,5,-16.699,-13.184,49
3.4196,5,63.984,-43.594,47
3.4872,5,108.105,-47.285,47
3.561,5,115.312,-49.922,47
3.6238,5,74.355,-56.074,-46
3.7268,5,-4.395,-30.586,-48
3.7931,5,-80.859,-7.031,-49
3.8615,5,-114.785,-5.098,-49
3.9323,5,-117.07,0.176,-49
4.0009,5,-87.539,7.207,49
4.0718,5,-25.664,-3.867,49
4.1339,5,59.414,-37.09,48
4.1978,5,111.621,-41.484,47
4.2717,5,127.617,-43.77,47
4.3449,5,114.258,-51.504,-47
4.4042,5,78.574,-54.492,-46
4.4671,5,-1.758,-29.18,-48
4.5652,5,-105.82,-2.461,-49
4.6497,5,-129.727,-0.176,-49
4.7185,5,-117.07,9.492,49
4.7907,5,-65.391,12.832,49
4.8873,5,42.891,-28.125,49
4.9531,5,104.238,-37.441,48
5.0201,5,130.957,-37.793,48
5.0811,5,129.902,-48.34,-47
5.1669,5,100.02,-58.359,-46
5.2328,5,17.93,-44.824,-47
5.3147,5,-75.41,-12.656,-49
5.3876,5,-120.234,-12.129,-49
5.4485,5,-138.34,-10.723,-49
5.5212,5,-124.805,-1.055,49
5.5915,5,-76.465,3.164,49
5.6743,5,5.449,-25.664,49
5.7361,5,77.52,-50.098,47
5.7977,5,123.574,-52.559,46
5.875,5,140.273,-56.074,46
5.9429,5,128.32,-66.094,-45
6.0101,5,90.352,-72.598,-44
6.0769,5,-16.172,-37.969,-48
6.1709,5,-100.723,-16.699,-49
6.2437,5,-132.187,-15.82,-49
6.3095,5,-138.516,-8.789,-49
6.3813,5,-109.512,4.922,49
6.4606,5,-55.898,3.516,49
6.5265,5,32.344,-32.52,48
6.5898,5,103.887,-45.527,47
6.6617,5,137.109,-45.527,47
