alpha_deg,cmd_sp,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
121.992,20.0,26.6,2,-46,20.0,0.0,2.373,15.024
117.598,20.0,46.1,2,-19,20.0,0.0783,8.877,14.988
119.531,20.0,28.3,2,-12,20.0,0.1535,13.799,15.024
125.332,20.0,28.3,2,-11,20.0,0.2397,15.029,15.024
129.023,20.0,26.8,2,0,20.0,0.3114,18.369,15.024
125.508,20.0,26.6,2,18,20.0,0.3982,23.291,15.032
121.113,20.0,45.2,2,28,20.0,0.4651,27.334,14.988
121.992,20.0,45.2,2,29,20.0,0.5406,27.334,14.988
124.98,20.0,32.8,2,12,20.0,0.6134,25.4,15.008
125.684,20.0,27.7,2,29,20.0,0.6802,24.346,15.024
122.168,20.0,46.0,2,4,20.0,0.756,22.412,14.988
120.586,20.0,27.8,2,0,20.0,0.9006,21.006,15.024
120.41,20.0,27.3,2,0,20.0,0.9784,19.424,15.028
121.641,20.0,27.3,2,-6,20.0,1.0561,18.018,15.032
122.168,20.0,27.3,2,-29,20.0,1.1263,17.842,15.032
121.641,20.0,28.0,2,0,20.0,1.2091,19.072,15.024
123.75,20.0,27.1,2,0,20.0,1.2909,19.424,15.032
123.75,20.0,27.1,2,0,20.0,1.428,19.951,15.028
122.871,20.0,27.0,2,0,20.0,1.5237,20.479,15.028
121.992,20.0,27.2,2,0,20.0,1.5906,20.654,15.028
121.992,20.0,27.1,2,0,20.0,1.6803,20.654,15.028
122.344,20.0,27.1,2,0,20.0,1.7641,20.654,15.032
123.047,20.0,27.1,2,0,20.0,1.8399,20.654,15.028
123.223,20.0,27.1,2,0,20.0,1.9406,20.654,15.028
123.047,20.0,26.9,2,0,20.0,2.0264,20.654,15.024
122.52,20.0,25.4,2,0,20.0,2.0922,20.654,15.032
122.168,20.0,27.2,2,0,20.0,2.1829,20.654,15.032
122.168,20.0,26.9,2,0,20.0,2.2483,20.654,15.028
122.344,20.0,26.9,2,0,20.0,2.3487,20.654,15.028
123.047,20.0,26.7,2,0,20.0,2.4311,20.654,15.024
123.047,20.0,26.9,2,0,20.0,2.5367,20.654,15.024
122.871,20.0,27.0,2,0,20.0,2.6146,20.654,15.028
122.52,20.0,27.3,2,0,20.0,2.6844,20.654,15.028
122.168,20.0,27.3,2,0,20.0,2.7602,20.654,15.028
122.168,20.0,26.8,2,0,20.0,2.8297,20.654,15.028
122.344,20.0,27.1,2,0,20.0,2.9125,20.654,15.028
122.871,20.0,27.2,2,0,20.0,2.9913,20.654,15.028
123.047,20.0,27.2,2,0,20.0,3.067,20.654,15.028
123.047,20.0,26.9,2,0,20.0,3.1358,20.654,15.024
122.695,20.0,27.1,2,0,20.0,3.2121,20.654,15.028
122.168,20.0,27.3,2,0,20.0,3.3202,20.654,15.024
122.168,20.0,26.9,2,0,20.0,3.4254,20.654,15.028
122.52,20.0,27.3,2,0,20.0,3.4903,20.654,15.028
140.625,-20.0,47.6,2,26,-20.0,0.0,2.021,14.98
142.734,-20.0,31.3,2,15,-20.0,0.1058,-12.217,15.02
142.734,-20.0,46.9,2,14,-20.0,0.2315,-13.096,14.996
144.844,-20.0,36.1,2,-26,-20.0,0.3293,-22.236,15.008
166.641,-20.0,90.9,2,-33,-20.0,0.4086,-34.014,14.888
164.18,-20.0,32.6,2,6,-20.0,0.5911,-23.291,15.008
163.828,-20.0,27.1,2,26,-20.0,0.6651,-15.029,15.024
