alpha_deg,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
-45.0,27.2,5,59,0.0,0.0,3.252,15.024
-36.035,97.1,5,59,0.0,0.0767,-10.107,14.876
-36.035,93.7,5,-59,0.0,0.1884,-22.412,14.9
-36.035,91.4,5,-5,0.0,0.2582,-20.479,14.904
-36.035,96.4,5,32,0.0,0.346,-25.4,14.9
-21.445,48.6,5,47,0.0,0.4479,-53.35,14.996
-18.633,56.4,5,-54,0.0,0.5918,-63.545,14.96
-44.648,78.7,5,-56,0.0,0.6676,-45.439,14.916
-44.648,82.6,5,0,0.0,0.7765,-32.607,14.928
-44.648,38.0,5,23,0.0,0.8643,-30.674,15.016
-44.648,49.9,5,-58,0.0,0.951,-32.607,14.996
-54.141,86.9,5,-59,0.0,1.0498,-5.713,14.92
-92.285,78.4,5,-58,0.0,1.1336,38.232,14.924
-111.797,26.7,5,41,0.0,1.2106,83.76,15.028
-79.453,82.9,0,0,0.0,1.3333,96.064,14.912
-40.43,82.9,0,0,0.0,1.4161,100.459,14.912
-24.082,27.6,0,0,0.0,1.4959,119.619,15.02
-44.121,27.6,0,0,0.0,1.5969,132.803,15.02
-55.723,26.5,0,0,0.0,1.6797,122.08,15.024
-60.996,25.1,0,0,0.0,1.7777,111.006,15.028
-82.617,22.7,0,0,0.0,1.8886,101.338,15.024
-84.199,27.2,0,0,0.0,1.9774,89.736,15.032
-67.5,26.3,0,0,0.0,2.0802,66.709,15.028
-58.887,28.9,0,0,0.0,2.1561,52.822,15.016
-67.5,30.2,0,0,0.0,2.2204,47.197,15.0
-79.98,30.2,0,0,0.0,2.3117,47.021,15.0
-83.32,27.6,0,0,0.0,2.3946,42.1,15.028
-69.082,26.6,0,0,0.0,2.4813,31.553,15.032
-59.766,26.9,0,0,0.0,2.5621,25.752,15.032
-66.621,26.8,0,0,0.0,2.6339,28.74,15.028
-79.805,27.7,0,0,0.0,2.7333,35.244,15.028
-77.168,26.9,0,0,0.0,2.8251,35.596,15.024
-62.754,27.2,0,0,0.0,2.9158,32.256,15.024
-62.578,26.7,0,0,0.0,3.0255,35.244,15.028
-70.137,26.7,0,0,0.0,3.0944,42.275,15.028
-77.344,27.5,0,0,0.0,3.1831,50.537,15.02
-71.719,27.0,0,0,0.0,3.2681,50.889,15.024
-63.281,27.3,0,0,0.0,3.348,50.889,15.028
-64.687,27.3,0,0,0.0,3.4324,55.283,15.028
-71.543,27.0,0,0,0.0,3.5202,61.084,15.028
-75.234,27.0,0,0,0.0,3.6026,64.951,15.028
-71.016,27.3,0,0,0.0,3.674,64.6,15.028
-66.445,27.3,0,0,0.0,3.7463,63.721,15.032
-65.039,28.0,0,0,0.0,3.8226,64.6,15.012
-70.664,27.2,0,0,0.0,3.9273,68.467,15.028
-71.543,25.5,0,0,0.0,4.0217,68.467,15.02
-68.906,27.3,0,0,0.0,4.135,67.061,15.032
-67.676,27.3,0,0,0.0,4.1988,66.357,15.032
-69.258,27.0,0,0,0.0,4.2651,66.885,15.024
-70.84,27.4,0,0,0.0,4.3629,67.061,15.024
-71.367,27.0,0,0,0.0,4.4452,66.709,15.024
-70.137,27.0,0,0,0.0,4.535,66.006,15.028
-69.609,27.1,0,0,0.0,4.6323,66.006,15.032
-69.258,27.3,0,0,0.0,4.7081,66.006,15.028
-69.434,27.3,0,0,0.0,4.7943,66.006,15.028
-69.961,26.9,0,0,0.0,4.886,66.006,15.028
-70.488,27.2,0,0,0.0,4.9743,66.006,15.028
-70.312,27.1,0,0,0.0,5.077,66.006,15.028
-69.609,27.0,0,0,0.0,5.1817,66.006,15.028
-69.434,27.0,0,0,0.0,5.2657,66.006,15.032
-69.434,26.8,0,0,0.0,5.3502,66.006,15.028
-70.137,26.5,0,0,0.0,5.4679,66.006,15.028
-70.488,27.1,0,0,0.0,5.5715,66.006,15.028
-70.312,27.1,0,0,0.0,5.6778,66.006,15.028
-69.785,27.1,0,0,0.0,5.7566,66.006,15.028
-69.434,27.1,0,0,0.0,5.8264,66.006,15.028
-69.434,27.3,0,0,0.0,5.8962,66.006,15.028
-69.961,27.4,0,0,0.0,5.9849,66.006,15.032
-70.137,26.8,0,0,0.0,6.0927,66.006,15.028
-70.312,26.9,0,0,0.0,6.1751,66.006,15.028
-70.137,27.3,0,0,0.0,6.2737,66.006,15.028
-69.609,26.9,0,0,0.0,6.3627,66.006,15.028
-69.434,27.2,0,0,0.0,6.4427,66.006,15.032
-69.609,27.2,0,0,0.0,6.5135,66.006,15.032
-69.961,27.2,0,0,0.0,6.5873,66.006,15.028
-70.312,27.5,0,0,0.0,6.6931,66.006,15.028
-70.137,27.5,0,0,0.0,6.7938,66.006,15.028
-69.961,27.3,0,0,0.0,6.8599,66.006,15.028
-69.609,27.1,0,0,0.0,6.9296,66.006,15.024
-69.609,27.1,0,0,0.0,7.0154,66.006,15.024
-69.609,26.9,0,0,0.0,7.0907,66.006,15.028
-69.961,27.1,0,0,0.0,7.181,66.006,15.032
-70.137,26.9,0,0,0.0,7.2717,66.006,15.032
-70.137,27.3,0,0,0.0,7.3406,66.006,15.028
-69.961,27.3,0,0,0.0,7.4193,66.006,15.028
-69.785,27.1,0,0,0.0,7.4842,66.006,15.024
-69.609,23.6,0,0,0.0,7.5619,66.006,15.028
-69.609,27.5,0,0,0.0,7.6318,66.006,15.024
-69.961,27.2,0,0,0.0,7.7185,66.006,15.024
-70.137,27.1,0,0,0.0,7.8182,66.006,15.028
-70.137,27.1,0,0,0.0,7.9117,66.006,15.028
-69.961,27.3,0,0,0.0,7.9736,66.006,15.032
-69.961,27.3,0,0,0.0,8.0501,66.006,15.028
-69.785,27.3,0,0,0.0,8.1259,66.006,15.024
-69.785,27.1,0,0,0.0,8.2012,66.006,15.024
-69.961,27.2,0,0,0.0,8.28,66.006,15.024
-69.961,27.4,0,0,0.0,8.363,66.006,15.028
-69.961,27.0,0,0,0.0,8.4548,66.006,15.028
-69.961,24.9,0,0,0.0,8.5627,66.006,15.028
-69.961,27.0,0,0,0.0,8.64,66.006,15.028
-69.785,27.0,0,0,0.0,8.7367,66.006,15.028
-69.961,27.4,0,0,0.0,8.8385,66.006,15.028
-69.961,27.4,0,0,0.0,8.9083,66.006,15.028
-69.961,26.8,0,0,0.0,8.987,66.006,15.028
-69.961,27.3,0,0,0.0,9.0646,66.006,15.032
-69.961,27.5,0,0,0.0,9.1674,66.006,15.028
-69.961,26.3,0,0,0.0,9.2657,66.006,15.032
-69.961,27.3,0,0,0.0,9.3544,66.006,15.028
-69.961,27.3,0,0,0.0,9.4433,66.006,15.028
-69.961,27.5,0,0,0.0,9.535,66.006,15.032
-69.961,27.5,0,0,0.0,9.6013,66.006,15.024
-69.961,26.8,0,0,0.0,9.6946,66.006,15.024
-69.961,27.5,0,0,0.0,9.7819,66.006,15.024
-69.961,27.1,0,0,0.0,9.8727,66.006,15.032
-69.961,27.2,0,0,0.0,9.9934,66.006,15.028
