alpha_deg,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
353.496,26.8,0,0,0.0,0.0,2.197,15.016
352.969,27.2,0,0,0.0,0.0863,4.131,15.02
351.211,27.3,0,0,0.0,0.1847,6.416,15.02
351.387,27.3,0,0,0.0,0.2732,7.295,15.024
353.145,27.4,0,0,0.0,0.353,7.471,15.02
353.848,27.4,0,0,0.0,0.4407,7.646,15.02
353.145,26.9,0,0,0.0,0.5106,8.525,15.024
351.738,26.9,0,0,0.0,0.5774,9.229,15.02
351.387,26.9,0,0,0.0,0.6557,9.404,15.02
352.09,26.6,0,0,0.0,0.7794,9.404,15.024
352.617,26.6,0,0,0.0,0.8599,9.404,15.024
352.969,27.5,0,0,0.0,0.9353,9.404,15.02
352.617,27.5,0,0,0.0,1.0021,9.58,15.02
351.914,27.2,0,0,0.0,1.0899,9.58,15.024
351.562,26.9,0,0,0.0,1.1876,9.58,15.02
351.562,27.9,0,0,0.0,1.2654,9.58,15.016
351.914,27.9,0,0,0.0,1.3492,9.58,15.016
352.793,27.1,0,0,0.0,1.431,9.58,15.02
352.617,27.0,0,0,0.0,1.5969,9.58,15.016
352.09,27.0,0,0,0.0,1.6806,9.58,15.02
351.738,27.0,0,0,0.0,1.7449,9.58,15.02
351.562,27.5,0,0,0.0,1.8078,9.58,15.02
351.914,27.0,0,0,0.0,1.8757,9.58,15.02
352.266,27.0,0,0,0.0,1.9617,9.58,15.02
352.617,27.2,0,0,0.0,2.0294,9.58,15.016
352.617,27.2,0,0,0.0,2.1158,9.58,15.016
352.266,27.3,0,0,0.0,2.1876,9.58,15.02
351.914,27.2,0,0,0.0,2.2773,9.58,15.02
351.738,26.9,0,0,0.0,2.3741,9.58,15.02
352.09,27.0,0,0,0.0,2.4441,9.58,15.016
352.441,27.1,0,0,0.0,2.5754,9.58,15.02
352.617,27.1,0,0,0.0,2.6452,9.58,15.02
352.441,27.1,0,0,0.0,2.7394,9.58,15.02
352.09,26.5,0,0,0.0,2.8106,9.58,15.024
351.738,27.4,0,0,0.0,2.9115,9.58,15.016
351.914,27.4,0,0,0.0,3.0356,9.58,15.024
352.266,27.4,0,0,0.0,3.1123,9.58,15.02
352.441,27.3,0,0,0.0,3.1987,9.58,15.02
352.441,27.3,0,0,0.0,3.2615,9.58,15.02
352.266,27.0,0,0,0.0,3.3412,9.58,15.02
352.09,27.3,0,0,0.0,3.413,9.58,15.02
351.914,27.1,0,0,0.0,3.4929,9.58,15.02
351.914,25.0,0,0,0.0,3.5647,9.58,15.02
352.266,26.9,0,0,0.0,3.6504,9.58,15.016
352.441,26.9,0,0,0.0,3.7402,9.58,15.016
352.441,27.1,0,0,0.0,3.823,9.58,15.02
352.266,27.3,0,0,0.0,3.8918,9.58,15.02
352.09,27.3,0,0,0.0,3.9537,9.58,15.02
351.914,26.8,0,0,0.0,4.0317,9.58,15.016
351.914,26.5,0,0,0.0,4.1304,9.58,15.016
352.09,27.2,0,0,0.0,4.1966,9.58,15.016
352.266,26.9,0,0,0.0,4.268,9.58,15.02
352.441,27.1,0,0,0.0,4.3654,9.58,15.02
352.266,27.2,0,0,0.0,4.4652,9.58,15.016
352.09,27.1,0,0,0.0,4.552,9.58,15.016
352.09,22.9,0,0,0.0,4.6746,9.58,15.004
352.266,27.0,0,0,0.0,4.7578,9.58,15.016
352.266,27.3,0,0,0.0,4.9129,9.58,15.016
