alpha_deg,cmd_pwm,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
228.867,50,27.2,1,49,0.0,0.0,-2.285,15.016
243.105,50,73.5,1,49,0.0,0.0778,-16.172,14.92
246.621,50,74.5,1,49,0.0,0.1457,-28.652,14.932
246.621,50,75.2,1,49,0.0,0.2105,-42.891,14.924
242.227,50,77.1,1,49,0.0,0.3119,-56.426,14.896
240.469,50,77.1,1,49,0.0,0.4156,-75.762,14.896
250.488,50,71.2,0,0,0.0,0.4891,-104.766,14.92
235.371,50,24.4,0,0,0.0,0.6178,-114.258,15.024
231.504,50,27.4,0,0,0.0,0.7418,-112.676,15.02
245.742,50,27.2,0,0,0.0,0.818,-112.5,15.024
256.641,50,27.2,0,0,0.0,0.9117,-106.523,15.024
254.883,50,27.0,0,0,0.0,1.0005,-94.043,15.02
247.324,50,27.3,0,0,0.0,1.0704,-78.574,15.02
245.918,50,27.1,0,0,0.0,1.1721,-60.117,15.02
259.805,0,26.9,0,0,0.0,0.0,-43.418,15.024
252.773,0,27.2,0,0,0.0,0.0883,-31.992,15.02
247.324,0,26.8,0,0,0.0,0.1727,-17.754,15.02
256.465,0,23.7,0,0,0.0,0.3567,-12.832,15.024
248.906,0,26.8,0,0,0.0,0.5321,-7.734,15.016
246.094,0,25.4,0,0,0.0,0.6214,-5.977,15.008
251.191,0,23.9,0,0,0.0,0.6982,-8.086,15.02
255.762,0,26.8,0,0,0.0,0.775,-10.02,15.02
249.961,-50,27.8,0,0,0.0,0.0,-7.383,15.012
247.676,-50,27.6,0,0,0.0,0.0786,-7.031,15.02
250.488,-50,26.9,0,0,0.0,0.1692,-9.316,15.02
252.949,-50,27.6,0,0,0.0,0.257,-10.723,15.016
251.719,-50,26.9,0,0,0.0,0.3378,-10.371,15.016
249.961,-50,26.9,0,0,0.0,0.4405,-10.02,15.016
249.609,-50,26.5,0,0,0.0,0.5153,-10.371,15.02
250.664,-50,27.0,0,0,0.0,0.618,-10.723,15.024
251.543,-50,26.7,0,0,0.0,0.7377,-10.547,15.02
251.719,-50,26.7,0,0,0.0,0.8255,-10.547,15.02
251.367,-50,27.2,0,0,0.0,0.8956,-10.547,15.016
250.664,-50,27.0,0,0,0.0,0.9694,-10.547,15.02
250.137,-50,27.3,0,0,0.0,1.0561,-10.547,15.02
250.313,-50,27.2,0,0,0.0,1.1579,-10.547,15.016
251.191,0,27.8,0,0,0.0,0.0,-10.547,15.016
251.543,0,27.3,0,0,0.0,0.0848,-10.547,15.016
251.543,0,27.3,0,0,0.0,0.1775,-10.547,15.016
250.84,0,27.5,0,0,0.0,0.2483,-10.547,15.016
250.313,0,27.1,0,0,0.0,0.354,-10.547,15.02
250.313,0,27.2,0,0,0.0,0.4239,-10.547,15.016
250.664,0,27.2,0,0,0.0,0.5185,-10.547,15.02
251.367,0,27.2,0,0,0.0,0.5899,-10.547,15.02
251.367,0,26.9,0,0,0.0,0.7312,-10.547,15.02
