alpha_deg,cmd_sp,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
94.395,20.0,26.5,2,-51,20.0,0.0,-1.494,15.016
85.957,20.0,36.0,2,-13,20.0,0.0857,9.229,15.004
90.352,20.0,27.2,2,-7,20.0,0.1745,15.732,15.02
100.723,20.0,27.2,2,-6,20.0,0.2592,16.611,15.02
105.117,20.0,26.5,2,0,20.0,0.331,20.83,15.02
99.492,20.0,36.1,2,37,20.0,0.4073,28.213,15.0
94.57,20.0,61.6,2,36,20.0,0.4821,31.553,14.944
95.801,20.0,61.6,2,20,20.0,0.5688,29.268,14.944
97.031,20.0,35.5,2,11,20.0,0.6323,26.455,15.0
95.625,20.0,27.4,2,10,20.0,0.7001,24.521,15.016
93.34,20.0,27.5,2,6,20.0,0.7809,23.467,15.024
92.285,20.0,27.5,2,1,20.0,0.8467,21.357,15.024
93.516,20.0,26.8,2,0,20.0,0.9406,19.424,15.02
94.922,20.0,27.4,2,-7,20.0,1.0153,17.842,15.02
93.691,20.0,44.6,2,0,20.0,1.082,19.072,14.984
95.098,20.0,26.9,2,0,20.0,1.2416,19.248,15.02
95.801,20.0,26.9,2,0,20.0,1.3501,19.248,15.02
95.625,20.0,27.4,2,0,20.0,1.417,19.775,15.012
94.746,20.0,26.5,2,0,20.0,1.5143,20.127,15.016
94.395,20.0,27.0,2,0,20.0,1.5991,20.127,15.024
94.219,20.0,26.5,2,0,20.0,1.6778,20.127,15.02
94.57,20.0,26.5,2,0,20.0,1.7506,20.127,15.02
95.098,20.0,26.5,2,0,20.0,1.8284,20.127,15.024
95.273,20.0,27.1,2,0,20.0,1.9122,20.127,15.024
95.098,20.0,26.9,2,0,20.0,2.0319,20.127,15.024
94.746,20.0,27.3,2,0,20.0,2.1087,20.127,15.024
94.395,20.0,27.3,2,0,20.0,2.1715,20.127,15.024
94.395,20.0,26.7,2,0,20.0,2.2336,20.127,15.024
94.746,20.0,27.1,2,0,20.0,2.3374,20.127,15.024
95.098,20.0,27.1,2,0,20.0,2.4191,20.127,15.02
95.273,20.0,27.4,2,0,20.0,2.511,20.127,15.02
94.922,20.0,27.3,2,0,20.0,2.6197,20.127,15.02
94.57,20.0,27.2,2,0,20.0,2.7199,20.127,15.02
94.395,20.0,27.0,2,0,20.0,2.8166,20.127,15.024
94.746,20.0,27.0,2,0,20.0,2.9089,20.127,15.02
95.098,20.0,27.2,2,0,20.0,3.0083,20.127,15.02
95.273,20.0,27.2,2,0,20.0,3.1111,20.127,15.02
94.922,20.0,26.7,2,0,20.0,3.1859,20.127,15.024
94.746,20.0,26.7,2,0,20.0,3.2701,20.127,15.024
94.57,20.0,27.1,2,0,20.0,3.3608,20.127,15.02
94.746,20.0,27.0,2,0,20.0,3.4934,20.127,15.02
105.117,-20.0,27.0,2,61,-20.0,0.0,10.283,15.024
111.27,-20.0,28.0,2,13,-20.0,0.0985,-11.514,15.016
82.969,-20.0,46.5,2,29,-20.0,0.2296,-11.514,14.976
72.07,-20.0,46.5,2,0,-20.0,0.3209,-15.908,14.976
74.355,-20.0,27.1,2,-44,-20.0,0.3907,-26.807,15.02
74.355,-20.0,90.4,2,-57,-20.0,0.4625,-35.596,14.896
74.355,-20.0,48.4,2,-23,-20.0,0.5369,-32.08,14.976
74.355,-20.0,48.4,2,1,-20.0,0.6107,-24.346,14.976
74.355,-20.0,25.7,2,23,-20.0,0.6935,-16.084,15.012
75.059,-20.0,44.5,2,30,-20.0,0.7643,-11.689,14.996
