alpha_deg,cmd_action,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
-294.082,0.35,120.0,6,69,0.0,0.0,-8.438,14.812
-280.371,0.35,115.8,6,68,0.0,0.1115,-29.531,14.82
-279.492,0.35,108.7,6,65,0.0,0.1893,-50.977,14.836
-294.258,0.35,108.7,6,61,0.0,0.2626,-75.937,14.836
-300.937,0.35,95.3,0,0,0.0,0.3439,-113.906,14.864
-335.566,0.35,28.5,0,0,0.0,0.4287,-129.375,15.008
-364.746,0.35,26.9,0,0,0.0,0.5084,-127.793,15.02
-358.418,0.35,27.8,0,0,0.0,0.584,-131.836,15.02
-317.109,0.35,27.8,0,0,0.0,0.6867,-134.473,15.02
-280.898,0.35,26.8,0,0,0.0,0.7564,-127.969,15.02
-274.922,0.35,26.5,0,0,0.0,0.8392,-98.965,15.02
-296.191,0.35,27.0,0,0,0.0,0.933,-68.555,15.02
-333.809,0.35,27.3,0,0,0.0,1.0048,-11.426,15.02
-308.32,0.35,27.4,0,0,0.0,1.1744,3.691,15.012
-279.668,0.35,25.4,0,0,0.0,1.2481,10.02,15.02
-276.328,0.35,26.9,0,0,0.0,1.33,24.258,15.016
-297.949,0.35,27.1,0,0,0.0,1.4061,47.988,15.016
-324.316,0.35,27.1,0,0,0.0,1.482,72.949,15.016
-331.172,0.35,26.2,0,0,0.0,1.5547,87.539,15.02
-296.719,-0.35,27.9,0,0,0.0,0.0,86.836,15.016
-277.734,-0.35,27.4,0,0,0.0,0.0721,88.242,15.02
-289.336,-0.35,26.3,0,0,0.0,0.161,100.371,15.02
-318.164,-0.35,27.3,0,0,0.0,0.2397,118.301,15.016
-326.426,-0.35,24.3,0,0,0.0,0.3194,123.047,15.016
-310.078,-0.35,24.3,0,0,0.0,0.4012,114.785,15.016
-287.93,-0.35,26.6,0,0,0.0,0.468,102.832,15.016
-285.645,-0.35,27.2,0,0,0.0,0.5488,100.195,15.02
-301.992,-0.35,27.2,0,0,0.0,0.6104,105.117,15.02
-321.152,-0.35,27.1,0,0,0.0,0.6926,110.391,15.02
-321.68,-0.35,27.1,0,0,0.0,0.761,105.469,15.02
-304.102,-0.35,27.0,0,0,0.0,0.8398,91.934,15.02
-290.391,-0.35,26.6,0,0,0.0,0.916,80.508,15.02
-297.07,-0.35,26.6,0,0,0.0,1.0062,80.332,15.02
-313.77,-0.35,26.9,0,0,0.0,1.0679,84.727,15.024
-320.801,-0.35,27.5,0,0,0.0,1.1477,83.145,15.02
-300.059,-0.35,27.2,0,0,0.0,1.2544,69.082,15.02
-294.434,-0.35,26.6,0,0,0.0,1.3642,65.039,15.02
-301.641,-0.35,27.9,0,0,0.0,1.4319,67.852,15.016
-316.23,-0.35,27.9,0,0,0.0,1.5108,74.004,15.016
-316.055,-0.35,26.7,0,0,0.0,1.5945,73.301,15.016
-298.652,0.0,27.6,0,0,0.0,0.0,65.742,15.016
-302.871,0.0,27.5,0,0,0.0,0.083,69.785,15.016
-313.242,0.0,27.5,0,0,0.0,0.1977,76.289,15.016
-312.187,0.0,26.4,0,0,0.0,0.2805,76.992,15.02
-303.574,0.0,27.1,0,0,0.0,0.3701,74.18,15.016
-299.355,0.0,27.2,0,0,0.0,0.4419,73.477,15.02
-302.695,0.0,27.2,0,0,0.0,0.5077,76.641,15.02
-309.727,0.0,26.7,0,0,0.0,0.5846,81.035,15.02
-311.133,0.0,26.5,0,0,0.0,0.6688,82.09,15.02
-304.453,0.0,27.5,0,0,0.0,0.7544,79.102,15.016
-301.816,0.0,27.1,0,0,0.0,0.8544,78.223,15.02
-304.629,0.0,26.3,0,0,0.0,0.9272,79.805,15.016
-308.672,0.0,26.3,0,0,0.0,1.0055,81.211,15.016
-308.672,0.0,26.6,0,0,0.0,1.0915,80.508,15.016
-305.859,0.0,27.0,0,0,0.0,1.1656,78.574,15.02
-304.453,0.0,26.9,0,0,0.0,1.2612,77.695,15.016
-306.563,0.0,27.0,0,0,0.0,1.3402,78.398,15.02
-307.266,0.0,24.1,0,0,0.0,1.4459,78.223,15.02
-307.266,0.0,27.0,0,0,0.0,1.5149,77.871,15.02
