t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,63.6328,-148.1836,-148.1836,0,0
0.000752,63.6328,-148.1836,-148.1836,0,0
0.001014,63.6328,-148.1836,-148.1836,0,0
0.002491,63.6328,-148.1836,-148.1836,0,0
0.004499,63.6328,-148.1836,-148.1836,0,0
0.006483,63.6328,-148.1836,-148.1836,0,0
0.008492,63.6328,-148.1836,-148.1836,0,0
0.010487,63.6328,-148.1836,-148.1836,0,0
0.012849,63.6328,-148.1836,-148.1836,0,0
0.014500,63.6328,-148.1836,-148.1836,0,0
0.016486,63.6328,-148.1836,-148.1836,0,0
0.018472,63.6328,-148.1836,-148.1836,0,0
0.020519,63.6328,-148.1836,-148.1836,0,0
0.022505,63.6328,-148.1836,-148.1836,0,0
0.024461,63.6328,-148.1836,-148.1836,0,0
0.032858,63.6328,-148.1836,-148.1836,0,0
0.033715,63.6328,-148.1836,-148.1836,0,0
0.033967,63.6328,-148.1836,-148.1836,0,0
0.034187,63.6328,-148.1836,-148.1836,0,0
0.034518,63.6328,-148.1836,-148.1836,0,0
0.036515,63.6328,-148.1836,-148.1836,0,0
0.038532,63.6328,-148.1836,-148.1836,0,0
0.040852,63.6328,-148.1836,-148.1836,0,0
0.042464,63.6328,-148.1836,-148.1836,0,0
0.044540,63.6328,-148.1836,-148.1836,0,0
0.046495,63.6328,-148.1836,-148.1836,0,0
0.048468,63.6328,-148.1836,-148.1836,0,0
0.050529,63.6328,-148.1836,-148.1836,0,0
0.052499,63.6328,-148.1836,-148.1836,0,0
0.054488,63.6328,-148.1836,-148.1836,0,0
0.059196,63.6328,-148.1836,-148.1836,0,0
0.059544,63.6328,-148.1836,-148.1836,0,0
0.060474,63.6328,-148.1836,-148.1836,0,0
0.062532,63.6328,-148.1836,-148.1836,0,0
0.064502,63.6328,-148.1836,-148.1836,0,0
0.066532,63.6328,-148.1836,-148.1836,0,0
0.068515,63.6328,-148.1836,-148.1836,0,0
0.070523,63.6328,-148.1836,-148.1836,0,0
0.080600,63.6328,-148.1836,-148.1836,40,1
0.082674,63.6328,-148.0078,-148.0078,40,1
0.084691,63.6328,-148.0078,-148.0078,40,1
0.086627,63.6328,-148.0078,-148.0078,40,1
0.088648,63.4570,-148.0078,-148.0078,40,1
0.090659,63.4570,-148.0078,-148.0078,40,1
0.092622,63.4570,-148.0078,-148.0078,40,1
0.094643,63.4570,-148.0078,-148.0078,40,1
0.096619,63.4570,-147.8320,-147.8320,40,1
0.098615,63.2812,-147.8320,-147.8320,40,1
0.100613,63.2812,-147.8320,-147.8320,40,1
0.102647,63.2812,-147.8320,-147.8320,40,1
0.104643,63.2812,-147.6562,-147.6562,40,1
0.106641,63.1055,-147.6562,-147.6562,40,1
0.108641,63.1055,-147.6562,-147.6562,40,1
