t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,31.2891,-94.2188,-94.2188,0,0
0.000557,31.2891,-94.2188,-94.2188,0,0
0.001667,31.2891,-94.2188,-94.2188,0,0
0.003578,31.2891,-94.2188,-94.2188,0,0
0.005534,31.2891,-94.2188,-94.2188,0,0
0.007572,31.2891,-94.2188,-94.2188,0,0
0.009566,31.2891,-94.2188,-94.2188,0,0
0.011557,31.2891,-94.2188,-94.2188,0,0
0.013547,31.2891,-94.2188,-94.2188,0,0
0.015573,31.2891,-94.2188,-94.2188,0,0
0.017547,31.2891,-94.2188,-94.2188,0,0
0.019499,31.2891,-94.2188,-94.2188,0,0
0.021582,31.2891,-94.2188,-94.2188,0,0
0.023541,31.2891,-94.2188,-94.2188,0,0
0.025576,31.2891,-94.2188,-94.2188,0,0
0.030038,31.2891,-94.2188,-94.2188,0,0
0.030383,31.2891,-94.2188,-94.2188,0,0
0.031498,31.2891,-94.2188,-94.2188,0,0
0.033507,31.2891,-94.2188,-94.2188,0,0
0.035553,31.2891,-94.2188,-94.2188,0,0
0.037548,31.2891,-94.2188,-94.2188,0,0
0.039543,31.2891,-94.2188,-94.2188,0,0
0.041576,31.2891,-94.2188,-94.2188,0,0
0.043515,31.2891,-94.2188,-94.2188,0,0
0.045553,31.2891,-94.2188,-94.2188,0,0
0.047548,31.2891,-94.2188,-94.2188,0,0
0.049543,31.2891,-94.2188,-94.2188,0,0
0.051542,31.2891,-94.2188,-94.2188,0,0
0.053548,31.2891,-94.2188,-94.2188,0,0
0.055489,31.2891,-94.2188,-94.2188,0,0
0.057576,31.2891,-94.2188,-94.2188,0,0
0.059573,31.2891,-94.2188,-94.2188,0,0
0.061569,31.2891,-94.2188,-94.2188,0,0
0.063566,31.2891,-94.2188,-94.2188,0,0
0.065562,31.2891,-94.2188,-94.2188,0,0
0.067557,31.2891,-94.2188,-94.2188,0,0
0.069554,31.2891,-94.2188,-94.2188,0,0
0.071548,31.2891,-94.2188,-94.2188,0,0
0.073543,31.2891,-94.2188,-94.2188,0,0
0.075542,31.2891,-94.2188,-94.2188,0,0
0.077538,31.2891,-94.2188,-94.2188,0,0
0.079534,31.2891,-94.2188,-94.2188,0,0
0.081533,31.2891,-94.2188,-94.2188,0,0
0.083533,31.2891,-94.2188,-94.2188,0,0
0.085533,31.2891,-94.2188,-94.2188,0,0
0.087533,31.2891,-94.2188,-94.2188,0,0
0.089533,31.2891,-94.2188,-94.2188,0,0
0.091533,31.2891,-94.2188,-94.2188,0,0
0.093546,31.2891,-94.2188,-94.2188,0,0
0.095542,31.2891,-94.2188,-94.2188,0,0
0.097538,31.2891,-94.3945,-94.3945,0,0
0.099534,31.2891,-94.3945,-94.3945,0,0
0.101533,31.2891,-94.3945,-94.3945,0,0
0.103533,31.2891,-94.3945,-94.3945,0,0
0.105533,31.2891,-94.3945,-94.3945,0,0
0.107533,31.2891,-94.3945,-94.3945,0,0
0.109533,31.2891,-94.3945,-94.3945,0,0
0.111533,31.2891,-94.3945,-94.3945,0,0
0.113533,31.2891,-94.3945,-94.3945,0,0
0.115533,31.2891,-94.3945,-94.3945,0,0
0.117533,31.2891,-94.3945,-94.3945,0,0
0.119545,31.2891,-94.3945,-94.3945,0,0
0.121542,31.2891,-94.3945,-94.3945,0,0
0.123497,31.2891,-94.3945,-94.3945,0,0
0.125510,31.2891,-94.3945,-94.3945,0,0
0.129438,31.2891,-94.3945,-94.3945,0,0
0.129710,31.2891,-94.3945,-94.3945,0,0
0.131503,31.2891,-94.3945,-94.3945,0,0
0.133527,31.2891,-94.3945,-94.3945,0,0
0.135501,31.2891,-94.3945,-94.3945,0,0
0.137495,31.2891,-94.3945,-94.3945,0,0
0.139491,31.2891,-94.3945,-94.3945,0,0
0.141583,31.2891,-94.3945,-94.3945,0,0
0.143503,31.2891,-94.3945,-94.3945,0,0
0.145496,31.2891,-94.3945,-94.3945,0,0
0.147688,31.2891,-94.3945,-94.3945,0,0
0.149496,31.2891,-94.3945,-94.3945,0,0
0.151566,31.2891,-94.5703,-94.5703,0,0
0.153538,31.2891,-94.5703,-94.5703,0,0
0.155497,31.2891,-94.5703,-94.5703,0,0
0.157565,31.2891,-94.5703,-94.5703,0,0
0.159538,31.2891,-94.5703,-94.5703,0,0
0.161538,31.2891,-94.5703,-94.5703,0,0
0.163504,31.2891,-94.5703,-94.5703,0,0
