t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,76.9922,-65.9180,-65.9180,0,0
0.000580,76.9922,-65.9180,-65.9180,0,0
0.000799,76.9922,-65.9180,-65.9180,0,0
0.002085,76.9922,-65.9180,-65.9180,0,0
0.004100,76.9922,-65.9180,-65.9180,0,0
0.006070,76.9922,-65.9180,-65.9180,0,0
0.008070,76.9922,-65.9180,-65.9180,0,0
0.010070,76.9922,-65.9180,-65.9180,0,0
0.012102,76.9922,-65.9180,-65.9180,0,0
0.014096,76.9922,-65.9180,-65.9180,0,0
0.016037,76.9922,-65.9180,-65.9180,0,0
0.018097,76.9922,-65.9180,-65.9180,0,0
0.020078,76.9922,-65.9180,-65.9180,0,0
0.022089,76.9922,-65.9180,-65.9180,0,0
0.024110,76.9922,-65.9180,-65.9180,0,0
0.026090,76.9922,-65.9180,-65.9180,0,0
0.028067,76.9922,-65.9180,-65.9180,0,0
0.030040,76.9922,-65.9180,-65.9180,0,0
0.032097,76.9922,-65.9180,-65.9180,0,0
0.034070,76.9922,-65.9180,-65.9180,0,0
0.036041,76.9922,-65.9180,-65.9180,0,0
0.038097,76.9922,-65.9180,-65.9180,0,0
0.040070,76.9922,-65.9180,-65.9180,0,0
0.042111,76.9922,-65.9180,-65.9180,0,0
0.047750,76.9922,-65.9180,-65.9180,0,0
0.048094,76.9922,-65.9180,-65.9180,0,0
0.048260,76.9922,-65.9180,-65.9180,0,0
0.050068,76.9922,-65.9180,-65.9180,0,0
0.052040,76.9922,-65.9180,-65.9180,0,0
0.054041,76.9922,-65.9180,-65.9180,0,0
0.056079,76.9922,-65.9180,-65.9180,0,0
0.058370,76.9922,-65.9180,-65.9180,0,0
0.066534,76.9922,-65.9180,-65.9180,0,0
0.067012,76.9922,-65.9180,-65.9180,0,0
0.067232,76.9922,-65.9180,-65.9180,0,0
0.067447,76.9922,-65.9180,-65.9180,0,0
0.068065,76.9922,-65.9180,-65.9180,0,0
0.070081,76.9922,-65.9180,-65.9180,0,0
0.072092,76.9922,-65.9180,-65.9180,0,0
0.074099,76.9922,-65.9180,-65.9180,0,0
0.076080,76.9922,-65.9180,-65.9180,0,0
0.078055,76.9922,-65.9180,-65.9180,0,0
0.080056,76.9922,-65.9180,-65.9180,0,0
0.082046,76.9922,-65.9180,-65.9180,0,0
0.084078,76.9922,-65.9180,-65.9180,0,0
0.086097,76.9922,-65.9180,-65.9180,0,0
0.088041,76.9922,-65.9180,-65.9180,0,0
0.090097,76.9922,-65.9180,-65.9180,0,0
0.092070,76.9922,-65.9180,-65.9180,0,0
0.094041,76.9922,-65.9180,-65.9180,0,0
0.096098,76.9922,-65.9180,-65.9180,0,0
0.098090,76.9922,-65.9180,-65.9180,0,0
0.100085,76.9922,-65.9180,-65.9180,0,0
0.102193,76.9922,-65.9180,-65.9180,0,0
0.104071,76.9922,-65.9180,-65.9180,0,0
0.106085,76.9922,-65.9180,-65.9180,0,0
0.108070,76.9922,-65.9180,-65.9180,0,0
0.110070,76.9922,-65.9180,-65.9180,0,0
0.112055,76.9922,-65.9180,-65.9180,0,0
0.114102,76.9922,-65.9180,-65.9180,0,0
0.116088,76.9922,-65.9180,-65.9180,0,0
0.118100,76.9922,-65.9180,-65.9180,0,0
0.127762,76.9922,-65.9180,-65.9180,0,5
0.129756,76.9922,-65.9180,-65.9180,52,5
0.130301,76.9922,-65.9180,-65.9180,52,5
0.130805,76.9922,-65.9180,-65.9180,52,5
0.131737,76.9922,-65.9180,-65.9180,52,5
0.132137,76.9922,-65.9180,-65.9180,52,5
0.132469,76.9922,-65.9180,-65.9180,52,5
0.134047,76.8164,-65.9180,-65.9180,52,5
0.136101,76.8164,-65.9180,-65.9180,52,5
0.138062,76.8164,-65.9180,-65.9180,52,5
0.140058,76.8164,-65.7422,-65.7422,52,5
0.142081,76.8164,-65.7422,-65.7422,52,5
0.146091,76.6406,-65.5664,-65.5664,52,5
0.146719,76.6406,-65.5664,-65.5664,52,5
0.148038,76.6406,-65.5664,-65.5664,52,5
0.150107,76.4648,-65.5664,-65.5664,52,5
0.152034,76.4648,-65.3906,-65.3906,52,5
0.154109,76.2891,-65.3906,-65.3906,52,5
0.156109,76.1133,-65.2148,-65.2148,52,5
0.158062,76.1133,-65.0391,-65.0391,52,5
0.160066,75.9375,-64.8633,-64.8633,52,5
0.162036,75.7617,-64.8633,-64.8633,52,5
0.164115,75.5859,-64.6875,-64.6875,52,5
0.166101,75.4102,-64.5117,-64.5117,52,5
0.168090,75.4102,-64.3359,-64.3359,52,5
0.170113,75.2344,-64.1602,-64.1602,52,5
0.172100,75.0586,-63.9844,-63.9844,52,5
0.174090,74.8828,-63.8086,-63.8086,52,5
0.176081,74.7070,-63.6328,-63.6328,52,5
0.178067,74.5312,-63.4570,-63.4570,52,5
0.180056,74.3555,-63.2812,-63.2812,52,5
0.182047,74.0039,-63.1055,-63.1055,52,5
0.184050,73.8281,-62.9297,-62.9297,52,5
0.186036,73.6523,-62.7539,-62.7539,52,5
0.188115,73.4766,-62.5781,-62.5781,52,5
0.190034,73.3008,-62.2266,-62.2266,52,5
0.192115,72.9492,-62.0508,-62.0508,52,5
0.194101,72.7734,-61.8750,-61.8750,52,5
0.196090,72.5977,-61.5234,-61.5234,52,5
0.198081,72.2461,-61.3477,-61.3477,53,5
0.200067,72.0703,-61.1719,-61.1719,53,5
0.202056,71.7188,-60.8203,-60.8203,53,5
0.204047,71.5430,-60.6445,-60.6445,53,5
0.206035,71.1914,-60.4688,-60.4688,53,5
