t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,58.3594,-148.0078,-148.0078,0,0
0.000496,58.3594,-148.0078,-148.0078,0,0
0.000954,58.3594,-148.0078,-148.0078,0,0
0.002990,58.3594,-148.0078,-148.0078,0,0
0.007601,58.3594,-148.0078,-148.0078,0,0
0.007950,58.3594,-148.0078,-148.0078,0,0
0.009017,58.3594,-148.0078,-148.0078,0,0
0.010994,58.3594,-148.0078,-148.0078,0,0
0.013032,58.3594,-148.0078,-148.0078,0,0
0.015010,58.3594,-148.0078,-148.0078,0,0
0.016985,58.3594,-148.0078,-148.0078,0,0
0.018971,58.3594,-148.0078,-148.0078,0,0
0.020950,58.3594,-148.0078,-148.0078,0,0
0.023138,58.3594,-148.0078,-148.0078,0,0
0.024977,58.3594,-148.0078,-148.0078,0,0
0.033295,58.3594,-148.0078,-148.0078,0,0
0.034249,58.3594,-148.0078,-148.0078,0,0
0.034464,58.3594,-148.0078,-148.0078,0,0
0.034711,58.3594,-148.0078,-148.0078,0,0
0.035035,58.3594,-148.0078,-148.0078,0,0
0.036997,58.3594,-148.0078,-148.0078,0,0
0.038964,58.3594,-148.0078,-148.0078,0,0
0.040978,58.3594,-148.0078,-148.0078,0,0
0.042988,58.3594,-148.0078,-148.0078,0,0
0.045033,58.3594,-148.0078,-148.0078,0,0
0.047023,58.3594,-148.0078,-148.0078,0,0
0.048965,58.3594,-148.0078,-148.0078,0,0
0.050981,58.3594,-148.0078,-148.0078,0,0
0.053006,58.3594,-148.0078,-148.0078,0,0
0.054974,58.3594,-148.0078,-148.0078,0,0
0.056973,58.3594,-148.0078,-148.0078,0,0
0.058968,58.3594,-148.0078,-148.0078,0,0
0.060965,58.3594,-148.0078,-148.0078,0,0
0.062969,58.3594,-148.0078,-148.0078,0,0
0.071371,58.3594,-148.0078,-148.0078,0,5
0.073282,58.3594,-148.0078,-148.0078,55,5
0.073799,58.3594,-148.0078,-148.0078,55,5
0.074287,58.3594,-148.0078,-148.0078,55,5
0.075217,58.3594,-148.0078,-148.0078,55,5
0.075621,58.3594,-148.0078,-148.0078,55,5
0.076981,58.3594,-148.0078,-148.0078,55,5
0.078975,58.3594,-148.0078,-148.0078,54,5
0.080965,58.3594,-148.0078,-148.0078,53,5
0.082953,58.3594,-148.0078,-148.0078,52,5
0.085035,58.3594,-148.0078,-148.0078,52,5
0.086966,58.1836,-147.8320,-147.8320,51,5
0.089004,58.1836,-147.8320,-147.8320,50,5
0.090960,58.0078,-147.8320,-147.8320,50,5
0.092998,58.0078,-147.6562,-147.6562,49,5
0.095033,57.8320,-147.6562,-147.6562,55,5
0.096994,57.8320,-147.4805,-147.4805,55,5
0.098955,57.6562,-147.3047,-147.3047,55,5
0.101020,57.6562,-147.3047,-147.3047,55,5
0.103012,57.4805,-147.1289,-147.1289,55,5
0.104998,57.3047,-146.9531,-146.9531,55,5
0.107025,57.1289,-146.9531,-146.9531,55,5
0.114665,56.6016,-146.2500,-146.2500,55,5
0.116045,56.4258,-146.0742,-146.0742,55,5
0.116464,56.4258,-146.0742,-146.0742,55,5
0.116850,56.4258,-146.0742,-146.0742,55,5
0.117220,56.4258,-145.8984,-145.8984,55,5
0.119010,56.2500,-145.8984,-145.8984,55,5
0.120965,55.8984,-145.7227,-145.7227,55,5
0.122984,55.7227,-145.3711,-145.3711,55,5
0.125044,55.5469,-145.1953,-145.1953,55,5
0.126998,55.3711,-145.0195,-145.0195,55,5
0.129031,55.0195,-144.8438,-144.8438,55,5
0.131029,54.8438,-144.4922,-144.4922,55,5
0.133010,54.6680,-144.3164,-144.3164,55,5
0.134990,54.3164,-144.1406,-144.1406,55,5
0.137014,54.1406,-143.7891,-143.7891,55,5
0.138993,53.7891,-143.6133,-143.6133,55,5
0.140965,53.6133,-143.2617,-143.2617,55,5
0.143028,53.2617,-143.0859,-143.0859,55,5
0.145011,53.0859,-142.7344,-142.7344,56,5
0.146991,52.7344,-142.5586,-142.5586,56,5
0.148963,52.3828,-142.2070,-142.2070,56,5
0.151028,52.2070,-142.0312,-142.0312,56,5
0.153010,51.8555,-141.6797,-141.6797,56,5
0.154990,51.5039,-141.5039,-141.5039,56,5
0.157025,51.3281,-141.1523,-141.1523,56,5
0.159004,50.9766,-140.8008,-140.8008,56,5
0.160983,50.6250,-140.6250,-140.6250,56,5
0.163002,50.2734,-140.2734,-140.2734,56,5
0.165010,49.9219,-139.9219,-139.9219,56,5
0.166990,49.5703,-139.7461,-139.7461,56,5
0.168964,49.2188,-139.3945,-139.3945,56,5
0.170993,48.8672,-139.2188,-139.2188,56,5
0.172965,48.5156,-138.8672,-138.8672,56,5
0.175028,48.1641,-138.6914,-138.6914,56,5
0.176950,47.8125,-138.3398,-138.3398,56,5
0.178960,47.4609,-137.9883,-137.9883,56,5
0.181025,47.1094,-137.8125,-137.8125,56,5
0.183019,46.7578,-137.4609,-137.4609,56,5
0.184961,46.4062,-137.2852,-137.2852,56,5
0.187028,46.0547,-136.9336,-136.9336,56,5
0.189010,45.7031,-136.7578,-136.7578,56,5
0.190990,45.3516,-136.4062,-136.4062,57,5
0.192963,45.0000,-136.2305,-136.2305,57,5
0.195028,44.6484,-135.8789,-135.8789,57,5
0.197031,44.2969,-135.7031,-135.7031,57,5
0.199011,43.7695,-135.3516,-135.3516,57,5
0.200990,43.4180,-135.1758,-135.1758,57,5
0.202963,43.0664,-135.0000,-135.0000,57,5
0.205028,42.7148,-134.6484,-134.6484,57,5
0.206949,42.3633,-134.4727,-134.4727,57,5
0.209020,42.0117,-134.2969,-134.2969,57,5
0.210998,41.4844,-133.9453,-133.9453,57,5
0.212966,41.1328,-133.7695,-133.7695,57,5
0.215029,40.7812,-133.5938,-133.5938,57,5
0.217031,40.4297,-133.2422,-133.2422,57,5
0.219011,40.0781,-133.0664,-133.0664,57,5
0.220990,39.5508,-132.8906,-132.8906,57,5
0.222963,39.1992,-132.7148,-132.7148,57,5
0.225028,38.8477,-132.5391,-132.5391,57,5
0.227010,38.4961,-132.3633,-132.3633,57,5
0.228990,37.9688,-132.1875,-132.1875,57,5
0.230963,37.6172,-132.0117,-132.0117,57,5
0.232965,37.2656,-131.8359,-131.8359,57,5
0.235004,36.9141,-131.6602,-131.6602,57,5
0.236969,36.5625,-131.4844,-131.4844,58,5
0.238961,36.0352,-131.3086,-131.3086,58,5
0.243194,35.1562,-130.9570,-130.9570,58,5
0.244211,34.9805,-130.9570,-130.9570,58,5
0.245050,34.8047,-130.9570,-130.9570,58,5
0.247411,34.2773,-130.7812,-130.7812,58,5
0.249016,33.9258,-130.7812,-130.7812,58,5
0.251010,33.5742,-130.6055,-130.6055,58,5
0.252998,33.2227,-130.4297,-130.4297,58,5
0.254949,32.8711,-130.4297,-130.4297,58,5
0.257002,32.3438,-130.2539,-130.2539,58,5
0.258989,31.9922,-130.2539,-130.2539,58,5
0.260953,31.6406,-130.0781,-130.0781,58,5
0.263023,31.1133,-130.0781,-130.0781,58,5
0.264977,30.7617,-130.0781,-130.0781,58,5
0.266992,30.2344,-130.0781,-130.0781,58,5
0.268978,29.8828,-129.9023,-129.9023,58,5
0.270985,29.5312,-129.9023,-129.9023,58,5
0.273037,29.0039,-129.9023,-129.9023,58,5
0.275025,28.6523,-129.7266,-129.7266,58,5
0.277012,28.3008,-129.7266,-129.7266,58,5
0.279029,27.7734,-129.7266,-129.7266,58,5
0.281025,27.4219,-129.7266,-129.7266,58,5
0.283012,26.8945,-129.7266,-129.7266,58,5
0.285001,26.5430,-129.7266,-129.7266,58,5
0.286989,26.1914,-129.7266,-129.7266,58,5
0.288977,25.6641,-129.7266,-129.7266,58,5
0.290962,25.3125,-129.9023,-129.9023,59,5
0.293042,24.9609,-129.9023,-129.9023,59,5
0.295032,24.4336,-129.9023,-129.9023,59,5
0.297022,24.0820,-130.0781,-130.0781,59,5
0.299029,23.5547,-130.0781,-130.0781,59,5
0.301025,23.2031,-130.0781,-130.0781,59,5
0.303012,22.6758,-130.0781,-130.0781,59,5
0.305001,22.3242,-130.2539,-130.2539,59,5
0.306989,21.9727,-130.2539,-130.2539,59,5
0.308977,21.4453,-130.4297,-130.4297,59,5
0.310962,21.0938,-130.4297,-130.4297,59,5
0.313042,20.5664,-130.6055,-130.6055,59,5
0.315032,20.2148,-130.7812,-130.7812,59,5
0.317023,19.6875,-130.7812,-130.7812,59,5
0.319039,19.3359,-130.9570,-130.9570,-59,5
0.321032,18.9844,-131.1328,-131.1328,-59,5
0.323022,18.4570,-131.3086,-131.3086,-59,5
0.325009,18.1055,-131.4844,-131.4844,-59,5
0.326998,17.7539,-131.6602,-131.6602,-59,5
0.328989,17.4023,-131.8359,-131.8359,-59,5
0.330977,17.0508,-132.1875,-132.1875,-59,5
0.332962,16.6992,-132.3633,-132.3633,-59,5
0.335043,16.3477,-132.8906,-132.8906,-59,5
0.337032,16.1719,-133.0664,-133.0664,-59,5
0.339042,15.8203,-133.4180,-133.4180,-59,5
0.341040,15.6445,-133.7695,-133.7695,-59,5
0.343029,15.4688,-134.2969,-134.2969,-59,5
0.345016,15.1172,-134.6484,-134.6484,-59,5
0.347004,14.9414,-135.1758,-135.1758,-59,5
