t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,63.6328,-148.1836,-148.1836,0,0
0.000500,63.6328,-148.1836,-148.1836,0,0
0.002132,63.6328,-148.1836,-148.1836,0,0
0.004063,63.6328,-148.1836,-148.1836,0,0
0.006034,63.6328,-148.1836,-148.1836,0,0
0.008088,63.6328,-148.1836,-148.1836,0,0
0.010095,63.6328,-148.1836,-148.1836,0,0
0.012100,63.6328,-148.1836,-148.1836,0,0
0.014029,63.6328,-148.1836,-148.1836,0,0
0.019642,63.6328,-148.1836,-148.1836,0,0
0.020021,63.6328,-148.1836,-148.1836,0,0
0.020205,63.6328,-148.1836,-148.1836,0,0
0.022103,63.6328,-148.1836,-148.1836,0,0
0.024062,63.6328,-148.1836,-148.1836,0,0
0.026032,63.6328,-148.1836,-148.1836,0,0
0.028060,63.6328,-148.1836,-148.1836,0,0
0.030048,63.6328,-148.1836,-148.1836,0,0
0.032056,63.6328,-148.1836,-148.1836,0,0
0.034028,63.6328,-148.1836,-148.1836,0,0
0.036083,63.6328,-148.1836,-148.1836,0,0
0.038068,63.6328,-148.1836,-148.1836,0,0
0.040040,63.6328,-148.1836,-148.1836,0,0
0.042098,63.6328,-148.1836,-148.1836,0,0
0.044069,63.6328,-148.1836,-148.1836,0,0
0.046040,63.6328,-148.1836,-148.1836,0,0
0.048098,63.6328,-148.1836,-148.1836,0,0
0.050069,63.6328,-148.1836,-148.1836,0,0
0.052040,63.6328,-148.1836,-148.1836,0,0
0.054095,63.6328,-148.1836,-148.1836,0,0
0.056084,63.6328,-148.1836,-148.1836,0,0
0.058088,63.6328,-148.1836,-148.1836,0,0
0.060060,63.6328,-148.1836,-148.1836,0,0
0.062080,63.6328,-148.1836,-148.1836,0,0
0.064482,63.6328,-148.1836,-148.1836,0,0
0.072576,63.6328,-148.1836,-148.1836,0,0
0.073109,63.6328,-148.1836,-148.1836,0,0
0.073336,63.6328,-148.1836,-148.1836,0,0
0.073557,63.6328,-148.1836,-148.1836,0,0
0.074116,63.6328,-148.1836,-148.1836,0,0
0.076048,63.6328,-148.1836,-148.1836,0,0
0.078093,63.6328,-148.1836,-148.1836,0,0
0.080086,63.6328,-148.1836,-148.1836,0,0
0.082080,63.6328,-148.1836,-148.1836,0,0
0.084076,63.6328,-148.1836,-148.1836,0,0
0.086026,63.6328,-148.1836,-148.1836,0,0
0.088123,63.6328,-148.1836,-148.1836,0,0
0.090123,63.6328,-148.1836,-148.1836,0,0
0.092123,63.6328,-148.1836,-148.1836,0,0
0.094076,63.6328,-148.1836,-148.1836,0,0
0.096091,63.6328,-148.1836,-148.1836,0,0
0.098101,63.6328,-148.1836,-148.1836,0,0
0.100104,63.6328,-148.1836,-148.1836,0,0
0.102096,63.6328,-148.1836,-148.1836,0,0
0.104073,63.6328,-148.1836,-148.1836,0,0
0.106055,63.6328,-148.1836,-148.1836,0,0
0.108050,63.6328,-148.1836,-148.1836,0,0
0.110046,63.6328,-148.1836,-148.1836,0,0
0.112041,63.6328,-148.1836,-148.1836,0,0
0.114082,63.6328,-148.1836,-148.1836,0,0
0.119179,63.6328,-148.1836,-148.1836,0,0
0.119560,63.6328,-148.1836,-148.1836,0,0
0.120025,63.6328,-148.1836,-148.1836,0,0
0.122123,63.6328,-148.1836,-148.1836,0,0
