t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.000773,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.001013,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.002199,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.004171,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.006133,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.008176,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.010126,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.012182,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.014204,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.016207,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.018145,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.020143,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.022190,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.024202,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.026199,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.028198,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.030198,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.032193,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.034185,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.036130,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.038126,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.040121,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.042211,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.044206,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.046201,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.048199,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.050198,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.052198,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.054198,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.056198,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.058198,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.060223,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.062188,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.064180,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
0.066173,4.3066,76.8164,76.8164,0,0,0.264529,3393903156
