t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.000453,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.000652,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.002088,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.004114,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.006114,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.008142,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.010478,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.012113,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.014128,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.016143,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.018100,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.020105,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.022114,3.9551,10.7227,10.7227,0,0,0.232394,2802263304
0.024122,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.026129,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.028134,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.030142,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.032083,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.034092,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.036100,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.038106,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.040114,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.042122,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.044130,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.046137,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.048147,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.050089,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.052093,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.054100,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.056104,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.058114,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.060118,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.062123,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.064130,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.066134,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.068142,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.070084,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.072092,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.074100,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.076106,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.078114,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.080112,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.082134,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.084088,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.089564,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.089805,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.090084,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.092092,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.094100,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.096106,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.098114,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.100122,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.102129,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.104134,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.106142,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.108084,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.110092,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.112100,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.114106,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.116134,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.118142,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.120084,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.122092,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.124100,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.126105,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.128114,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.130122,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.132129,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.134134,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.136142,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.138084,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.140092,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.142100,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.144106,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.146114,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.148122,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.150130,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.152137,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.154147,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
0.156089,3.9551,10.8984,10.8984,0,0,0.232394,2802263304
