t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.004343,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.004614,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.005921,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.007973,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.009918,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.011912,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.013969,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.015979,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.017980,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.019951,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.021906,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.023907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.025907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.027907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.029907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.031907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.033907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.035913,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.037966,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.039898,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.041979,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.043941,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.045937,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.047934,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.049931,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.051926,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.053921,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.055918,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.057912,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.059909,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.061906,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.063907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.065907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.067907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.069907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.071907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.073907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.075907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.077921,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.079918,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.081912,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.083909,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.085906,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.087907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.089907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.095357,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.095712,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.095891,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.097982,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.099977,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.101972,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.103966,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.105962,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.107960,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.109955,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.111950,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.113948,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.115941,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.117949,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.119946,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.121941,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.123938,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.125934,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.127931,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.129926,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.131921,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.133918,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.135949,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.137946,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.139941,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.141941,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.143972,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.145966,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.147962,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.149960,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.151955,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.153950,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.155948,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.157941,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.159938,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.161934,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.163931,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.165926,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.167921,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.169918,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.171912,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.173909,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.175906,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.177912,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.179909,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.181906,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.183907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
0.185907,-13.7988,94.7461,94.7461,0,0,0.257890,3871098510
