t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.000680,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.001698,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.003636,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.005664,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.007629,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.009617,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.011624,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.013678,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.015680,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.017644,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.019621,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.021688,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.023652,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.028905,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.029244,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.029683,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.031648,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.033624,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.035687,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.037651,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.039629,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.041693,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.043659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.045632,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.047694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.049659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.051632,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.053694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.055659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.057631,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.059693,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.061658,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.063631,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.065694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.067659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.069631,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.071693,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.073658,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.075631,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.077694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.079659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.081631,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.083693,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.085658,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.087631,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.089631,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.091694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.093648,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.095624,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.097687,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.099651,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.101629,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.103705,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.105654,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.107629,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.109693,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.111659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.113632,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.115694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.117659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.119632,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.121694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.123659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.128240,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.128525,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.129685,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.131649,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.133624,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.135687,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.137651,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.139629,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.141693,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.143659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.145632,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.147694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.149659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.151632,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.153694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.155659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.157631,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.159693,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.161658,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.163640,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.165617,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.167681,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.169644,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.171621,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.173688,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.175652,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.177629,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.179693,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.181658,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.183631,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.185694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.187659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.189642,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.191621,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.193688,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.195696,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.197678,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.199667,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.201655,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.203629,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.205693,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.207659,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.209676,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.211669,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.213685,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.215661,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.217694,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.219923,-11.8652,85.6055,85.6055,0,0,0.236536,3548650822
0.222997,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.223694,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.229502,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.229854,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.230039,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.231643,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.233636,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.235630,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.237626,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.239643,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.241636,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.243700,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.245660,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.247694,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.249637,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.251666,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.253670,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.255667,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.257678,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.259659,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.261656,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.263653,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.265634,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.267632,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.269628,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.271625,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.273621,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.275617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.277617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.279617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.281617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.283617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.285617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.287617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.289626,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.291621,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.293617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.295617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.297617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.299661,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.301659,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.303694,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.305690,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.307685,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.309681,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.311679,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.313674,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.315669,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.317667,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.319660,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.321657,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.323653,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.328410,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.328707,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.329657,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.331653,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.333650,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.335646,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.337641,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.339637,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.341631,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.343628,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.345626,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.347621,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.349617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.351617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.353617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.355617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.357617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.359617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.361617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.363617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.365617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.367617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.369617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.371617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.373617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.375617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.377617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.379617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.381617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.383617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.385617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.387617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.389619,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.391617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.393617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.395617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.397617,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.399666,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.401660,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.403690,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
0.405685,-11.8652,85.6055,85.6055,0,0,0.471277,3548899768
