t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,31.7285,10.8984,10.8984,0,0,0.247432,2705853211
0.000436,31.7285,10.8984,10.8984,0,0,0.247432,2705853211
0.001367,31.7285,10.8984,10.8984,0,0,0.247432,2705853211
0.003411,31.7285,10.8984,10.8984,0,0,0.247432,2705853211
0.005360,31.7285,10.8984,10.8984,0,0,0.247432,2705853211
0.007394,31.7285,10.8984,10.8984,0,0,0.247432,2705853211
0.009366,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.011362,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.013357,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.015354,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.017349,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.019341,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.021371,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.023385,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.025347,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.027357,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.029367,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.031375,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.033387,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.035396,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.037340,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.039347,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.041357,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.043367,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.045375,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.047387,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.049396,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.051340,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.053347,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.055357,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.057367,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.059375,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.061387,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.063396,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.065340,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
0.067347,31.7285,10.7227,10.7227,0,0,0.247432,2705853211
