t,theta,alpha,theta_dot,alpha_dot
0.09854245185852051,-0.0644,-0.7547,-0.1889,1.2862
0.1835801601409912,-0.0644,-0.3313,-0.0035,10.2124
0.2936270236968994,-0.0675,0.4909,-0.0565,11.5138
0.3526608943939209,-0.0675,0.7424,-0.0028,5.264
0.41663694381713867,-0.0675,0.6504,-0.0001,-3.7324
0.5171887874603271,-0.0644,-0.046,0.0208,-12.35
0.6122283935546875,-0.0644,-0.6259,0.0004,-9.7433
0.6758184432983398,-0.0644,-0.7424,0.0,0.3054
0.7331967353820801,-0.0644,-0.5798,0.0,6.1351
0.7905852794647217,-0.0644,-0.1565,0.0,11.4532
0.8635544776916504,-0.0675,0.3467,-0.1534,13.0737
0.9565060138702393,-0.0706,0.7394,-0.0218,2.3621
1.035630702972412,-0.0706,0.5553,-0.1337,-5.8919
1.1085004806518555,-0.0736,0.1012,-0.0631,-11.807
1.2581028938293457,-0.0706,-0.7486,0.0001,-2.0813
1.3129501342773438,-0.0675,-0.6596,0.1534,3.2942
1.3661713600158691,-0.0675,-0.2853,0.0076,10.7198
1.4593348503112793,-0.0736,0.3497,-0.2097,12.8068
1.5509915351867676,-0.0706,0.721,0.152,2.3084
1.6114959716796875,-0.0706,0.6197,0.0206,-3.6831
1.6892902851104736,-0.0675,0.092,0.1538,-11.9597
1.7533068656921387,-0.0675,-0.3988,0.0077,-13.1384
1.8024914264678955,-0.0675,-0.632,0.001,-9.3638
1.8630359172821045,-0.0675,-0.7363,0.0001,-1.5644
1.94987154006958,-0.0644,-0.4111,0.0076,8.7173
2.030869960784912,-0.0644,0.0491,0.0004,12.7237
2.0974457263946533,-0.0706,0.589,-0.161,9.0315
2.178943157196045,-0.0675,0.678,0.0178,-0.8025
2.297665596008301,-0.0675,0.0951,0.0001,-11.7267
2.386718273162842,-0.0644,-0.6013,0.0208,-9.2097
2.4580881595611572,-0.0644,-0.6995,0.0004,0.5818
2.5403475761413574,-0.0644,-0.4234,0.0,7.9465
2.597275733947754,-0.0644,0.0583,0.0,12.7337
2.6601531505584717,-0.0644,0.4909,0.0,10.6759
2.711381673812866,-0.0675,0.6903,-0.1534,4.3543
2.7830350399017334,-0.0675,0.6044,-0.0076,-3.374
2.8540472984313965,-0.0675,0.2608,-0.0004,-10.0113
2.912834882736206,-0.0644,-0.2025,0.0207,-11.9874
2.9962713718414307,-0.0644,-0.6657,0.0004,-6.9654
3.071017026901245,-0.0644,-0.6228,0.0,3.427
3.1244304180145264,-0.0644,-0.4264,0.0,7.5662
3.1986823081970215,-0.0644,0.1749,0.0,12.0295
3.262974500656128,-0.0644,0.5492,0.0,8.9356
3.3414437770843506,-0.0644,0.6842,0.0,2.2913
3.4029572010040283,-0.0675,0.4755,-0.1534,-6.4951
3.4774532318115234,-0.0675,-0.0982,-0.0028,-12.1563
3.526163101196289,-0.0675,-0.3896,-0.0004,-11.1758
3.597646951675415,-0.0675,-0.6688,-0.0,-6.3011
3.676349401473999,-0.0675,-0.5706,-0.0,4.5925
3.726816415786743,-0.0706,-0.3528,-0.0564,8.5068
3.8087923526763916,-0.0736,0.2485,-0.1544,12.2043
3.8906142711639404,-0.0736,0.6535,-0.0028,5.963
3.971571445465088,-0.0736,0.543,-0.0001,-4.5942
4.043193578720093,-0.0767,0.1595,-0.0564,-10.362
4.113315582275391,-0.0736,-0.4234,0.0197,-10.8005
4.183145523071289,-0.0736,-0.6167,0.0027,-7.732
4.232945919036865,-0.0736,-0.6719,0.0001,-0.1412
4.319560289382935,-0.0736,-0.2884,0.0,9.5246
4.392086029052734,-0.0767,0.1657,-0.1534,12.1662
4.4656054973602295,-0.0767,0.6136,-0.0028,7.082
4.530153751373291,-0.0798,0.632,-0.0566,-0.7779
4.601844787597656,-0.0798,0.362,-0.0028,-8.1087
4.669609069824219,-0.0798,-0.2209,-0.0001,-11.9829
4.736982107162476,-0.0798,-0.5737,-0.0,-8.5483
4.803660869598389,-0.0798,-0.675,-0.0,-1.6357
4.8673224449157715,-0.0798,-0.4847,-0.0,5.9339
4.991278171539307,-0.0828,0.3436,-0.0208,10.5607
5.05605149269104,-0.0828,0.6197,-0.001,6.2598
5.1278603076934814,-0.0828,0.6167,-0.0001,-1.1681
5.198604106903076,-0.0828,0.2301,-0.0,-8.9644
5.305634021759033,-0.0828,-0.359,-0.0,-11.3789
5.360459804534912,-0.0798,-0.6596,0.0208,-4.1112
5.440317869186401,-0.0798,-0.5706,0.001,3.5038
5.518409013748169,-0.0798,-0.092,0.0,10.8709
5.570370674133301,-0.0798,0.2086,0.0,11.6559
5.628753662109375,-0.0798,0.5522,0.0,7.8422
5.6805524826049805,-0.0798,0.6351,0.0,1.0067
5.741868734359741,-0.0798,0.5308,0.0,-3.9157
5.810010194778442,-0.0798,0.0399,0.0,-10.6093
5.886888742446899,-0.0767,-0.3804,0.1534,-10.584
5.9404380321502686,-0.0767,-0.589,0.0208,-8.2757
5.991653680801392,-0.0767,-0.632,0.001,0.1545
6.068517684936523,-0.0767,-0.3927,0.0001,7.0028
6.1293275356292725,-0.0767,0.0399,0.0,11.5843
6.197244167327881,-0.0767,0.4357,0.0,9.9259
6.29034948348999,-0.0767,0.589,0.0,-1.3006
6.360297441482544,-0.0767,0.3068,0.0,-8.3147
6.410645246505737,-0.0767,0.046,0.0,-10.1885
6.469150066375732,-0.0767,-0.3804,0.0,-10.7016
6.539631605148315,-0.0767,-0.6197,0.0,-5.5997
6.6064348220825195,-0.0767,-0.586,0.0,1.9849
6.681037664413452,-0.0767,-0.1565,0.0,9.648
6.741030216217041,-0.0767,0.2577,0.0,10.7599
6.80061936378479,-0.0767,0.5584,0.0,6.8337
6.887264013290405,-0.0767,0.5584,0.0,-2.2396
6.979829549789429,-0.0767,0.089,0.0,-10.858
7.0572052001953125,-0.0767,-0.3405,0.0,-11.0411
7.120009183883667,-0.0767,-0.6289,0.0,-4.0126
7.193519353866577,-0.0767,-0.5522,0.0,2.9308
7.274847507476807,-0.0767,-0.224,0.0,9.1253
7.35562801361084,-0.0767,0.4387,0.0,9.5495
7.42298698425293,-0.0767,0.5798,0.0,5.8276
7.485204696655273,-0.0767,0.5031,0.0,-3.7438
7.563210725784302,-0.0798,0.1595,-0.0208,-9.7288
7.620231628417969,-0.0767,-0.2424,0.0554,-10.4156
7.691065311431885,-0.0767,-0.6013,0.001,-5.543
7.763994216918945,-0.0767,-0.5829,0.0001,1.5116
7.822598218917847,-0.0767,-0.2945,0.0,8.3411
7.896143198013306,-0.0767,0.1135,0.0,10.5207
7.990325689315796,-0.0767,0.54,0.0,6.777
8.069995880126953,-0.0767,0.5308,0.0,-2.4712
8.126302242279053,-0.0767,0.2424,0.0,-8.1593
8.209511518478394,-0.0767,-0.2884,0.0,-10.3039
8.330649852752686,-0.0767,-0.6105,0.0,-1.6899
8.40229606628418,-0.0767,-0.3405,0.0,6.9824
8.497913837432861,-0.0767,0.181,0.0,10.5772
8.560196876525879,-0.0767,0.5093,0.0,8.0113
8.65393853187561,-0.0798,0.543,-0.0208,-1.511
8.76790165901184,-0.0798,0.0061,-0.0001,-10.1832
8.82950758934021,-0.0767,-0.4755,0.0564,-8.2826
8.901392936706543,-0.0767,-0.6044,0.0028,-2.4469
8.974216222763062,-0.0767,-0.3804,0.0001,6.4343
9.048792362213135,-0.0767,-0.0153,0.0,10.1507
9.113059520721436,-0.0767,0.3712,0.0,9.5626
9.17444634437561,-0.0767,0.5645,0.0,4.2931
9.240067958831787,-0.0767,0.5031,0.0,-2.706
9.300692558288574,-0.0767,0.2178,0.0,-8.0176
9.371503114700317,-0.0767,-0.2853,0.0,-9.6364
9.45858097076416,-0.0767,-0.5829,0.0,-3.9879
9.54689621925354,-0.0767,-0.5123,0.0,2.9518
9.649382591247559,-0.0767,0.0736,0.0,10.4802
9.709719896316528,-0.0767,0.4264,0.0,8.6875
9.782946109771729,-0.0767,0.5676,0.0,2.7897
9.87788724899292,-0.0767,0.224,0.0,-8.2606
9.955824136734009,-0.0767,-0.1442,0.0,-9.8032
10.018905401229858,-0.0767,-0.5308,0.0,-6.1879
10.088740348815918,-0.0767,-0.5645,0.0,0.1167
10.16077446937561,-0.0767,-0.3559,0.0,6.4467
10.256962776184082,-0.0767,0.2761,0.0,10.8246
10.34597396850586,-0.0798,0.5216,-0.1534,5.683
10.431302070617676,-0.0798,0.3804,-0.001,-5.4701
10.497601985931396,-0.0798,0.0276,-0.0001,-9.683
10.568031311035156,-0.0798,-0.3405,-0.0,-9.0782
10.65496826171875,-0.0798,-0.5737,-0.0,-2.7877
10.723851680755615,-0.0767,-0.4755,0.0208,3.3054
10.801730155944824,-0.0767,-0.0337,0.0004,9.7065
10.893248558044434,-0.0798,0.4264,-0.0564,8.1985
10.993306636810303,-0.0798,0.4909,-0.0004,-2.2066
11.062276124954224,-0.0798,0.1074,-0.0,-8.4541
11.167776823043823,-0.0767,-0.3774,0.0564,-8.9792
11.270642280578613,-0.0767,-0.54,0.0004,0.6477
11.355977773666382,-0.0767,-0.2976,0.0,6.8799
11.408734798431396,-0.0767,0.0951,0.0,10.732
11.476925373077393,-0.0798,0.4909,-0.1534,6.2016
11.534126281738281,-0.0798,0.54,-0.0208,2.1301
11.612030982971191,-0.0798,0.3221,-0.0004,-6.2302
11.697190999984741,-0.0767,-0.1381,0.1534,-9.7214
11.767858266830444,-0.0767,-0.4418,0.0076,-7.369
11.828420639038086,-0.0767,-0.5553,0.0004,-1.7927
11.903076410293579,-0.0767,-0.3068,0.0,6.8126
11.969348907470703,-0.0767,0.0522,0.0,9.6075
12.032622337341309,-0.0798,0.3835,-0.0208,7.8868
12.103423833847046,-0.0798,0.5308,-0.001,3.0567
12.199159622192383,-0.0798,0.2516,-0.0,-7.1743
12.275142192840576,-0.0798,-0.1135,-0.0,-9.8967
12.33737564086914,-0.0798,-0.4357,-0.0,-8.0429
12.43944501876831,-0.0798,-0.5154,-0.0,0.9674
12.503977298736572,-0.0798,-0.1871,-0.0,7.7284
12.576064109802246,-0.0798,0.1657,-0.0,9.0353
12.658752918243408,-0.0798,0.5031,-0.0,5.5118
12.742728471755981,-0.0798,0.4172,-0.0,-3.653
12.826076745986938,-0.0798,0.0031,-0.0,-9.3351
12.882163047790527,-0.0798,-0.2332,-0.0,-9.4873
12.93807053565979,-0.0798,-0.4878,-0.0,-5.847
13.029730319976807,-0.0798,-0.4817,-0.0,2.1534
13.09675931930542,-0.0798,-0.2178,-0.0,7.702
13.170071363449097,-0.0798,0.2546,-0.0,8.6391
13.219185829162598,-0.0798,0.4264,-0.0,6.8505
13.312639713287354,-0.0798,0.4725,-0.0,-1.3297
