t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,4.8340,-26.1914,-26.1914,0,0,0.277004,954502773
0.000450,4.8340,-26.1914,-26.1914,0,0,0.277004,954502773
0.000718,4.8340,-26.1914,-26.1914,0,0,0.277004,954502773
0.001503,4.8340,-26.1914,-26.1914,0,0,0.277004,954502773
0.003427,4.8340,-26.1914,-26.1914,0,0,0.277004,954502773
0.005464,4.8340,-26.1914,-26.1914,0,0,0.277004,954502773
0.007428,4.8340,-26.1914,-26.1914,0,0,0.277004,954502773
0.009490,5.0098,-26.1914,-26.1914,0,0,0.277004,954502773
0.011441,5.0098,-26.1914,-26.1914,0,0,0.277004,954502773
0.013500,5.0098,-26.1914,-26.1914,0,0,0.277004,954502773
0.018926,5.0098,-26.1914,-26.1914,0,0,0.277004,954502773
0.019381,5.0098,-26.1914,-26.1914,0,0,0.277004,954502773
0.019662,5.0098,-26.1914,-26.1914,0,0,0.277004,954502773
0.021546,5.1855,-26.1914,-26.1914,0,0,0.277004,954502773
0.023460,5.1855,-26.1914,-26.1914,0,0,0.277004,954502773
0.025460,5.1855,-26.1914,-26.1914,0,0,0.277004,954502773
0.027503,5.1855,-26.1914,-26.1914,0,0,0.277004,954502773
0.029439,5.1855,-26.1914,-26.1914,0,0,0.277004,954502773
0.031485,5.1855,-26.0156,-26.0156,0,0,0.277004,954502773
0.033499,5.1855,-26.0156,-26.0156,0,0,0.277004,954502773
0.035461,5.1855,-26.0156,-26.0156,0,0,0.277004,954502773
0.037519,5.3613,-26.0156,-26.0156,0,0,0.277004,954502773
0.039466,5.3613,-26.0156,-26.0156,0,0,0.277004,954502773
0.041519,5.3613,-26.0156,-26.0156,0,0,0.277004,954502773
0.043467,5.3613,-26.0156,-26.0156,0,0,0.277004,954502773
0.045519,5.3613,-26.0156,-26.0156,0,0,0.277004,954502773
0.047467,5.3613,-26.0156,-26.0156,0,0,0.277004,954502773
0.049519,5.3613,-26.0156,-26.0156,0,0,0.277004,954502773
0.051467,5.3613,-26.0156,-26.0156,0,0,0.277004,954502773
0.053519,5.5371,-25.8398,-25.8398,0,0,0.277004,954502773
0.055467,5.5371,-25.8398,-25.8398,0,0,0.277004,954502773
0.057519,5.5371,-25.8398,-25.8398,0,0,0.277004,954502773
0.059467,5.5371,-25.8398,-25.8398,0,0,0.277004,954502773
0.061519,5.5371,-25.6641,-25.6641,0,0,0.277004,954502773
0.063467,5.5371,-25.6641,-25.6641,0,0,0.277004,954502773
0.065519,5.5371,-25.6641,-25.6641,0,0,0.277004,954502773
0.067467,5.5371,-25.6641,-25.6641,0,0,0.277004,954502773
0.069519,5.5371,-25.6641,-25.6641,0,0,0.277004,954502773
0.071481,5.5371,-25.6641,-25.6641,0,0,0.277004,954502773
0.073478,5.5371,-25.4883,-25.4883,0,0,0.277004,954502773
0.075506,5.5371,-25.4883,-25.4883,0,0,0.277004,954502773
0.077471,5.5371,-25.4883,-25.4883,0,0,0.277004,954502773
0.079416,5.5371,-25.4883,-25.4883,0,0,0.277004,954502773
0.081470,5.5371,-25.4883,-25.4883,0,0,0.277004,954502773
0.083416,5.5371,-25.4883,-25.4883,0,0,0.277004,954502773
0.085470,5.5371,-25.3125,-25.3125,0,0,0.277004,954502773
0.087416,5.5371,-25.3125,-25.3125,0,0,0.277004,954502773
0.089470,5.5371,-25.3125,-25.3125,0,0,0.277004,954502773
0.091416,5.5371,-25.3125,-25.3125,0,0,0.277004,954502773
0.093470,5.5371,-25.3125,-25.3125,0,0,0.277004,954502773
0.095416,5.5371,-25.1367,-25.1367,0,0,0.277004,954502773
0.097470,5.5371,-25.1367,-25.1367,0,0,0.277004,954502773
0.099416,5.5371,-25.1367,-25.1367,0,0,0.277004,954502773
0.101470,5.5371,-24.9609,-24.9609,0,0,0.277004,954502773
0.103416,5.5371,-24.9609,-24.9609,0,0,0.277004,954502773
0.105470,5.5371,-24.9609,-24.9609,0,0,0.277004,954502773
0.107416,5.5371,-24.9609,-24.9609,0,0,0.277004,954502773
0.109470,5.7129,-24.7852,-24.7852,0,0,0.277004,954502773
0.111416,5.7129,-24.7852,-24.7852,0,0,0.277004,954502773
0.113470,5.7129,-24.7852,-24.7852,0,0,0.277004,954502773
0.118205,5.7129,-24.7852,-24.7852,0,0,0.277004,954502773
0.118472,5.7129,-24.6094,-24.6094,0,0,0.277004,954502773
0.119444,5.7129,-24.6094,-24.6094,0,0,0.277004,954502773
0.121500,5.7129,-24.6094,-24.6094,0,0,0.277004,954502773
0.123447,5.7129,-24.6094,-24.6094,0,0,0.277004,954502773
0.125500,5.7129,-24.6094,-24.6094,0,0,0.277004,954502773
0.127448,5.7129,-24.6094,-24.6094,0,0,0.277004,954502773
0.129505,5.7129,-24.4336,-24.4336,0,0,0.277004,954502773
0.131454,5.7129,-24.4336,-24.4336,0,0,0.277004,954502773
0.133511,5.7129,-24.4336,-24.4336,0,0,0.277004,954502773
0.135459,5.7129,-24.2578,-24.2578,0,0,0.277004,954502773
0.137515,5.7129,-24.2578,-24.2578,0,0,0.277004,954502773
