t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,2.5488,1.5820,1.5820,0,0,0.235521,806315955
0.000573,2.5488,1.5820,1.5820,0,0,0.235521,806315955
0.000846,2.5488,1.5820,1.5820,0,0,0.235521,806315955
0.001781,2.5488,1.5820,1.5820,0,0,0.235521,806315955
0.003828,2.7246,1.5820,1.5820,0,0,0.235521,806315955
0.005835,2.7246,1.4062,1.4062,0,0,0.235521,806315955
0.007793,2.7246,1.4062,1.4062,0,0,0.235521,806315955
0.009855,2.9004,1.4062,1.4062,0,0,0.235521,806315955
0.011820,2.9004,1.4062,1.4062,0,0,0.235521,806315955
0.013812,3.0762,1.4062,1.4062,0,0,0.235521,806315955
0.015804,3.0762,1.2305,1.2305,0,0,0.235521,806315955
0.017835,3.0762,1.2305,1.2305,0,0,0.235521,806315955
0.019764,3.2520,1.2305,1.2305,0,0,0.235521,806315955
0.021795,3.2520,1.0547,1.0547,0,0,0.235521,806315955
0.023759,3.4277,1.0547,1.0547,0,0,0.235521,806315955
0.025827,3.4277,1.0547,1.0547,0,0,0.235521,806315955
0.027761,3.6035,1.0547,1.0547,0,0,0.235521,806315955
0.029824,3.6035,0.8789,0.8789,0,0,0.235521,806315955
0.031799,3.6035,0.8789,0.8789,0,0,0.235521,806315955
0.033776,3.7793,0.8789,0.8789,0,0,0.235521,806315955
0.035842,3.7793,0.7031,0.7031,0,0,0.235521,806315955
0.037820,3.9551,0.7031,0.7031,0,0,0.235521,806315955
0.039797,4.1309,0.7031,0.7031,0,0,0.235521,806315955
0.041773,4.1309,0.7031,0.7031,0,0,0.235521,806315955
0.043837,4.1309,0.5273,0.5273,0,0,0.235521,806315955
0.045816,4.3066,0.5273,0.5273,0,0,0.235521,806315955
0.047792,4.3066,0.3516,0.3516,0,0,0.235521,806315955
0.049769,4.4824,0.3516,0.3516,0,0,0.235521,806315955
0.051837,4.4824,0.3516,0.3516,0,0,0.235521,806315955
0.056387,4.6582,0.1758,0.1758,0,0,0.235521,806315955
0.056674,4.8340,0.1758,0.1758,0,0,0.235521,806315955
0.057795,4.8340,0.1758,0.1758,0,0,0.235521,806315955
0.059819,4.8340,0.0000,0.0000,0,0,0.235521,806315955
0.061786,5.0098,0.0000,0.0000,0,0,0.235521,806315955
0.063837,5.0098,0.0000,0.0000,0,0,0.235521,806315955
0.065796,5.1855,-0.1758,-0.1758,0,0,0.235521,806315955
0.067765,5.1855,-0.1758,-0.1758,0,0,0.235521,806315955
0.069813,5.3613,-0.3516,-0.3516,0,0,0.235521,806315955
0.071781,5.3613,-0.3516,-0.3516,0,0,0.235521,806315955
0.073845,5.5371,-0.3516,-0.3516,0,0,0.235521,806315955
0.075816,5.5371,-0.5273,-0.5273,0,0,0.235521,806315955
0.077780,5.7129,-0.5273,-0.5273,0,0,0.235521,806315955
0.079837,5.7129,-0.5273,-0.5273,0,0,0.235521,806315955
0.081796,5.8887,-0.7031,-0.7031,0,0,0.235521,806315955
0.083765,5.8887,-0.7031,-0.7031,0,0,0.235521,806315955
0.085813,6.0645,-0.7031,-0.7031,0,0,0.235521,806315955
0.087781,6.0645,-0.8789,-0.8789,0,0,0.235521,806315955
0.089831,6.2402,-0.8789,-0.8789,0,0,0.235521,806315955
0.091799,6.2402,-1.0547,-1.0547,0,0,0.235521,806315955
0.093831,6.2402,-1.0547,-1.0547,0,0,0.235521,806315955
0.095798,6.4160,-1.0547,-1.0547,0,0,0.235521,806315955
0.097761,6.4160,-1.0547,-1.0547,0,0,0.235521,806315955
0.099820,6.5918,-1.2305,-1.2305,0,0,0.235521,806315955
0.101781,6.5918,-1.2305,-1.2305,0,0,0.235521,806315955
0.103837,6.7676,-1.2305,-1.2305,0,0,0.235521,806315955
0.105796,6.9434,-1.4062,-1.4062,0,0,0.235521,806315955
0.107765,6.9434,-1.4062,-1.4062,0,0,0.235521,806315955
0.109813,6.9434,-1.4062,-1.4062,0,0,0.235521,806315955
0.111781,7.1191,-1.4062,-1.4062,0,0,0.235521,806315955
0.113831,7.1191,-1.5820,-1.5820,0,0,0.235521,806315955
0.115799,7.2949,-1.5820,-1.5820,0,0,0.235521,806315955
0.117761,7.2949,-1.7578,-1.7578,0,0,0.235521,806315955
0.119820,7.2949,-1.7578,-1.7578,0,0,0.235521,806315955
0.121781,7.4707,-1.7578,-1.7578,0,0,0.235521,806315955
0.123838,7.4707,-1.7578,-1.7578,0,0,0.235521,806315955
0.125798,7.6465,-1.7578,-1.7578,0,0,0.235521,806315955
0.127769,7.6465,-1.9336,-1.9336,0,0,0.235521,806315955
0.129818,7.8223,-1.9336,-1.9336,0,0,0.235521,806315955
0.131787,7.8223,-1.9336,-1.9336,0,0,0.235521,806315955
0.133837,7.8223,-1.9336,-1.9336,0,0,0.235521,806315955
0.135806,7.9980,-1.9336,-1.9336,0,0,0.235521,806315955
0.137792,7.9980,-1.9336,-1.9336,0,0,0.235521,806315955
0.139761,8.1738,-1.9336,-1.9336,0,0,0.235521,806315955
0.141812,8.1738,-2.1094,-2.1094,0,0,0.235521,806315955
0.143781,8.1738,-2.1094,-2.1094,0,0,0.235521,806315955
0.145831,8.3496,-2.1094,-2.1094,0,0,0.235521,806315955
0.147798,8.3496,-2.1094,-2.1094,0,0,0.235521,806315955
0.149761,8.3496,-2.1094,-2.1094,0,0,0.235521,806315955
0.151819,8.5254,-2.1094,-2.1094,0,0,0.235521,806315955
0.155707,8.5254,-2.1094,-2.1094,0,0,0.235521,806315955
0.155966,8.5254,-2.1094,-2.1094,0,0,0.235521,806315955
0.157792,8.7012,-2.1094,-2.1094,0,0,0.235521,806315955
0.159769,8.7012,-2.1094,-2.1094,0,0,0.235521,806315955
0.161797,8.7012,-2.1094,-2.1094,0,0,0.235521,806315955
0.163797,8.8770,-2.1094,-2.1094,0,0,0.235521,806315955
0.165776,8.8770,-2.1094,-2.1094,0,0,0.235521,806315955
0.167843,8.8770,-2.1094,-2.1094,0,0,0.235521,806315955
0.169820,9.0527,-2.1094,-2.1094,0,0,0.235521,806315955
0.171798,9.0527,-2.1094,-2.1094,0,0,0.235521,806315955
0.173789,9.0527,-2.1094,-2.1094,0,0,0.235521,806315955
0.175769,9.0527,-2.1094,-2.1094,0,0,0.235521,806315955
0.177834,9.2285,-2.1094,-2.1094,0,0,0.235521,806315955
0.179812,9.2285,-2.1094,-2.1094,0,0,0.235521,806315955
0.181789,9.2285,-2.1094,-2.1094,0,0,0.235521,806315955
0.183765,9.2285,-2.1094,-2.1094,0,0,0.235521,806315955
0.185831,9.4043,-2.1094,-2.1094,0,0,0.235521,806315955
0.187812,9.4043,-1.9336,-1.9336,0,0,0.235521,806315955
0.189788,9.4043,-1.9336,-1.9336,0,0,0.235521,806315955
0.191764,9.4043,-1.9336,-1.9336,0,0,0.235521,806315955
0.193831,9.5801,-1.9336,-1.9336,0,0,0.235521,806315955
0.195812,9.5801,-1.9336,-1.9336,0,0,0.235521,806315955
0.197788,9.5801,-1.9336,-1.9336,0,0,0.235521,806315955
0.199764,9.5801,-1.9336,-1.9336,0,0,0.235521,806315955
0.201831,9.7559,-1.7578,-1.7578,0,0,0.235521,806315955
0.203812,9.7559,-1.7578,-1.7578,0,0,0.235521,806315955
0.205788,9.7559,-1.7578,-1.7578,0,0,0.235521,806315955
0.207764,9.7559,-1.7578,-1.7578,0,0,0.235521,806315955
0.209831,9.7559,-1.5820,-1.5820,0,0,0.235521,806315955
0.211812,9.7559,-1.5820,-1.5820,0,0,0.235521,806315955
0.213782,9.7559,-1.5820,-1.5820,0,0,0.235521,806315955
0.215777,9.9316,-1.4062,-1.4062,0,0,0.235521,806315955
0.217784,9.9316,-1.4062,-1.4062,0,0,0.235521,806315955
0.219761,9.9316,-1.4062,-1.4062,0,0,0.235521,806315955
0.221824,9.9316,-1.4062,-1.4062,0,0,0.235521,806315955
0.223799,9.9316,-1.2305,-1.2305,0,0,0.235521,806315955
0.225812,9.9316,-1.2305,-1.2305,0,0,0.478833,806556956
0.229645,10.1074,-1.0547,-1.0547,0,0,0.478833,806556956
0.229994,10.1074,-1.0547,-1.0547,0,0,0.478833,806556956
0.231802,10.1074,-1.0547,-1.0547,0,0,0.478833,806556956
0.233766,10.1074,-1.0547,-1.0547,0,0,0.478833,806556956
0.235800,10.1074,-0.8789,-0.8789,0,0,0.478833,806556956
0.237813,10.1074,-0.8789,-0.8789,0,0,0.478833,806556956
0.239777,10.1074,-0.7031,-0.7031,0,0,0.478833,806556956
0.241971,10.2832,-0.7031,-0.7031,0,0,0.478833,806556956
0.243825,10.2832,-0.7031,-0.7031,0,0,0.478833,806556956
0.245782,10.2832,-0.5273,-0.5273,0,0,0.478833,806556956
0.247807,10.2832,-0.5273,-0.5273,0,0,0.478833,806556956
0.249770,10.2832,-0.5273,-0.5273,0,0,0.478833,806556956
0.251837,10.2832,-0.3516,-0.3516,0,0,0.478833,806556956
0.256170,10.4590,-0.3516,-0.3516,0,0,0.478833,806556956
0.256473,10.4590,-0.3516,-0.3516,0,0,0.478833,806556956
0.257761,10.4590,-0.1758,-0.1758,0,0,0.478833,806556956
0.259820,10.4590,-0.1758,-0.1758,0,0,0.478833,806556956
0.261781,10.4590,0.0000,0.0000,0,0,0.478833,806556956
0.263781,10.4590,0.0000,0.0000,0,0,0.478833,806556956
0.265822,10.4590,0.0000,0.0000,0,0,0.478833,806556956
0.267820,10.4590,0.1758,0.1758,0,0,0.478833,806556956
0.269781,10.4590,0.1758,0.1758,0,0,0.478833,806556956
0.271838,10.4590,0.1758,0.1758,0,0,0.478833,806556956
0.273807,10.4590,0.3516,0.3516,0,0,0.478833,806556956
0.275779,10.4590,0.3516,0.3516,0,0,0.478833,806556956
0.277828,10.4590,0.3516,0.3516,0,0,0.478833,806556956
0.279797,10.4590,0.5273,0.5273,0,0,0.478833,806556956
0.281759,10.6348,0.7031,0.7031,0,0,0.478833,806556956
0.283815,10.6348,0.7031,0.7031,0,0,0.478833,806556956
0.285776,10.6348,0.7031,0.7031,0,0,0.478833,806556956
0.287834,10.6348,0.8789,0.8789,0,0,0.478833,806556956
0.289795,10.6348,0.8789,0.8789,0,0,0.478833,806556956
0.291763,10.6348,0.8789,0.8789,0,0,0.478833,806556956
0.293812,10.6348,1.0547,1.0547,0,0,0.478833,806556956
0.295781,10.6348,1.0547,1.0547,0,0,0.478833,806556956
0.297831,10.6348,1.0547,1.0547,0,0,0.478833,806556956
0.299798,10.8105,1.0547,1.0547,0,0,0.478833,806556956
0.301761,10.8105,1.2305,1.2305,0,0,0.478833,806556956
0.303820,10.8105,1.2305,1.2305,0,0,0.478833,806556956
0.305781,10.8105,1.4062,1.4062,0,0,0.478833,806556956
0.307837,10.8105,1.4062,1.4062,0,0,0.478833,806556956
0.309796,10.8105,1.4062,1.4062,0,0,0.478833,806556956
0.311765,10.8105,1.5820,1.5820,0,0,0.478833,806556956
0.313813,10.8105,1.5820,1.5820,0,0,0.478833,806556956
0.315781,10.9863,1.5820,1.5820,0,0,0.478833,806556956
0.317831,10.9863,1.5820,1.5820,0,0,0.478833,806556956
0.319799,10.9863,1.7578,1.7578,0,0,0.478833,806556956
0.321761,10.9863,1.7578,1.7578,0,0,0.478833,806556956
0.323820,10.9863,1.7578,1.7578,0,0,0.478833,806556956
0.325781,10.9863,1.7578,1.7578,0,0,0.478833,806556956
0.327838,11.1621,1.7578,1.7578,0,0,0.478833,806556956
0.329798,11.1621,1.9336,1.9336,0,0,0.478833,806556956
0.331769,11.1621,1.9336,1.9336,0,0,0.478833,806556956
0.333818,11.1621,1.9336,1.9336,0,0,0.478833,806556956
0.335787,11.1621,2.1094,2.1094,0,0,0.478833,806556956
0.337837,11.1621,2.1094,2.1094,0,0,0.478833,806556956
0.339806,11.1621,2.1094,2.1094,0,0,0.478833,806556956
0.341769,11.3379,2.1094,2.1094,0,0,0.478833,806556956
0.343828,11.3379,2.1094,2.1094,0,0,0.478833,806556956
0.345788,11.3379,2.1094,2.1094,0,0,0.478833,806556956
0.347845,11.3379,2.1094,2.1094,0,0,0.478833,806556956
0.349808,11.3379,2.2852,2.2852,0,0,0.478833,806556956
0.351779,11.5137,2.2852,2.2852,0,0,0.478833,806556956
0.355626,11.5137,2.2852,2.2852,0,0,0.478833,806556956
0.355895,11.5137,2.2852,2.2852,0,0,0.478833,806556956
0.357798,11.5137,2.2852,2.2852,0,0,0.478833,806556956
0.359776,11.6895,2.2852,2.2852,0,0,0.478833,806556956
0.361843,11.6895,2.2852,2.2852,0,0,0.478833,806556956
0.363820,11.6895,2.2852,2.2852,0,0,0.478833,806556956
0.365846,11.6895,2.2852,2.2852,0,0,0.478833,806556956
0.367838,11.8652,2.2852,2.2852,0,0,0.478833,806556956
0.369820,11.8652,2.2852,2.2852,0,0,0.478833,806556956
0.371796,11.8652,2.2852,2.2852,0,0,0.478833,806556956
0.373797,11.8652,2.2852,2.2852,0,0,0.478833,806556956
0.375773,11.8652,2.2852,2.2852,0,0,0.478833,806556956
0.377837,12.0410,2.2852,2.2852,0,0,0.478833,806556956
0.379816,12.0410,2.2852,2.2852,0,0,0.478833,806556956
0.381792,12.0410,2.2852,2.2852,0,0,0.478833,806556956
0.383769,12.2168,2.2852,2.2852,0,0,0.478833,806556956
0.385837,12.2168,2.2852,2.2852,0,0,0.478833,806556956
0.387817,12.2168,2.2852,2.2852,0,0,0.478833,806556956
0.389794,12.3926,2.2852,2.2852,0,0,0.478833,806556956
0.391772,12.3926,2.1094,2.1094,0,0,0.478833,806556956
0.393837,12.3926,2.1094,2.1094,0,0,0.478833,806556956
0.395816,12.5684,2.1094,2.1094,0,0,0.478833,806556956
0.397792,12.5684,2.1094,2.1094,0,0,0.478833,806556956
0.399769,12.5684,2.1094,2.1094,0,0,0.478833,806556956
0.401837,12.5684,2.1094,2.1094,0,0,0.478833,806556956
0.403817,12.7441,2.1094,2.1094,0,0,0.478833,806556956
0.405794,12.7441,1.9336,1.9336,0,0,0.478833,806556956
0.407772,12.7441,1.9336,1.9336,0,0,0.478833,806556956
0.409837,12.9199,1.9336,1.9336,0,0,0.478833,806556956
0.411816,12.9199,1.7578,1.7578,0,0,0.478833,806556956
0.413792,12.9199,1.7578,1.7578,0,0,0.478833,806556956
0.415769,13.0957,1.7578,1.7578,0,0,0.478833,806556956
0.417837,13.0957,1.7578,1.7578,0,0,0.478833,806556956
0.419817,13.2715,1.7578,1.7578,0,0,0.478833,806556956
0.421794,13.2715,1.5820,1.5820,0,0,0.478833,806556956
0.423772,13.2715,1.5820,1.5820,0,0,0.478833,806556956
0.425837,13.2715,1.5820,1.5820,0,0,0.478833,806556956
0.427816,13.4473,1.4062,1.4062,0,0,0.478833,806556956
0.429792,13.4473,1.4062,1.4062,0,0,0.478833,806556956
0.431769,13.6230,1.4062,1.4062,0,0,0.478833,806556956
0.433837,13.6230,1.4062,1.4062,0,0,0.478833,806556956
0.435817,13.6230,1.2305,1.2305,0,0,0.478833,806556956
0.437794,13.7988,1.2305,1.2305,0,0,0.478833,806556956
0.439772,13.7988,1.0547,1.0547,0,0,0.478833,806556956
0.441837,13.9746,1.0547,1.0547,0,0,0.478833,806556956
0.443816,13.9746,1.0547,1.0547,0,0,0.478833,806556956
0.445792,13.9746,1.0547,1.0547,0,0,0.478833,806556956
0.447769,14.1504,0.8789,0.8789,0,0,0.478833,806556956
0.449837,14.1504,0.8789,0.8789,0,0,0.478833,806556956
0.451817,14.1504,0.8789,0.8789,0,0,0.478833,806556956
0.455685,14.3262,0.7031,0.7031,0,0,0.478833,806556956
0.455947,14.3262,0.7031,0.7031,0,0,0.478833,806556956
0.457837,14.5020,0.7031,0.7031,0,0,0.478833,806556956
0.459803,14.5020,0.5273,0.5273,0,0,0.478833,806556956
0.461806,14.6777,0.5273,0.5273,0,0,0.478833,806556956
0.463788,14.6777,0.3516,0.3516,0,0,0.478833,806556956
0.465820,14.6777,0.3516,0.3516,0,0,0.478833,806556956
0.470284,14.8535,0.1758,0.1758,0,0,0.716370,806792370
0.470758,14.8535,0.1758,0.1758,0,0,0.716370,806792370
0.471762,14.8535,0.1758,0.1758,0,0,0.716370,806792370
0.473850,15.0293,0.1758,0.1758,0,0,0.716370,806792370
0.475778,15.0293,0.0000,0.0000,0,0,0.716370,806792370
0.477792,15.0293,0.0000,0.0000,0,0,0.716370,806792370
0.479812,15.2051,0.0000,0.0000,0,0,0.716370,806792370
0.481845,15.2051,-0.1758,-0.1758,0,0,0.716370,806792370
0.483822,15.3809,-0.1758,-0.1758,0,0,0.716370,806792370
0.485840,15.3809,-0.3516,-0.3516,0,0,0.716370,806792370
0.487762,15.3809,-0.3516,-0.3516,0,0,0.716370,806792370
0.489765,15.5566,-0.3516,-0.3516,0,0,0.716370,806792370
0.491781,15.5566,-0.5273,-0.5273,0,0,0.716370,806792370
0.493760,15.5566,-0.5273,-0.5273,0,0,0.716370,806792370
0.495823,15.7324,-0.5273,-0.5273,0,0,0.716370,806792370
0.497798,15.7324,-0.5273,-0.5273,0,0,0.716370,806792370
0.499776,15.7324,-0.7031,-0.7031,0,0,0.716370,806792370
0.501843,15.9082,-0.7031,-0.7031,0,0,0.716370,806792370
0.503820,15.9082,-0.7031,-0.7031,0,0,0.716370,806792370
0.505796,16.0840,-0.8789,-0.8789,0,0,0.716370,806792370
0.507776,16.0840,-0.8789,-0.8789,0,0,0.716370,806792370
0.509843,16.0840,-1.0547,-1.0547,0,0,0.716370,806792370
0.511820,16.2598,-1.0547,-1.0547,0,0,0.716370,806792370
0.513796,16.2598,-1.0547,-1.0547,0,0,0.716370,806792370
0.515776,16.2598,-1.0547,-1.0547,0,0,0.716370,806792370
