t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.000436,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.000677,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.002073,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.003834,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.005846,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.007795,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.009857,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.011804,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.013753,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.015857,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.017855,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.019804,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.021753,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.023813,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.025757,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.027817,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.029770,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.031828,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.033776,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.035834,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.037776,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.039834,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.041776,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.047616,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.047938,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.048131,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.049856,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.051804,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.053753,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.055814,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.057770,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.059829,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.061776,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.063834,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.065776,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.067834,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.069776,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.071834,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.073777,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.075803,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
0.077752,10.3711,82.6172,82.6172,0,0,0.267642,1659565974
