t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.004812,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.005095,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.005991,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.007985,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.009943,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.012007,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.013959,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.015963,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.018035,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.025073,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.025656,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.025853,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.026034,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.027977,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.030025,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.032003,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.033951,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.036009,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.037951,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.040009,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.041957,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.044015,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.045956,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.048014,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.049956,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.051925,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.053976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.055922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.057976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.059922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.061976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.063922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.065976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.067922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.069976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.071922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.073976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.075922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.077976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.079922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.081976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.083922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.085976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.087922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.089976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.091922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.093976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.095922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.097976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.099922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.101976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.103922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.105976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.107922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.109976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.111922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.113947,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.116011,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.117918,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.123231,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.123502,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.124023,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.125966,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.128023,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.129970,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.131918,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.133973,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.135920,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.137976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.139922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.141976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.143922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.145976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.147922,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.149976,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.151949,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.154005,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.155953,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.158009,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.159957,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.161948,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.164005,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.165953,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.168009,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.169957,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.172015,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
0.173962,16.6992,0.0000,0.0000,0,0,0.261993,1994124310
