t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,-13.0078,0.7031,0.7031,0,0,0.232622,55057795
0.000692,-13.0078,0.7031,0.7031,0,0,0.232622,55057795
0.000963,-13.0078,0.7031,0.7031,0,0,0.232622,55057795
0.001712,-13.0078,0.7031,0.7031,0,0,0.232622,55057795
0.003669,-13.0078,0.5273,0.5273,0,0,0.232622,55057795
0.005738,-13.0078,0.5273,0.5273,0,0,0.232622,55057795
0.007699,-13.0078,0.5273,0.5273,0,0,0.232622,55057795
0.009725,-13.0078,0.3516,0.3516,0,0,0.232622,55057795
0.011775,-13.0078,0.3516,0.3516,0,0,0.232622,55057795
0.013725,-13.0078,0.1758,0.1758,0,0,0.232622,55057795
0.015668,-13.0078,0.1758,0.1758,0,0,0.232622,55057795
0.017730,-13.0078,0.0000,0.0000,0,0,0.232622,55057795
0.019672,-13.0078,0.0000,0.0000,0,0,0.232622,55057795
0.021622,-12.8320,-0.1758,-0.1758,0,0,0.232622,55057795
0.023715,-12.8320,-0.3516,-0.3516,0,0,0.232622,55057795
0.025660,-12.8320,-0.3516,-0.3516,0,0,0.232622,55057795
0.027715,-12.8320,-0.5273,-0.5273,0,0,0.232622,55057795
0.029661,-12.6562,-0.7031,-0.7031,0,0,0.232622,55057795
0.035196,-12.6562,-0.8789,-0.8789,0,0,0.232622,55057795
0.035548,-12.6562,-0.8789,-0.8789,0,0,0.232622,55057795
0.035798,-12.6562,-1.0547,-1.0547,0,0,0.232622,55057795
0.037637,-12.6562,-1.0547,-1.0547,0,0,0.232622,55057795
0.039693,-12.4805,-1.2305,-1.2305,0,0,0.232622,55057795
0.041694,-12.4805,-1.4062,-1.4062,0,0,0.232622,55057795
0.043629,-12.4805,-1.5820,-1.5820,0,0,0.232622,55057795
0.045719,-12.3047,-1.5820,-1.5820,0,0,0.232622,55057795
0.047694,-12.3047,-1.7578,-1.7578,0,0,0.232622,55057795
0.049642,-12.3047,-1.9336,-1.9336,0,0,0.232622,55057795
0.051700,-12.1289,-2.1094,-2.1094,0,0,0.232622,55057795
0.053649,-12.1289,-2.2852,-2.2852,0,0,0.232622,55057795
0.055678,-12.1289,-2.4609,-2.4609,0,0,0.232622,55057795
0.057684,-11.9531,-2.4609,-2.4609,0,0,0.232622,55057795
0.059632,-11.9531,-2.6367,-2.6367,0,0,0.232622,55057795
0.061692,-11.9531,-2.8125,-2.8125,0,0,0.232622,55057795
0.063641,-11.7773,-2.9883,-2.9883,0,0,0.232622,55057795
0.065677,-11.7773,-3.1641,-3.1641,0,0,0.232622,55057795
0.067626,-11.6016,-3.3398,-3.3398,0,0,0.232622,55057795
0.069684,-11.6016,-3.5156,-3.5156,0,0,0.232622,55057795
0.071631,-11.6016,-3.6914,-3.6914,0,0,0.232622,55057795
0.073689,-11.4258,-3.8672,-3.8672,0,0,0.232622,55057795
0.075636,-11.4258,-3.8672,-3.8672,0,0,0.232622,55057795
0.077693,-11.2500,-4.2188,-4.2188,0,0,0.232622,55057795
0.079641,-11.2500,-4.2188,-4.2188,0,0,0.232622,55057795
0.081693,-11.2500,-4.3945,-4.3945,0,0,0.232622,55057795
0.083642,-11.0742,-4.5703,-4.5703,0,0,0.232622,55057795
0.085700,-11.0742,-4.7461,-4.7461,0,0,0.232622,55057795
0.087648,-10.8984,-4.9219,-4.9219,0,0,0.232622,55057795
0.089704,-10.8984,-5.0977,-5.0977,0,0,0.232622,55057795
0.091652,-10.7227,-5.2734,-5.2734,0,0,0.232622,55057795
0.093708,-10.7227,-5.2734,-5.2734,0,0,0.232622,55057795
0.095655,-10.5469,-5.6250,-5.6250,0,0,0.232622,55057795
0.097708,-10.5469,-5.6250,-5.6250,0,0,0.232622,55057795
0.099656,-10.5469,-5.8008,-5.8008,0,0,0.232622,55057795
0.101708,-10.3711,-5.9766,-5.9766,0,0,0.232622,55057795
0.103656,-10.3711,-6.1523,-6.1523,0,0,0.232622,55057795
0.105708,-10.3711,-6.3281,-6.3281,0,0,0.232622,55057795
0.107656,-10.1953,-6.5039,-6.5039,0,0,0.232622,55057795
0.109708,-10.1953,-6.5039,-6.5039,0,0,0.232622,55057795
0.111656,-10.0195,-6.6797,-6.6797,0,0,0.232622,55057795
0.113708,-10.0195,-6.8555,-6.8555,0,0,0.232622,55057795
0.115656,-10.0195,-7.0312,-7.0312,0,0,0.232622,55057795
0.117708,-9.8438,-7.2070,-7.2070,0,0,0.232622,55057795
0.119656,-9.8438,-7.2070,-7.2070,0,0,0.232622,55057795
0.121708,-9.8438,-7.3828,-7.3828,0,0,0.232622,55057795
0.123671,-9.6680,-7.3828,-7.3828,0,0,0.232622,55057795
0.125731,-9.6680,-7.5586,-7.5586,0,0,0.232622,55057795
0.127684,-9.6680,-7.7344,-7.7344,0,0,0.232622,55057795
0.129632,-9.4922,-7.9102,-7.9102,0,0,0.232622,55057795
0.134100,-9.4922,-8.0859,-8.0859,0,0,0.232622,55057795
0.134375,-9.4922,-8.0859,-8.0859,0,0,0.232622,55057795
0.135665,-9.3164,-8.0859,-8.0859,0,0,0.232622,55057795
0.137719,-9.3164,-8.2617,-8.2617,0,0,0.232622,55057795
0.139705,-9.3164,-8.2617,-8.2617,0,0,0.232622,55057795
0.141653,-9.3164,-8.4375,-8.4375,0,0,0.232622,55057795
0.143631,-9.1406,-8.4375,-8.4375,0,0,0.232622,55057795
0.145688,-9.1406,-8.6133,-8.6133,0,0,0.232622,55057795
0.147636,-9.1406,-8.6133,-8.6133,0,0,0.232622,55057795
0.149693,-9.1406,-8.6133,-8.6133,0,0,0.232622,55057795
0.151641,-9.1406,-8.7891,-8.7891,0,0,0.232622,55057795
0.153693,-8.9648,-8.7891,-8.7891,0,0,0.232622,55057795
0.155642,-8.9648,-8.7891,-8.7891,0,0,0.232622,55057795
0.157700,-8.9648,-8.9648,-8.9648,0,0,0.232622,55057795
0.159648,-8.9648,-8.9648,-8.9648,0,0,0.232622,55057795
0.161704,-8.9648,-8.9648,-8.9648,0,0,0.232622,55057795
0.163652,-8.9648,-9.1406,-9.1406,0,0,0.232622,55057795
0.165708,-8.9648,-9.1406,-9.1406,0,0,0.232622,55057795
0.167655,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.169708,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.171656,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.173708,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.175656,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.177708,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.179656,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.181708,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.183656,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.185708,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.187656,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.189708,-8.7891,-9.1406,-9.1406,0,0,0.232622,55057795
0.191656,-8.7891,-8.9648,-8.9648,0,0,0.232622,55057795
0.193708,-8.7891,-8.9648,-8.9648,0,0,0.232622,55057795
0.195656,-8.7891,-8.9648,-8.9648,0,0,0.232622,55057795
0.197708,-8.7891,-8.7891,-8.7891,0,0,0.232622,55057795
0.199656,-8.7891,-8.7891,-8.7891,0,0,0.232622,55057795
0.201708,-8.7891,-8.7891,-8.7891,0,0,0.232622,55057795
0.203656,-8.7891,-8.7891,-8.7891,0,0,0.232622,55057795
0.205708,-8.7891,-8.6133,-8.6133,0,0,0.232622,55057795
0.207656,-8.7891,-8.6133,-8.6133,0,0,0.232622,55057795
0.209708,-8.7891,-8.4375,-8.4375,0,0,0.232622,55057795
0.211656,-8.7891,-8.4375,-8.4375,0,0,0.232622,55057795
0.213708,-8.9648,-8.4375,-8.4375,0,0,0.232622,55057795
0.215656,-8.9648,-8.2617,-8.2617,0,0,0.232622,55057795
0.217708,-8.9648,-8.0859,-8.0859,0,0,0.232622,55057795
0.219656,-8.9648,-8.0859,-8.0859,0,0,0.232622,55057795
0.221708,-8.9648,-8.0859,-8.0859,0,0,0.232622,55057795
0.223666,-8.9648,-7.9102,-7.9102,0,0,0.232622,55057795
0.225719,-8.9648,-7.9102,-7.9102,0,0,0.232622,55057795
0.227664,-8.9648,-7.7344,-7.7344,0,0,0.232622,55057795
0.229719,-9.1406,-7.7344,-7.7344,0,0,0.232622,55057795
0.234183,-9.1406,-7.3828,-7.3828,0,0,0.232622,55057795
0.234462,-9.1406,-7.3828,-7.3828,0,0,0.232622,55057795
0.235644,-9.1406,-7.3828,-7.3828,0,0,0.232622,55057795
0.237700,-9.1406,-7.2070,-7.2070,0,0,0.232622,55057795
0.239684,-9.1406,-7.0312,-7.0312,0,0,0.232622,55057795
0.241730,-9.1406,-7.0312,-7.0312,0,0,0.232622,55057795
0.243708,-9.1406,-6.8555,-6.8555,0,0,0.232622,55057795
0.245676,-9.1406,-6.6797,-6.6797,0,0,0.232622,55057795
0.247704,-9.3164,-6.6797,-6.6797,0,0,0.232622,55057795
0.249708,-9.3164,-6.5039,-6.5039,0,0,0.232622,55057795
0.251622,-9.3164,-6.3281,-6.3281,0,0,0.232622,55057795
0.256349,-9.3164,-6.1523,-6.1523,0,0,0.509809,55320667
0.256854,-9.3164,-5.9766,-5.9766,0,0,0.509809,55320667
0.257637,-9.3164,-5.9766,-5.9766,0,0,0.509809,55320667
0.259701,-9.4922,-5.8008,-5.8008,0,0,0.509809,55320667
0.261766,-9.4922,-5.8008,-5.8008,0,0,0.509809,55320667
0.263644,-9.4922,-5.6250,-5.6250,0,0,0.509809,55320667
0.265700,-9.4922,-5.6250,-5.6250,0,0,0.509809,55320667
0.267948,-9.4922,-5.2734,-5.2734,0,0,0.509809,55320667
0.269717,-9.4922,-5.2734,-5.2734,0,0,0.509809,55320667
0.271629,-9.4922,-5.0977,-5.0977,0,0,0.509809,55320667
0.273688,-9.6680,-4.9219,-4.9219,0,0,0.509809,55320667
0.275637,-9.6680,-4.9219,-4.9219,0,0,0.509809,55320667
0.277693,-9.6680,-4.7461,-4.7461,0,0,0.509809,55320667
0.279641,-9.6680,-4.5703,-4.5703,0,0,0.509809,55320667
0.281637,-9.6680,-4.3945,-4.3945,0,0,0.509809,55320667
0.283638,-9.6680,-4.3945,-4.3945,0,0,0.509809,55320667
0.285693,-9.6680,-4.2188,-4.2188,0,0,0.509809,55320667
0.287642,-9.6680,-4.0430,-4.0430,0,0,0.509809,55320667
0.289700,-9.6680,-3.8672,-3.8672,0,0,0.509809,55320667
0.291648,-9.6680,-3.8672,-3.8672,0,0,0.509809,55320667
0.293704,-9.6680,-3.6914,-3.6914,0,0,0.509809,55320667
0.295652,-9.6680,-3.6914,-3.6914,0,0,0.509809,55320667
0.297708,-9.6680,-3.5156,-3.5156,0,0,0.509809,55320667
0.299655,-9.6680,-3.3398,-3.3398,0,0,0.509809,55320667
0.301708,-9.6680,-3.1641,-3.1641,0,0,0.509809,55320667
0.303656,-9.6680,-3.1641,-3.1641,0,0,0.509809,55320667
0.305708,-9.6680,-2.9883,-2.9883,0,0,0.509809,55320667
0.307656,-9.6680,-2.9883,-2.9883,0,0,0.509809,55320667
0.309708,-9.6680,-2.8125,-2.8125,0,0,0.509809,55320667
0.311656,-9.6680,-2.8125,-2.8125,0,0,0.509809,55320667
0.313708,-9.6680,-2.6367,-2.6367,0,0,0.509809,55320667
0.315656,-9.6680,-2.4609,-2.4609,0,0,0.509809,55320667
0.317708,-9.6680,-2.4609,-2.4609,0,0,0.509809,55320667
0.319656,-9.6680,-2.2852,-2.2852,0,0,0.509809,55320667
0.321708,-9.6680,-2.2852,-2.2852,0,0,0.509809,55320667
0.323684,-9.6680,-2.1094,-2.1094,0,0,0.509809,55320667
0.325632,-9.6680,-2.1094,-2.1094,0,0,0.509809,55320667
0.327691,-9.6680,-1.9336,-1.9336,0,0,0.509809,55320667
0.329639,-9.6680,-1.7578,-1.7578,0,0,0.509809,55320667
0.334832,-9.6680,-1.5820,-1.5820,0,0,0.509809,55320667
0.335155,-9.6680,-1.5820,-1.5820,0,0,0.509809,55320667
0.335668,-9.6680,-1.5820,-1.5820,0,0,0.509809,55320667
0.337730,-9.6680,-1.4062,-1.4062,0,0,0.509809,55320667
0.339680,-9.6680,-1.4062,-1.4062,0,0,0.509809,55320667
0.341628,-9.4922,-1.4062,-1.4062,0,0,0.509809,55320667
0.343650,-9.4922,-1.2305,-1.2305,0,0,0.509809,55320667
0.345684,-9.4922,-1.2305,-1.2305,0,0,0.509809,55320667
0.347689,-9.4922,-1.0547,-1.0547,0,0,0.509809,55320667
0.349638,-9.4922,-1.0547,-1.0547,0,0,0.509809,55320667
0.351693,-9.3164,-1.0547,-1.0547,0,0,0.509809,55320667
0.353642,-9.3164,-0.8789,-0.8789,0,0,0.509809,55320667
0.355700,-9.3164,-0.8789,-0.8789,0,0,0.509809,55320667
0.357648,-9.3164,-0.8789,-0.8789,0,0,0.509809,55320667
0.359704,-9.3164,-0.7031,-0.7031,0,0,0.509809,55320667
0.361652,-9.1406,-0.7031,-0.7031,0,0,0.509809,55320667
0.363708,-9.1406,-0.7031,-0.7031,0,0,0.509809,55320667
0.365655,-9.1406,-0.7031,-0.7031,0,0,0.509809,55320667
0.367708,-9.1406,-0.5273,-0.5273,0,0,0.509809,55320667
0.369656,-9.1406,-0.5273,-0.5273,0,0,0.509809,55320667
0.371708,-8.9648,-0.5273,-0.5273,0,0,0.509809,55320667
0.373656,-8.9648,-0.3516,-0.3516,0,0,0.509809,55320667
0.375708,-8.9648,-0.3516,-0.3516,0,0,0.509809,55320667
0.377656,-8.7891,-0.3516,-0.3516,0,0,0.509809,55320667
0.379708,-8.7891,-0.3516,-0.3516,0,0,0.509809,55320667
0.381656,-8.7891,-0.3516,-0.3516,0,0,0.509809,55320667
0.383708,-8.6133,-0.3516,-0.3516,0,0,0.509809,55320667
0.385656,-8.6133,-0.3516,-0.3516,0,0,0.509809,55320667
0.387708,-8.4375,-0.3516,-0.3516,0,0,0.509809,55320667
0.389656,-8.4375,-0.3516,-0.3516,0,0,0.509809,55320667
0.391708,-8.4375,-0.3516,-0.3516,0,0,0.509809,55320667
0.393656,-8.4375,-0.3516,-0.3516,0,0,0.509809,55320667
0.395708,-8.2617,-0.3516,-0.3516,0,0,0.509809,55320667
0.397656,-8.2617,-0.3516,-0.3516,0,0,0.509809,55320667
0.399708,-8.0859,-0.3516,-0.3516,0,0,0.509809,55320667
0.401656,-8.0859,-0.3516,-0.3516,0,0,0.509809,55320667
0.403708,-8.0859,-0.3516,-0.3516,0,0,0.509809,55320667
0.405656,-7.9102,-0.3516,-0.3516,0,0,0.509809,55320667
0.407708,-7.7344,-0.3516,-0.3516,0,0,0.509809,55320667
0.409656,-7.7344,-0.3516,-0.3516,0,0,0.509809,55320667
0.411708,-7.7344,-0.3516,-0.3516,0,0,0.509809,55320667
0.413656,-7.5586,-0.5273,-0.5273,0,0,0.509809,55320667
0.415708,-7.5586,-0.5273,-0.5273,0,0,0.509809,55320667
0.417656,-7.3828,-0.5273,-0.5273,0,0,0.509809,55320667
0.419708,-7.3828,-0.7031,-0.7031,0,0,0.509809,55320667
0.421656,-7.2070,-0.7031,-0.7031,0,0,0.509809,55320667
0.423719,-7.2070,-0.7031,-0.7031,0,0,0.509809,55320667
0.425664,-7.0312,-0.7031,-0.7031,0,0,0.509809,55320667
0.427719,-7.0312,-0.7031,-0.7031,0,0,0.509809,55320667
0.429664,-6.8555,-0.8789,-0.8789,0,0,0.509809,55320667
0.434129,-6.6797,-0.8789,-0.8789,0,0,0.509809,55320667
0.434412,-6.6797,-0.8789,-0.8789,0,0,0.509809,55320667
0.435699,-6.6797,-1.0547,-1.0547,0,0,0.509809,55320667
0.437648,-6.5039,-1.0547,-1.0547,0,0,0.509809,55320667
0.439704,-6.3281,-1.0547,-1.0547,0,0,0.509809,55320667
0.441652,-6.3281,-1.2305,-1.2305,0,0,0.509809,55320667
0.443708,-6.1523,-1.2305,-1.2305,0,0,0.509809,55320667
0.445685,-6.1523,-1.4062,-1.4062,0,0,0.509809,55320667
0.447715,-5.9766,-1.4062,-1.4062,0,0,0.509809,55320667
0.449684,-5.9766,-1.4062,-1.4062,0,0,0.509809,55320667
0.451632,-5.8008,-1.5820,-1.5820,0,0,0.509809,55320667
0.453691,-5.6250,-1.5820,-1.5820,0,0,0.509809,55320667
0.455639,-5.6250,-1.7578,-1.7578,0,0,0.509809,55320667
0.457693,-5.4492,-1.7578,-1.7578,0,0,0.509809,55320667
0.459642,-5.4492,-1.9336,-1.9336,0,0,0.509809,55320667
0.461700,-5.2734,-1.9336,-1.9336,0,0,0.509809,55320667
0.463648,-5.0977,-2.1094,-2.1094,0,0,0.509809,55320667
0.465704,-5.0977,-2.1094,-2.1094,0,0,0.509809,55320667
0.467652,-4.9219,-2.2852,-2.2852,0,0,0.509809,55320667
0.469708,-4.9219,-2.2852,-2.2852,0,0,0.509809,55320667
0.471655,-4.7461,-2.4609,-2.4609,0,0,0.509809,55320667
0.473708,-4.5703,-2.4609,-2.4609,0,0,0.509809,55320667
0.475656,-4.5703,-2.6367,-2.6367,0,0,0.509809,55320667
0.477708,-4.3945,-2.6367,-2.6367,0,0,0.509809,55320667
0.479656,-4.2188,-2.8125,-2.8125,0,0,0.509809,55320667
0.481706,-4.2188,-2.8125,-2.8125,0,0,0.509809,55320667
0.483737,-4.0430,-2.9883,-2.9883,0,0,0.509809,55320667
