t_s,mode,alpha_deg,theta_deg,hybrid_lqr,pwm
0.0,7,-205.84,3.076,0,0
0.0892,7,-206.719,2.021,0,-11
0.1801,7,-211.992,3.955,0,-16
0.2708,7,-213.223,5.186,0,-19
0.386,7,-209.18,5.01,0,-12
0.4718,7,-205.488,5.537,0,4
0.5491,7,-206.016,7.822,0,15
0.6259,7,-208.652,9.932,0,14
0.6967,7,-210.234,11.338,0,6
0.8134,7,-209.004,11.162,0,5
0.8951,7,-207.773,11.162,0,9
0.9939,7,-207.598,11.162,0,10
1.0707,7,-208.301,11.162,0,7
1.1604,7,-209.18,11.162,0,2
1.2311,7,-209.883,11.162,0,0
1.3075,7,-209.883,11.162,0,2
1.3962,7,-209.004,11.162,0,7
1.473,7,-208.125,11.162,0,8
1.5528,7,-207.773,11.162,0,9
1.6172,7,-207.949,11.162,0,9
1.686,7,-208.652,11.162,0,6
1.7589,7,-209.355,11.162,0,2
1.8298,7,-209.707,11.162,0,2
1.9039,7,-209.355,11.162,0,5
1.9926,7,-208.828,11.162,0,7
2.0575,7,-208.301,11.162,0,8
2.1283,7,-207.949,11.162,0,9
2.2131,7,-208.301,11.162,0,8
2.2869,7,-209.004,11.162,0,4
2.3706,7,-209.531,11.162,0,2
2.4385,7,-209.707,11.162,0,3
2.5611,7,-208.828,11.162,0,7
2.6429,7,-208.125,11.162,0,9
2.7754,7,-208.301,11.162,0,7
2.8463,7,-209.004,11.162,0,4
2.939,7,-209.355,11.162,0,3
3.0213,7,-209.355,11.162,0,4
3.1069,7,-209.004,11.162,0,6
3.1851,7,-208.301,11.162,0,8
3.2889,7,-208.301,11.162,0,8
3.3576,7,-208.477,11.162,0,7
3.4264,7,-209.004,11.162,0,5
3.5103,7,-209.355,11.162,0,3
3.5875,7,-209.355,11.162,0,5
3.6539,7,-209.18,11.162,0,6
3.7242,7,-208.652,11.162,0,8
3.8069,7,-208.301,11.162,0,8
3.9415,7,-208.652,11.162,0,6
4.0522,7,-209.18,11.162,0,4
4.1514,7,-209.355,11.162,0,4
4.2325,7,-209.004,11.162,0,6
4.3182,7,-208.652,11.162,0,8
4.399,7,-208.477,11.162,0,8
4.4648,7,-208.477,11.162,0,8
4.5426,7,-208.828,11.162,0,7
4.6204,7,-209.18,11.162,0,5
4.6963,7,-209.18,11.162,0,5
4.7742,7,-209.18,11.162,0,5
4.85,7,-208.828,11.162,0,7
4.9286,7,-208.477,11.162,0,8
5.0206,7,-208.477,11.338,0,6
5.0974,7,-208.652,11.338,0,8
5.1702,7,-209.004,11.338,0,5
5.245,7,-209.18,11.338,0,5
5.3257,7,-209.004,11.338,0,6
5.4105,7,-208.828,11.338,0,7
5.4933,7,-208.652,11.338,0,8
5.5651,7,-208.652,11.338,0,8
5.6471,7,-208.652,11.338,0,8
5.7309,7,-209.004,11.338,0,7
5.8127,7,-209.004,11.338,0,7
5.9086,7,-209.004,11.338,0,7
5.9771,7,-208.828,11.338,0,8
6.07,7,-208.652,11.338,0,8
6.1629,7,-208.652,11.338,0,8
6.2548,7,-208.828,11.338,0,7
6.3243,7,-209.004,11.338,0,6
6.4182,7,-209.004,11.338,0,7
6.4909,7,-208.828,11.338,0,7
6.5637,7,-208.828,11.338,0,8
6.6494,7,-208.828,11.338,0,8
6.7222,7,-208.828,11.338,0,8
6.8001,7,-208.828,11.338,0,8
6.8699,7,-208.828,11.338,0,8
6.9526,7,-208.828,11.338,0,8
7.0411,7,-208.828,11.338,0,8
7.1109,7,-208.828,11.338,0,8
7.1968,7,-208.828,11.338,0,8
7.2801,7,-208.828,11.338,0,8
7.3468,7,-208.828,11.338,0,8
7.4266,7,-208.828,11.338,0,8
7.5217,7,-208.828,11.338,0,8
7.6,7,-208.828,11.338,0,8
7.6654,7,-208.828,11.338,0,8
7.8061,7,-208.828,11.338,0,8
7.9065,7,-208.828,11.338,0,8
7.9993,7,-208.828,11.338,0,8
8.0871,7,-208.828,11.338,0,8
8.1598,7,-208.828,11.338,0,8
8.2416,7,-208.828,11.338,0,8
8.3314,7,-208.828,11.338,0,8
8.4243,7,-208.828,11.338,0,8
8.4941,7,-208.828,11.338,0,8
8.5639,7,-208.828,11.338,0,8
8.6334,7,-208.828,11.338,0,8
8.7362,7,-208.828,11.338,0,8
8.8154,7,-208.828,11.338,0,8
8.8861,7,-208.828,11.338,0,8
8.9878,7,-208.828,11.338,0,8
9.0726,7,-208.828,11.338,0,8
9.1507,7,-208.828,11.338,0,8
9.2284,7,-208.828,11.338,0,8
9.2953,7,-208.828,11.338,0,8
9.3696,7,-208.828,11.338,0,8
9.4577,7,-208.828,11.338,0,8
9.5386,7,-208.828,11.338,0,8
9.6398,7,-208.828,11.338,0,8
9.7176,7,-208.828,11.338,0,8
9.7864,7,-208.828,11.338,0,8
9.8632,7,-208.828,11.338,0,8
9.9296,7,-208.828,11.338,0,8
10.0389,7,-208.828,11.338,0,8
10.1318,7,-208.828,11.338,0,8
10.2161,7,-208.828,11.338,0,8
10.2969,7,-208.828,11.338,0,8
10.3686,7,-208.828,11.338,0,8
10.4425,7,-208.828,11.338,0,8
10.5272,7,-208.828,11.338,0,8
10.612,7,-208.828,11.338,0,8
10.6798,7,-208.828,11.338,0,8
10.7611,7,-208.828,11.338,0,8
10.828,7,-208.828,11.338,0,8
10.9008,7,-208.828,11.338,0,8
10.9728,7,-208.828,11.338,0,8
11.0482,7,-208.828,11.338,0,8
11.117,7,-208.828,11.338,0,8
11.2184,7,-208.828,11.338,0,8
11.3091,7,-208.828,11.338,0,8
11.3874,7,-208.828,11.338,0,8
11.4622,7,-208.828,11.338,0,8
11.5398,7,-208.828,11.338,0,8
11.6046,7,-208.828,11.338,0,8
11.6794,7,-208.828,11.338,0,8
11.7771,7,-208.828,11.338,0,8
11.8569,7,-208.828,11.338,0,8
11.9473,7,-208.828,11.338,0,8
12.0122,7,-208.828,11.338,0,8
12.088,7,-208.828,11.338,0,8
12.1837,7,-208.828,11.338,0,8
12.2535,7,-208.828,11.338,0,8
12.3348,7,-208.828,11.338,0,8
12.4374,7,-208.828,11.338,0,8
12.5023,7,-208.828,11.338,0,8
12.6049,7,-208.828,11.338,0,8
12.6917,7,-208.828,11.338,0,8
12.766,7,-208.828,11.338,0,8
12.8568,7,-208.828,11.338,0,8
12.9379,7,-208.828,11.338,0,8
13.0082,7,-208.828,11.338,0,8
13.0868,7,-208.828,11.338,0,8
13.1665,7,-208.828,11.338,0,8
13.2417,7,-208.828,11.338,0,8
13.3211,7,-208.828,11.338,0,8
13.4079,7,-208.828,11.338,0,8
13.4837,7,-208.828,11.338,0,8
13.5575,7,-208.828,11.338,0,8
13.6352,7,-208.828,11.338,0,8
13.7022,7,-208.828,11.338,0,8
13.7739,7,-208.828,11.338,0,8
13.8651,7,-208.828,11.338,0,8
13.9439,7,-208.828,11.338,0,8
14.0237,7,-208.828,11.338,0,8
14.0966,7,-208.828,11.338,0,8
14.1686,7,-208.828,11.338,0,8
14.2564,7,-208.828,11.338,0,8
14.3411,7,-208.828,11.338,0,8
14.4329,7,-208.828,11.338,0,8
14.5207,7,-208.828,11.338,0,8
14.6045,7,-208.828,11.338,0,8
14.6774,7,-208.828,11.338,0,8
14.7491,7,-208.828,11.338,0,8
14.8249,7,-208.828,11.338,0,8
14.9097,7,-208.828,11.338,0,8
14.992,7,-208.828,11.338,0,8
15.082,7,-208.828,11.338,0,8
15.1937,7,-208.828,11.338,0,8
15.2774,7,-208.828,11.338,0,8
15.3692,7,-208.828,11.338,0,8
15.437,7,-208.828,11.338,0,8
15.5078,7,-208.828,11.338,0,8
15.5845,7,-208.828,11.338,0,8
15.6583,7,-208.828,11.338,0,8
15.7272,7,-208.828,11.338,0,8
15.8957,7,-208.828,11.338,0,8
15.9834,7,-208.828,11.338,0,8
16.0807,7,-208.828,11.338,0,8
16.1811,7,-208.828,11.338,0,8
16.2619,7,-208.828,11.338,0,8
16.357,7,-208.828,11.338,0,8
16.4452,7,-208.828,11.338,0,8
16.5211,7,-208.828,11.338,0,8
16.62,7,-208.828,11.338,0,8
16.6948,7,-208.828,11.338,0,8
16.7696,7,-208.828,11.338,0,8
16.833,7,-208.828,11.338,0,8
16.909,7,-208.828,11.338,0,8
16.9721,7,-208.828,11.338,0,8
17.0654,7,-208.828,11.338,0,8
17.1545,7,-208.828,11.338,0,8
17.2223,7,-208.828,11.338,0,8
17.3171,7,-208.828,11.338,0,8
17.3839,7,-208.828,11.338,0,8
17.4652,7,-208.828,11.338,0,8
17.543,7,-208.828,11.338,0,8
17.6198,7,-208.828,11.338,0,8
17.6876,7,-208.828,11.338,0,8
17.7744,7,-208.828,11.338,0,8
17.8662,7,-208.828,11.338,0,8
17.9479,7,-208.828,11.338,0,8
18.0167,7,-208.828,11.338,0,8
18.0893,7,-208.828,11.338,0,8
18.1776,7,-208.828,11.338,0,8
18.2474,7,-208.828,11.338,0,8
18.3192,7,-208.828,11.338,0,8
18.397,7,-208.828,11.338,0,8
18.4728,7,-208.828,11.338,0,8
18.5526,7,-208.828,11.338,0,8
18.6389,7,-208.828,11.338,0,8
18.7028,7,-208.828,11.338,0,8
18.7712,7,-208.828,11.338,0,8
18.8512,7,-208.828,11.338,0,8
18.9181,7,-208.828,11.338,0,8
18.9974,7,-208.828,11.338,0,8
19.0862,7,-208.828,11.338,0,8
19.1848,7,-208.828,11.338,0,8
19.2616,7,-208.828,11.338,0,8
19.3563,7,-208.828,11.338,0,8
19.4361,7,-208.828,11.338,0,8
19.5159,7,-208.828,11.338,0,8
19.5967,7,-208.828,11.338,0,8
19.6815,7,-208.828,11.338,0,8
19.7528,7,-208.828,11.338,0,8
19.8296,7,-208.828,11.338,0,8
19.9204,7,-208.828,11.338,0,8
19.9862,7,-208.828,11.338,0,8
20.058,7,-208.828,11.338,0,8
20.1354,7,-208.828,11.338,0,8
20.2102,7,-208.828,11.338,0,8
20.292,7,-208.828,11.338,0,8
20.3738,7,-208.828,11.338,0,8
20.4449,7,-208.828,11.338,0,8
20.5309,7,-208.828,11.338,0,8
20.5937,7,-208.828,11.338,0,8
20.6586,7,-208.828,11.338,0,8
20.7354,7,-208.828,11.338,0,8
20.8113,7,-208.828,11.338,0,8
20.8841,7,-208.828,11.338,0,8
20.9918,7,-208.828,11.338,0,8
21.0691,7,-208.828,11.338,0,8
21.1366,7,-208.828,11.338,0,8
21.2284,7,-208.828,11.338,0,8
21.349,7,-208.828,11.338,0,8
21.4438,7,-208.828,11.338,0,8
21.544,7,-208.828,11.338,0,8
21.6289,7,-208.828,11.338,0,8
21.7046,7,-208.828,11.338,0,8
21.7725,7,-208.828,11.338,0,8
21.8489,7,-208.828,11.338,0,8
21.9247,7,-208.828,11.338,0,8
22.0037,7,-208.828,11.338,0,8
22.0846,7,-208.828,11.338,0,8
22.1749,7,-208.828,11.338,0,8
22.2819,7,-208.828,11.338,0,8
22.3622,7,-208.828,11.338,0,8
22.438,7,-208.828,11.338,0,8
22.5128,7,-208.828,11.338,0,8
22.5807,7,-208.828,11.338,0,8
22.6685,7,-208.828,11.338,0,8
22.7399,7,-208.828,11.338,0,8
22.8212,7,-208.828,11.338,0,8
22.889,7,-208.828,11.338,0,8
22.9613,7,-208.828,11.338,0,8
23.0371,7,-208.828,11.338,0,8
23.1159,7,-208.828,11.338,0,8
23.1866,7,-208.828,11.338,0,8
23.2768,7,-208.828,11.338,0,8
23.3426,7,-208.828,11.338,0,8
23.4174,7,-208.828,11.338,0,8
23.4862,7,-208.828,11.338,0,8
23.5658,7,-208.828,11.338,0,8
23.6352,7,-208.828,11.338,0,8
23.707,7,-208.828,11.338,0,8
23.7746,7,-208.828,11.338,0,8
23.8535,7,-208.828,11.338,0,8
23.9602,7,-208.828,11.338,0,8
24.0405,7,-208.828,11.338,0,8
24.1148,7,-208.828,11.338,0,8
24.2175,7,-208.828,11.338,0,8
24.3172,7,-208.828,11.338,0,8
24.387,7,-208.828,11.338,0,8
24.462,7,-208.828,11.338,0,8
24.5309,7,-208.828,11.338,0,8
24.6127,7,-209.004,11.338,0,8
24.686,7,-208.828,11.338,0,8
24.7743,7,-208.828,11.338,0,8
24.8521,7,-208.828,11.338,0,8
24.9205,7,-208.828,11.338,0,8
24.9944,7,-208.828,11.338,0,8
