t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,-4.395,0.439,-59,96.1,0
0.0933,5,-10.195,9.404,-59,96.1,0
0.1661,5,-15.82,25.225,-59,85.8,0
0.2618,5,-10.371,43.857,57,82.9,0
0.3436,5,20.566,42.1,57,93.4,0
0.4249,5,37.441,38.057,57,91.9,0
0.5376,5,7.559,47.549,-56,82.8,0
0.6214,5,-35.508,67.412,-7,37.2,0
0.6921,5,-43.066,70.576,1,37.2,0
0.7659,5,-16.875,59.678,54,27.7,0
0.8327,5,37.969,29.443,58,82.3,0
0.9155,5,59.414,14.15,59,94.4,0
1.0123,5,6.68,8.877,-59,89.7,0
1.1224,5,-50.273,25.225,-59,85.9,0
1.2137,5,-76.289,29.268,-58,86.3,0
1.3085,5,-40.254,26.279,58,92.2,0
1.3803,5,29.18,-4.482,59,92.2,0
1.448,5,76.113,-19.248,59,92.2,0
1.5188,5,89.473,-27.686,58,95.5,0
1.6155,5,48.34,-32.607,-58,86.2,0
1.6893,5,-31.113,-2.373,-59,86.2,0
1.7926,5,-104.062,14.502,-59,87.8,0
1.883,5,-90.527,25.928,59,87.8,0
1.9758,5,-18.633,15.908,59,97.9,0
2.0546,5,63.809,-14.15,59,85.1,0
2.1254,5,109.688,-18.721,59,95.5,0
2.2121,5,112.148,-29.443,-58,92.6,0
2.2949,5,73.652,-35.771,-58,92.6,0
2.3677,5,15.117,-5.361,-59,84.7,0
2.4375,5,-58.711,15.029,-59,84.2,0
2.5054,5,-92.988,18.896,-59,84.2,0
2.5712,5,-98.965,29.795,-58,87.1,0
2.643,5,-71.543,46.318,57,96.2,0
2.7118,5,-16.348,46.846,56,96.2,0
2.7832,5,94.043,9.756,0,84.1,0
2.8587,5,149.238,11.514,0,27.5,0
2.9555,5,174.551,19.6,-59,88.7,0
3.0272,4,164.004,21.885,24,32.1,0
3.0931,4,126.738,20.83,24,32.1,0
3.1618,4,64.16,34.014,24,42.4,0
3.2261,4,-28.652,72.334,22,40.0,0
3.2939,4,-81.914,74.971,21,40.0,0
3.3775,4,-99.492,72.334,0,36.7,0
3.4484,4,-81.562,77.783,-60,91.8,61
3.52,4,-31.641,82.705,-59,88.9,132
3.5908,4,58.887,62.139,-63,88.9,201
3.6616,4,120.938,68.994,-62,99.8,280
3.7374,4,137.812,90.439,-58,86.4,351
3.8202,0,111.973,113.994,0,27.9,369
