t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,0.9668,102.6562,1902.6562,0,0,0.244422,3765960471
0.000663,0.9668,102.6562,1902.6562,0,0,0.244422,3765960471
0.000931,0.9668,102.6562,1902.6562,0,0,0.244422,3765960471
0.003026,0.9668,103.0078,1903.0078,0,0,0.244422,3765960471
0.004884,0.9668,103.1836,1903.1836,0,0,0.244422,3765960471
0.006962,0.9668,103.5352,1903.5352,0,0,0.244422,3765960471
0.008937,0.9668,103.7109,1903.7109,0,0,0.244422,3765960471
0.010930,0.9668,104.0625,1904.0625,0,0,0.244422,3765960471
0.012930,0.9668,104.2383,1904.2383,0,0,0.244422,3765960471
0.014896,0.9668,104.5898,1904.5898,0,0,0.244422,3765960471
0.016936,0.9668,104.9414,1904.9414,0,0,0.244422,3765960471
0.018953,0.9668,105.1172,1905.1172,0,0,0.244422,3765960471
0.020911,0.9668,105.4688,1905.4688,0,0,0.244422,3765960471
0.022872,0.9668,105.6445,1905.6445,0,0,0.244422,3765960471
0.024928,0.9668,105.8203,1905.8203,0,0,0.244422,3765960471
0.026890,0.9668,106.1719,1906.1719,0,0,0.244422,3765960471
0.028950,0.9668,106.5234,1906.5234,0,0,0.244422,3765960471
0.030911,0.9668,106.6992,1906.6992,0,0,0.244422,3765960471
0.032872,0.9668,107.0508,1907.0508,0,0,0.244422,3765960471
0.034928,0.9668,107.2266,1907.2266,0,0,0.244422,3765960471
0.036890,0.9668,107.5781,1907.5781,0,0,0.244422,3765960471
0.038950,0.9668,107.9297,1907.9297,0,0,0.244422,3765960471
0.040911,0.9668,108.1055,1908.1055,0,0,0.244422,3765960471
0.042872,0.9668,108.4570,1908.4570,0,0,0.244422,3765960471
0.044928,0.9668,108.6328,1908.6328,0,0,0.244422,3765960471
0.046890,0.9668,108.9844,1908.9844,0,0,0.244422,3765960471
0.048950,0.9668,109.3359,1909.3359,0,0,0.244422,3765960471
0.050911,0.9668,109.6875,1909.6875,0,0,0.244422,3765960471
0.056591,0.9668,110.5664,1910.5664,0,0,0.244422,3765960471
0.057247,0.9668,110.5664,1910.5664,0,0,0.244422,3765960471
0.057540,0.9668,110.5664,1910.5664,0,0,0.244422,3765960471
0.058871,0.9668,110.7422,1910.7422,0,0,0.244422,3765960471
0.060873,0.9668,111.0938,1911.0938,0,0,0.244422,3765960471
0.062929,0.9668,111.4453,1911.4453,0,0,0.244422,3765960471
0.064889,0.9668,111.7969,1911.7969,0,0,0.244422,3765960471
0.066950,0.9668,112.1484,1912.1484,0,0,0.244422,3765960471
0.068911,0.9668,112.5000,1912.5000,0,0,0.244422,3765960471
0.070885,0.9668,112.6758,1912.6758,0,0,0.244422,3765960471
0.072942,0.9668,113.0273,1913.0273,0,0,0.244422,3765960471
0.074902,0.9668,113.3789,1913.3789,0,0,0.244422,3765960471
0.076864,0.9668,113.7305,1913.7305,0,0,0.244422,3765960471
0.078925,0.9668,114.0820,1914.0820,0,0,0.244422,3765960471
0.080885,0.9668,114.2578,1914.2578,0,0,0.244422,3765960471
0.082942,0.9668,114.6094,1914.6094,0,0,0.244422,3765960471
0.084902,0.9668,114.9609,1914.9609,0,0,0.244422,3765960471
0.086864,0.9668,115.3125,1915.3125,0,0,0.244422,3765960471
0.088925,0.9668,115.4883,1915.4883,0,0,0.244422,3765960471
0.090885,0.9668,115.8398,1915.8398,0,0,0.244422,3765960471
0.092942,0.9668,116.1914,1916.1914,0,0,0.244422,3765960471
0.094902,0.9668,116.3672,1916.3672,0,0,0.244422,3765960471
0.096864,0.9668,116.7188,1916.7188,0,0,0.244422,3765960471
0.098925,0.9668,116.8945,1916.8945,0,0,0.244422,3765960471
0.100885,0.9668,117.2461,1917.2461,0,0,0.244422,3765960471
0.102942,0.9668,117.5977,1917.5977,0,0,0.244422,3765960471
0.104965,0.9668,117.7734,1917.7734,0,0,0.244422,3765960471
0.106954,0.9668,118.1250,1918.1250,0,0,0.244422,3765960471
0.108911,0.9668,118.3008,1918.3008,0,0,0.244422,3765960471
0.110873,0.9668,118.4766,1918.4766,0,0,0.244422,3765960471
0.112929,0.9668,118.8281,1918.8281,0,0,0.244422,3765960471
0.114889,0.9668,119.0039,1919.0039,0,0,0.244422,3765960471
0.116951,0.9668,119.3555,1919.3555,0,0,0.244422,3765960471
0.118911,0.9668,119.5312,1919.5312,0,0,0.244422,3765960471
0.120873,0.9668,119.7070,1919.7070,0,0,0.244422,3765960471
0.122929,0.9668,120.0586,1920.0586,0,0,0.244422,3765960471
0.124889,0.9668,120.2344,1920.2344,0,0,0.244422,3765960471
0.126950,0.9668,120.4102,1920.4102,0,0,0.244422,3765960471
0.128911,0.9668,120.5859,1920.5859,0,0,0.244422,3765960471
0.130873,0.9668,120.9375,1920.9375,0,0,0.244422,3765960471
0.132929,0.9668,121.1133,1921.1133,0,0,0.244422,3765960471
0.134889,0.9668,121.2891,1921.2891,0,0,0.244422,3765960471
0.136951,0.9668,121.6406,1921.6406,0,0,0.244422,3765960471
0.138911,0.9668,121.8164,1921.8164,0,0,0.244422,3765960471
0.140873,0.9668,121.9922,1921.9922,0,0,0.244422,3765960471
0.142929,0.9668,122.1680,1922.1680,0,0,0.244422,3765960471
0.144889,0.9668,122.3438,1922.3438,0,0,0.244422,3765960471
0.146950,0.9668,122.6953,1922.6953,0,0,0.244422,3765960471
0.148911,0.9668,122.8711,1922.8711,0,0,0.244422,3765960471
0.150873,0.9668,123.0469,1923.0469,0,0,0.244422,3765960471
0.156081,0.9668,123.3984,1923.3984,0,0,0.244422,3765960471
0.156405,0.9668,123.5742,1923.5742,0,0,0.244422,3765960471
0.156891,0.9668,123.5742,1923.5742,0,0,0.244422,3765960471
0.158960,0.9668,123.7500,1923.7500,0,0,0.244422,3765960471
0.160889,0.9668,123.9258,1923.9258,0,0,0.244422,3765960471
0.162950,0.9668,124.1016,1924.1016,0,0,0.244422,3765960471
0.164954,0.9668,124.2773,1924.2773,0,0,0.244422,3765960471
0.166911,0.9668,124.4531,1924.4531,0,0,0.244422,3765960471
0.168873,0.9668,124.6289,1924.6289,0,0,0.244422,3765960471
0.170939,0.9668,124.6289,1924.6289,0,0,0.244422,3765960471
0.172896,0.9668,124.8047,1924.8047,0,0,0.244422,3765960471
0.174869,0.9668,124.9805,1924.9805,0,0,0.244422,3765960471
0.176927,0.9668,125.1562,1925.1562,0,0,0.244422,3765960471
0.178889,0.9668,125.1562,1925.1562,0,0,0.244422,3765960471
0.180950,0.9668,125.3320,1925.3320,0,0,0.244422,3765960471
0.182911,0.9668,125.3320,1925.3320,0,0,0.244422,3765960471
0.184873,0.9668,125.5078,1925.5078,0,0,0.244422,3765960471
0.186929,0.9668,125.5078,1925.5078,0,0,0.244422,3765960471
0.188890,0.9668,125.5078,1925.5078,0,0,0.244422,3765960471
0.190861,0.9668,125.6836,1925.6836,0,0,0.244422,3765960471
0.192925,0.9668,125.8594,1925.8594,0,0,0.244422,3765960471
0.194885,0.9668,125.8594,1925.8594,0,0,0.244422,3765960471
0.196951,0.9668,125.8594,1925.8594,0,0,0.244422,3765960471
0.198912,0.9668,125.8594,1925.8594,0,0,0.244422,3765960471
0.200939,0.9668,125.8594,1925.8594,0,0,0.244422,3765960471
0.202896,0.9668,126.0352,1926.0352,0,0,0.244422,3765960471
0.204885,0.9668,126.0352,1926.0352,0,0,0.244422,3765960471
0.206942,0.9668,126.0352,1926.0352,0,0,0.244422,3765960471
0.208902,0.9668,126.0352,1926.0352,0,0,0.244422,3765960471
0.210864,0.9668,126.0352,1926.0352,0,0,0.244422,3765960471
0.212925,0.7910,126.2109,1926.2109,0,0,0.244422,3765960471
0.214885,0.7910,126.2109,1926.2109,0,0,0.244422,3765960471
0.216942,0.7910,126.2109,1926.2109,0,0,0.244422,3765960471
0.218902,0.7910,126.2109,1926.2109,0,0,0.244422,3765960471
0.220864,0.7910,126.2109,1926.2109,0,0,0.244422,3765960471
0.222954,0.7910,126.3867,1926.3867,0,0,0.244422,3765960471
0.224916,0.7910,126.3867,1926.3867,0,0,0.244422,3765960471
0.226937,0.7910,126.3867,1926.3867,0,0,0.244422,3765960471
0.228895,0.7910,126.5625,1926.5625,0,0,0.244422,3765960471
0.230955,0.7910,126.5625,1926.5625,0,0,0.244422,3765960471
0.232911,0.7910,126.5625,1926.5625,0,0,0.244422,3765960471
0.234873,0.7910,126.7383,1926.7383,0,0,0.244422,3765960471
0.236953,0.7910,126.7383,1926.7383,0,0,0.244422,3765960471
0.238925,0.7910,126.7383,1926.7383,0,0,0.244422,3765960471
0.243831,0.7910,126.9141,1926.9141,0,0,0.481834,3766197999
0.244371,0.7910,126.9141,1926.9141,0,0,0.481834,3766197999
0.244870,0.7910,126.9141,1926.9141,0,0,0.481834,3766197999
0.246882,0.7910,127.0898,1927.0898,0,0,0.481834,3766197999
0.248949,0.7910,127.2656,1927.2656,0,0,0.481834,3766197999
0.250918,0.7910,127.2656,1927.2656,0,0,0.481834,3766197999
0.257526,0.7910,127.6172,1927.6172,0,0,0.481834,3766197999
0.257917,0.7910,127.6172,1927.6172,0,0,0.481834,3766197999
0.258118,0.7910,127.6172,1927.6172,0,0,0.481834,3766197999
0.258895,0.7910,127.6172,1927.6172,0,0,0.481834,3766197999
0.260954,0.7910,127.6172,1927.6172,0,0,0.481834,3766197999
0.262914,0.7910,127.7930,1927.7930,0,0,0.481834,3766197999
0.264930,0.7910,127.9688,1927.9688,0,0,0.481834,3766197999
0.266896,0.7910,127.9688,1927.9688,0,0,0.481834,3766197999
0.268921,0.7910,127.9688,1927.9688,0,0,0.481834,3766197999
0.270940,0.7910,128.1445,1928.1445,0,0,0.481834,3766197999
0.272902,0.7910,128.1445,1928.1445,0,0,0.481834,3766197999
0.274863,0.7910,128.3203,1928.3203,0,0,0.481834,3766197999
0.276925,0.7910,128.3203,1928.3203,0,0,0.481834,3766197999
0.278887,0.7910,128.3203,1928.3203,0,0,0.481834,3766197999
0.280945,0.7910,128.4961,1928.4961,0,0,0.481834,3766197999
0.282910,0.7910,128.4961,1928.4961,0,0,0.481834,3766197999
0.284872,0.7910,128.6719,1928.6719,0,0,0.481834,3766197999
0.286928,0.7910,128.6719,1928.6719,0,0,0.481834,3766197999
0.288890,0.7910,128.6719,1928.6719,0,0,0.481834,3766197999
0.290950,0.7910,128.8477,1928.8477,0,0,0.481834,3766197999
0.292911,0.7910,128.8477,1928.8477,0,0,0.481834,3766197999
0.294872,0.7910,128.8477,1928.8477,0,0,0.481834,3766197999
0.296928,0.7910,129.0234,1929.0234,0,0,0.481834,3766197999
0.298890,0.7910,129.0234,1929.0234,0,0,0.481834,3766197999
0.300950,0.7910,129.0234,1929.0234,0,0,0.481834,3766197999
0.302911,0.7910,129.1992,1929.1992,0,0,0.481834,3766197999
0.304872,0.7910,129.3750,1929.3750,0,0,0.481834,3766197999
0.306928,0.7910,129.3750,1929.3750,0,0,0.481834,3766197999
0.308890,0.7910,129.5508,1929.5508,0,0,0.481834,3766197999
0.310950,0.7910,129.5508,1929.5508,0,0,0.481834,3766197999
0.312911,0.7910,129.7266,1929.7266,0,0,0.481834,3766197999
0.314872,0.7910,129.9023,1929.9023,0,0,0.481834,3766197999
0.316928,0.7910,130.0781,1930.0781,0,0,0.481834,3766197999
0.318890,0.7910,130.0781,1930.0781,0,0,0.481834,3766197999
0.320950,0.7910,130.2539,1930.2539,0,0,0.481834,3766197999
0.322911,0.7910,130.4297,1930.4297,0,0,0.481834,3766197999
0.324872,0.7910,130.6055,1930.6055,0,0,0.481834,3766197999
0.326928,0.7910,130.7812,1930.7812,0,0,0.481834,3766197999
0.328890,0.7910,130.9570,1930.9570,0,0,0.481834,3766197999
0.330950,0.7910,131.1328,1931.1328,0,0,0.481834,3766197999
0.332911,0.7910,131.3086,1931.3086,0,0,0.481834,3766197999
0.334872,0.7910,131.4844,1931.4844,0,0,0.481834,3766197999
0.336928,0.7910,131.8359,1931.8359,0,0,0.481834,3766197999
0.338890,0.7910,132.0117,1932.0117,0,0,0.481834,3766197999
