t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,9.7559,40.9570,-319.0430,0,0,0.234079,1314859541
0.002055,9.7559,41.1328,-318.8672,0,0,0.234079,1314859541
0.004030,9.7559,41.1328,-318.8672,0,0,0.234079,1314859541
0.006076,9.7559,41.3086,-318.6914,0,0,0.234079,1314859541
0.008046,9.7559,41.3086,-318.6914,0,0,0.234079,1314859541
0.010041,9.9316,41.3086,-318.6914,0,0,0.234079,1314859541
0.012062,9.9316,41.3086,-318.6914,0,0,0.234079,1314859541
0.014049,9.9316,41.3086,-318.6914,0,0,0.234079,1314859541
0.016016,9.9316,41.4844,-318.5156,0,0,0.234079,1314859541
0.018075,9.9316,41.4844,-318.5156,0,0,0.234079,1314859541
0.020037,9.9316,41.4844,-318.5156,0,0,0.234079,1314859541
0.022001,9.9316,41.4844,-318.5156,0,0,0.234079,1314859541
0.024059,9.9316,41.6602,-318.3398,0,0,0.234079,1314859541
0.026021,9.9316,41.6602,-318.3398,0,0,0.234079,1314859541
0.028084,9.9316,41.6602,-318.3398,0,0,0.234079,1314859541
0.030042,9.9316,41.6602,-318.3398,0,0,0.234079,1314859541
0.032004,9.9316,41.6602,-318.3398,0,0,0.234079,1314859541
0.034059,9.9316,41.6602,-318.3398,0,0,0.234079,1314859541
0.036021,9.9316,41.8359,-318.1641,0,0,0.234079,1314859541
0.038084,9.9316,41.8359,-318.1641,0,0,0.234079,1314859541
0.040042,10.1074,41.8359,-318.1641,0,0,0.234079,1314859541
0.042004,10.1074,42.0117,-317.9883,0,0,0.234079,1314859541
0.044059,10.1074,42.0117,-317.9883,0,0,0.234079,1314859541
0.046021,10.1074,42.0117,-317.9883,0,0,0.234079,1314859541
0.048084,10.1074,42.0117,-317.9883,0,0,0.234079,1314859541
0.050042,10.1074,42.0117,-317.9883,0,0,0.234079,1314859541
0.052004,10.1074,42.0117,-317.9883,0,0,0.234079,1314859541
0.054059,10.1074,42.0117,-317.9883,0,0,0.234079,1314859541
0.056021,10.1074,42.1875,-317.8125,0,0,0.234079,1314859541
0.058004,10.2832,42.1875,-317.8125,0,0,0.234079,1314859541
0.060059,10.2832,42.1875,-317.8125,0,0,0.234079,1314859541
0.062021,10.2832,42.1875,-317.8125,0,0,0.234079,1314859541
0.064084,10.2832,42.1875,-317.8125,0,0,0.234079,1314859541
0.066042,10.2832,42.1875,-317.8125,0,0,0.234079,1314859541
0.068004,10.2832,42.1875,-317.8125,0,0,0.234079,1314859541
0.070059,10.2832,42.1875,-317.8125,0,0,0.234079,1314859541
0.072021,10.2832,42.1875,-317.8125,0,0,0.234079,1314859541
0.074084,10.2832,42.1875,-317.8125,0,0,0.234079,1314859541
0.076051,10.2832,42.1875,-317.8125,0,0,0.234079,1314859541
0.078015,10.4590,42.1875,-317.8125,0,0,0.234079,1314859541
0.080071,10.4590,42.3633,-317.6367,0,0,0.234079,1314859541
0.082032,10.4590,42.3633,-317.6367,0,0,0.234079,1314859541
0.084094,10.4590,42.3633,-317.6367,0,0,0.234079,1314859541
0.086053,10.4590,42.3633,-317.6367,0,0,0.234079,1314859541
0.088015,10.4590,42.3633,-317.6367,0,0,0.234079,1314859541
0.090071,10.4590,42.3633,-317.6367,0,0,0.234079,1314859541
0.092032,10.6348,42.3633,-317.6367,0,0,0.234079,1314859541
0.097425,10.6348,42.3633,-317.6367,0,0,0.234079,1314859541
0.097903,10.6348,42.3633,-317.6367,0,0,0.234079,1314859541
0.098149,10.6348,42.3633,-317.6367,0,0,0.234079,1314859541
0.100011,10.6348,42.3633,-317.6367,0,0,0.234079,1314859541
0.102016,10.6348,42.3633,-317.6367,0,0,0.234079,1314859541
0.104075,10.8105,42.1875,-317.8125,0,0,0.234079,1314859541
0.106037,10.8105,42.1875,-317.8125,0,0,0.234079,1314859541
0.108001,10.8105,42.1875,-317.8125,0,0,0.234079,1314859541
0.110059,10.8105,42.1875,-317.8125,0,0,0.234079,1314859541
0.112021,10.8105,42.1875,-317.8125,0,0,0.234079,1314859541
