t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,9.0527,25.4883,25.4883,0,0,0.233945,390297678
0.000864,9.0527,25.4883,25.4883,0,0,0.233945,390297678
0.001205,9.0527,25.4883,25.4883,0,0,0.233945,390297678
0.003068,9.0527,25.4883,25.4883,0,0,0.233945,390297678
0.005043,9.0527,25.4883,25.4883,0,0,0.233945,390297678
0.007069,9.0527,25.4883,25.4883,0,0,0.233945,390297678
0.008984,9.0527,25.4883,25.4883,0,0,0.233945,390297678
0.011000,9.2285,25.4883,25.4883,0,0,0.233945,390297678
0.012981,9.2285,25.4883,25.4883,0,0,0.233945,390297678
0.015012,9.2285,25.4883,25.4883,0,0,0.233945,390297678
0.016990,9.2285,25.4883,25.4883,0,0,0.233945,390297678
0.019053,9.2285,25.4883,25.4883,0,0,0.233945,390297678
0.021019,9.2285,25.4883,25.4883,0,0,0.233945,390297678
0.022983,9.4043,25.4883,25.4883,0,0,0.233945,390297678
0.025044,9.4043,25.4883,25.4883,0,0,0.233945,390297678
0.027005,9.4043,25.3125,25.3125,0,0,0.233945,390297678
0.028992,9.4043,25.3125,25.3125,0,0,0.233945,390297678
0.031054,9.4043,25.3125,25.3125,0,0,0.233945,390297678
0.033018,9.4043,25.3125,25.3125,0,0,0.233945,390297678
0.034983,9.4043,25.3125,25.3125,0,0,0.233945,390297678
0.037044,9.4043,25.3125,25.3125,0,0,0.233945,390297678
0.039005,9.4043,25.3125,25.3125,0,0,0.233945,390297678
0.041067,9.5801,25.3125,25.3125,0,0,0.233945,390297678
0.043029,9.5801,25.3125,25.3125,0,0,0.233945,390297678
0.044994,9.5801,25.3125,25.3125,0,0,0.233945,390297678
0.047059,9.5801,25.3125,25.3125,0,0,0.233945,390297678
0.049021,9.5801,25.3125,25.3125,0,0,0.233945,390297678
0.050983,9.5801,25.3125,25.3125,0,0,0.233945,390297678
0.053044,9.5801,25.3125,25.3125,0,0,0.233945,390297678
0.055005,9.7559,25.3125,25.3125,0,0,0.233945,390297678
0.057067,9.7559,25.3125,25.3125,0,0,0.233945,390297678
0.059029,9.7559,25.3125,25.3125,0,0,0.233945,390297678
0.060994,9.7559,25.3125,25.3125,0,0,0.233945,390297678
0.063059,9.7559,25.3125,25.3125,0,0,0.233945,390297678
0.065021,9.7559,25.3125,25.3125,0,0,0.233945,390297678
0.066983,9.7559,25.3125,25.3125,0,0,0.233945,390297678
0.069044,9.9316,25.1367,25.1367,0,0,0.233945,390297678
