t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,10.5469,-0.8789,-0.8789,0,0,0.229377,3428055928
0.000670,10.5469,-0.8789,-0.8789,0,0,0.229377,3428055928
0.000953,10.5469,-0.8789,-0.8789,0,0,0.229377,3428055928
0.002906,10.5469,-0.8789,-0.8789,0,0,0.229377,3428055928
0.004872,10.5469,-0.7031,-0.7031,0,0,0.229377,3428055928
0.011583,10.5469,-0.5273,-0.5273,0,0,0.229377,3428055928
0.012213,10.7227,-0.5273,-0.5273,0,0,0.229377,3428055928
0.012453,10.7227,-0.5273,-0.5273,0,0,0.229377,3428055928
0.012870,10.7227,-0.5273,-0.5273,0,0,0.229377,3428055928
0.014843,10.7227,-0.5273,-0.5273,0,0,0.229377,3428055928
0.016834,10.7227,-0.5273,-0.5273,0,0,0.229377,3428055928
0.018817,10.7227,-0.3516,-0.3516,0,0,0.229377,3428055928
0.020891,10.7227,-0.3516,-0.3516,0,0,0.229377,3428055928
0.022872,10.7227,-0.3516,-0.3516,0,0,0.229377,3428055928
0.024860,10.7227,-0.1758,-0.1758,0,0,0.229377,3428055928
0.026843,10.7227,-0.1758,-0.1758,0,0,0.229377,3428055928
0.028834,10.8984,-0.1758,-0.1758,0,0,0.229377,3428055928
0.030899,10.8984,0.0000,0.0000,0,0,0.229377,3428055928
0.032890,10.8984,0.0000,0.0000,0,0,0.229377,3428055928
0.034892,10.8984,0.0000,0.0000,0,0,0.229377,3428055928
0.036883,10.8984,0.0000,0.0000,0,0,0.229377,3428055928
0.038864,10.8984,0.1758,0.1758,0,0,0.229377,3428055928
0.040853,10.8984,0.1758,0.1758,0,0,0.229377,3428055928
0.042833,11.0742,0.1758,0.1758,0,0,0.229377,3428055928
0.044822,11.0742,0.3516,0.3516,0,0,0.229377,3428055928
0.046890,11.0742,0.3516,0.3516,0,0,0.229377,3428055928
0.048881,11.0742,0.3516,0.3516,0,0,0.229377,3428055928
0.050864,11.0742,0.5273,0.5273,0,0,0.229377,3428055928
0.052852,11.0742,0.5273,0.5273,0,0,0.229377,3428055928
0.054833,11.0742,0.5273,0.5273,0,0,0.229377,3428055928
0.056822,11.0742,0.5273,0.5273,0,0,0.229377,3428055928
0.058890,11.0742,0.7031,0.7031,0,0,0.229377,3428055928
0.060881,11.0742,0.7031,0.7031,0,0,0.229377,3428055928
0.062864,11.2500,0.7031,0.7031,0,0,0.229377,3428055928
0.064852,11.2500,0.8789,0.8789,0,0,0.229377,3428055928
0.066885,11.2500,0.8789,0.8789,0,0,0.229377,3428055928
0.068873,11.2500,0.8789,0.8789,0,0,0.229377,3428055928
0.070879,11.2500,0.8789,0.8789,0,0,0.229377,3428055928
0.072868,11.2500,0.8789,0.8789,0,0,0.229377,3428055928
0.074848,11.2500,1.0547,1.0547,0,0,0.229377,3428055928
0.076836,11.4258,1.0547,1.0547,0,0,0.229377,3428055928
0.078817,11.4258,1.0547,1.0547,0,0,0.229377,3428055928
0.080891,11.4258,1.2305,1.2305,0,0,0.229377,3428055928
0.082871,11.4258,1.2305,1.2305,0,0,0.229377,3428055928
0.084860,11.4258,1.2305,1.2305,0,0,0.229377,3428055928
0.086842,11.4258,1.2305,1.2305,0,0,0.229377,3428055928
0.088834,11.6016,1.2305,1.2305,0,0,0.229377,3428055928
0.090817,11.6016,1.4062,1.4062,0,0,0.229377,3428055928
0.092891,11.6016,1.4062,1.4062,0,0,0.229377,3428055928
0.094872,11.6016,1.4062,1.4062,0,0,0.229377,3428055928
0.096860,11.6016,1.4062,1.4062,0,0,0.229377,3428055928
0.098843,11.6016,1.4062,1.4062,0,0,0.229377,3428055928
0.100834,11.7773,1.4062,1.4062,0,0,0.229377,3428055928
0.102899,11.7773,1.5820,1.5820,0,0,0.229377,3428055928
0.104890,11.7773,1.5820,1.5820,0,0,0.229377,3428055928
0.106871,11.7773,1.5820,1.5820,0,0,0.229377,3428055928
0.110227,11.7773,1.5820,1.5820,0,0,0.229377,3428055928
0.110841,11.7773,1.5820,1.5820,0,0,0.229377,3428055928
0.112845,11.9531,1.5820,1.5820,0,0,0.229377,3428055928
0.114842,11.9531,1.5820,1.5820,0,0,0.229377,3428055928
0.116842,11.9531,1.5820,1.5820,0,0,0.229377,3428055928
0.118838,11.9531,1.5820,1.5820,0,0,0.229377,3428055928
0.120834,11.9531,1.5820,1.5820,0,0,0.229377,3428055928
0.122832,12.1289,1.5820,1.5820,0,0,0.229377,3428055928
0.124829,12.1289,1.5820,1.5820,0,0,0.229377,3428055928
0.126826,12.1289,1.5820,1.5820,0,0,0.229377,3428055928
0.128822,12.1289,1.5820,1.5820,0,0,0.229377,3428055928
0.130821,12.3047,1.5820,1.5820,0,0,0.229377,3428055928
0.132817,12.3047,1.5820,1.5820,0,0,0.229377,3428055928
0.134826,12.3047,1.5820,1.5820,0,0,0.229377,3428055928
0.136825,12.3047,1.5820,1.5820,0,0,0.229377,3428055928
0.138822,12.4805,1.5820,1.5820,0,0,0.229377,3428055928
0.140821,12.4805,1.5820,1.5820,0,0,0.229377,3428055928
0.142817,12.4805,1.5820,1.5820,0,0,0.229377,3428055928
0.144899,12.4805,1.5820,1.5820,0,0,0.229377,3428055928
0.146895,12.4805,1.5820,1.5820,0,0,0.229377,3428055928
0.148895,12.6562,1.5820,1.5820,0,0,0.229377,3428055928
0.150895,12.6562,1.5820,1.5820,0,0,0.229377,3428055928
0.152895,12.6562,1.5820,1.5820,0,0,0.229377,3428055928
0.154895,12.8320,1.5820,1.5820,0,0,0.229377,3428055928
0.156895,12.8320,1.5820,1.5820,0,0,0.229377,3428055928
0.158895,12.8320,1.5820,1.5820,0,0,0.229377,3428055928
0.160895,12.8320,1.5820,1.5820,0,0,0.229377,3428055928
0.162895,13.0078,1.5820,1.5820,0,0,0.229377,3428055928
0.164895,13.0078,1.4062,1.4062,0,0,0.229377,3428055928
0.166895,13.0078,1.4062,1.4062,0,0,0.229377,3428055928
0.168849,13.1836,1.4062,1.4062,0,0,0.229377,3428055928
0.170848,13.1836,1.4062,1.4062,0,0,0.229377,3428055928
0.172861,13.1836,1.4062,1.4062,0,0,0.229377,3428055928
0.174859,13.3594,1.4062,1.4062,0,0,0.229377,3428055928
0.176857,13.3594,1.2305,1.2305,0,0,0.229377,3428055928
0.178857,13.3594,1.2305,1.2305,0,0,0.229377,3428055928
0.180857,13.3594,1.2305,1.2305,0,0,0.229377,3428055928
0.182857,13.5352,1.2305,1.2305,0,0,0.229377,3428055928
0.184857,13.5352,1.2305,1.2305,0,0,0.229377,3428055928
0.186857,13.5352,1.0547,1.0547,0,0,0.229377,3428055928
0.188857,13.7109,1.0547,1.0547,0,0,0.229377,3428055928
0.190857,13.7109,1.0547,1.0547,0,0,0.229377,3428055928
0.192857,13.8867,0.8789,0.8789,0,0,0.229377,3428055928
0.194857,13.8867,0.8789,0.8789,0,0,0.229377,3428055928
0.196857,13.8867,0.8789,0.8789,0,0,0.229377,3428055928
0.198857,13.8867,0.8789,0.8789,0,0,0.229377,3428055928
0.200857,14.0625,0.8789,0.8789,0,0,0.229377,3428055928
0.202857,14.0625,0.7031,0.7031,0,0,0.229377,3428055928
0.204857,14.0625,0.7031,0.7031,0,0,0.229377,3428055928
0.206857,14.2383,0.7031,0.7031,0,0,0.229377,3428055928
0.210225,14.2383,0.5273,0.5273,0,0,0.229377,3428055928
0.210828,14.4141,0.5273,0.5273,0,0,0.229377,3428055928
0.212834,14.4141,0.5273,0.5273,0,0,0.229377,3428055928
0.214899,14.4141,0.5273,0.5273,0,0,0.229377,3428055928
0.216886,14.5898,0.3516,0.3516,0,0,0.229377,3428055928
0.218874,14.5898,0.3516,0.3516,0,0,0.229377,3428055928
0.220866,14.5898,0.3516,0.3516,0,0,0.229377,3428055928
0.222846,14.7656,0.1758,0.1758,0,0,0.229377,3428055928
0.227640,14.7656,0.1758,0.1758,0,0,0.502419,3428300650
0.228201,14.9414,0.1758,0.1758,0,0,0.502419,3428300650
0.228843,14.9414,0.1758,0.1758,0,0,0.502419,3428300650
0.230827,14.9414,0.0000,0.0000,0,0,0.502419,3428300650
0.232817,14.9414,0.0000,0.0000,0,0,0.502419,3428300650
0.234836,15.1172,0.0000,0.0000,0,0,0.502419,3428300650
0.237282,15.1172,-0.1758,-0.1758,0,0,0.502419,3428300650
0.238881,15.2930,-0.1758,-0.1758,0,0,0.502419,3428300650
0.240892,15.2930,-0.1758,-0.1758,0,0,0.502419,3428300650
0.242836,15.2930,-0.1758,-0.1758,0,0,0.502419,3428300650
0.244827,15.2930,-0.3516,-0.3516,0,0,0.502419,3428300650
0.246817,15.4688,-0.3516,-0.3516,0,0,0.502419,3428300650
0.248899,15.4688,-0.5273,-0.5273,0,0,0.502419,3428300650
0.250898,15.4688,-0.5273,-0.5273,0,0,0.502419,3428300650
0.252895,15.6445,-0.5273,-0.5273,0,0,0.502419,3428300650
0.254895,15.6445,-0.5273,-0.5273,0,0,0.502419,3428300650
0.256892,15.6445,-0.7031,-0.7031,0,0,0.502419,3428300650
0.258890,15.8203,-0.7031,-0.7031,0,0,0.502419,3428300650
0.260887,15.8203,-0.7031,-0.7031,0,0,0.502419,3428300650
0.262884,15.9961,-0.7031,-0.7031,0,0,0.502419,3428300650
0.264883,15.9961,-0.8789,-0.8789,0,0,0.502419,3428300650
0.266881,15.9961,-0.8789,-0.8789,0,0,0.502419,3428300650
0.268880,15.9961,-0.8789,-0.8789,0,0,0.502419,3428300650
0.270826,16.1719,-0.8789,-0.8789,0,0,0.502419,3428300650
0.272898,16.1719,-0.8789,-0.8789,0,0,0.502419,3428300650
0.274895,16.1719,-1.0547,-1.0547,0,0,0.502419,3428300650
0.276895,16.3477,-1.0547,-1.0547,0,0,0.502419,3428300650
0.278895,16.3477,-1.0547,-1.0547,0,0,0.502419,3428300650
0.280870,16.3477,-1.2305,-1.2305,0,0,0.502419,3428300650
0.282870,16.3477,-1.2305,-1.2305,0,0,0.502419,3428300650
0.284868,16.5234,-1.2305,-1.2305,0,0,0.502419,3428300650
0.286864,16.5234,-1.2305,-1.2305,0,0,0.502419,3428300650
0.288864,16.5234,-1.2305,-1.2305,0,0,0.502419,3428300650
0.290860,16.6992,-1.2305,-1.2305,0,0,0.502419,3428300650
0.292860,16.6992,-1.4062,-1.4062,0,0,0.502419,3428300650
0.294857,16.6992,-1.4062,-1.4062,0,0,0.502419,3428300650
0.296857,16.6992,-1.4062,-1.4062,0,0,0.502419,3428300650
0.298857,16.8750,-1.4062,-1.4062,0,0,0.502419,3428300650
0.300857,16.8750,-1.4062,-1.4062,0,0,0.502419,3428300650
0.302857,16.8750,-1.4062,-1.4062,0,0,0.502419,3428300650
0.304857,16.8750,-1.4062,-1.4062,0,0,0.502419,3428300650
0.306857,17.0508,-1.5820,-1.5820,0,0,0.502419,3428300650
0.310991,17.0508,-1.5820,-1.5820,0,0,0.502419,3428300650
0.311323,17.0508,-1.5820,-1.5820,0,0,0.502419,3428300650
0.312869,17.0508,-1.5820,-1.5820,0,0,0.502419,3428300650
0.314859,17.0508,-1.5820,-1.5820,0,0,0.502419,3428300650
0.316843,17.2266,-1.5820,-1.5820,0,0,0.502419,3428300650
0.318834,17.2266,-1.5820,-1.5820,0,0,0.502419,3428300650
0.320899,17.2266,-1.5820,-1.5820,0,0,0.502419,3428300650
0.322890,17.2266,-1.5820,-1.5820,0,0,0.502419,3428300650
0.324871,17.2266,-1.5820,-1.5820,0,0,0.502419,3428300650
0.326859,17.4023,-1.5820,-1.5820,0,0,0.502419,3428300650
0.328842,17.4023,-1.5820,-1.5820,0,0,0.502419,3428300650
0.330834,17.4023,-1.5820,-1.5820,0,0,0.502419,3428300650
0.332899,17.4023,-1.5820,-1.5820,0,0,0.502419,3428300650
0.334898,17.4023,-1.5820,-1.5820,0,0,0.502419,3428300650
0.336881,17.4023,-1.5820,-1.5820,0,0,0.502419,3428300650
0.338872,17.4023,-1.5820,-1.5820,0,0,0.502419,3428300650
0.340852,17.4023,-1.5820,-1.5820,0,0,0.502419,3428300650
0.342842,17.4023,-1.5820,-1.5820,0,0,0.502419,3428300650
0.344825,17.5781,-1.5820,-1.5820,0,0,0.502419,3428300650
0.346899,17.5781,-1.5820,-1.5820,0,0,0.502419,3428300650
0.348880,17.5781,-1.5820,-1.5820,0,0,0.502419,3428300650
0.350872,17.5781,-1.5820,-1.5820,0,0,0.502419,3428300650
0.352885,17.5781,-1.5820,-1.5820,0,0,0.502419,3428300650
0.354872,17.5781,-1.5820,-1.5820,0,0,0.502419,3428300650
0.356852,17.5781,-1.4062,-1.4062,0,0,0.502419,3428300650
0.358842,17.5781,-1.4062,-1.4062,0,0,0.502419,3428300650
0.360825,17.5781,-1.4062,-1.4062,0,0,0.502419,3428300650
0.362899,17.5781,-1.4062,-1.4062,0,0,0.502419,3428300650
0.364880,17.5781,-1.4062,-1.4062,0,0,0.502419,3428300650
0.366872,17.5781,-1.4062,-1.4062,0,0,0.502419,3428300650
0.368853,17.5781,-1.2305,-1.2305,0,0,0.502419,3428300650
0.370842,17.5781,-1.2305,-1.2305,0,0,0.502419,3428300650
0.372825,17.5781,-1.2305,-1.2305,0,0,0.502419,3428300650
0.374845,17.7539,-1.2305,-1.2305,0,0,0.502419,3428300650
0.376826,17.7539,-1.2305,-1.2305,0,0,0.502419,3428300650
0.378814,17.7539,-1.2305,-1.2305,0,0,0.502419,3428300650
0.380883,17.7539,-1.0547,-1.0547,0,0,0.502419,3428300650
0.382872,17.7539,-1.0547,-1.0547,0,0,0.502419,3428300650
0.384869,17.7539,-1.0547,-1.0547,0,0,0.502419,3428300650
0.386859,17.7539,-0.8789,-0.8789,0,0,0.502419,3428300650
0.388843,17.7539,-0.8789,-0.8789,0,0,0.502419,3428300650
0.390834,17.7539,-0.8789,-0.8789,0,0,0.502419,3428300650
0.392817,17.7539,-0.8789,-0.8789,0,0,0.502419,3428300650
0.394891,17.7539,-0.8789,-0.8789,0,0,0.502419,3428300650
0.396872,17.7539,-0.7031,-0.7031,0,0,0.502419,3428300650
0.398860,17.7539,-0.7031,-0.7031,0,0,0.502419,3428300650
0.400842,17.7539,-0.7031,-0.7031,0,0,0.502419,3428300650
0.402834,17.7539,-0.7031,-0.7031,0,0,0.502419,3428300650
0.404899,17.7539,-0.5273,-0.5273,0,0,0.502419,3428300650
0.406890,17.7539,-0.5273,-0.5273,0,0,0.502419,3428300650
0.410268,17.7539,-0.5273,-0.5273,0,0,0.502419,3428300650
0.410878,17.7539,-0.5273,-0.5273,0,0,0.502419,3428300650
0.412883,17.7539,-0.3516,-0.3516,0,0,0.502419,3428300650
0.414883,17.7539,-0.3516,-0.3516,0,0,0.502419,3428300650
0.416880,17.7539,-0.1758,-0.1758,0,0,0.502419,3428300650
0.418880,17.7539,-0.1758,-0.1758,0,0,0.502419,3428300650
0.420876,17.7539,-0.1758,-0.1758,0,0,0.502419,3428300650
0.422872,17.7539,-0.1758,-0.1758,0,0,0.502419,3428300650
0.424871,17.7539,0.0000,0.0000,0,0,0.502419,3428300650
0.426870,17.7539,0.0000,0.0000,0,0,0.502419,3428300650
0.428868,17.7539,0.0000,0.0000,0,0,0.502419,3428300650
0.430865,17.7539,0.0000,0.0000,0,0,0.502419,3428300650
0.432864,17.7539,0.1758,0.1758,0,0,0.502419,3428300650
0.434869,17.7539,0.1758,0.1758,0,0,0.502419,3428300650
0.436866,17.7539,0.1758,0.1758,0,0,0.502419,3428300650
0.438864,17.7539,0.1758,0.1758,0,0,0.502419,3428300650
0.440881,17.7539,0.1758,0.1758,0,0,0.502419,3428300650
0.442896,17.7539,0.3516,0.3516,0,0,0.502419,3428300650
0.444833,17.7539,0.3516,0.3516,0,0,0.502419,3428300650
0.446861,17.7539,0.3516,0.3516,0,0,0.502419,3428300650
0.448859,17.7539,0.5273,0.5273,0,0,0.502419,3428300650
0.450857,17.7539,0.5273,0.5273,0,0,0.502419,3428300650
0.452857,17.7539,0.5273,0.5273,0,0,0.502419,3428300650
0.454856,17.7539,0.5273,0.5273,0,0,0.502419,3428300650
0.456852,17.7539,0.7031,0.7031,0,0,0.502419,3428300650
0.458852,17.7539,0.7031,0.7031,0,0,0.502419,3428300650
0.460867,17.7539,0.7031,0.7031,0,0,0.502419,3428300650
0.462877,17.7539,0.7031,0.7031,0,0,0.502419,3428300650
0.464872,17.7539,0.7031,0.7031,0,0,0.502419,3428300650
0.466828,17.7539,0.8789,0.8789,0,0,0.502419,3428300650
0.468856,17.7539,0.8789,0.8789,0,0,0.502419,3428300650
0.472454,17.7539,0.8789,0.8789,0,0,0.740140,3428561956
0.472903,17.7539,0.8789,0.8789,0,0,0.740140,3428561956
0.474894,17.7539,0.8789,0.8789,0,0,0.740140,3428561956
0.476871,17.7539,1.0547,1.0547,0,0,0.740140,3428561956
0.478817,17.7539,1.0547,1.0547,0,0,0.740140,3428561956
0.480883,17.7539,1.0547,1.0547,0,0,0.740140,3428561956
0.482863,17.7539,1.0547,1.0547,0,0,0.740140,3428561956
0.484866,17.7539,1.2305,1.2305,0,0,0.740140,3428561956
0.486846,17.7539,1.2305,1.2305,0,0,0.740140,3428561956
0.488847,17.7539,1.2305,1.2305,0,0,0.740140,3428561956
0.490863,17.7539,1.2305,1.2305,0,0,0.740140,3428561956
0.492857,17.7539,1.2305,1.2305,0,0,0.740140,3428561956
0.494837,17.7539,1.2305,1.2305,0,0,0.740140,3428561956
0.496816,17.7539,1.2305,1.2305,0,0,0.740140,3428561956
0.498882,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.500870,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.502876,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.504873,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.506855,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.511066,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.511556,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.513131,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.514815,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.516866,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.518851,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.520856,17.7539,1.4062,1.4062,0,0,0.740140,3428561956
0.522906,17.7539,1.5820,1.5820,0,0,0.740140,3428561956
0.524902,17.7539,1.5820,1.5820,0,0,0.740140,3428561956
0.538898,17.9297,1.5820,1.5820,0,5,0.740140,3428561956
0.540904,17.9297,1.5820,1.5820,0,5,0.740140,3428561956
0.542931,17.9297,1.5820,1.5820,0,5,0.740140,3428561956
0.544917,17.9297,1.5820,1.5820,0,5,0.740140,3428561956
