t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,13.0957,34.9805,34.9805,0,0,0.241367,3810899647
0.000471,13.0957,34.9805,34.9805,0,0,0.241367,3810899647
0.000741,13.0957,34.9805,34.9805,0,0,0.241367,3810899647
0.002759,13.0957,35.1562,35.1562,0,0,0.241367,3810899647
0.004762,13.0957,35.1562,35.1562,0,0,0.241367,3810899647
0.006792,13.0957,35.1562,35.1562,0,0,0.241367,3810899647
0.008786,13.0957,35.3320,35.3320,0,0,0.241367,3810899647
0.010804,13.0957,35.3320,35.3320,0,0,0.241367,3810899647
0.012803,13.0957,35.5078,35.5078,0,0,0.241367,3810899647
0.014781,13.0957,35.5078,35.5078,0,0,0.241367,3810899647
0.016779,13.0957,35.5078,35.5078,0,0,0.241367,3810899647
0.018777,13.0957,35.6836,35.6836,0,0,0.241367,3810899647
0.020804,13.0957,35.6836,35.6836,0,0,0.241367,3810899647
0.022728,13.0957,35.6836,35.6836,0,0,0.241367,3810899647
0.024727,13.0957,35.8594,35.8594,0,0,0.241367,3810899647
0.026724,13.0957,35.8594,35.8594,0,0,0.241367,3810899647
0.028721,13.0957,35.8594,35.8594,0,0,0.241367,3810899647
0.030720,13.0957,36.0352,36.0352,0,0,0.241367,3810899647
0.032804,13.0957,36.0352,36.0352,0,0,0.241367,3810899647
0.034804,13.0957,36.2109,36.2109,0,0,0.241367,3810899647
0.036804,13.0957,36.2109,36.2109,0,0,0.241367,3810899647
0.042414,13.0957,36.3867,36.3867,0,0,0.241367,3810899647
0.042752,13.0957,36.3867,36.3867,0,0,0.241367,3810899647
0.042930,13.0957,36.3867,36.3867,0,0,0.241367,3810899647
0.044746,13.0957,36.3867,36.3867,0,0,0.241367,3810899647
0.046727,13.0957,36.3867,36.3867,0,0,0.241367,3810899647
0.048804,13.0957,36.5625,36.5625,0,0,0.241367,3810899647
0.050786,13.0957,36.5625,36.5625,0,0,0.241367,3810899647
0.052774,13.0957,36.5625,36.5625,0,0,0.241367,3810899647
0.054756,13.0957,36.5625,36.5625,0,0,0.241367,3810899647
0.056747,13.0957,36.7383,36.7383,0,0,0.241367,3810899647
0.058732,13.2715,36.7383,36.7383,0,0,0.241367,3810899647
0.060721,13.2715,36.7383,36.7383,0,0,0.241367,3810899647
0.062788,13.2715,36.9141,36.9141,0,0,0.241367,3810899647
0.064783,13.2715,36.9141,36.9141,0,0,0.241367,3810899647
0.066765,13.2715,36.9141,36.9141,0,0,0.241367,3810899647
0.068756,13.2715,36.9141,36.9141,0,0,0.241367,3810899647
0.070739,13.2715,36.9141,36.9141,0,0,0.241367,3810899647
0.072728,13.2715,36.9141,36.9141,0,0,0.241367,3810899647
0.074795,13.2715,37.0898,37.0898,0,0,0.241367,3810899647
0.076783,13.2715,37.0898,37.0898,0,0,0.241367,3810899647
0.078765,13.2715,37.0898,37.0898,0,0,0.241367,3810899647
0.080756,13.4473,37.0898,37.0898,0,0,0.241367,3810899647
0.082738,13.4473,37.0898,37.0898,0,0,0.241367,3810899647
0.084728,13.4473,37.0898,37.0898,0,0,0.241367,3810899647
0.086795,13.4473,37.0898,37.0898,0,0,0.241367,3810899647
0.088783,13.4473,37.0898,37.0898,0,0,0.241367,3810899647
0.090765,13.4473,37.0898,37.0898,0,0,0.241367,3810899647
0.092756,13.4473,37.0898,37.0898,0,0,0.241367,3810899647
0.094739,13.4473,37.2656,37.2656,0,0,0.241367,3810899647
0.096728,13.6230,37.2656,37.2656,0,0,0.241367,3810899647
0.098795,13.6230,37.2656,37.2656,0,0,0.241367,3810899647
0.100795,13.6230,37.2656,37.2656,0,0,0.241367,3810899647
0.102775,13.6230,37.2656,37.2656,0,0,0.241367,3810899647
0.104771,13.6230,37.2656,37.2656,0,0,0.241367,3810899647
0.106724,13.6230,37.2656,37.2656,0,0,0.241367,3810899647
0.108798,13.7988,37.2656,37.2656,0,0,0.241367,3810899647
0.110782,13.7988,37.2656,37.2656,0,0,0.241367,3810899647
0.112782,13.7988,37.2656,37.2656,0,0,0.241367,3810899647
0.114747,13.7988,37.0898,37.0898,0,0,0.241367,3810899647
0.116736,13.7988,37.0898,37.0898,0,0,0.241367,3810899647
0.118804,13.7988,37.0898,37.0898,0,0,0.241367,3810899647
0.120794,13.9746,37.0898,37.0898,0,0,0.241367,3810899647
0.122775,13.9746,37.0898,37.0898,0,0,0.241367,3810899647
0.124765,13.9746,37.0898,37.0898,0,0,0.241367,3810899647
0.126747,13.9746,37.0898,37.0898,0,0,0.241367,3810899647
0.128736,13.9746,37.0898,37.0898,0,0,0.241367,3810899647
0.130804,14.1504,37.0898,37.0898,0,0,0.241367,3810899647
0.132795,14.1504,36.9141,36.9141,0,0,0.241367,3810899647
0.134775,14.1504,36.9141,36.9141,0,0,0.241367,3810899647
0.136765,14.1504,36.9141,36.9141,0,0,0.241367,3810899647
0.141950,14.3262,36.9141,36.9141,0,0,0.241367,3810899647
0.142222,14.3262,36.9141,36.9141,0,0,0.241367,3810899647
0.142761,14.3262,36.9141,36.9141,0,0,0.241367,3810899647
0.144759,14.3262,36.7383,36.7383,0,0,0.241367,3810899647
0.146757,14.5020,36.7383,36.7383,0,0,0.241367,3810899647
0.148757,14.5020,36.7383,36.7383,0,0,0.241367,3810899647
0.150757,14.5020,36.5625,36.5625,0,0,0.241367,3810899647
0.152757,14.5020,36.5625,36.5625,0,0,0.241367,3810899647
0.154757,14.5020,36.5625,36.5625,0,0,0.241367,3810899647
0.156757,14.6777,36.5625,36.5625,0,0,0.241367,3810899647
0.158757,14.6777,36.3867,36.3867,0,0,0.241367,3810899647
0.160757,14.6777,36.3867,36.3867,0,0,0.241367,3810899647
0.162757,14.8535,36.3867,36.3867,0,0,0.241367,3810899647
0.164757,14.8535,36.3867,36.3867,0,0,0.241367,3810899647
0.166757,14.8535,36.2109,36.2109,0,0,0.241367,3810899647
0.168757,14.8535,36.2109,36.2109,0,0,0.241367,3810899647
0.170757,15.0293,36.2109,36.2109,0,0,0.241367,3810899647
0.172757,15.0293,36.0352,36.0352,0,0,0.241367,3810899647
0.174757,15.0293,36.0352,36.0352,0,0,0.241367,3810899647
0.176757,15.2051,35.8594,35.8594,0,0,0.241367,3810899647
0.178757,15.2051,35.8594,35.8594,0,0,0.241367,3810899647
0.180757,15.2051,35.8594,35.8594,0,0,0.241367,3810899647
0.182757,15.2051,35.8594,35.8594,0,0,0.241367,3810899647
0.184757,15.2051,35.6836,35.6836,0,0,0.241367,3810899647
0.186757,15.3809,35.6836,35.6836,0,0,0.241367,3810899647
0.188757,15.3809,35.6836,35.6836,0,0,0.241367,3810899647
0.190757,15.3809,35.5078,35.5078,0,0,0.241367,3810899647
0.192757,15.5566,35.5078,35.5078,0,0,0.241367,3810899647
0.194757,15.5566,35.5078,35.5078,0,0,0.241367,3810899647
0.196757,15.5566,35.3320,35.3320,0,0,0.241367,3810899647
0.198757,15.5566,35.3320,35.3320,0,0,0.241367,3810899647
0.200773,15.7324,35.1562,35.1562,0,0,0.241367,3810899647
0.202767,15.7324,35.1562,35.1562,0,0,0.241367,3810899647
0.204765,15.7324,35.1562,35.1562,0,0,0.241367,3810899647
0.206762,15.9082,34.9805,34.9805,0,0,0.241367,3810899647
0.208794,15.9082,34.9805,34.9805,0,0,0.241367,3810899647
0.210721,15.9082,34.9805,34.9805,0,0,0.241367,3810899647
0.212720,15.9082,34.8047,34.8047,0,0,0.241367,3810899647
0.214804,16.0840,34.8047,34.8047,0,0,0.241367,3810899647
0.216804,16.0840,34.8047,34.8047,0,0,0.241367,3810899647
0.218804,16.0840,34.6289,34.6289,0,0,0.241367,3810899647
0.220804,16.0840,34.6289,34.6289,0,0,0.241367,3810899647
0.222757,16.0840,34.4531,34.4531,0,0,0.241367,3810899647
0.224723,16.2598,34.4531,34.4531,0,0,0.241367,3810899647
0.226761,16.2598,34.4531,34.4531,0,0,0.241367,3810899647
0.228759,16.2598,34.4531,34.4531,0,0,0.241367,3810899647
0.230792,16.2598,34.2773,34.2773,0,0,0.241367,3810899647
0.232727,16.4355,34.2773,34.2773,0,0,0.241367,3810899647
0.236919,16.4355,34.1016,34.1016,0,0,0.486809,3811146116
0.237504,16.4355,34.1016,34.1016,0,0,0.486809,3811146116
0.242788,16.6113,34.1016,34.1016,0,0,0.486809,3811146116
0.243128,16.6113,34.1016,34.1016,0,0,0.486809,3811146116
0.243305,16.6113,34.1016,34.1016,0,0,0.486809,3811146116
0.244782,16.6113,33.9258,33.9258,0,0,0.486809,3811146116
0.246804,16.6113,33.9258,33.9258,0,0,0.486809,3811146116
0.248795,16.6113,33.7500,33.7500,0,0,0.486809,3811146116
0.250786,16.7871,33.7500,33.7500,0,0,0.486809,3811146116
0.252760,16.7871,33.7500,33.7500,0,0,0.486809,3811146116
0.254892,16.7871,33.7500,33.7500,0,0,0.486809,3811146116
0.256803,16.7871,33.7500,33.7500,0,0,0.486809,3811146116
0.258754,16.7871,33.5742,33.5742,0,0,0.486809,3811146116
0.260748,16.7871,33.5742,33.5742,0,0,0.486809,3811146116
0.262750,16.9629,33.5742,33.5742,0,0,0.486809,3811146116
0.264735,16.9629,33.5742,33.5742,0,0,0.486809,3811146116
