t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,4.3945,23.7305,23.7305,0,0,0.224396,3568159770
0.000794,4.3945,23.7305,23.7305,0,0,0.224396,3568159770
0.001064,4.3945,23.7305,23.7305,0,0,0.224396,3568159770
0.001819,4.3945,23.7305,23.7305,0,0,0.224396,3568159770
0.003833,4.3945,23.7305,23.7305,0,0,0.224396,3568159770
0.005844,4.5703,23.7305,23.7305,0,0,0.224396,3568159770
0.007793,4.5703,23.7305,23.7305,0,0,0.224396,3568159770
0.009789,4.5703,23.5547,23.5547,0,0,0.224396,3568159770
0.011819,4.5703,23.5547,23.5547,0,0,0.224396,3568159770
0.013819,4.5703,23.5547,23.5547,0,0,0.224396,3568159770
0.015812,4.7461,23.5547,23.5547,0,0,0.224396,3568159770
0.017811,4.7461,23.5547,23.5547,0,0,0.224396,3568159770
0.019820,4.7461,23.5547,23.5547,0,0,0.224396,3568159770
0.021815,4.9219,23.5547,23.5547,0,0,0.224396,3568159770
0.023813,4.9219,23.3789,23.3789,0,0,0.224396,3568159770
0.025812,4.9219,23.3789,23.3789,0,0,0.224396,3568159770
0.027834,5.0977,23.3789,23.3789,0,0,0.224396,3568159770
0.029832,5.0977,23.3789,23.3789,0,0,0.224396,3568159770
0.031831,5.2734,23.3789,23.3789,0,0,0.224396,3568159770
0.033831,5.2734,23.3789,23.3789,0,0,0.224396,3568159770
0.035831,5.2734,23.2031,23.2031,0,0,0.224396,3568159770
0.037828,5.4492,23.2031,23.2031,0,0,0.224396,3568159770
0.039825,5.4492,23.2031,23.2031,0,0,0.224396,3568159770
0.041824,5.4492,23.2031,23.2031,0,0,0.224396,3568159770
0.043790,5.6250,23.2031,23.2031,0,0,0.224396,3568159770
0.045786,5.6250,23.2031,23.2031,0,0,0.224396,3568159770
0.047786,5.6250,23.0273,23.0273,0,0,0.224396,3568159770
0.049786,5.8008,23.0273,23.0273,0,0,0.224396,3568159770
0.051809,5.8008,23.0273,23.0273,0,0,0.224396,3568159770
0.053806,5.9766,23.0273,23.0273,0,0,0.224396,3568159770
0.055804,5.9766,22.8516,22.8516,0,0,0.224396,3568159770
0.057801,5.9766,22.8516,22.8516,0,0,0.224396,3568159770
0.059798,5.9766,22.8516,22.8516,0,0,0.224396,3568159770
0.061798,6.1523,22.6758,22.6758,0,0,0.224396,3568159770
0.063798,6.1523,22.6758,22.6758,0,0,0.224396,3568159770
0.065798,6.3281,22.6758,22.6758,0,0,0.224396,3568159770
0.067798,6.3281,22.6758,22.6758,0,0,0.224396,3568159770
0.069798,6.3281,22.6758,22.6758,0,0,0.224396,3568159770
0.071798,6.5039,22.5000,22.5000,0,0,0.224396,3568159770
0.073798,6.5039,22.5000,22.5000,0,0,0.224396,3568159770
0.075798,6.6797,22.5000,22.5000,0,0,0.224396,3568159770
0.077798,6.6797,22.5000,22.5000,0,0,0.224396,3568159770
0.079798,6.6797,22.3242,22.3242,0,0,0.224396,3568159770
0.081798,6.8555,22.3242,22.3242,0,0,0.224396,3568159770
0.087202,7.0312,22.1484,22.1484,0,0,0.224396,3568159770
0.087485,7.0312,22.1484,22.1484,0,0,0.224396,3568159770
0.087828,7.0312,22.1484,22.1484,0,0,0.224396,3568159770
0.089816,7.0312,22.1484,22.1484,0,0,0.224396,3568159770
0.091798,7.2070,22.1484,22.1484,0,0,0.224396,3568159770
0.093786,7.2070,21.9727,21.9727,0,0,0.224396,3568159770
0.095853,7.3828,21.9727,21.9727,0,0,0.224396,3568159770
0.097840,7.3828,21.9727,21.9727,0,0,0.224396,3568159770
0.099822,7.3828,21.9727,21.9727,0,0,0.224396,3568159770
0.101813,7.5586,21.7969,21.7969,0,0,0.224396,3568159770
0.103794,7.5586,21.7969,21.7969,0,0,0.224396,3568159770
0.105783,7.5586,21.7969,21.7969,0,0,0.224396,3568159770
0.107852,7.7344,21.7969,21.7969,0,0,0.224396,3568159770
0.109840,7.7344,21.7969,21.7969,0,0,0.224396,3568159770
0.111822,7.7344,21.6211,21.6211,0,0,0.224396,3568159770
0.113813,7.9102,21.6211,21.6211,0,0,0.224396,3568159770
0.115794,7.9102,21.6211,21.6211,0,0,0.224396,3568159770
0.117783,8.0859,21.6211,21.6211,0,0,0.224396,3568159770
0.119852,8.0859,21.4453,21.4453,0,0,0.224396,3568159770
0.121840,8.0859,21.4453,21.4453,0,0,0.224396,3568159770
0.123822,8.2617,21.4453,21.4453,0,0,0.224396,3568159770
0.125813,8.2617,21.4453,21.4453,0,0,0.224396,3568159770
0.127801,8.2617,21.2695,21.2695,0,0,0.224396,3568159770
0.129793,8.4375,21.2695,21.2695,0,0,0.224396,3568159770
0.131775,8.4375,21.2695,21.2695,0,0,0.224396,3568159770
0.133853,8.4375,21.2695,21.2695,0,0,0.224396,3568159770
0.135836,8.6133,21.2695,21.2695,0,0,0.224396,3568159770
0.137825,8.6133,21.0938,21.0938,0,0,0.224396,3568159770
0.139806,8.6133,21.0938,21.0938,0,0,0.224396,3568159770
0.141798,8.7891,21.0938,21.0938,0,0,0.224396,3568159770
0.143779,8.7891,21.0938,21.0938,0,0,0.224396,3568159770
0.145806,8.7891,21.0938,21.0938,0,0,0.224396,3568159770
0.147800,8.9648,21.0938,21.0938,0,0,0.224396,3568159770
0.149790,8.9648,21.0938,21.0938,0,0,0.224396,3568159770
0.151773,8.9648,21.0938,21.0938,0,0,0.224396,3568159770
0.153848,8.9648,20.9180,20.9180,0,0,0.224396,3568159770
0.155831,9.1406,20.9180,20.9180,0,0,0.224396,3568159770
0.157822,9.1406,20.9180,20.9180,0,0,0.224396,3568159770
0.159841,9.1406,20.9180,20.9180,0,0,0.224396,3568159770
0.161827,9.3164,20.9180,20.9180,0,0,0.224396,3568159770
0.163809,9.3164,20.9180,20.9180,0,0,0.224396,3568159770
0.165817,9.3164,20.9180,20.9180,0,0,0.224396,3568159770
0.167800,9.4922,20.9180,20.9180,0,0,0.224396,3568159770
0.169805,9.4922,20.9180,20.9180,0,0,0.224396,3568159770
0.171798,9.4922,20.9180,20.9180,0,0,0.224396,3568159770
0.173805,9.4922,20.9180,20.9180,0,0,0.224396,3568159770
0.175800,9.4922,20.9180,20.9180,0,0,0.224396,3568159770
0.177790,9.6680,20.9180,20.9180,0,0,0.224396,3568159770
0.179773,9.6680,20.9180,20.9180,0,0,0.224396,3568159770
0.181849,9.6680,20.9180,20.9180,0,0,0.224396,3568159770
