t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,10.8105,-25.6641,-25.6641,16,2,0.260833,2896977574
0.005836,10.6348,-25.3125,-25.3125,18,2,0.260833,2896977574
0.006524,10.6348,-25.3125,-25.3125,14,2,0.260833,2896977574
0.007213,10.4590,-25.1367,-25.1367,16,2,0.260833,2896977574
0.007902,10.4590,-25.1367,-25.1367,13,2,0.260833,2896977574
0.009697,10.4590,-25.1367,-25.1367,15,2,0.260833,2896977574
0.011714,10.4590,-24.9609,-24.9609,17,2,0.260833,2896977574
0.013708,10.2832,-24.7852,-24.7852,18,2,0.260833,2896977574
0.015946,10.2832,-24.6094,-24.6094,14,2,0.260833,2896977574
0.017767,10.2832,-24.6094,-24.6094,16,2,0.260833,2896977574
0.019798,10.2832,-24.4336,-24.4336,18,2,0.260833,2896977574
0.021698,10.1074,-24.2578,-24.2578,19,2,0.260833,2896977574
0.023736,10.1074,-24.2578,-24.2578,15,2,0.260833,2896977574
0.025721,9.9316,-24.0820,-24.0820,17,2,0.260833,2896977574
0.027700,9.9316,-23.9062,-23.9062,13,2,0.260833,2896977574
0.029777,9.9316,-23.9062,-23.9062,15,2,0.260833,2896977574
0.031758,9.9316,-23.7305,-23.7305,17,2,0.260833,2896977574
0.033739,9.7559,-23.7305,-23.7305,18,2,0.260833,2896977574
0.035722,9.7559,-23.5547,-23.5547,14,2,0.260833,2896977574
0.037704,9.7559,-23.5547,-23.5547,16,2,0.260833,2896977574
0.039777,9.7559,-23.5547,-23.5547,17,2,0.260833,2896977574
0.041761,9.5801,-23.3789,-23.3789,19,2,0.260833,2896977574
0.043747,9.5801,-23.2031,-23.2031,15,2,0.260833,2896977574
0.045731,9.5801,-23.2031,-23.2031,16,2,0.260833,2896977574
0.047713,9.5801,-23.2031,-23.2031,18,2,0.260833,2896977574
0.049790,9.5801,-23.0273,-23.0273,19,2,0.260833,2896977574
0.051770,9.5801,-23.0273,-23.0273,20,2,0.260833,2896977574
0.053753,9.4043,-23.0273,-23.0273,21,2,0.260833,2896977574
0.055713,9.4043,-22.8516,-22.8516,17,2,0.260833,2896977574
0.057790,9.4043,-22.8516,-22.8516,18,2,0.260833,2896977574
0.059771,9.4043,-22.8516,-22.8516,19,2,0.260833,2896977574
0.061753,9.4043,-22.8516,-22.8516,20,2,0.260833,2896977574
0.063738,9.2285,-22.6758,-22.6758,29,2,0.260833,2896977574
0.065722,9.2285,-22.6758,-22.6758,16,2,0.260833,2896977574
0.067704,9.2285,-22.6758,-22.6758,18,2,0.260833,2896977574
0.069777,9.2285,-22.5000,-22.5000,19,2,0.260833,2896977574
0.071761,9.2285,-22.5000,-22.5000,20,2,0.260833,2896977574
0.073791,9.2285,-22.5000,-22.5000,29,2,0.260833,2896977574
0.075706,9.2285,-22.5000,-22.5000,29,2,0.260833,2896977574
0.077782,9.2285,-22.5000,-22.5000,29,2,0.260833,2896977574
0.079764,9.2285,-22.5000,-22.5000,29,2,0.260833,2896977574
0.081750,9.2285,-22.5000,-22.5000,29,2,0.260833,2896977574
0.083778,9.2285,-22.5000,-22.5000,29,2,0.260833,2896977574
0.085762,9.2285,-22.5000,-22.5000,29,2,0.260833,2896977574
0.089936,9.2285,-22.5000,-22.5000,29,2,0.260833,2896977574
0.090466,9.2285,-22.5000,-22.5000,29,2,0.260833,2896977574
0.091761,9.0527,-22.5000,-22.5000,29,2,0.260833,2896977574
0.093747,9.0527,-22.5000,-22.5000,29,2,0.260833,2896977574
0.095731,9.0527,-22.5000,-22.5000,29,2,0.260833,2896977574
0.097713,9.0527,-22.5000,-22.5000,29,2,0.260833,2896977574
0.099790,9.0527,-22.5000,-22.5000,29,2,0.260833,2896977574
0.101771,9.0527,-22.5000,-22.5000,29,2,0.260833,2896977574
0.103753,9.0527,-22.5000,-22.5000,29,2,0.260833,2896977574
0.105762,9.0527,-22.5000,-22.5000,29,2,0.260833,2896977574
0.107747,9.0527,-22.6758,-22.6758,29,2,0.260833,2896977574
0.109731,9.0527,-22.6758,-22.6758,29,2,0.260833,2896977574
0.111713,9.0527,-22.6758,-22.6758,29,2,0.260833,2896977574
0.113790,9.0527,-22.6758,-22.6758,29,2,0.260833,2896977574
0.115771,9.0527,-22.8516,-22.8516,29,2,0.260833,2896977574
0.117753,9.0527,-22.8516,-22.8516,29,2,0.260833,2896977574
0.119738,9.0527,-22.8516,-22.8516,29,2,0.260833,2896977574
0.121722,9.0527,-22.8516,-22.8516,29,2,0.260833,2896977574
0.123704,9.0527,-23.0273,-23.0273,29,2,0.260833,2896977574
0.125777,9.0527,-23.0273,-23.0273,29,2,0.260833,2896977574
0.127761,9.0527,-23.0273,-23.0273,29,2,0.260833,2896977574
0.129747,9.0527,-23.0273,-23.0273,29,2,0.260833,2896977574
0.131731,9.0527,-23.2031,-23.2031,29,2,0.260833,2896977574
0.133713,9.0527,-23.2031,-23.2031,29,2,0.260833,2896977574
0.135790,9.0527,-23.2031,-23.2031,29,2,0.260833,2896977574
0.137771,9.0527,-23.2031,-23.2031,29,2,0.260833,2896977574
0.139753,9.0527,-23.3789,-23.3789,29,2,0.260833,2896977574
0.141738,9.0527,-23.3789,-23.3789,29,2,0.260833,2896977574
0.143722,9.0527,-23.5547,-23.5547,29,2,0.260833,2896977574
0.145704,9.0527,-23.5547,-23.5547,29,2,0.260833,2896977574
0.147777,9.0527,-23.5547,-23.5547,29,2,0.260833,2896977574
0.149761,9.0527,-23.7305,-23.7305,29,2,0.260833,2896977574
0.151747,9.0527,-23.7305,-23.7305,29,2,0.260833,2896977574
0.153731,9.0527,-23.7305,-23.7305,29,2,0.260833,2896977574
0.155732,9.0527,-23.9062,-23.9062,29,2,0.260833,2896977574
0.157713,9.0527,-23.9062,-23.9062,29,2,0.260833,2896977574
0.159790,9.0527,-24.0820,-24.0820,29,2,0.260833,2896977574
0.161770,9.0527,-24.0820,-24.0820,29,2,0.260833,2896977574
0.163753,9.0527,-24.2578,-24.2578,29,2,0.260833,2896977574
0.165738,9.0527,-24.2578,-24.2578,29,2,0.260833,2896977574
0.167722,9.0527,-24.2578,-24.2578,29,2,0.260833,2896977574
0.169704,9.0527,-24.4336,-24.4336,29,2,0.260833,2896977574
0.171777,9.0527,-24.4336,-24.4336,29,2,0.260833,2896977574
0.173761,9.0527,-24.6094,-24.6094,29,2,0.260833,2896977574
0.175747,9.0527,-24.6094,-24.6094,29,2,0.260833,2896977574
0.177790,9.0527,-24.6094,-24.6094,29,2,0.260833,2896977574
0.179699,9.0527,-24.7852,-24.7852,29,2,0.260833,2896977574
0.181778,9.0527,-24.9609,-24.9609,29,2,0.260833,2896977574
0.183762,9.0527,-24.9609,-24.9609,29,2,0.260833,2896977574
