t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,1.4941,-44.6484,-44.6484,0,0,0.242275,3484026427
0.000592,1.4941,-44.6484,-44.6484,0,0,0.242275,3484026427
0.000864,1.4941,-44.4727,-44.4727,0,0,0.242275,3484026427
0.002943,1.4941,-43.9453,-43.9453,0,0,0.242275,3484026427
0.004814,1.4941,-43.4180,-43.4180,0,0,0.242275,3484026427
0.006822,1.4941,-42.7148,-42.7148,0,0,0.242275,3484026427
0.008845,1.4941,-42.1875,-42.1875,0,0,0.242275,3484026427
0.010774,1.4941,-41.6602,-41.6602,0,0,0.242275,3484026427
0.012798,1.4941,-41.1328,-41.1328,0,0,0.242275,3484026427
0.014774,1.4941,-40.4297,-40.4297,0,0,0.242275,3484026427
0.016791,1.4941,-39.9023,-39.9023,0,0,0.242275,3484026427
0.018850,1.4941,-39.1992,-39.1992,0,0,0.242275,3484026427
0.020812,1.4941,-38.6719,-38.6719,0,0,0.242275,3484026427
0.022774,1.4941,-38.1445,-38.1445,0,0,0.242275,3484026427
0.024834,1.4941,-37.4414,-37.4414,0,0,0.242275,3484026427
0.026791,1.4941,-36.9141,-36.9141,0,0,0.242275,3484026427
0.028850,1.4941,-36.3867,-36.3867,0,0,0.242275,3484026427
0.030812,1.4941,-35.6836,-35.6836,0,0,0.242275,3484026427
0.032774,1.4941,-35.1562,-35.1562,0,0,0.242275,3484026427
0.034834,1.4941,-34.4531,-34.4531,0,0,0.242275,3484026427
0.036791,1.4941,-33.9258,-33.9258,0,0,0.242275,3484026427
0.038850,1.4941,-33.3984,-33.3984,0,0,0.242275,3484026427
0.040812,1.4941,-32.8711,-32.8711,0,0,0.242275,3484026427
0.042774,1.4941,-32.1680,-32.1680,0,0,0.242275,3484026427
0.044834,1.4941,-31.6406,-31.6406,0,0,0.242275,3484026427
0.046791,1.4941,-31.1133,-31.1133,0,0,0.242275,3484026427
0.048850,1.4941,-30.5859,-30.5859,0,0,0.242275,3484026427
0.050812,1.4941,-29.8828,-29.8828,0,0,0.242275,3484026427
0.052774,1.4941,-29.3555,-29.3555,0,0,0.242275,3484026427
0.054834,1.4941,-28.8281,-28.8281,0,0,0.242275,3484026427
0.059944,1.4941,-27.2461,-27.2461,0,0,0.242275,3484026427
0.060251,1.4941,-27.2461,-27.2461,0,0,0.242275,3484026427
0.060856,1.4941,-27.0703,-27.0703,0,0,0.242275,3484026427
0.062817,1.4941,-26.5430,-26.5430,0,0,0.242275,3484026427
0.064774,1.4941,-26.0156,-26.0156,0,0,0.242275,3484026427
0.066834,1.4941,-25.4883,-25.4883,0,0,0.242275,3484026427
0.068791,1.4941,-24.9609,-24.9609,0,0,0.242275,3484026427
0.070863,1.4941,-24.4336,-24.4336,0,0,0.242275,3484026427
0.072775,1.4941,-23.9062,-23.9062,0,0,0.242275,3484026427
0.074782,1.4941,-23.3789,-23.3789,0,0,0.242275,3484026427
0.076845,1.4941,-22.8516,-22.8516,0,0,0.242275,3484026427
0.078807,1.4941,-22.3242,-22.3242,0,0,0.242275,3484026427
0.080769,1.4941,-21.9727,-21.9727,0,0,0.242275,3484026427
0.082833,1.4941,-21.4453,-21.4453,0,0,0.242275,3484026427
0.084791,1.4941,-20.9180,-20.9180,0,0,0.242275,3484026427
0.086851,1.4941,-20.3906,-20.3906,0,0,0.242275,3484026427
0.088816,1.4941,-20.0391,-20.0391,0,0,0.242275,3484026427
0.090774,1.4941,-19.5117,-19.5117,0,0,0.242275,3484026427
0.092845,1.4941,-19.1602,-19.1602,0,0,0.242275,3484026427
0.094807,1.4941,-18.6328,-18.6328,0,0,0.242275,3484026427
0.096769,1.4941,-18.2812,-18.2812,0,0,0.242275,3484026427
0.098833,1.4941,-17.9297,-17.9297,0,0,0.242275,3484026427
0.100791,1.4941,-17.4023,-17.4023,0,0,0.242275,3484026427
0.102851,1.4941,-17.0508,-17.0508,0,0,0.242275,3484026427
0.104816,1.4941,-16.6992,-16.6992,0,0,0.242275,3484026427
0.106774,1.4941,-16.1719,-16.1719,0,0,0.242275,3484026427
0.108834,1.4941,-15.8203,-15.8203,0,0,0.242275,3484026427
0.110791,1.4941,-15.4688,-15.4688,0,0,0.242275,3484026427
0.112851,1.4941,-15.1172,-15.1172,0,0,0.242275,3484026427
