t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,12.4805,9.1406,9.1406,0,0,0.233877,219255160
0.000549,12.4805,9.3164,9.3164,0,0,0.233877,219255160
0.000820,12.4805,9.3164,9.3164,0,0,0.233877,219255160
0.001568,12.4805,9.3164,9.3164,0,0,0.233877,219255160
0.003595,12.4805,9.3164,9.3164,0,0,0.233877,219255160
0.005545,12.6562,9.3164,9.3164,0,0,0.233877,219255160
0.007583,12.6562,9.3164,9.3164,0,0,0.233877,219255160
0.009546,12.6562,9.3164,9.3164,0,0,0.233877,219255160
0.011524,12.6562,9.3164,9.3164,0,0,0.233877,219255160
0.013578,12.6562,9.3164,9.3164,0,0,0.233877,219255160
0.015576,12.6562,9.3164,9.3164,0,0,0.233877,219255160
0.017573,12.6562,9.3164,9.3164,0,0,0.233877,219255160
0.019518,12.6562,9.3164,9.3164,0,0,0.233877,219255160
0.021564,12.8320,9.3164,9.3164,0,0,0.233877,219255160
0.023561,12.8320,9.3164,9.3164,0,0,0.233877,219255160
0.025558,12.8320,9.3164,9.3164,0,0,0.233877,219255160
0.027558,12.8320,9.3164,9.3164,0,0,0.233877,219255160
0.029555,12.8320,9.3164,9.3164,0,0,0.233877,219255160
0.031555,12.8320,9.3164,9.3164,0,0,0.233877,219255160
0.033551,13.0078,9.3164,9.3164,0,0,0.233877,219255160
0.035547,13.0078,9.3164,9.3164,0,0,0.233877,219255160
0.037545,13.0078,9.3164,9.3164,0,0,0.233877,219255160
0.039542,13.0078,9.3164,9.3164,0,0,0.233877,219255160
0.041538,13.0078,9.3164,9.3164,0,0,0.233877,219255160
0.043535,13.1836,9.3164,9.3164,0,0,0.233877,219255160
0.045534,13.1836,9.3164,9.3164,0,0,0.233877,219255160
0.047530,13.1836,9.3164,9.3164,0,0,0.233877,219255160
0.049526,13.1836,9.3164,9.3164,0,0,0.233877,219255160
0.051522,13.1836,9.3164,9.3164,0,0,0.233877,219255160
0.053522,13.1836,9.3164,9.3164,0,0,0.233877,219255160
0.055518,13.3594,9.1406,9.1406,0,0,0.233877,219255160
0.057517,13.3594,9.1406,9.1406,0,0,0.233877,219255160
0.059604,13.3594,9.1406,9.1406,0,0,0.233877,219255160
0.061598,13.3594,9.1406,9.1406,0,0,0.233877,219255160
0.063528,13.5352,9.1406,9.1406,0,0,0.233877,219255160
0.065525,13.5352,9.1406,9.1406,0,0,0.233877,219255160
0.067522,13.5352,8.9648,8.9648,0,0,0.233877,219255160
