t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,-10.8984,84.1992,-995.8008,0,0
0.000717,-10.8984,84.1992,-995.8008,0,0
0.004812,-10.8984,84.1992,-995.8008,0,0
0.008744,-10.8984,84.1992,-995.8008,0,0
0.012784,-10.8984,84.1992,-995.8008,0,0
0.016764,-10.8984,84.1992,-995.8008,0,0
0.020746,-10.8984,84.1992,-995.8008,0,0
0.024715,-10.8984,84.1992,-995.8008,0,0
0.028779,-10.8984,84.1992,-995.8008,0,0
0.032746,-10.8984,84.1992,-995.8008,0,0
0.036715,-10.8984,84.1992,-995.8008,0,0
0.040779,-10.8984,84.1992,-995.8008,0,0
0.044746,-10.8984,84.3750,-995.6250,0,0
0.048715,-10.8984,84.3750,-995.6250,0,0
0.052779,-10.8984,84.3750,-995.6250,0,0
0.056746,-10.8984,84.3750,-995.6250,0,0
0.060715,-10.8984,84.3750,-995.6250,0,0
0.064779,-10.8984,84.3750,-995.6250,0,0
0.068746,-10.8984,84.3750,-995.6250,0,0
0.072722,-10.8984,84.3750,-995.6250,0,0
0.076730,-10.8984,84.3750,-995.6250,0,0
0.080798,-10.8984,84.3750,-995.6250,0,0
0.085615,-10.8984,84.3750,-995.6250,0,0
0.088801,-10.8984,84.3750,-995.6250,0,0
0.092773,-10.8984,84.3750,-995.6250,0,0
0.096742,-10.8984,84.3750,-995.6250,0,0
0.100715,-10.8984,84.3750,-995.6250,0,0
0.104779,-10.8984,84.3750,-995.6250,0,0
0.108746,-10.8984,84.3750,-995.6250,0,0
0.112715,-10.8984,84.3750,-995.6250,0,0
0.116779,-10.8984,84.3750,-995.6250,0,0
0.120746,-10.8984,84.5508,-995.4492,0,0
0.124715,-10.8984,84.5508,-995.4492,0,0
0.128779,-10.8984,84.5508,-995.4492,0,0
0.132746,-10.8984,84.5508,-995.4492,0,0
0.136715,-10.8984,84.5508,-995.4492,0,0
0.140779,-10.8984,84.5508,-995.4492,0,0
0.144746,-10.8984,84.5508,-995.4492,0,0
0.148715,-10.8984,84.5508,-995.4492,0,0
0.152779,-10.8984,84.5508,-995.4492,0,0
0.156746,-10.8984,84.5508,-995.4492,0,0
0.160715,-10.8984,84.5508,-995.4492,0,0
0.164779,-10.8984,84.5508,-995.4492,0,0
0.168746,-10.8984,84.5508,-995.4492,0,0
0.172770,-10.8984,84.5508,-995.4492,0,0
0.176779,-10.8984,84.5508,-995.4492,0,0
0.180746,-10.8984,84.5508,-995.4492,0,0
0.185233,-10.8984,84.5508,-995.4492,0,0
0.188719,-10.8984,84.5508,-995.4492,0,0
0.192789,-10.8984,84.5508,-995.4492,0,0
0.196760,-10.8984,84.5508,-995.4492,0,0
0.200730,-10.8984,84.5508,-995.4492,0,0
0.204798,-10.8984,84.5508,-995.4492,0,0
0.208765,-10.8984,84.5508,-995.4492,0,0
0.212730,-10.8984,84.5508,-995.4492,0,0
0.216798,-10.8984,84.5508,-995.4492,0,0
0.220765,-10.8984,84.5508,-995.4492,0,0
0.224776,-10.8984,84.5508,-995.4492,0,0
0.228745,-10.8984,84.5508,-995.4492,0,0
0.232715,-10.8984,84.5508,-995.4492,0,0
0.236779,-10.8984,84.5508,-995.4492,0,0
0.240746,-10.8984,84.5508,-995.4492,0,0
0.244715,-10.8984,84.5508,-995.4492,0,0
0.248779,-10.8984,84.5508,-995.4492,0,0
0.252746,-10.8984,84.5508,-995.4492,0,0
0.256715,-10.8984,84.5508,-995.4492,0,0
0.260779,-10.8984,84.5508,-995.4492,0,0
0.264750,-10.8984,84.5508,-995.4492,0,0
0.268800,-10.8984,84.5508,-995.4492,0,0
0.272781,-10.8984,84.5508,-995.4492,0,0
0.276716,-10.8984,84.5508,-995.4492,0,0
0.282567,-10.8984,84.5508,-995.4492,0,0
0.286011,-10.8984,84.5508,-995.4492,0,0
0.288747,-10.8984,84.5508,-995.4492,0,0
0.292723,-10.8984,84.5508,-995.4492,0,0
0.296759,-10.8984,84.5508,-995.4492,0,0
0.300715,-10.8984,84.5508,-995.4492,0,0
0.305159,-10.8984,84.5508,-995.4492,0,0
0.308805,-10.8984,84.5508,-995.4492,0,0
0.312732,-10.8984,84.5508,-995.4492,0,0
0.316754,-10.8984,84.5508,-995.4492,0,0
0.320722,-10.8984,84.5508,-995.4492,0,0
0.324790,-10.8984,84.3750,-995.6250,0,0
0.328760,-10.8984,84.3750,-995.6250,0,0
0.332730,-10.8984,84.3750,-995.6250,0,0
0.336798,-10.8984,84.3750,-995.6250,0,0
0.340765,-10.8984,84.3750,-995.6250,0,0
0.344730,-10.8984,84.3750,-995.6250,0,0
0.348798,-10.8984,84.3750,-995.6250,0,0
0.352765,-10.8984,84.3750,-995.6250,0,0
0.356730,-10.8984,84.3750,-995.6250,0,0
0.360798,-10.8984,84.3750,-995.6250,0,0
0.364765,-10.8984,84.3750,-995.6250,0,0
0.368730,-10.8984,84.3750,-995.6250,0,0
0.372798,-10.8984,84.3750,-995.6250,0,0
0.376765,-10.8984,84.3750,-995.6250,0,0
0.380741,-10.8984,84.3750,-995.6250,0,0
0.385280,-10.8984,84.3750,-995.6250,0,0
0.388758,-10.8984,84.3750,-995.6250,0,0
0.392730,-10.8984,84.3750,-995.6250,0,0
0.396798,-10.8984,84.3750,-995.6250,0,0
0.400765,-10.8984,84.3750,-995.6250,0,0
0.404730,-10.8984,84.3750,-995.6250,0,0
0.408798,-10.8984,84.3750,-995.6250,0,0
0.412765,-10.8984,84.1992,-995.8008,0,0
0.416730,-10.8984,84.1992,-995.8008,0,0
0.420798,-10.8984,84.1992,-995.8008,0,0
0.424765,-10.8984,84.1992,-995.8008,0,0
0.428730,-10.8984,84.1992,-995.8008,0,0
