t,angulo,theta
0.0000,65.3910,5.6250
0.1219,65.3910,5.6250
0.1952,65.3910,5.6250
0.3047,65.3910,5.6250
0.5213,65.3910,5.6250
0.6083,65.3910,5.6250
0.6879,65.3910,5.6250
0.8034,65.3910,5.6250
0.8935,65.3910,5.6250
0.9645,65.3910,5.6250
1.0529,64.6870,5.0980
1.1361,61.8750,-1.4060
1.2198,62.0510,-15.8200
1.3246,62.0510,-33.9260
1.3980,62.0510,-44.6480
1.4702,61.8750,-49.2190
1.5783,62.0510,-59.5900
1.6584,62.0510,-91.2300
1.7618,61.8750,-106.8750
1.8424,61.8750,-85.4300
1.9361,62.0510,-67.3240
2.0345,73.8280,-45.8790
2.1408,76.1130,-27.7730
2.2202,48.6910,-14.2380
2.2965,46.0550,-9.4920
2.3842,57.6560,-34.1020
2.4700,57.6560,-64.3360
2.5500,57.8320,-78.7500
2.6353,57.6560,-87.0120
2.7387,57.8320,-113.7300
2.8099,57.6560,-111.6210
2.9077,57.8320,-113.7300
3.0053,57.8320,-105.9960
3.0950,52.2070,-98.0860
3.1919,51.3280,-107.5780
3.2761,51.5040,-122.1680
3.3906,49.0430,-102.6560
3.5033,46.5820,-110.7420
3.9253,46.5820,-112.5000
3.9919,46.4060,-113.0270
4.0835,46.4060,-122.1680
4.2271,46.5820,-116.1910
4.3428,46.5820,-118.4770
4.4847,46.4060,-115.3120
4.7051,47.9880,-89.2970
4.7996,53.2620,-66.2700
4.9441,51.6800,-52.9100
5.0807,50.9770,-26.0160
5.2823,53.6130,-7.3830
5.4628,53.4370,0.3520
5.6179,53.6130,0.0000
5.7005,53.6130,-0.3520
5.8869,53.4370,-5.6250
6.1941,53.4370,-12.6560
6.2896,53.4370,-15.4690
6.4375,53.4370,-17.0510
6.6400,53.4370,-17.0510
6.8090,53.6130,-17.0510
6.9789,53.6130,-17.0510
7.0970,53.4370,-17.0510
7.3015,53.4370,-17.0510
7.4875,53.6130,-17.0510
7.6082,53.6130,-17.0510
7.7677,53.6130,-17.0510
7.9196,53.4370,-17.0510
8.1139,53.4370,-17.0510
9.3469,53.4370,-17.0510
9.4418,53.4370,-17.0510
9.5665,53.4370,-17.0510
9.6541,53.4370,-17.0510
9.8401,53.4370,-17.0510
10.0605,53.4370,-17.0510
10.2293,53.4370,-17.0510
10.3604,53.4370,-17.0510
10.4944,53.4370,-17.0510
10.6403,53.4370,-17.0510
10.7376,53.4370,-17.0510
10.8251,53.2620,-17.0510
10.9193,53.2620,-17.0510
11.0180,53.2620,-17.0510
11.1896,53.2620,-16.8750
11.3162,53.2620,-16.8750
11.3906,53.2620,-16.8750
11.5063,53.2620,-16.8750
11.6395,53.2620,-16.8750
11.7476,53.2620,-16.8750
11.8457,53.2620,-16.8750
11.9667,53.2620,-16.8750
12.0797,53.2620,-16.8750
12.2390,53.2620,-16.8750
13.4768,53.2620,-16.8750
13.6195,53.2620,-16.8750
13.7740,53.2620,-16.8750
14.0549,53.2620,-16.8750
14.1646,53.2620,-16.8750
14.5148,53.2620,-16.8750
